context,candidate_index,inner_fold_count,inner_split_seed,max_features,min_samples_leaf,inner_macro_group_mae,inner_r2,inner_mae,selected,delta3d_weight
outer_1:delta3d_extended_weight,,,,,,0.1419945562098112,0.07335455869809737,0.11728612037657642,False,0.5
outer_1:delta3d_extended_weight,,,,,,0.14495647990437294,0.07095601069004176,0.11796535923721278,False,0.75
outer_1:delta3d_extended_weight,,,,,,0.14840823060661482,0.05671243090271205,0.11938384668911282,False,1.0
outer_2:baseline,0.0,3.0,124743.0,0.35,2.0,0.14034410486763074,0.007303137293408701,0.13314627261331727,True,
outer_2:baseline,1.0,3.0,124743.0,0.7,2.0,0.14728660608070296,-0.10725765293436917,0.14045023058990025,False,
outer_2:baseline,2.0,3.0,124743.0,1.0,4.0,0.14486184269321528,-0.05150009963737956,0.1381006476196387,False,
outer_2:2d_second_unshrunk,0.0,3.0,124743.0,0.35,2.0,0.14146598043313563,0.009200257291778091,0.1333049875563317,True,
outer_2:2d_second_unshrunk,1.0,3.0,124743.0,0.7,2.0,0.14845467380681998,-0.13011928029021913,0.14377676855336044,False,
outer_2:2d_second_unshrunk,2.0,3.0,124743.0,1.0,4.0,0.14459454515916334,-0.046040755788156584,0.13777858579436508,False,
outer_2:delta3d_unshrunk,0.0,3.0,124743.0,0.35,2.0,0.14630085189801256,0.09372926980125718,0.1277121482551955,True,
outer_2:delta3d_unshrunk,1.0,3.0,124743.0,0.7,2.0,0.15364017171914487,0.06562294511604905,0.12906596269519818,False,
outer_2:delta3d_unshrunk,2.0,3.0,124743.0,1.0,4.0,0.15726926382113426,0.017119768260272505,0.13216937975559442,False,
outer_2:delta3d_extended_unshrunk,0.0,3.0,124743.0,0.35,2.0,0.14496979478818556,0.10417056072599962,0.126005271226751,True,
outer_2:delta3d_extended_unshrunk,1.0,3.0,124743.0,0.7,2.0,0.14961850760558,0.05987810019190365,0.1284935407191464,False,
outer_2:delta3d_extended_unshrunk,2.0,3.0,124743.0,1.0,4.0,0.15600540506605198,0.01608285949294408,0.13175806185866729,False,
outer_2:2d_ensemble_weight,,,,,,0.14034410486763074,0.007303137293408701,0.13314627261331727,True,0.0
outer_2:2d_ensemble_weight,,,,,,0.14060935109632594,0.008422388107351964,0.13311807113670562,False,0.25
outer_2:2d_ensemble_weight,,,,,,0.14088436791418796,0.009111658378394782,0.13313249136966426,False,0.5
outer_2:2d_ensemble_weight,,,,,,0.14116885102195587,0.009370948106536825,0.13319438363489258,False,0.75
outer_2:2d_ensemble_weight,,,,,,0.14146598043313563,0.009200257291778091,0.1333049875563317,False,1.0
outer_2:delta3d_weight,,,,,,0.14034410486763074,0.007303137293408701,0.13314627261331727,False,0.0
outer_2:delta3d_weight,,,,,,0.13987461859060255,0.04469978896380555,0.13041837104204101,True,0.25
outer_2:delta3d_weight,,,,,,0.14109753941107966,0.07156969493857956,0.1287087903009498,False,0.5
outer_2:delta3d_weight,,,,,,0.1435162864886683,0.08791285521773007,0.12787335849209502,False,0.75
outer_2:delta3d_weight,,,,,,0.14630085189801256,0.09372926980125718,0.1277121482551955,False,1.0
outer_2:delta3d_extended_weight,,,,,,0.14034410486763074,0.007303137293408701,0.13314627261331727,False,0.0
outer_2:delta3d_extended_weight,,,,,,0.13903849021550066,0.049533485551639056,0.12978218854482862,True,0.25
outer_2:delta3d_extended_weight,,,,,,0.13999948650078603,0.07975483887648116,0.12762778059265312,False,0.5
outer_2:delta3d_extended_weight,,,,,,0.14231195521661216,0.09796719726793479,0.12647076395727236,False,0.75
outer_2:delta3d_extended_weight,,,,,,0.14496979478818556,0.10417056072599962,0.126005271226751,False,1.0
