adapter,policy,k,mae,n_ligands,offset,shape_mae,spearman,within_0_5,within_1_0
OFFSET_K1,MAX_EXPECTED_VARIANCE_REDUCTION,3,0.5881717250443915,140,0.3161221036330939,0.48569125485714254,0.46793865060683165,0.5872647380433332,0.8074335575284479
NEAREST_OBSERVED,CENTRAL,5,0.5885802668852386,99,0.3445363981414716,0.5215524708360935,0.5157100013014052,0.646926471310483,0.814483484339821
OFFSET_K1,MIN_ENSEMBLE_SD,3,0.5888895231908103,140,0.32156940461531724,0.48569125485714254,0.46793865060683165,0.5879074580266135,0.8103261266722678
OFFSET_K1,MAX_EXPECTED_VARIANCE_REDUCTION,2,0.5895849701703704,143,0.3493201777315597,0.4784794024357155,0.46793865060683165,0.5965103415950455,0.8113345569467573
OFFSET_K2,MEDIAN_PREDICTION,3,0.5900859722325619,140,0.3735322471723217,0.47526473275401143,0.5120515287933554,0.5960093425334603,0.8063852791488303
OFFSET_K2,MAX_CONDITION_COVERAGE,2,0.5903359386766124,143,0.37270742178392063,0.46415477447841635,0.5078546100238531,0.6043872485414176,0.807018291303407
OFFSET_K2,MEDIAN_PREDICTION,5,0.5905152309336136,99,0.33904750497345343,0.513033104496627,0.5177599843669615,0.6152711728395421,0.800039013823298
OFFSET_K2,FARTHEST_FROM_EXISTING,2,0.5907563175486917,143,0.3817259403222053,0.44520627788384665,0.567616301822244,0.6025403547146875,0.8097599261867122
OFFSET_K1,MIN_ENSEMBLE_SD,2,0.5909574744221479,143,0.3562998100973291,0.4784794024357155,0.46793865060683165,0.5987820054695993,0.8122883991866717
OFFSET_K2,MEDOID,5,0.5934978196880383,99,0.3394434288516455,0.5144166814127858,0.4965640152237673,0.6058020192099685,0.8058514415180973
OFFSET_K1,MAX_ENSEMBLE_SD,3,0.5936147042287662,140,0.34487225698790047,0.48569125485714254,0.46793865060683165,0.5876986173423484,0.8060068128004308
NEAREST_OBSERVED,CENTRAL_THEN_SPREAD,2,0.5950941590216812,143,0.3801867134101969,0.4995286996076737,0.46189807364303087,0.6122942019981422,0.8092046701928662
OFFSET_K1,MEDOID,3,0.5971421351818699,140,0.3754508945809393,0.48569125485714254,0.46793865060683165,0.5849864457737741,0.808197611934462
OFFSET_K1,CENTRAL_THEN_SPREAD,3,0.5974926488077917,140,0.34062277948842495,0.48569125485714254,0.46793865060683165,0.5848611444141597,0.7998732985447953
OFFSET_K1,CENTRAL,3,0.5980896323741719,140,0.3713738984866905,0.48569125485714254,0.46793865060683165,0.580211224729512,0.8057224492947952
OFFSET_K1,MAX_PREDICTIVE_VARIANCE,3,0.5985143070266454,140,0.3331641112945616,0.48569125485714254,0.46793865060683165,0.5900369534984367,0.7965076473488405
OFFSET_K1,FARTHEST_FROM_EXISTING,3,0.598582977409821,140,0.3257115220766032,0.48569125485714254,0.46793865060683165,0.5832440567527044,0.7994070883802828
OFFSET_K1,MAX_CONDITION_COVERAGE,3,0.600366339867636,140,0.3443307363671398,0.48569125485714254,0.46793865060683165,0.5868771129112458,0.7962499072795337
NEAREST_OBSERVED,MID_ACID,3,0.6014786127421683,140,0.39667484089342664,0.4990036315759503,0.5168413111931307,0.620484146149824,0.8020568983655705
OFFSET_K2,MEDIAN_PREDICTION,2,0.601668164251559,143,0.39846773063752117,0.47360570355161874,0.5039152273319412,0.6108888967837585,0.799813841964076
NEAREST_OBSERVED,MID_ACID,5,0.6022413673893228,99,0.35463950790589843,0.5292377370178254,0.5436388703403506,0.641855615871515,0.8123210651180468
OFFSET_K3,CENTRAL,2,0.6027927004115978,143,0.40379172432379284,0.46977025106305953,0.48396877370360875,0.6063673481123716,0.7990724114697915
OFFSET_K2,MAX_MODEL_DISAGREEMENT,3,0.6031662467977364,140,0.399425858775083,0.47246416063975605,0.5369795163464604,0.5949760452333326,0.7939716170573988
OFFSET_K3,MEDOID,2,0.6040582570447759,143,0.4033306571583136,0.47187975471495747,0.48197521027301526,0.6089530330252151,0.7968798890633076
OFFSET_K1,MEDIAN_PREDICTION,3,0.6043232656514452,140,0.38432679642892503,0.48569125485714254,0.46793865060683165,0.5829280359906662,0.8053973092056266
OFFSET_K1,RANDOM,3,0.6057741866944835,140,0.3535249500252555,0.48569125485714254,0.46793865060683165,0.5706013549723422,0.8005207361993567
OFFSET_K2,RANDOM,2,0.6070863213947915,143,0.39464554728409545,0.4645227101648028,0.49497076393197276,0.5785301136458373,0.8030457690762238
OFFSET_K1,MEDIAN_PREDICTION,2,0.6091014850343566,143,0.4025600885780102,0.4784794024357155,0.46793865060683165,0.6038405740549413,0.797656473113152
OFFSET_K2,MEDOID,2,0.6092696519917918,143,0.40604468381678444,0.47663046127459513,0.47397918458483324,0.6062713684211161,0.79771365143852
OFFSET_K1,MAX_CONDITION_COVERAGE,2,0.6093391919966052,143,0.38389304338217317,0.4784794024357155,0.46793865060683165,0.5865647543686014,0.7980203251892528
OFFSET_K1,MID_ACID,3,0.6094502490263155,140,0.3865148941978509,0.48569125485714254,0.46793865060683165,0.5773337028686519,0.8018827605949793
OFFSET_K3,MID_ACID,2,0.6095846519463044,143,0.42350524403980755,0.45636803547969385,0.5047285531535523,0.5902776195807888,0.7988100266239043
OFFSET_K2,CENTRAL,2,0.6106526912357134,143,0.4071096709704339,0.47596408627679043,0.4830379085792341,0.6040140653694868,0.7959054924152795
NO_MODEL,ORACLE[OFFSET_K1],2,0.6112145673487684,143,0.306726116063174,0.5741950175436397,,0.6209018595308781,0.7842273508847616
OFFSET_K2,D_OPTIMAL,2,0.6113901413704392,143,0.41650172237671174,0.4438378447491097,0.5762884120124372,0.5944763242415965,0.8022451452558618
OFFSET_K1,MEDOID,2,0.611450787863562,143,0.4071021369888539,0.4784794024357155,0.46793865060683165,0.6049079469614347,0.7949722788986697
OFFSET_K1,CENTRAL_THEN_SPREAD,2,0.6115959732167306,143,0.38832818470627095,0.4784794024357155,0.46793865060683165,0.5877406263820869,0.8021763846601119
OFFSET_K1,MIN_ENSEMBLE_SD,5,0.6119883346697627,99,0.27711453861713975,0.5459605218927001,0.42306408692127634,0.5825005880205995,0.793262654793944
OFFSET_K1,MAX_PREDICTIVE_VARIANCE,2,0.6128309382426047,143,0.39309223997855264,0.4784794024357155,0.46793865060683165,0.5855916022252514,0.8018273579313892
NEAREST_OBSERVED,MAX_PREDICTIVE_VARIANCE,2,0.613567187804299,143,0.4195821927264016,0.5034730547385844,0.5043612600976413,0.619124249088268,0.8015430288525656
OFFSET_K1,CENTRAL,2,0.613702646217999,143,0.40876754562298,0.4784794024357155,0.46793865060683165,0.6008187402887205,0.792477343428294
NEAREST_OBSERVED,MAX_EXPECTED_VARIANCE_REDUCTION,2,0.6139646362101392,143,0.3793265866238932,0.5288545512685014,0.44695579930245105,0.6131885298635734,0.7966557717715721
