adapter,policy,k,mae,n_ligands,offset,shape_mae,spearman,within_0_5,within_1_0
NEAREST_OBSERVED,MAX_EXPECTED_VARIANCE_REDUCTION,5,0.5268823838538138,99,0.2543446827738172,0.49908389284884075,0.570997854347319,0.6892504554718621,0.8475043899589868
NEAREST_OBSERVED,MAX_PREDICTIVE_VARIANCE,5,0.5285390514560736,99,0.26338251883041497,0.4959993893610331,0.5819474778239278,0.6845833006311862,0.8476761107486903
NEAREST_OBSERVED,ORACLE[OFFSET_K1],3,0.5318309191379686,140,0.285972104780976,0.49603427473992473,0.47300606058037725,0.6656099212402431,0.8276539292800394
OFFSET_K3,MIN_ENSEMBLE_SD,3,0.5329964579461327,140,0.3297994626490081,0.4250089555494763,0.5407722676865553,0.6429527149459088,0.8356964338130421
NEAREST_OBSERVED,MAX_EXPECTED_VARIANCE_REDUCTION,3,0.5347069086482726,140,0.3030234249957477,0.47073866583706253,0.5383779567000543,0.6682040285606246,0.8362494556105339
OFFSET_K3,MAX_ENSEMBLE_SD,3,0.5363087431982595,140,0.3422309919897866,0.4273852345447814,0.5426796589715471,0.6463271516201802,0.8360109243970236
NEAREST_OBSERVED,ORACLE[OFFSET_K1],5,0.5380514717599514,99,0.24455113042542131,0.5300872029318479,0.5003438873552947,0.6724147493414074,0.8320625008179979
NEAREST_OBSERVED,FARTHEST_FROM_EXISTING,5,0.5390173999507482,99,0.2678597082935018,0.5046099064689914,0.5808246793554317,0.6795039715941581,0.8447465647920931
NEAREST_OBSERVED,CENTRAL_THEN_SPREAD,3,0.5392852737342606,140,0.32620443678662875,0.46541727725907966,0.5440580785715808,0.6623914895391948,0.8385755342891055
OFFSET_K3,RANDOM,3,0.540822440086064,140,0.3429811264231121,0.4268999077063566,0.5477371142791753,0.642491895005133,0.8338093694195348
OFFSET_K3,MAX_PREDICTIVE_VARIANCE,2,0.5434530952068637,143,0.3612024932855582,0.41483637600536516,0.5625380610204092,0.648384552308968,0.8324793532126216
OFFSET_K3,MID_ACID,5,0.5441164252283133,99,0.31648037227220244,0.4749827137325101,0.5273911720761018,0.6458839563846159,0.8335763301370628
NEAREST_OBSERVED,MAX_PREDICTIVE_VARIANCE,3,0.5483626295023021,140,0.33629713948447465,0.4715565166266386,0.5446756265693251,0.6635539039429906,0.8335577333175591
OFFSET_K2,MAX_EXPECTED_VARIANCE_REDUCTION,3,0.5507263570282592,140,0.30758404060427313,0.4469249728064726,0.5161308856787079,0.6265997635217845,0.825003076439037
OFFSET_K2,MAX_EXPECTED_VARIANCE_REDUCTION,5,0.5517598053567242,99,0.2583604193328693,0.48607785025110894,0.5306863592519677,0.6294807378261856,0.8171016576204473
OFFSET_K3,FARTHEST_FROM_EXISTING,2,0.5526024191249878,143,0.3735866819201116,0.40899674726297564,0.5663720832746818,0.6402772977425714,0.8298215364047132
OFFSET_K1,ORACLE[OFFSET_K1],5,0.5526913056319799,99,0.20569008833274952,0.5434224256528417,0.39366239799936853,0.6297321897882951,0.8237947654248594
NEAREST_OBSERVED,D_OPTIMAL,5,0.5533122148454758,99,0.27223043690309273,0.5203467992557175,0.5648664418235572,0.6574306257328922,0.8349556692374474
OFFSET_K3,MAX_EXPECTED_VARIANCE_REDUCTION,2,0.5550995026682426,143,0.3596082414193942,0.43629518543184725,0.5146007789537839,0.6299558449915797,0.825094713682549
OFFSET_K2,MAX_ENSEMBLE_SD,5,0.5556379176829255,99,0.27939104677243926,0.48940812869271666,0.5217665969170547,0.6316510676337826,0.8225051838371611
OFFSET_K3,CENTRAL_THEN_SPREAD,2,0.5578818260760579,143,0.3690689197263619,0.430585678310486,0.5274327529784316,0.6311139686223995,0.8217454211554995
OFFSET_K3,CENTRAL,5,0.5583063255986472,99,0.3062297628363036,0.49393212430889216,0.4810030707169909,0.631032145948361,0.8210179237576173
NEAREST_OBSERVED,ORACLE[OFFSET_K1],2,0.5584803811060104,143,0.30377769641439906,0.5218487550838729,0.37047969657949903,0.6515267214550928,0.812151994721127
OFFSET_K2,D_OPTIMAL,5,0.5591630400647805,99,0.28451339465387765,0.4807911178229145,0.5418463685475954,0.6224170603963232,0.8158996090874722
NEAREST_OBSERVED,MAX_CONDITION_COVERAGE,3,0.5597622738125536,140,0.3504137621041043,0.4750048162103768,0.5288478810233584,0.6589605033381699,0.8273668403306963
OFFSET_K2,MAX_PREDICTIVE_VARIANCE,5,0.5600139740848025,99,0.27271468345316496,0.4843711329266356,0.5367596973436335,0.6228475031248687,0.815471739899405
OFFSET_K2,FARTHEST_FROM_EXISTING,5,0.5603399218408796,99,0.2746506034072043,0.48472103947165296,0.5363073344123525,0.6239213925418634,0.8142532639592795
OFFSET_K2,CENTRAL_THEN_SPREAD,5,0.560738646247599,99,0.2795032857083561,0.4857292896687467,0.5334245417119899,0.6249835768158065,0.8158860150819677
NEAREST_OBSERVED,RANDOM,5,0.5619447134754055,99,0.2970544977192973,0.522854361445384,0.5389504351660062,0.6668757992317098,0.8297332289254715
NEAREST_OBSERVED,MIN_ENSEMBLE_SD,5,0.5631017625386583,99,0.2985067492496697,0.5228474226260876,0.5379566172241145,0.6639427775545302,0.8262203487394894
OFFSET_K3,MEDIAN_PREDICTION,5,0.5631047815660825,99,0.33226562127788334,0.486118931748264,0.5160366098710885,0.6404152050376102,0.8202278703439114
OFFSET_K2,MID_ACID,5,0.5636342820062388,99,0.31999402635559304,0.49074031797640016,0.5187848860556887,0.6299176373416073,0.8237316500918824
OFFSET_K2,MIN_ENSEMBLE_SD,5,0.5637044483808683,99,0.28816810359930617,0.49313704186828106,0.5157324321578005,0.6262067634347914,0.8145222273734114
OFFSET_K2,MAX_CONDITION_COVERAGE,5,0.5646843991498607,99,0.27952037499445187,0.4907021648175026,0.5243814053250937,0.6216116828209177,0.8136401349241641
OFFSET_K2,RANDOM,5,0.5652111413858665,99,0.2883796972852202,0.4929106952925618,0.5199931605645963,0.6225712679733915,0.8157861252131986
OFFSET_K3,CENTRAL,3,0.5658221698286848,140,0.35810547337265825,0.4553748288916343,0.493416265775782,0.6207700506994707,0.817964011760285
OFFSET_K2,CENTRAL_THEN_SPREAD,3,0.5664129882989561,140,0.33440843509374946,0.4445244911097542,0.5266431983803738,0.6249155713368203,0.8174006068794372
OFFSET_K3,MEDOID,5,0.5664847580064398,99,0.3181680069845016,0.49921918125811776,0.47468826937618686,0.6249696668198158,0.8176736751379884
OFFSET_K3,MID_ACID,3,0.5667793889903325,140,0.38899496129497196,0.4433655234607837,0.525485731219175,0.6303836712909124,0.8193169525618641
NEAREST_OBSERVED,FARTHEST_FROM_EXISTING,3,0.5668915231184354,140,0.3522053885681875,0.47945634762432743,0.5367799734596875,0.6513873103022523,0.8255620027908221
OFFSET_K2,MAX_PREDICTIVE_VARIANCE,3,0.5693026482037334,140,0.33604134640882566,0.44436168183578106,0.5200092428099774,0.6182368448662711,0.816313896437084
OFFSET_K3,MAX_MODEL_DISAGREEMENT,5,0.5693479443309253,99,0.3436332266268844,0.48033330184736844,0.5124513768334946,0.6353586085142099,0.8133496617083986
NEAREST_OBSERVED,MAX_ENSEMBLE_SD,5,0.5699115705742118,99,0.2938889409939372,0.531000510923038,0.5353093730452471,0.6601673024334949,0.82465970089083
OFFSET_K2,FARTHEST_FROM_EXISTING,3,0.5709735715590408,140,0.3388693251514911,0.44261330325890147,0.5281602051020982,0.6199641795130214,0.8134629636195763
OFFSET_K3,D_OPTIMAL,2,0.5724188501420644,143,0.40070167473345375,0.41387261814890464,0.5661744596680558,0.6315480964355779,0.8195176624322065
OFFSET_K3,MEDOID,3,0.5726333716459436,140,0.3735448551415147,0.4582271637342992,0.49211859880710573,0.6197609942049753,0.8142020252960841
OFFSET_K2,MAX_CONDITION_COVERAGE,3,0.5732661701530252,140,0.3375777279050031,0.4528587742520375,0.5045303466529818,0.6174000451868071,0.8117107758661317
OFFSET_K3,MEDIAN_PREDICTION,3,0.576390312229784,140,0.38538632363907244,0.44990982694043496,0.5141928558648883,0.6288474860359315,0.8129589566065736
OFFSET_K3,MAX_CONDITION_COVERAGE,2,0.5776590793916064,143,0.3862494808037527,0.4424379178173173,0.5050816994408374,0.614616381788008,0.8118561542091096
OFFSET_K2,CENTRAL,5,0.5778910584904942,99,0.3137191594368507,0.5089387181293995,0.4804464476121096,0.6147038102045066,0.8125816080243097
OFFSET_K2,MAX_ENSEMBLE_SD,3,0.5787672277714737,140,0.36410039724707843,0.45459994689879457,0.4970300145231824,0.6164895126644075,0.8136589184524368
OFFSET_K2,MIN_ENSEMBLE_SD,3,0.5790048734415034,140,0.3504405036876572,0.4566409937460344,0.4910666744881013,0.611618401012038,0.8129619097510238
OFFSET_K2,MAX_EXPECTED_VARIANCE_REDUCTION,2,0.5812502616958564,143,0.37243617020811487,0.4537558082941834,0.48375260864305925,0.6106506691910738,0.8109573177016114
NEAREST_OBSERVED,D_OPTIMAL,3,0.5815156022922564,140,0.36147088894233104,0.4963313890120953,0.5265821523984364,0.63793962240378,0.813077985623701
OFFSET_K2,D_OPTIMAL,3,0.5826366654194958,140,0.36582853901305246,0.44052661930266074,0.5305904427314954,0.610408086754605,0.8086992346141084
OFFSET_K2,MEDOID,5,0.5831146283380099,99,0.32641586297108066,0.5105686109451218,0.4768871473448656,0.6125920311920602,0.810773878277263
OFFSET_K3,MIN_ENSEMBLE_SD,2,0.5837432247695885,143,0.3956711757958114,0.440572563348763,0.49683527515405873,0.6148918986386376,0.8121531966114528
OFFSET_K2,RANDOM,3,0.5852521399199587,140,0.3651830056648743,0.4564735045660502,0.4963406691572886,0.6134966072346235,0.8127224052571594
NEAREST_OBSERVED,MID_ACID,5,0.5878356529710131,99,0.3428601372110977,0.5349424543457735,0.4938113265680978,0.6507750163736076,0.8205097638392506
NEAREST_OBSERVED,MIN_ENSEMBLE_SD,3,0.5888194586425153,140,0.38132221747567563,0.49036540911869886,0.5046062522671417,0.6362582892051195,0.8122427903087664
NEAREST_OBSERVED,RANDOM,3,0.5889279207130579,140,0.3775865668566888,0.4929326537345037,0.5028845329327867,0.6393529758413568,0.8103227902965197
OFFSET_K2,CENTRAL,3,0.5900747382630932,140,0.37025923262358246,0.4702869273702918,0.4616509589780279,0.6038199367364671,0.806927936343672
OFFSET_K1,MAX_EXPECTED_VARIANCE_REDUCTION,3,0.5905716650220545,140,0.32361510032272855,0.4800889751402574,0.43026582846849104,0.5915870260490796,0.8072552292101505
OFFSET_K2,MAX_PREDICTIVE_VARIANCE,2,0.5914516020514331,143,0.3887888100902996,0.4413958020391448,0.5128002342539146,0.6106649193845041,0.8084058500264564
OFFSET_K3,MAX_ENSEMBLE_SD,2,0.5918561510340709,143,0.41223116880950933,0.44459151538833624,0.4922081844429285,0.6113654192587138,0.8098838125384605
OFFSET_K3,MAX_MODEL_DISAGREEMENT,3,0.5922848668308357,140,0.4133670491135463,0.4476105748043643,0.5186093788868349,0.6156735301661296,0.8043761798900989
OFFSET_K2,MID_ACID,3,0.5930003548873621,140,0.4018933538743432,0.4586394956425518,0.4864820679334906,0.609505515098671,0.8083413014167797
NEAREST_OBSERVED,MAX_ENSEMBLE_SD,3,0.5942524912452973,140,0.37876613389173486,0.5024578772850161,0.493766723810408,0.6375681614593338,0.8084060230030095
OFFSET_K2,MEDOID,3,0.595177334713556,140,0.3861789498141792,0.47109556820696097,0.459128181065672,0.6039096099152987,0.8042855504843482
OFFSET_K2,CENTRAL_THEN_SPREAD,2,0.5952464706937256,143,0.3878619675541184,0.4523368721076274,0.48635368152831426,0.6061820691620504,0.8017695983032347
OFFSET_K3,RANDOM,2,0.5983510778120484,143,0.41806052548867606,0.4425576237310821,0.4935134373852401,0.6096028956637515,0.8082255562006992
OFFSET_K2,MEDIAN_PREDICTION,5,0.5996000171471152,99,0.3469241760524505,0.5104464025148392,0.491556874405575,0.6134500773083639,0.8001749462328371
OFFSET_K2,FARTHEST_FROM_EXISTING,2,0.601230895205549,143,0.39952095535788373,0.43874224518253085,0.5201959657295183,0.6045731732781403,0.8029735814497037
OFFSET_K1,CENTRAL,3,0.6023754742032363,140,0.37652027450286785,0.4800889751402574,0.43026582846849104,0.594041828253835,0.801901358944313
OFFSET_K1,MAX_EXPECTED_VARIANCE_REDUCTION,2,0.6025368841397325,143,0.3809299397136913,0.47207874317198284,0.43026582846849104,0.5921452818878078,0.8012697484871991
OFFSET_K2,MAX_MODEL_DISAGREEMENT,5,0.6038245377547169,99,0.3606328211538831,0.5051013585776618,0.4964885697315439,0.61023890120409,0.7919234830935
OFFSET_K1,MAX_CONDITION_COVERAGE,3,0.6059421789649371,140,0.3529439612246558,0.4800889751402574,0.43026582846849104,0.5846601882714083,0.7981717387773508
NEAREST_OBSERVED,CENTRAL,5,0.6062102267411391,99,0.3417046488678107,0.552478614560202,0.46213136277421146,0.638324787159029,0.8006284907917373
OFFSET_K2,MAX_CONDITION_COVERAGE,2,0.6064864632674148,143,0.3990796278571315,0.46025354434023763,0.46993537366692867,0.5944537709930483,0.7976899528497381
OFFSET_K1,MEDOID,3,0.6067286789426453,140,0.3923189221634049,0.4800889751402574,0.43026582846849104,0.5946338047136231,0.7993365447539369
OFFSET_K1,MAX_PREDICTIVE_VARIANCE,3,0.6073883299968658,140,0.347843782929216,0.4800889751402574,0.43026582846849104,0.5820378775079009,0.799488299889209
OFFSET_K1,CENTRAL_THEN_SPREAD,3,0.60822639135144,140,0.3518039736256876,0.4800889751402574,0.43026582846849104,0.5854949660725707,0.7990408613390579
OFFSET_K2,MEDIAN_PREDICTION,3,0.6085021211421694,140,0.4032035921124856,0.4684556955066977,0.47420642084766934,0.6041653167584187,0.8000960932964407
OFFSET_K1,MIN_ENSEMBLE_SD,3,0.6090406061614219,140,0.36617018551274916,0.4800889751402574,0.43026582846849104,0.5873596211415114,0.8000506971994863
OFFSET_K1,MAX_ENSEMBLE_SD,3,0.6102141843493198,140,0.3788300065289297,0.4800889751402574,0.43026582846849104,0.5892559610186082,0.7972688388602944
NEAREST_OBSERVED,MID_ACID,3,0.6102413168179499,140,0.4128281111181735,0.5027411700751209,0.46971150564899966,0.6192242130053957,0.8005394173630707
NO_MODEL,ORACLE[OFFSET_K1],2,0.6104597035089729,143,0.31718857221016444,0.5658756496902655,,0.6150364196013295,0.78468891711531
OFFSET_K3,CENTRAL,2,0.6111923639170663,143,0.41254831302785516,0.46605659819698264,0.45279149802760615,0.5990740718345385,0.7966684997882968
OFFSET_K2,MIN_ENSEMBLE_SD,2,0.6117350162273801,143,0.411215975481198,0.45818124482550554,0.47107029868680567,0.5948787361366666,0.7978169801138659
OFFSET_K1,FARTHEST_FROM_EXISTING,3,0.6126272556029811,140,0.35277199918623997,0.4800889751402574,0.43026582846849104,0.5794507073542843,0.7955246055896068
OFFSET_K3,MEDIAN_PREDICTION,2,0.6142893043303659,143,0.43121969632108437,0.45888154833826006,0.4749810908890431,0.6052949750723594,0.7971602751183043
