column,n_a,n_b,mean_a,mean_b,median_a,median_b,mean_diff,diff_lo,diff_hi,diff_p,auc,auc_lo,auc_hi,auc_p,block,auc_q_bh,diff_q_bh
n_doi_series_sum,29,25,5.758620689655173,1.28,2.0,1.0,4.478620689655172,0.48178493619670076,8.366830693770327,0.0004,0.7358620689655172,0.6283266847481787,0.837302380952381,0.0004,geometry,0.0010222222222222221,0.0010222222222222221
n_distinct_doi,29,25,3.896551724137931,2.0,2.0,2.0,1.896551724137931,0.06666666666666687,3.627950043066322,0.0284,0.6896551724137931,0.5,0.8111163522012578,0.054,geometry,0.0828,0.043546666666666664
n_curves,29,25,21.103448275862068,4.4,2.0,1.0,16.703448275862065,0.751303475935829,31.16620829450139,0.0116,0.7096551724137931,0.5745884859625668,0.8057184873949579,0.008,geometry,0.015333333333333332,0.019057142857142856
n_curve_axes,29,25,1.7586206896551724,1.36,1.0,1.0,0.3986206896551723,0.09828431372549007,0.6681980519480517,0.0116,0.603448275862069,0.5069963384060521,0.7297618209963411,0.0356,geometry,0.06298461538461539,0.019057142857142856
log10_n_rows,29,25,1.37428134450738,1.1616363220902957,1.1760912590556813,1.146128035678238,0.21264502241708438,-0.04364646614992592,0.3955622720056026,0.112,0.5813793103448276,0.3904146123937791,0.716002494747899,0.3472,geometry,0.43966315789473687,0.1431111111111111
log10_n_eval,29,25,1.0611585195474968,0.8455639708046944,0.8450980400142568,0.8450980400142568,0.21559454874280248,-0.0439292742754807,0.39817233955927006,0.1108,0.5675862068965517,0.400625,0.7012782738095235,0.3632,geometry,0.43966315789473687,0.1431111111111111
nn_train_tanimoto,29,25,0.5534878019824061,0.5765200278177797,0.5555555555555556,0.6153846153846154,-0.023032225835373565,-0.09589080173546717,0.04385138932527164,0.4844,0.463448275862069,0.2749909855769231,0.6301656314699792,0.7484,geometry,0.7824181818181818,0.5305333333333333
has_axis_acid,29,25,0.7931034482758621,0.32,1.0,0.0,0.4731034482758621,0.24032738095238101,0.6827057453416148,0.002,0.736551724137931,0.6201636904761905,0.8413528726708074,0.002,geometry,0.0041818181818181815,0.0041818181818181815
has_axis_extractant,29,25,0.3103448275862069,0.16,0.0,0.0,0.1503448275862069,-0.0595508658008658,0.3685062196921776,0.1808,0.5751724137931035,0.4702245670995671,0.6842531098460888,0.1808,geometry,0.2446117647058823,0.21886315789473682
has_axis_metal_series,29,25,0.4827586206896552,0.72,0.0,1.0,-0.23724137931034478,-0.5,0.03125306372549015,0.0808,0.3813793103448276,0.25,0.5156265318627451,0.0808,geometry,0.11614999999999999,0.11614999999999999
has_axis_temperature,29,25,0.034482758620689655,0.04,0.0,0.0,-0.005517241379310346,-0.04212860310421286,0.011220196353436185,1.0,0.49724137931034484,0.4789356984478936,0.5056100981767181,1.0,geometry,1.0,1.0
has_axis_contact_time,29,25,0.06896551724137931,0.12,0.0,0.0,-0.051034482758620686,-0.164924506387921,0.01709401709401709,0.4484,0.47448275862068967,0.4175377468060395,0.5085470085470085,0.4484,geometry,0.51566,0.51566
has_axis_metal_concentration,29,25,0.06896551724137931,0.0,0.0,0.0,0.06896551724137931,0.0,0.14285714285714285,0.7004,0.5344827586206896,0.5,0.5714285714285714,0.7004,geometry,0.767104761904762,0.7322363636363637
mech__n_amide_O,29,25,2.2758620689655173,1.88,2.0,2.0,0.39586206896551746,-0.5668344940084069,1.0510635455924262,0.4864,0.5248275862068965,0.3562468839031339,0.6388927512050425,0.72,mechanism,1.0,1.0
mech__n_ester_O,29,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,mechanism,1.0,1.0
mech__n_ketone_O,29,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,mechanism,1.0,1.0
mech__n_ether_O,29,25,1.2413793103448276,0.96,1.0,1.0,0.28137931034482766,-0.6069566462948817,0.8428043831168831,0.4884,0.5627586206896552,0.39999177631578947,0.6906415719696968,0.3932,mechanism,1.0,1.0
mech__n_hydroxyl_O,29,25,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.0,0.14285714285714285,0.7292,0.5172413793103449,0.5,0.5714285714285714,0.7292,mechanism,1.0,1.0
mech__n_phosphoryl_O,29,25,0.034482758620689655,0.08,0.0,0.0,-0.04551724137931035,-0.2833928571428571,0.1111111111111111,0.8148,0.496551724137931,0.43333333333333335,0.5555555555555556,1.0,mechanism,1.0,1.0
mech__n_carboxyl_O,29,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,mechanism,1.0,1.0
mech__n_oxide_O,29,25,0.0,0.04,0.0,0.0,-0.04,-0.15789473684210525,0.0,0.7208,0.48,0.42105263157894735,0.5,0.7208,mechanism,1.0,1.0
mech__n_aromatic_N,29,25,0.5172413793103449,0.92,0.0,0.0,-0.4027586206896552,-1.6923076923076923,0.7037037037037037,0.4964,0.48137931034482756,0.3665296052631579,0.6,0.7592,mechanism,1.0,1.0
mech__n_amine_N,29,25,0.06896551724137931,0.04,0.0,0.0,0.02896551724137931,-0.1045751633986928,0.18333333333333335,0.7084,0.5144827586206897,0.4477124183006536,0.5916666666666667,0.7084,mechanism,1.0,1.0
mech__n_thioether_S,29,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,mechanism,1.0,1.0
mech__n_thiophosphoryl_S,29,25,0.13793103448275862,0.08,0.0,0.0,0.05793103448275862,-0.19999999999999998,0.38235294117647056,0.708,0.5144827586206897,0.45,0.5955882352941176,0.708,mechanism,1.0,1.0
mech__n_thiocarbonyl_S,29,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,mechanism,1.0,1.0
mech__n_O_donor,29,25,3.586206896551724,2.96,3.0,3.0,0.6262068965517242,-0.8358080506450069,1.5442177589852006,0.4756,0.5358620689655172,0.35930194805194804,0.658018068887634,0.6268,mechanism,1.0,1.0
mech__n_N_donor,29,25,0.5862068965517241,0.96,0.0,0.0,-0.3737931034482759,-1.656020450138097,0.733683035714285,0.5268,0.4917241379310345,0.36666666666666664,0.6315181107954544,0.9204,mechanism,1.0,1.0
mech__n_S_donor,29,25,0.13793103448275862,0.08,0.0,0.0,0.05793103448275862,-0.19999999999999998,0.38235294117647056,0.708,0.5144827586206897,0.45,0.5955882352941176,0.708,mechanism,1.0,1.0
mech__n_P,29,25,0.1724137931034483,0.16,0.0,0.0,0.012413793103448284,-0.3078324549846289,0.3783886158886158,0.962,0.5103448275862069,0.4249912196679438,0.6096286231884056,0.8336,mechanism,1.0,1.0
mech__n_donor_total,29,25,4.310344827586207,4.0,3.0,3.0,0.3103448275862073,-1.2411079642430451,1.2596461640211636,0.7196,0.5151724137931034,0.35197989510489514,0.6220847843035343,0.8272,mechanism,1.0,1.0
mech__frac_O_donor,29,25,0.8206075533661741,0.8266666666666665,1.0,1.0,-0.006059113300492469,-0.22457317742643826,0.16939425807146546,0.92,0.4924137931034483,0.33530685001273236,0.6241287110455468,0.8968,mechanism,1.0,1.0
mech__frac_N_donor,29,25,0.13505747126436782,0.15999999999999998,0.0,0.0,-0.024942528735632158,-0.19687550529549683,0.1640780099581544,0.7908,0.4924137931034483,0.3649914095371669,0.6301025623551859,0.9244,mechanism,1.0,1.0
mech__frac_S_donor,29,25,0.04433497536945812,0.013333333333333332,0.0,0.0,0.03100164203612479,-0.030724314182194613,0.15152763902763886,0.5084,0.5144827586206897,0.45,0.5967741935483871,0.712,mechanism,1.0,1.0
mech__softness_mean,29,25,0.2585796387520526,0.24807619047619048,0.16666666666666666,0.16666666666666666,0.01050344827586211,-0.0767229437229437,0.13311107862248184,0.8228,0.4703448275862069,0.3125,0.6390552861460788,0.746,mechanism,1.0,1.0
mech__formal_charge,29,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,mechanism,1.0,1.0
mech__n_acidic_H,29,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,mechanism,1.0,1.0
mech__is_neutral_extractant,29,25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,mechanism,1.0,1.0
mech__denticity_proxy,29,25,4.206896551724138,4.0,3.0,3.0,0.2068965517241379,-1.2476242690058483,1.0757652590816889,0.8064,0.5144827586206897,0.3519196428571429,0.6216442550505049,0.8348,mechanism,1.0,1.0
mech__n_chelate_pairs,29,25,3.413793103448276,3.6,2.0,2.0,-0.1862068965517243,-2.453050813433878,1.3611134336677815,0.856,0.5324137931034483,0.3850886006576544,0.6532120776732844,0.624,mechanism,1.0,1.0
mech__donor_dist_min,29,25,2.9655172413793105,3.04,3.0,3.0,-0.07448275862068954,-0.5556190476190478,0.3406655844155844,0.7224,0.4793103448275862,0.34605141325536065,0.6041666666666666,0.714,mechanism,1.0,1.0
mech__donor_dist_mean,29,25,5.301433049708911,5.091428571428571,4.0,4.0,0.2100044782803403,-1.1700054451605204,1.1356848518277072,0.9056,0.4786206896551724,0.25432366211859075,0.5985681369321922,0.754,mechanism,1.0,1.0
mech__ring_count,29,25,1.1379310344827587,1.4,1.0,0.0,-0.26206896551724124,-1.5100018315018313,1.0,0.6412,0.5041379310344828,0.3333268633540373,0.671742527173913,0.9836,mechanism,1.0,1.0
mech__frac_rotatable,29,25,0.6157729856925895,0.5656907373690647,0.6976744186046512,0.6896551724137931,0.050082248323524814,-0.10317497574573745,0.2132723132234384,0.4848,0.5248275862068965,0.33520495495495495,0.7347607600732595,0.7436,mechanism,1.0,1.0
mech__heavy_atoms,29,25,41.827586206896555,39.12,34.0,42.0,2.7075862068965577,-9.082658569500673,10.908029562631507,0.6764,0.4820689655172414,0.2742387308184143,0.6348191894312581,0.8784,mechanism,1.0,1.0
mech__crippen_logp,29,25,8.363237931034478,8.216244799999997,8.046400000000009,7.6076000000000095,0.1469931310344812,-2.8656688534798445,2.6930807249589352,0.8812,0.5006896551724138,0.2901681158574541,0.6942508084800569,0.9364,mechanism,1.0,1.0
mech__tpsa,29,25,71.60965517241378,62.881600000000006,49.85,49.85,8.728055172413775,-16.951924603174618,26.06239372574833,0.6348,0.5344827586206896,0.3537488425925926,0.6560032258064515,0.6536,mechanism,1.0,1.0
mech__hbd,29,25,0.6206896551724138,0.16,0.0,0.0,0.4606896551724138,0.047619047619047616,0.7886829080903373,0.0264,0.5820689655172414,0.52,0.6577657216580105,0.0276,mechanism,0.9936,0.9504
mech__hba,29,25,4.310344827586207,4.0,3.0,3.0,0.3103448275862073,-1.2411079642430451,1.2596461640211636,0.7196,0.5151724137931034,0.35197989510489514,0.6220847843035343,0.8272,mechanism,1.0,1.0
