regime,comparison,reference,candidate,point_delta_mae,ci95_low,ci95_high,p_worse_one_sided,groups_improved,groups_total,bootstrap_unit,bootstrap_replicates
unseen_conditions,MC_ecfp_vs_MC_all2d@ridge,MC_ecfp,MC_all2d@ridge,-0.2742828148606989,-0.3862467163761175,-0.16741657465659515,1.0,15,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_MC_ecfp_SHUF,MC_ecfp,MC_ecfp_SHUF,-0.2561546550720214,-0.3644685021808949,-0.14803073907602282,1.0,18,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_MC_lig2d_ext_SHUF,MC_ecfp,MC_lig2d_ext_SHUF,-0.2645640534878505,-0.36913113575134254,-0.1587396464955421,1.0,14,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_MC_donors_SHUF,MC_ecfp,MC_donors_SHUF,-0.2364355333547049,-0.3473698327811628,-0.13078819028680655,1.0,19,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_MC_cond_SHUF,MC_ecfp,MC_cond_SHUF,-0.638069836838755,-0.8123041830784756,-0.46846819574126974,1.0,15,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_NULL_metal_mean,MC_ecfp,NULL_metal_mean,-0.520180044184861,-0.7002012781892719,-0.345593246784832,1.0,16,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_NULL_global_mean,MC_ecfp,NULL_global_mean,-0.5413944967886652,-0.7273135627122013,-0.3544343302176039,1.0,18,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_NULL_extractant_mean,MC_ecfp,NULL_extractant_mean,-0.25173139100065617,-0.38854030586213406,-0.12049811285912854,0.9998000399920016,19,74,ecfp_cluster,5000
unseen_conditions,MC_ecfp_vs_NULL_nearest_condition,MC_ecfp,NULL_nearest_condition,-0.06858414585872587,-0.20088740183116005,0.056723355925360215,0.8594281143771246,34,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_A_metal,MC_ecfp,A_metal,-0.38246234099231474,-0.5260351420554534,-0.24151855312806456,1.0,20,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_A_cond,MC_ecfp,A_cond,-0.09203107990123827,-0.19251038337690657,0.01481361217892079,0.9574085182963408,35,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_A_physchem,MC_ecfp,A_physchem,-0.17577395321215752,-0.283050142493144,-0.06601804673926841,0.9984003199360127,27,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_A_ecfp,MC_ecfp,A_ecfp,-0.2042053468554746,-0.28838782337737595,-0.11785905195661787,1.0,20,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_A_lig2d_ext,MC_ecfp,A_lig2d_ext,-0.12915852440740602,-0.22211557921877859,-0.03147297824922676,0.99500099980004,26,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_A_donors,MC_ecfp,A_donors,-0.17766246473889644,-0.28802857645187224,-0.06637457510373482,0.9992001599680064,23,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_A_complex_phys,MC_ecfp,A_complex_phys,-0.2016482935247053,-0.31082877639825074,-0.09077614416996184,0.9998000399920016,22,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_A_polyhedron,MC_ecfp,A_polyhedron,-0.23437429638208268,-0.3505702006840812,-0.12124544460812438,1.0,23,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_MC,MC_ecfp,MC,-0.04823699325553364,-0.1443638490513093,0.04971884123031552,0.8326334733053389,36,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_MC_physchem,MC_ecfp,MC_physchem,0.011007513451683491,-0.06333000522931989,0.08596029383529295,0.3775244951009798,38,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_MC_lig2d_ext,MC_ecfp,MC_lig2d_ext,0.07463780680660963,0.0031268693618520314,0.14942033227175938,0.020395920815836834,46,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_MC_donors,MC_ecfp,MC_donors,0.03592309346570242,-0.04141832711603761,0.1153207758213355,0.1863627274545091,41,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_MC_complex_phys,MC_ecfp,MC_complex_phys,-0.061742492392734966,-0.13369330315308467,0.011668165679125002,0.9528094381123775,30,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_MC_polyhedron,MC_ecfp,MC_polyhedron,-0.08918574821088546,-0.16048484035019808,-0.01527835026301778,0.9914017196560688,23,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_MC_all2d,MC_ecfp,MC_all2d,0.036383766588019395,-0.014409351730744488,0.09083155764791816,0.08618276344731053,43,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_MC_all3d,MC_ecfp,MC_all3d,-0.06529157771287183,-0.14025147145399974,0.012557758395263947,0.9522095580883824,31,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_MC_everything,MC_ecfp,MC_everything,0.023256221497703875,-0.030865711315971288,0.08221434658438831,0.20655868826234752,43,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_MC@hgb,MC_ecfp,MC@hgb,-0.024763088758397004,-0.12083144866938755,0.07045026470679452,0.7038592281543691,36,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_MC@ridge,MC_ecfp,MC@ridge,-0.1884721500239951,-0.27090166527495924,-0.10539486454654072,1.0,18,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_MC_ecfp@hgb,MC_ecfp,MC_ecfp@hgb,0.02371658821001955,-0.03765975797963699,0.08607580371638462,0.22435512897420515,40,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_MC_ecfp@ridge,MC_ecfp,MC_ecfp@ridge,-0.16625821421799983,-0.25323386235341994,-0.07701119660445953,1.0,21,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_MC_lig2d_ext@hgb,MC_ecfp,MC_lig2d_ext@hgb,0.05009822390189046,-0.031380359313397485,0.1309168976875046,0.11197760447910418,47,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_MC_lig2d_ext@ridge,MC_ecfp,MC_lig2d_ext@ridge,-0.35840927649678145,-0.5427707948629321,-0.19349989642370674,1.0,20,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_MC_all2d@hgb,MC_ecfp,MC_all2d@hgb,0.05615811418045056,-0.023648323199950524,0.13593611052755109,0.08078384323135374,48,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_MC_all2d@ridge,MC_ecfp,MC_all2d@ridge,-0.1615813620549215,-0.2515464420688746,-0.06883044253092761,0.9996000799840032,22,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_MC_ecfp_SHUF,MC_ecfp,MC_ecfp_SHUF,-0.10521025295623275,-0.1919825090186617,-0.018123145390704597,0.9896020795840832,30,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_MC_lig2d_ext_SHUF,MC_ecfp,MC_lig2d_ext_SHUF,-0.11660823713619829,-0.1995468489645167,-0.036266600778122854,0.9982003599280144,26,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_MC_donors_SHUF,MC_ecfp,MC_donors_SHUF,-0.08452267292077206,-0.17303442445072081,0.00133595968449246,0.973005398920216,31,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_MC_cond_SHUF,MC_ecfp,MC_cond_SHUF,-0.5221725163119514,-0.6594661755604564,-0.3901112908347054,1.0,14,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_NULL_metal_mean,MC_ecfp,NULL_metal_mean,-0.41439151591153284,-0.5660652726311789,-0.2715057946590894,1.0,20,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_NULL_global_mean,MC_ecfp,NULL_global_mean,-0.4333559238123398,-0.5847482526910048,-0.2752173710535953,1.0,19,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_NULL_extractant_mean,MC_ecfp,NULL_extractant_mean,-0.4333559238123398,-0.5961790323169062,-0.2820321126418475,1.0,19,74,ecfp_cluster,5000
unseen_ligand,MC_ecfp_vs_NULL_nearest_condition,MC_ecfp,NULL_nearest_condition,-0.4333559238123398,-0.5913934464993982,-0.2782849639546058,1.0,19,74,ecfp_cluster,5000
