model,axis_label,n_curves,n_curves_guarded,n_ligands,slope_true_median,slope_pred_median,slope_mae,slope_mae_median,slope_ratio_median,slope_pearson,slope_spearman,slope_sign_agree,span_true_median,span_pred_median,span_recovery_median,span_recovery_median_unguarded,span_recovery_q25,span_recovery_q75,compression_median,shape_mae,shape_mae_median,within_curve_spearman,within_curve_sign_accuracy,row_mae,n_distinct_pred_median,n_distinct_true_median,step_share_pred_median,linear_r2_pred_median,linear_r2_true_median
GEN10_SET_MEAN,metal_series,1605,1210,84,0.08443469855079262,0.055371167332799454,0.0934212157042896,0.076344325281801,0.3895935018968518,0.3087064453331423,0.320290799608229,0.7595015576323988,1.0261096605744122,0.6350752711296082,0.4741307665172234,0.5535481478338785,0.26900062940686287,0.8386774403927739,0.4764212848471504,0.30640064872361045,0.2651321396018951,0.44069240894932954,0.7041749250545036,1.0861081975993,8.0,8.0,1.0,0.8897666360594125,0.8742223263723046
GEN10_SET_MEAN,temperature,160,160,5,-0.04032650561688559,0.0019035287595530544,0.0405509223469508,0.04333844909152485,-0.04341342336415102,0.12031824630524676,0.12298492011403153,0.40625,1.1765941508309075,0.26365803632320506,0.24588868663745192,0.24588868663745192,0.10606113114236555,0.4469990208082232,0.2627687965340547,0.4227906325426668,0.4264792652657885,-0.024103389124356323,0.5051041666666667,1.249298291997881,4.0,4.0,1.0,0.5333333333333319,0.9893613987029377
GEN9_A0_ROW_ONLY,acid,2105,1950,68,1.6557758087863772,0.38014228586656473,1.573632831690856,1.3167312845274695,0.17580767090810137,0.1804960024085286,0.2133011714762599,0.833729216152019,1.9269282814614344,0.46189053,0.22155679458756816,0.23817541518393792,0.12551381959878583,0.36935482895826655,0.21860539049810823,0.5959568777329679,0.5422527795547307,0.6237437865208048,0.7999855077347705,1.2757725301203773,5.0,5.0,1.0,0.9470198525344138,0.917337219586492
GEN9_A0_ROW_ONLY,contact_time,40,0,8,0.00014296899524398737,2.2344604124314783e-17,0.001590831783721304,0.0007401060706645178,0.029231124085575808,0.2854154414539576,0.5085688642824475,0.8,0.06287846248431395,0.017727335499999997,,0.059636278672119514,,,,0.03941835843327689,0.02491240078312181,0.20373406519139997,0.5533333333333333,1.9591603845672707,3.0,5.0,0.6,0.48523033936179816,0.1646628381999693
GEN9_A0_ROW_ONLY,extractant,775,775,25,2.573675226299942,0.10782603015388033,2.4439657529087198,2.339783220448659,0.043137629588542836,-0.0012953738774483428,-0.17323756645964394,0.8838709677419355,2.073913043478258,0.09307970999999993,0.04644511481739399,0.04644511481739399,0.018897339317352154,0.0829011477785474,0.04896026190879742,0.6662629248967843,0.5834469208871259,0.691652254394124,0.822923825278664,1.2206655594806421,5.0,5.0,1.0,0.8536828099550392,0.9940258395786431
GEN9_A0_ROW_ONLY,metal_concentration,45,30,4,-1.1226193871745382,-0.00041611708824528887,0.8496701789077875,1.1185152195740937,0.0017067319335272737,0.07700043360494738,0.03313511552031433,0.5555555555555556,0.72923076923077,0.006984108000000017,0.010897703197282699,0.015195555053999088,0.0034017827697843967,0.025048775212475536,0.010885138832140458,0.2651651999445861,0.22869910686538455,0.08519835124613408,0.5392158041667846,0.5525907865070766,6.0,8.0,0.8333333333333334,0.5608896733453907,0.7515429813530872
GEN9_A0_ROW_ONLY,metal_series,1605,1210,84,0.08443469855079262,0.044390836829882985,0.09401197240775981,0.08125226522875942,0.3119933048400828,0.3648604373649872,0.3829345800291866,0.7806853582554517,1.0261096605744122,0.4867136729999999,0.37776992312640684,0.4389345164110066,0.23014353108025973,0.5854128099885655,0.3781117094611297,0.2976969527362266,0.2407243121416207,0.49780783116816296,0.7272565586186797,1.0966585730744929,8.0,8.0,1.0,0.8278321207720577,0.8742223263723046
GEN9_A0_ROW_ONLY,temperature,160,160,5,-0.04032650561688559,0.0,0.038361391870903476,0.04044036932942144,0.0,-0.10999505797296709,-0.03897763102668089,0.49375,1.1765941508309075,0.0684819445,0.058980234553815056,0.058980234553815056,0.01996735568780316,0.09951755049554169,0.06672394517827582,0.38947553403340285,0.3819523404759144,0.11551598924193882,0.5877083333333333,1.2379727215188445,3.0,4.0,0.6,0.599748533385414,0.9893613987029377
GEN9_A1_ADJ_d05,acid,2105,1950,68,1.6557758087863772,0.43213839039278323,1.547899138046538,1.226732013055565,0.20734754408849843,0.1574484715749653,0.17212626408364226,0.8223277909738718,1.9269282814614344,0.5932939190000001,0.2821417386605821,0.30196158991780664,0.16161488733713347,0.49563090570704826,0.2782551991825143,0.5968595209123935,0.549603323989668,0.5657820195528609,0.7650130676090032,1.2733702319518148,5.0,5.0,1.0,0.8811582956125907,0.917337219586492
GEN9_A1_ADJ_d05,contact_time,40,0,8,0.00014296899524398737,8.9478140536824e-17,0.003542903749412224,0.0006578222215723199,5.089480212213434e-14,-0.030718406257594057,0.1446369644058525,0.65,0.06287846248431395,0.02653305750000002,,0.06424186278371656,,,,0.06128145224436815,0.026118146590986196,0.17485129433415342,0.5538088768115942,1.880690816820718,3.0,5.0,0.6,0.46369100793562035,0.1646628381999693
