arm,feature_set,split_seed,fold,n_train_rows,n_train_extractants,n_train_ecfp_clusters
EXPANDED_SHUFFLED,MC_donors,155921,0,1548,96,87
BASE,MC_donors,155921,1,4485,74,61
EXPANDED,MC_donors,155921,1,4828,130,113
EXPANDED_ROWMATCHED,MC_donors,155921,1,4485,130,113
EXPANDED_SHUFFLED,MC_donors,155921,1,4828,130,113
BASE,MC_donors,155921,2,4717,83,67
EXPANDED,MC_donors,155921,2,5009,132,112
EXPANDED_ROWMATCHED,MC_donors,155921,2,4717,132,112
EXPANDED_SHUFFLED,MC_donors,155921,2,5009,132,112
BASE,MC_donors,155921,3,4415,82,65
EXPANDED,MC_donors,155921,3,4729,133,112
EXPANDED_ROWMATCHED,MC_donors,155921,3,4415,133,112
EXPANDED_SHUFFLED,MC_donors,155921,3,4729,133,112
BASE,MC_donors,155921,4,4618,73,57
EXPANDED,MC_donors,155921,4,4878,117,100
EXPANDED_ROWMATCHED,MC_donors,155921,4,4618,117,100
EXPANDED_SHUFFLED,MC_donors,155921,4,4878,117,100
BASE,MC_donors,196613,0,1215,44,41
EXPANDED,MC_donors,196613,0,1486,88,81
EXPANDED_ROWMATCHED,MC_donors,196613,0,1215,88,81
EXPANDED_SHUFFLED,MC_donors,196613,0,1486,88,81
BASE,MC_donors,196613,1,4494,80,63
EXPANDED,MC_donors,196613,1,4793,131,111
EXPANDED_ROWMATCHED,MC_donors,196613,1,4494,131,111
EXPANDED_SHUFFLED,MC_donors,196613,1,4793,131,111
BASE,MC_donors,196613,2,4564,80,64
EXPANDED,MC_donors,196613,2,4903,135,115
EXPANDED_ROWMATCHED,MC_donors,196613,2,4564,135,115
EXPANDED_SHUFFLED,MC_donors,196613,2,4903,135,115
BASE,MC_donors,196613,3,4817,86,69
EXPANDED,MC_donors,196613,3,5093,132,112
EXPANDED_ROWMATCHED,MC_donors,196613,3,4817,132,112
EXPANDED_SHUFFLED,MC_donors,196613,3,5093,132,112
BASE,MC_donors,196613,4,4434,74,59
EXPANDED,MC_donors,196613,4,4717,122,105
EXPANDED_ROWMATCHED,MC_donors,196613,4,4434,122,105
EXPANDED_SHUFFLED,MC_donors,196613,4,4717,122,105
BASE,MC_donors,262147,0,4598,78,62
EXPANDED,MC_donors,262147,0,4929,133,113
EXPANDED_ROWMATCHED,MC_donors,262147,0,4598,133,113
EXPANDED_SHUFFLED,MC_donors,262147,0,4929,133,113
BASE,MC_donors,262147,1,968,47,42
EXPANDED,MC_donors,262147,1,1199,88,82
EXPANDED_ROWMATCHED,MC_donors,262147,1,968,88,82
EXPANDED_SHUFFLED,MC_donors,262147,1,1199,88,82
BASE,MC_donors,262147,2,4689,79,62
EXPANDED,MC_donors,262147,2,4983,128,108
EXPANDED_ROWMATCHED,MC_donors,262147,2,4689,128,108
EXPANDED_SHUFFLED,MC_donors,262147,2,4983,128,108
BASE,MC_donors,262147,3,4739,84,67
EXPANDED,MC_donors,262147,3,5048,133,112
EXPANDED_ROWMATCHED,MC_donors,262147,3,4739,133,112
EXPANDED_SHUFFLED,MC_donors,262147,3,5048,133,112
BASE,MC_donors,262147,4,4530,76,63
EXPANDED,MC_donors,262147,4,4833,126,109
EXPANDED_ROWMATCHED,MC_donors,262147,4,4530,126,109
EXPANDED_SHUFFLED,MC_donors,262147,4,4833,126,109
