feature,importance
base__ecfp_1283,0.0006668374636842744
base__ecfp_1800,0.0006660084996127527
delta3d__feat3d__polyhedron__donor_atomic_number_05,0.0006591656328898648
missingindicator_delta3d__feat3d__polyhedron__donor_angle_07_09_deg,0.0006339757006622055
delta3d__feat3d__polyhedron__donor_atomic_number_08,0.0006226092660002283
base__ecfp_670,0.000612424908136511
base__ecfp_1225,0.000609912493556917
base__ecfp_298,0.000608067337712434
base__ecfp_59,0.0005783649767617094
base__ecfp_1737,0.0005756898141032816
base__ecfp_254,0.000561959526472874
base__ecfp_1180,0.0005607990174025638
base__ecfp_593,0.0005604459792095182
base__ecfp_2018,0.000547955546963936
base__cond__diluent__kerosene_with_40_vol_1_octanol,0.0005432753193551184
base__ecfp_802,0.0005411807933703521
base__ecfp_1391,0.0005325098303108046
base__ecfp_1799,0.0005287846322914884
base__ecfp_1587,0.0005168813036004244
base__ecfp_1722,0.0005149786627769453
base__ecfp_145,0.0005074088069460598
base__ecfp_334,0.0005031676010698573
missingindicator_delta3d__feat3d__polyhedron__donor_angle_08_09_deg,0.0004923811755228513
base__RingCount,0.0004922661747297051
base__ecfp_1896,0.0004874925864145486
base__ecfp_1237,0.0004865095547064952
base__ecfp_1013,0.0004860551293829475
base__ecfp_419,0.00048506892431410725
base__ecfp_1357,0.0004843403607387862
base__ecfp_932,0.0004824723827346321
base__ecfp_1427,0.0004722106442532047
delta3d__feat3d__polyhedron__donor_atomic_number_04,0.0004667044920930679
missingindicator_delta3d__feat3d__polyhedron__donor_atomic_number_09,0.0004620071515453503
base__ecfp_855,0.0004578263323676619
base__ecfp_1059,0.00045642958602588147
base__ecfp_926,0.00045527364903043743
base__ecfp_1860,0.00045446813581144057
base__ecfp_1920,0.0004491134138663639
base__ecfp_438,0.0004431703093468269
base__ecfp_157,0.0004376651110301545
base__cond__diluent__isopar_l_0_7_exxal_13_0_3,0.00043506055121882094
base__ecfp_1145,0.0004331504721185279
base__ecfp_487,0.0004317120075123652
base__ecfp_1652,0.00042491822815750356
base__ecfp_1385,0.00042041658797123605
base__cond__diluent__dichloromethane,0.00040905290028171335
base__ecfp_389,0.0004013058686686707
base__ecfp_1691,0.00039990752042798013
missingindicator_delta3d__feat3d__polyhedron__donor_angle_05_09_deg,0.0003966800562141737
base__ecfp_351,0.0003933045839759238
base__ecfp_241,0.00038612398413525266
base__cond__acid__malonic_acid,0.00038430853532396423
