extractant,max_tanimoto,nearest_chemotype,chemotypes,n_chemotypes_linked,is_new_chemistry
CCCCCCOc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,0.7058823529411765,tan055,tan055,1,False
CCCCCCCCCCCCOc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,0.7058823529411765,tan055,tan055,1,False
CCCCCC(C)Oc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,0.625,tan055,,0,True
CCCCCCCCN(C)C(=O)COCC(=O)N(C)Cc1cccc(CN(C)C(=O)COCC(=O)N(C)CCCCCCCC)c1,0.6578947368421053,tan055,,0,True
CCCCN(CCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCC)CCCC,0.9117647058823529,tan055,tan055,1,False
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1.0,tan055,tan055,1,False
CCCCN(CCCC)C(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)N(CCCC)CCCC,0.9117647058823529,tan055,tan055,1,False
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1.0,tan055,tan055,1,False
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCOCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.868421052631579,tan055,tan055,1,False
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,1.0,tan055,tan055,1,False
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,1.0,tan050,tan050,1,False
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,1.0,tan055,tan055,1,False
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,1.0,tan055,tan055,1,False
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,1.0,tan074,tan074,1,False
O=C(COCC(=O)N(c1ccccc1)c1ccccc1)N(c1ccccc1)c1ccccc1,0.6551724137931034,tan074,,0,True
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,1.0,tan045,tan045,1,False
CCCCCCCCCCCCNC(=O)c1cc(=O)cc(C(=O)NCCCCCCCCCCCC)o1,1.0,tan041,tan041,1,False
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,1.0,tan037,tan037,1,False
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,1.0,tan067,tan067,1,False
CCCCCCCCN(CCCCCCCC)C(=O)COC(C)C(=O)N(CCCCCCCC)CCCCCCCC,1.0,tan068,tan068,1,False
CCCCCCCCN(CCCCCCCC)C(=O)COC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,1.0,tan065,tan065,1,False
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,1.0,tan066,tan066,1,False
CCCCCCCCN(CCCCCCCC)C(=O)C1CCC(C(=O)N(CCCCCCCC)CCCCCCCC)O1,1.0,tan044,tan044,1,False
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,1.0,tan052,tan052,1,False
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,1.0,tan055,tan055,1,False
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,1.0,tan063,tan063,1,False
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,0.6923076923076923,tan063,,0,True
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,1.0,tan069,tan069,1,False
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,1.0,tan069,tan069,1,False
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,1.0,tan067,tan067,1,False
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,1.0,tan067,tan067,1,False
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,1.0,tan069,tan069,1,False
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,1.0,tan069,tan069,1,False
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,1.0,tan067,tan067,1,False
CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,1.0,tan017,tan017,1,False
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,1.0,tan019,tan019,1,False
CCCCCCCCN(CCCCCCCC)C(=O)CCOCCC(=O)N(CCCCCCCC)CCCCCCCC,0.6774193548387096,tan055,,0,True
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCOCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.7142857142857143,tan055,tan055,1,False
CCCCCCCCN(CCCCCCCC)C(=O)CNCC(=O)N(CCCCCCCC)CCCCCCCC,0.7307692307692307,tan049,tan049,1,False
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)Cc1ccccc1,0.6470588235294118,tan050,,0,True
CCCCCCCCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,0.88,tan050,tan050,1,False
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,0.5714285714285714,tan050,,0,True
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)C(C)=O,0.7142857142857143,tan050,tan050,1,False
c1cc(-n2cccn2)nc(-n2cccn2)c1,0.4666666666666667,tan009,,0,True
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc(C(=O)N(CCCCCCCC)CCCCCCCC)o1,0.6,tan075,,0,True
Cc1cc(C)n(-c2cccc(-n3nc(C)cc3C)n2)n1,1.0,tan011,tan011,1,False
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,0.8055555555555556,tan019,tan019,1,False
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,0.4666666666666667,tan037,,0,True
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1,0.717948717948718,tan078,tan078,1,False
O=C(c1ccccc1)c1ccc2ccccc2n1,1.0,tan088,tan088,1,False
CCCCCCCCOc1cc(C(=O)Nc2ccc(C(C)(C)C)cc2)nc(C(=O)Nc2ccc(C(C)(C)C)cc2)c1,0.6538461538461539,tan034,,0,True
CCCCCCCCOc1cc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)nc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)c1,1.0,tan034,tan034,1,False
CCCCCCCCCCCCNCC(=O)c1cccc(C(=O)CNCCCCCCCCCCCC)n1,0.37735849056603776,tan082,,0,True
CCCCCCCCCCCCNC(=O)c1cc(OC)ccn1,0.4375,tan041,,0,True
CCCCCCCCNC(=O)c1cc(Cl)ccn1,0.45652173913043476,tan041,,0,True
CCCCCCCCNC(=O)c1cc(OC)ccn1,0.4375,tan041,,0,True
CCCCCCCCNC(=O)c1cnccn1,0.45454545454545453,tan041,,0,True
Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,1.0,tan009,tan009,1,False
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,0.3541666666666667,tan037,,0,True
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,1.0,tan020,tan020,1,False
CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,1.0,tan021,tan021,1,False
CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,1.0,tan022,tan022,1,False
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc(C(=O)N(CCCCCCCC)CCCCCCCC)s1,1.0,tan075,tan075,1,False
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc(C(=S)N(CCCCCCCC)CCCCCCCC)s1,1.0,tan076,tan076,1,False
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,1.0,tan019,tan019,1,False
CCCCCCCCCCCCOCc1cc(-n2cccn2)nc(-n2cccn2)c1,1.0,tan007,tan007,1,False
CCCCCCCCCCCCOCc1cc(-n2ccc(C)n2)nc(-n2ccc(C)n2)c1,0.6382978723404256,tan007,,0,True
CCCCCCCCn1cc(-c2cc(CC(=O)O)cc(-c3cn(CCCCCCCC)nn3)n2)nn1,1.0,tan094,tan094,1,False
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,1.0,tan078,tan078,1,False
Cc1cc(Br)ccc1NC(=O)CCl,0.20930232558139536,tan073,,0,True
CCCCP(=S)(CCCC)CP(=S)(CCCC)CCCC,1.0,tan027,tan027,1,False
CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,1.0,tan029,tan029,1,False
CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,1.0,tan028,tan028,1,False
CCOP(=S)(COCP(=S)(OCC)OCC)OCC,1.0,tan031,tan031,1,False
CCCCOP(=S)(COCP(=S)(OCCCC)OCCCC)OCCCC,1.0,tan030,tan030,1,False
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,1.0,tan079,tan079,1,False
Cc1ccn(-c2cncc(-n3ccc(C)n3)n2)n1,0.6785714285714286,tan009,,0,True
Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,1.0,tan018,tan018,1,False
S=P(COCP(=S)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,1.0,tan096,tan096,1,False
Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,1.0,tan012,tan012,1,False
CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,1.0,tan060,tan060,1,False
CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,1.0,tan059,tan059,1,False
CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(OCCCC)OCCCC,1.0,tan064,tan064,1,False
CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(CCCC)CCCC,1.0,tan051,tan051,1,False
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,1.0,tan018,tan018,1,False
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,1.0,tan017,tan017,1,False
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1.0,tan055,tan055,1,False
CCCCOP(=O)(OCCCC)OCCCC,0.52,tan089,,0,True
CCCCCCCCN(CCCCCCCC)C(=O)CO,1.0,tan049,tan049,1,False
CCCCCCCC(=O)N(CCCCCC)CCCCCC,0.72,tan049,tan049,1,False
O=C(O)CSCC(=O)O,0.24,tan005,,0,True
CCCCCCCCN(CCCCCCCC)C(=O)CN(C)CC(=O)N(CCCCCCCC)CCCCCCCC,0.7407407407407407,tan050,tan050,1,False
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,1.0,tan046,tan046,1,False
CCCCCCCCCCCCCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,0.9259259259259259,tan046,tan046,1,False
CCCCN(CCCC)C(=O)CCC,0.8571428571428571,tan049,tan049,1,False
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,0.6176470588235294,tan052,,0,True
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,0.65625,tan052,,0,True
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC,0.7741935483870968,tan055,tan052|tan055,2,False
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,0.6,tan052,,0,True
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,0.71875,tan052,tan052,1,False
CCCCCC(=O)N(CCCC)CCCC,0.8181818181818182,tan049,tan049,1,False
CCCCCCN(CCCCCC)C(=O)CCCCC,0.72,tan049,tan049,1,False
CCCCC(CC)C(=O)N(CCCC)CCCC,0.4857142857142857,tan069,,0,True
CCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.696969696969697,tan052,,0,True
CCCCCCN(CCCCCC)C(=O)C(CC)CCCC,0.5882352941176471,tan069,,0,True
CCCCCCCCN(CCCCCCCC)C(=O)CCCCCCC,0.72,tan049,tan049,1,False
CCCCCCCCCC(=O)N(CCCCCC)CCCCCC,0.72,tan049,tan049,1,False
CCCCCCN(CCCCCC)C(=O)CCC,0.72,tan049,tan049,1,False
CCCCCCN(CCCCCC)C(=O)C(C)C,0.6896551724137931,tan067,,0,True
CCCCCCCCN(CCCCCCCC)C(=O)CCC,0.72,tan049,tan049,1,False
CCCCCCCCN(CCCCCCCC)C(=O)C(C)C,0.6896551724137931,tan067,,0,True
CCCCCCN(C=O)CCCCCC,0.42857142857142855,tan049,,0,True
CCCCN(CCCC)C(C)=O,0.6086956521739131,tan049,,0,True
CCCCN(CCCC)C(=O)CC,0.7272727272727273,tan049,tan049|tan055,2,False
CCCCN(CCCC)C(=O)C(C)C,0.5666666666666667,tan067,,0,True
CCCCN(CCCC)C(=O)C(C)(C)C,0.5384615384615384,tan049,,0,True
CCCC(=O)N(CC(C)C)CC(C)C,0.5555555555555556,tan063,,0,True
CC(C)CN(CC(C)C)C(=O)C(C)C,0.5,tan063,,0,True
CCCCCCCCCC(=O)N(C)C,0.5,tan053,,0,True
CCCCCCCCCC(=O)N(CC)CC,0.5384615384615384,tan049,,0,True
CCCCCC(=O)N(C(C)CC)C(C)CC,0.41025641025641024,tan071,,0,True
CCCCCCCCCCCC(=O)N(CC)CC,0.5384615384615384,tan049,,0,True
CCCCCCCCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.6764705882352942,tan052,,0,True
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC(C)(C)C,0.6571428571428571,tan052,,0,True
CCCCCCCCN(CCCCCCCC)C(=O)C(CC)CCCC,0.5882352941176471,tan069,,0,True
CCCCCC(CC)C(=O)N(CC(C)C)CC(C)C,0.45,tan055,,0,True
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,1.0,tan067,tan067,1,False
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,1.0,tan067,tan067,1,False
CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,1.0,tan055,tan055,1,False
CCCCN(CCCC)C(=O)COCC(=O)NCCNC(=O)COCC(=O)N(CCCC)CCCC,0.8,tan055,tan055,1,False
CCCCCCN(CCCCCC)C(=O)COCC(=O)NCCNC(=O)COCC(=O)N(CCCCCC)CCCCCC,0.9117647058823529,tan055,tan055,1,False
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.9117647058823529,tan055,tan055,1,False
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.9285714285714286,tan055,tan055,1,False
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.9285714285714286,tan055,tan055,1,False
CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,1.0,tan055,tan055,1,False
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCCCC)CCCCCC)C(C)C)C(C)C,0.8787878787878788,tan055,tan055,1,False
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)C(C)C)C(C)C,0.8787878787878788,tan055,tan055,1,False
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,1.0,tan067,tan067,1,False
