n_shared,pearson,spearman,mae_shared_centred,mae_raw_centred,sf_mae,extractant,cell_a,cell_b,same_pub,dlog10_hno3
5,0.9877920989298635,0.9999999999999998,0.07703457711593188,0.12045323861971521,0.11881246788482411,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0f9c166921b14844,9a5a0eda0a6fd590,1,
5,0.7885216062860452,0.6999999999999998,0.20630303774892145,0.26912358107809875,0.32592179814617755,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0f9c166921b14844,e7c3a51331914d65,1,
5,0.7303337055066111,0.29999999999999993,0.25741984771417814,0.3118736647835071,0.4609745156805641,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0f9c166921b14844,a155938e4ae9d704,1,
4,0.988325136621472,0.7999999999999998,0.04548267326733334,0.20624999999999885,0.06992574257426658,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,adf989d8af50b9a8,71dc32e0ed7e16a2,1,
4,0.07333319568005528,0.3999999999999999,0.5741890335307998,0.5741890335307998,0.9151166123472936,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,adf989d8af50b9a8,815c365f83ac70cf,1,
4,0.9734899972290914,0.9999999999999998,0.055519384884069614,0.06895590478896299,0.10056828933260475,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,adf989d8af50b9a8,9a5a0eda0a6fd590,1,
4,0.10191644956398098,0.3999999999999999,0.2271235314321332,0.2247859881961968,0.4139605795705929,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,adf989d8af50b9a8,e7c3a51331914d65,1,
4,-0.5967206398146074,-0.3999999999999999,0.27728833420479615,0.2521751122606537,0.4590922066035196,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,adf989d8af50b9a8,a155938e4ae9d704,1,
4,0.9943871130664105,0.9999999999999998,0.056621287128717585,0.11584158415841586,0.08353960396040172,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,71dc32e0ed7e16a2,519ef744e75b8881,1,
5,-0.13225891174847834,-0.09999999999999998,0.6852330702541816,0.6578272462453266,1.0595666551901437,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,71dc32e0ed7e16a2,815c365f83ac70cf,1,
