rank_by_cells,extractant,extractant_name,all_names,chemotype,n_cells,n_entries,n_publications,n_condition_keys,median_n_metals,max_n_metals,n_rows_total,hno3_cells,hno3_M_min,hno3_M_max,replicate_sd_median,rank_by_entries
11,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,DMDPhPDA,DMDPhPDA | 2-N-6-N-dimethyl-2-N-6-N-diphenylpyridine-2-6-dicarboxamide,sc077,10,140,1,10,14.0,14,140,10,1.0,5.0,,4
12,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,DOODA (C12),DOODA (C12),sc009,10,72,1,10,7.5,9,198,10,0.001,5.0,0.6083066239366275,11
13,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,TPrDGA,TPrDGA,sc009,9,60,1,9,6.0,8,60,9,1.0,1.0,,12
14,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,T2EHDGA,T2EHDGA | TEHDGA,sc009,6,49,5,6,8.0,14,49,4,1.5,6.9885,,13
15,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,mTDDGA,mTDDGA,sc027,5,40,1,5,8.0,8,40,5,1.6,5.6,,14
16,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,NTAamide(C8),NTAamide(C8),sc032,5,12,1,5,2.0,4,12,5,1.0,1.0,,63
17,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,DMDO-HPyranDGA,DMDO-HPyranDGA,sc020,3,21,1,3,7.0,7,49,3,3.0,3.0,0.11195760402438439,20
18,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,THDGA,THDGA,sc009,3,19,2,3,8.0,8,19,3,1.5,2.0,,21
19,CCCCN(C)C(=O)CC(=O)N(C)CCCC,N-N-dibutyl-N-N-dimethylpropanediamide,N-N-dibutyl-N-N-dimethylpropanediamide,sc031,3,8,1,3,3.0,3,8,3,2.0,4.0,,71
20,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],2-6-bis(dioctylphosphorylmethyl)-1-oxidopyridin-1-ium,2-6-bis(dioctylphosphorylmethyl)-1-oxidopyridin-1-ium,sc055,2,28,1,2,14.0,14,28,1,0.3,0.3,,16
21,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,6-19-dihexyl-7-8-17-18-tetraphenyl-3-6-19-22-tetrazapentacyclo[12.8.0.02-11.04-9.016-21]docosa-1(22)-2-4(9)-7-10-12-14-16(21)-17-nonaene-5-20-dione,6-19-dihexyl-7-8-17-18-tetraphenyl-3-6-19-22-tetrazapentacyclo[12.8.0.02-11.04-9.016-21]docosa-1(22)-2-4(9)-7-10-12-14-16(21)-17-nonaene-5-20-dione,sc060,2,28,1,2,14.0,14,28,1,0.9,0.9,,16
22,O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,[4-7-dichloro-9-(pyrrolidine-1-carbonyl)-1-10-phenanthrolin-2-yl]-pyrrolidin-1-ylmethanone,[4-7-dichloro-9-(pyrrolidine-1-carbonyl)-1-10-phenanthrolin-2-yl]-pyrrolidin-1-ylmethanone,sc086,2,28,1,2,14.0,14,28,2,2.0,3.0,,16
23,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,2-N-2-N-9-N-9-N-tetraoctyl-1-10-phenanthroline-2-9-dicarboxamide,2-N-2-N-9-N-9-N-tetraoctyl-1-10-phenanthroline-2-9-dicarboxamide,sc029,2,23,1,2,11.5,14,23,1,0.9,0.9,,19
24,CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,N-N-bis(2-methylpropyl)-2-[octyl(phenyl)phosphoryl]acetamide,N-N-bis(2-methylpropyl)-2-[octyl(phenyl)phosphoryl]acetamide,sc008,2,16,2,2,8.0,13,16,2,2.0,6.0,,22
25,CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,DOODA (C8),DOODA (C8),sc009,2,14,1,2,7.0,8,70,2,3.0,3.0,0.6215448772485663,23
26,CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,N-N-dibutyl-2-(2-hexoxyethyl)-N-N-dimethylpropanediamide,N-N-dibutyl-2-(2-hexoxyethyl)-N-N-dimethylpropanediamide,sc030,2,5,1,2,2.5,3,5,2,3.0,5.0,,80
27,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,DMDdecdDGA,DMDdecdDGA,sc007,1,14,1,1,14.0,14,14,0,,,,23
28,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,5-5-8-8-tetramethyl-3-[6-[6-(5-5-8-8-tetramethyl-6-7-dihydro-1-2-4-benzotriazin-3-yl)-2-pyridinyl]-2-pyridinyl]-6-7-dihydro-1-2-4-benzotriazine,5-5-8-8-tetramethyl-3-[6-[6-(5-5-8-8-tetramethyl-6-7-dihydro-1-2-4-benzotriazin-3-yl)-2-pyridinyl]-2-pyridinyl]-6-7-dihydro-1-2-4-benzotriazine,sc012,1,14,1,1,14.0,14,14,1,1.0,1.0,,23
29,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,8-11-11-trimethyl-5-[6-(8-11-11-trimethyl-3-4-6-triazatricyclo[6.2.1.02-7]undeca-2(7)-3-5-trien-5-yl)-2-pyridinyl]-3-4-6-triazatricyclo[6.2.1.02-7]undeca-2(7)-3-5-triene,8-11-11-trimethyl-5-[6-(8-11-11-trimethyl-3-4-6-triazatricyclo[6.2.1.02-7]undeca-2(7)-3-5-trien-5-yl)-2-pyridinyl]-3-4-6-triazatricyclo[6.2.1.02-7]undeca-2(7)-3-5-triene,sc015,1,14,1,1,14.0,14,14,1,0.1,0.1,,23
30,CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,DMDetHDGA,DMDetHDGA,sc009,1,14,1,1,14.0,14,14,0,,,,23
31,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,DMDdecHDGA,DMDdecHDGA,sc009,1,14,1,1,14.0,14,14,0,,,,23
32,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,cPSNDGA,cPSNDGA,sc019,1,14,1,1,14.0,14,14,0,,,,23
33,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,N-N-didodecyl-2-(1-hexyl-2-oxopiperidin-3-yl)oxyacetamide,N-N-didodecyl-2-(1-hexyl-2-oxopiperidin-3-yl)oxyacetamide,sc021,1,14,1,1,14.0,14,14,1,1.0,1.0,,23
34,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,Et-Me-TDDGA-Syn,Et-Me-TDDGA-Syn,sc027,1,14,1,1,14.0,14,14,1,7.4,7.4,,23
35,CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,N-(4-methylphenyl)-N-octyl-1-10-phenanthroline-2-carboxamide,N-(4-methylphenyl)-N-octyl-1-10-phenanthroline-2-carboxamide,sc029,1,14,1,1,14.0,14,14,1,0.1,0.1,,23
36,CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,2-(2-hexoxyethyl)-N-N-dimethyl-N-N-dioctylpropanediamide,2-(2-hexoxyethyl)-N-N-dimethyl-N-N-dioctylpropanediamide,sc030,1,14,1,1,14.0,14,14,1,1.0,1.0,,23
37,CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,MMTODGA,MMTODGA,sc009,1,14,1,1,14.0,14,14,0,,,,23
38,CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,DEDODGA,DEDODGA,sc009,1,14,1,1,14.0,14,14,0,,,,23
39,CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,DODHtDGA,DODHtDGA,sc033,1,14,1,1,14.0,14,14,0,,,,23
40,CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,DPDODGA,DPDODGA,sc009,1,14,1,1,14.0,14,14,0,,,,23
41,CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,DODDmDGA,DODDmDGA,sc009,1,14,1,1,14.0,14,14,0,,,,23
42,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,2-[1-(dioctylamino)-1-oxopropan-2-yl]oxy-N-N-dioctylpropanamide,2-[1-(dioctylamino)-1-oxopropan-2-yl]oxy-N-N-dioctylpropanamide,sc027,1,14,1,1,14.0,14,27,1,4.3,4.3,1.3370367682141902,23
43,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,cMe2-TODGA,cMe2-TODGA,sc027,1,14,1,1,14.0,14,14,1,4.3,4.3,,23
44,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,tMe2-TODGA,tMe2-TODGA,sc027,1,14,1,1,14.0,14,14,1,4.3,4.3,,23
45,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,p-TODGA-Syn,p-TODGA-Syn,sc028,1,14,1,1,14.0,14,14,1,7.4,7.4,,23
46,CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,N-(3-7-dimethyloct-6-enyl)-2-[2-[3-7-dimethyloct-6-enyl(hexyl)amino]-2-oxoethoxy]-N-hexylacetamide,N-(3-7-dimethyloct-6-enyl)-2-[2-[3-7-dimethyloct-6-enyl(hexyl)amino]-2-oxoethoxy]-N-hexylacetamide,sc057,1,14,1,1,14.0,14,14,0,,,,23
47,CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,N-(3-7-dimethyloctyl)-2-[2-[3-7-dimethyloctyl(hexyl)amino]-2-oxoethoxy]-N-hexylacetamide,N-(3-7-dimethyloctyl)-2-[2-[3-7-dimethyloctyl(hexyl)amino]-2-oxoethoxy]-N-hexylacetamide,sc009,1,14,1,1,14.0,14,14,0,,,,23
48,CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,N-ethyl-6-[6-[ethyl-(4-hexylphenyl)carbamoyl]-2-pyridinyl]-N-(4-hexylphenyl)pyridine-2-carboxamide,N-ethyl-6-[6-[ethyl-(4-hexylphenyl)carbamoyl]-2-pyridinyl]-N-(4-hexylphenyl)pyridine-2-carboxamide,sc059,1,14,1,1,14.0,14,14,1,3.0,3.0,,23
49,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,2-N-2-N-9-N-9-N-tetrabutyl-1-10-phenanthroline-2-9-dicarboxamide,2-N-2-N-9-N-9-N-tetrabutyl-1-10-phenanthroline-2-9-dicarboxamide,sc029,1,14,1,1,14.0,14,14,1,3.0,3.0,,23
50,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,3-[6-(5-6-dipropyl-1-2-4-triazin-3-yl)-2-pyridinyl]-5-6-dipropyl-1-2-4-triazine,3-[6-(5-6-dipropyl-1-2-4-triazin-3-yl)-2-pyridinyl]-5-6-dipropyl-1-2-4-triazine,sc061,1,14,1,1,14.0,14,14,1,1.0,1.0,,23
51,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,N-(3-5-dimethylphenyl)-6-[6-[(3-5-dimethylphenyl)-ethylcarbamoyl]-2-pyridinyl]-N-ethylpyridine-2-carboxamide,N-(3-5-dimethylphenyl)-6-[6-[(3-5-dimethylphenyl)-ethylcarbamoyl]-2-pyridinyl]-N-ethylpyridine-2-carboxamide,sc068,1,14,1,1,14.0,14,14,1,3.0,3.0,,23
52,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,N-(2-5-dimethylphenyl)-6-[6-[(2-5-dimethylphenyl)-ethylcarbamoyl]-2-pyridinyl]-N-ethylpyridine-2-carboxamide,N-(2-5-dimethylphenyl)-6-[6-[(2-5-dimethylphenyl)-ethylcarbamoyl]-2-pyridinyl]-N-ethylpyridine-2-carboxamide,sc069,1,14,1,1,14.0,14,14,1,3.0,3.0,,23
53,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,N-(2-4-dimethylphenyl)-6-[6-[(2-4-dimethylphenyl)-ethylcarbamoyl]-2-pyridinyl]-N-ethylpyridine-2-carboxamide,N-(2-4-dimethylphenyl)-6-[6-[(2-4-dimethylphenyl)-ethylcarbamoyl]-2-pyridinyl]-N-ethylpyridine-2-carboxamide,sc069,1,14,1,1,14.0,14,14,1,3.0,3.0,,23
54,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,N-ethyl-6-[6-[ethyl(phenyl)carbamoyl]-2-pyridinyl]-N-phenylpyridine-2-carboxamide,N-ethyl-6-[6-[ethyl(phenyl)carbamoyl]-2-pyridinyl]-N-phenylpyridine-2-carboxamide,sc068,1,14,1,1,14.0,14,14,1,3.0,3.0,,23
55,CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,2-N-6-N-diethyl-2-N-6-N-bis(4-methylphenyl)pyridine-2-6-dicarboxamide,2-N-6-N-diethyl-2-N-6-N-bis(4-methylphenyl)pyridine-2-6-dicarboxamide,sc068,1,14,1,1,14.0,14,14,1,2.0,2.0,,23
56,CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,2-N-6-N-diethyl-2-N-6-N-bis(3-methylphenyl)pyridine-2-6-dicarboxamide,2-N-6-N-diethyl-2-N-6-N-bis(3-methylphenyl)pyridine-2-6-dicarboxamide,sc068,1,14,1,1,14.0,14,14,1,2.0,2.0,,23
57,CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,2-N-6-N-diethyl-2-N-6-N-bis(2-methylphenyl)pyridine-2-6-dicarboxamide,2-N-6-N-diethyl-2-N-6-N-bis(2-methylphenyl)pyridine-2-6-dicarboxamide,sc070,1,14,1,1,14.0,14,14,1,2.0,2.0,,23
58,CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,2-N-9-N-diethyl-2-N-9-N-bis(4-ethylphenyl)-1-10-phenanthroline-2-9-dicarboxamide,2-N-9-N-diethyl-2-N-9-N-bis(4-ethylphenyl)-1-10-phenanthroline-2-9-dicarboxamide,sc068,1,14,1,1,14.0,14,14,1,3.0,3.0,,23
59,CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,N-N-dimethyl-N-N-diphenylpropanediamide,N-N-dimethyl-N-N-diphenylpropanediamide,sc075,1,14,1,1,14.0,14,14,1,4.0,4.0,,23
60,COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,TEtOMeDGA,TEtOMeDGA,sc078,1,14,1,1,14.0,14,14,0,,,,23
61,O=C(COCC(=O)N1CCCCC1)N1CCCCC1,DPiperidineDGA,DPiperidineDGA,sc083,1,14,1,1,14.0,14,14,0,,,,23
62,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,DODDdDGA,DODDdDGA,sc009,1,13,1,1,13.0,13,13,0,,,,59
63,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,p-TDDGA-Syn,p-TDDGA-Syn,sc028,1,13,1,1,13.0,13,13,1,7.4,7.4,,59
64,CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,DODDbDGA,DODDbDGA,sc009,1,13,1,1,13.0,13,13,0,,,,59
65,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,Et-Me-TODGA-Anti,Et-Me-TODGA-Anti,sc027,1,13,1,1,13.0,13,13,1,7.4,7.4,,59
66,CCCCCCOP(=O)(O)OCCCCCC,dihexyl hydrogen phosphate,dihexyl hydrogen phosphate,sc058,1,10,1,1,10.0,10,10,1,1.0,1.0,,64
67,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,2-hexyl-N-N-dimethyl-N-N-dioctylpropanediamide,2-hexyl-N-N-dimethyl-N-N-dioctylpropanediamide,sc030,1,9,1,1,9.0,9,9,1,0.1,0.1,,65
68,CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,N-N-dimethyl-N-N-dioctylpropanediamide,N-N-dimethyl-N-N-dioctylpropanediamide,sc031,1,9,1,1,9.0,9,9,1,0.1,0.1,,65
69,CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,N-N-N-N-tetraoctylpropanediamide,N-N-N-N-tetraoctylpropanediamide,sc036,1,9,1,1,9.0,9,9,1,0.1,0.1,,65
70,CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,N-N-dihexyl-N-N-dimethylpropanediamide,N-N-dihexyl-N-N-dimethylpropanediamide,sc031,1,9,1,1,9.0,9,9,1,0.1,0.1,,65
71,CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,N-N-N-N-tetrahexylpropanediamide,N-N-N-N-tetrahexylpropanediamide,sc036,1,9,1,1,9.0,9,9,1,0.1,0.1,,65
72,CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,N-N-N-N-tetrabutylpropanediamide,N-N-N-N-tetrabutylpropanediamide,sc036,1,9,1,1,9.0,9,9,1,0.1,0.1,,65
73,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,TIBDGA,TIBDGA,sc010,1,8,1,1,8.0,8,8,1,1.5,1.5,,71
74,CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,DIBDODGA,DIBDODGA,sc009,1,8,1,1,8.0,8,8,1,1.5,1.5,,71
75,CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,D2EHDODGA,D2EHDODGA,sc009,1,8,1,1,8.0,8,8,1,1.5,1.5,,71
76,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,2-[[2-[bis(carboxymethyl)amino]cyclohexyl]-(carboxymethyl)amino]acetic acid,2-[[2-[bis(carboxymethyl)amino]cyclohexyl]-(carboxymethyl)amino]acetic acid,sc084,1,8,1,1,8.0,8,8,1,3.0,3.0,,71
77,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,2-[2-[bis(carboxymethyl)amino]ethyl-(2-hydroxyethyl)amino]acetic acid,2-[2-[bis(carboxymethyl)amino]ethyl-(2-hydroxyethyl)amino]acetic acid,sc085,1,8,1,1,8.0,8,8,1,3.0,3.0,,71
78,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,DMDOaDGA,DMDOaDGA,sc009,1,7,1,1,7.0,7,7,0,,,,77
79,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,6-MH-C9-B8D(iB)CMPO,6-MH-C9-B8D(iB)CMPO,sc008,1,6,1,1,6.0,6,6,1,3.0,3.0,,78
80,CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,2-EH-C9-B8D(iB)CMPO,2-EH-C9-B8D(iB)CMPO,sc017,1,6,1,1,6.0,6,6,1,3.0,3.0,,78
81,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,2-5-8-15-18-21-hexaoxatricyclo[20.4.0.09-14]hexacosane,2-5-8-15-18-21-hexaoxatricyclo[20.4.0.09-14]hexacosane,sc000,1,5,1,1,5.0,5,5,1,1.0,1.0,,80
82,C1COCCOCCOCCOCCOCCO1,1-4-7-10-13-16-hexaoxacyclooctadecane,1-4-7-10-13-16-hexaoxacyclooctadecane,sc001,1,5,1,1,5.0,5,5,1,1.0,1.0,,80
83,CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,N-N-N-N-tetrabutylbutanediamide,N-N-N-N-tetrabutylbutanediamide,sc036,1,5,1,1,5.0,5,5,1,4.0,4.0,,80
84,c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,3-10-13-16-23-pentaoxa-29-azatetracyclo[23.3.1.04-9.017-22]nonacosa-1(29)-4-6-8-17-19-21-25-27-nonaene,3-10-13-16-23-pentaoxa-29-azatetracyclo[23.3.1.04-9.017-22]nonacosa-1(29)-4-6-8-17-19-21-25-27-nonaene,sc096,1,5,1,1,5.0,5,5,1,1.0,1.0,,80
85,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,2-5-8-15-18-21-hexaoxatricyclo[20.4.0.09-14]hexacosa-1(26)-9-11-13-22-24-hexaene,2-5-8-15-18-21-hexaoxatricyclo[20.4.0.09-14]hexacosa-1(26)-9-11-13-22-24-hexaene,sc097,1,5,1,1,5.0,5,5,1,1.0,1.0,,80
86,CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,N-N-N-N-tetrabutyl-2-[[2-[3-(dibutylamino)-2-(dibutylcarbamoyl)-3-oxopropyl]phenyl]methyl]propanediamide,N-N-N-N-tetrabutyl-2-[[2-[3-(dibutylamino)-2-(dibutylcarbamoyl)-3-oxopropyl]phenyl]methyl]propanediamide,sc062,1,4,1,1,4.0,4,4,1,1.0,1.0,,86
87,CCCCN(CCCC)C(=O)c1ccccc1C(=O)O,2-(dibutylcarbamoyl)benzoic acid,2-(dibutylcarbamoyl)benzoic acid,sc063,1,3,1,1,3.0,3,3,1,0.1,0.1,,87
88,CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,2-N-9-N-diethyl-2-N-9-N-bis(4-methylphenyl)-1-10-phenanthroline-2-9-dicarboxamide,2-N-9-N-diethyl-2-N-9-N-bis(4-methylphenyl)-1-10-phenanthroline-2-9-dicarboxamide,sc068,1,3,1,1,3.0,3,3,1,1.0,1.0,,87
89,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,2-(3-4-dihydroxyphenyl)-3-5-7-trihydroxychromen-4-one,2-(3-4-dihydroxyphenyl)-3-5-7-trihydroxychromen-4-one,sc092,1,3,1,1,3.0,3,3,1,2.0,2.0,,87
90,CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,ADAAM(EH),ADAAM(EH),sc016,1,2,1,1,2.0,2,6,1,1.5,1.5,0.05600919073129664,90
