grouping,extractant,n_rows,baseline_mae,baseline_rmse,baseline_sign_accuracy,baseline_r2,2d_second_unshrunk_mae,2d_second_unshrunk_rmse,2d_second_unshrunk_sign_accuracy,2d_second_unshrunk_r2,2d_ensemble_mae,2d_ensemble_rmse,2d_ensemble_sign_accuracy,2d_ensemble_r2,delta3d_unshrunk_mae,delta3d_unshrunk_rmse,delta3d_unshrunk_sign_accuracy,delta3d_unshrunk_r2,delta3d_mae,delta3d_rmse,delta3d_sign_accuracy,delta3d_r2,mae_reduction_delta3d_vs_2d_ensemble
extractant,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,12,0.05376549915421756,0.07577139167007345,0.8333333333333334,0.1303137941867989,0.05934138475148596,0.08096362354603415,0.8333333333333334,0.007039602526920152,0.05934138475148596,0.08096362354603415,0.8333333333333334,0.007039602526920152,0.058937709677543325,0.08010303940109051,0.9166666666666666,0.028036303121842465,0.05303954566166183,0.0745236449887713,0.9166666666666666,0.15872064667718566,0.006301839089824131
extractant,CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,12,0.1742595961725545,0.21227035356137794,0.75,0.17985936721559115,0.1754373642044246,0.213686789840794,0.75,0.16887759098303645,0.1742595961725545,0.21227035356137794,0.75,0.17985936721559115,0.17140140692238248,0.20050336534306995,0.8333333333333334,0.26826643759613256,0.16977273504055876,0.20202053050748586,0.75,0.2571508052949719,0.0044868611319957286
extractant,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,12,0.07563142311190962,0.09375206075550453,0.5,0.23454155368596186,0.06122517157082935,0.07357408163542521,0.6666666666666666,0.5285781868272551,0.06122517157082935,0.07357408163542521,0.6666666666666666,0.5285781868272551,0.06542093054120968,0.07480122848652863,0.75,0.5127212917999481,0.06966697246630517,0.0868280551805379,0.6666666666666666,0.3434313813762291,-0.008441800895475818
extractant,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,12,0.16318477337393647,0.19625852335260796,0.4166666666666667,0.154119646236772,0.14651120507356682,0.17087034205315724,0.5833333333333334,0.3588121826789724,0.14651120507356682,0.17087034205315724,0.5833333333333334,0.3588121826789724,0.1445718317425657,0.1755109464262221,0.6666666666666666,0.3235116830063455,0.15853153796609382,0.18871475237263838,0.5833333333333334,0.2178976559315322,-0.012020332892526991
extractant,CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,12,0.15246313590240548,0.19460666250384206,0.6666666666666666,0.538534754113233,0.15480749601628893,0.19285833992001944,0.6666666666666666,0.5467890044928446,0.15246313590240548,0.19460666250384206,0.6666666666666666,0.538534754113233,0.20150467527820906,0.25794847511696445,0.75,0.1892452172432757,0.17288475276158943,0.2240116215063028,0.75,0.3885447348293053,-0.02042161685918395
extractant,CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,12,0.1419955566951051,0.19505872408467365,0.75,-0.37464442153945976,0.14125410521849247,0.19477160380568287,0.75,-0.37060053365564394,0.14125410521849247,0.19477160380568287,0.75,-0.37060053365564394,0.07980732204361311,0.11523309511917042,0.9166666666666666,0.5202510091329581,0.12256160706124687,0.17105201688980173,0.75,-0.057099858109511015,0.018692498157245593
extractant,CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,12,0.1643184206809889,0.20684217406255137,0.75,0.029172360464473468,0.16316601182012874,0.20673432899790364,0.75,0.030184452661041417,0.1643184206809889,0.20684217406255137,0.75,0.029172360464473468,0.15265848804113222,0.18429398049390983,0.8333333333333334,0.22929842754336038,0.15848845436106054,0.19163629091277343,0.8333333333333334,0.1666653164442078,0.005829966319928354
extractant,CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,12,0.08050630009784913,0.11027082839539311,0.9166666666666666,0.6818238538411225,0.0724185433631996,0.10657507618824413,0.9166666666666666,0.7027939495291708,0.0724185433631996,0.10657507618824413,0.9166666666666666,0.7027939495291708,0.11145482078910281,0.13641359334950806,0.8333333333333334,0.5130754842128995,0.08024874401744846,0.11153796907665964,0.9166666666666666,0.6744694081665995,-0.007830200654248859
extractant,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,12,0.11143756632946368,0.15260605519291473,0.9166666666666666,-2.807612661018185,0.10853864506687878,0.15189916949767948,0.9166666666666666,-2.7724199136583993,0.10853864506687878,0.15189916949767948,0.9166666666666666,-2.7724199136583993,0.07509855083382701,0.10251324418949231,1.0,-0.7181820802703913,0.09544852757744109,0.1360133281906952,0.9166666666666666,-2.0246293734593324,0.013090117489437697
extractant,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,12,0.17299761242535064,0.23013236752918204,0.75,-1.4129706712668497,0.17171696745827567,0.234198796587873,0.75,-1.4989982432154192,0.17171696745827567,0.234198796587873,0.75,-1.4989982432154192,0.11542230944498572,0.15774122303523133,0.8333333333333334,-0.13367100730996717,0.15830881956387663,0.21057046814333524,0.75,-1.0201869337702703,0.013408147894399036
