comparison,dropped_chemotype,delta,n_units
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc015,-0.06294325974225103,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc016,-0.05701152623801433,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc017,-0.05364680848670065,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc018,-0.05659262607758502,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc019,-0.05718974844581441,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc020,-0.055850476245399315,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc021,-0.05542913500280739,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc027,-0.061932800734283706,84
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc028,-0.0561278909070833,88
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc029,-0.05464724784912692,87
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc030,-0.05505752859935807,87
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc031,-0.04994841901160805,87
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc032,-0.05696688796195461,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc033,-0.05644158586349927,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc036,-0.05415156702723105,86
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc055,-0.05621351628562521,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc057,-0.05769580907044812,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc058,-0.05501945449346265,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc059,-0.056179655591332936,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc060,-0.056467803937477835,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc061,-0.059152368444164466,88
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc062,-0.051016940432346496,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc063,-0.05385312251362139,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc068,-0.055878846022011146,84
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc069,-0.05642800289418013,88
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc070,-0.05595816246923789,89
X_X_RESP3D_RESIDUAL_vs_M_PHYSICS_radius+radius_sq,sc071,-0.05616484097178392,89
