feature,n,spearman_amp,spearman_curv
coord__dist__n_donor_pairs_beyond_6,80,0.19532110050293253,0.061893243619879676
coord__arch__frac_atoms_in_largest_orbit,80,0.18704640755290275,0.1823799203588919
coord__arch__heavy_atoms_per_pocket,80,-0.1849146007530753,-0.0910029422328499
coord__arch__mean_heavy_degree,80,0.18388427211054145,0.24234757383496106
coord__donor__n_hard_O,80,-0.17550746743310122,-0.2291815280671764
coord__motif__n_distinct_named_units,80,0.17016539379183954,0.02650411360538155
coord__dist__n_donor_pairs_within_3,80,-0.1546377770150086,-0.04365181433704203
coord__arch__n_symmetry_orbits,80,-0.14869420961434748,-0.3038467478465494
cond__diluent__n_dodecane,82,0.14823186060866392,-0.20199445981751052
coord__dist__donor_pair_proximity_count,80,-0.14783671977296858,-0.06990391106458514
coord__dist__n_donor_pairs_within_4,80,-0.14783671977296858,-0.06990391106458514
MolWt,82,-0.14662632167308087,-0.1851904266161234
coord__arch__mol_weight,80,-0.14643895413222455,-0.18542526338090612
coord__arch__n_heavy_atoms,80,-0.14075259666330747,-0.15211836884386953
coord__donor__frac_N,80,0.13765454216314912,0.2014467630680614
coord__donor__n_N,80,0.13655852420541012,0.1604671062928349
coord__arm__max_connected_donor_motif_size,80,-0.1344651559057913,-0.0659514693790981
coord__arm__estimated_denticity_per_pocket,80,-0.1344651559057913,-0.0659514693790981
coord__arch__n_carbon,80,-0.13027110395736827,-0.14104196529510254
coord__arm__topicity,80,0.1295963885121526,-0.03573049814767044
coord__arm__n_donor_bearing_branches,80,0.1295963885121526,-0.03573049814767044
coord__arm__local_donor_cluster_count,80,0.1295963885121526,-0.03573049814767044
coord__dist__n_linker_atoms_between_units,80,0.1280660715702341,-0.03705337353308541
coord__dist__min_intercluster_distance,80,0.1280660715702341,-0.03705337353308541
coord__dist__mean_intercluster_distance,80,0.12654712121926284,-0.03628801555492769
coord__arm__n_amide_branches,80,-0.12462032315259784,0.08552116986980735
coord__donor__n_O_amide_carbonyl,80,-0.12462032315259784,0.08552116986980735
chem__donor__N(aromatic),82,0.12425044033128031,0.25522924385739526
coord__dist__n_donor_pairs_within_6,80,-0.1229137351273744,-0.09084928248545064
massact__log10_cond__acid_concentration_M,82,-0.12095208457023786,-0.39973175326577737
cond__diluent__toluene,82,0.12087384551620371,0.24521490767647522
coord__arch__symmetry_compression,80,-0.1208480127181167,-0.3132975058593837
coord__donor__n_O_phosphoryl,80,0.1205771544459001,-0.1858257420776908
MolLogP,82,-0.11930470026138987,-0.1593922115343302
coord__arch__clogp,80,-0.11755535538264143,-0.16062030459750082
coord__arm__mean_donor_cluster_size,80,-0.1161272644112184,-0.06879085663052349
coord__donor__n_N_aromatic,80,0.11604511003034142,0.26165004635735967
coord__arm__min_donor_cluster_size,80,-0.11414336581188173,-0.06835697245417834
coord__donor__frac_hard_O,80,-0.11275963170187654,-0.19339246369921895
coord__dist__n_five_membered_chelate_pairs,80,-0.107970028926767,-0.01297859351180877
cond__acid_concentration_M,82,-0.10783948961570582,-0.3902097091339735
cond__diluent__hydrogenated_tetrapropene,82,-0.10239421889914878,-0.11500945436482822
coord__motif__max_repeated_named_unit,80,0.09990939524781943,0.06113797149527058
cond__diluent__nitrobenzene,82,0.09795703578283377,0.09229062404318357
coord__donor__potential_donor_count,80,-0.09760902907158038,-0.09176709216954065
coord__arch__n_degree4_atoms,80,-0.08015876297542493,-0.30127385775194365
chem__donor__O(amide_carbonyl),82,-0.07860952486161964,0.15071561112022977
coord__dist__donor_pair_sd,80,-0.07787673032400043,0.02538628709091191
coord__motif__n_carboxylate_arm,80,0.07648780448213861,-0.2426375168812998
coord__donor__n_O_carboxyl,80,0.07648780448213861,-0.2426375168812998
coord__motif__n_lactam_ring,80,-0.07592016149678682,0.07359227428817726
massact__logL_x_logH,82,0.07309965483311742,0.3470315697587201
coord__dist__n_donor_pairs_within_5,80,-0.0645064091637046,-0.11402919737812703
coord__arm__repeated_arm_count,80,0.05915937359479792,0.011856705515851418
cond__extractant_concentration_M,82,0.05363663178229858,0.13169587045784953
chem__dentate,82,0.04847958191111421,0.03539933363218772
cond__diluent__chloroform,82,0.04794479263016807,0.10495305536035784
massact__log10_cond__extractant_concentration_M,82,0.0469428964438213,0.1433359574105221
NumAliphaticRings,82,0.0382821309492177,-0.011001019583278203
cond__temperature_C,82,0.03677429154197971,0.24036382925648817
cond__diluent__1_octanol,82,0.03608330680668278,-0.1469574677217626
massact__log10_cond__temperature_C,82,0.03583292416335212,0.24436666078954297
cond__diluent__other,82,-0.03486206666337369,0.002072153659683191
cond__diluent__ch3cl,82,0.03441587640854163,0.2135413491242411
coord__arm__core_donor_eccentricity,80,0.03369299444248326,0.02784058149675356
coord__dist__donor_network_diameter,80,-0.0335701518166718,0.012631870124859399
coord__dist__donor_pair_max,80,-0.0335701518166718,0.012631870124859399
coord__dist__donor_eccentricity_max,80,-0.0335701518166718,0.012631870124859399
coord__arch__heavy_atoms_per_donor,80,0.031209507170331205,-0.0659258323203426
coord__arch__n_hba,80,-0.027733325485277356,-0.012893224307427875
TPSA,82,0.02643061490610649,0.024584740447364868
coord__arch__carbon_per_donor,80,0.023430729947119196,-0.06815679031688303
NumHAcceptors,82,-0.02271311143581974,-0.01592085541789698
coord__arch__tpsa,80,0.022232647754750166,0.027784627088389108
massact__log10_cond__metal_concentration_mM,62,-0.021680324647499617,-0.03205811037924114
coord__dist__donor_eccentricity_mean,80,0.017262845202652078,-0.0012403673960424085
cond__metal_concentration_mM,62,-0.016106328976553275,-0.025225542352432722
massact__logL_x_DENTATE,82,-0.015293203689470578,0.09078234348705551
coord__arch__mol_weight_per_donor,80,0.013737890036129767,-0.08962449421181587
massact__logL_x_coreCN,82,0.012647608061084295,0.09773151683565137
coord__arch__n_degree3_atoms,80,-0.011660355393335636,0.02466706110012858
coord__arch__n_hbd,80,-0.0073712042540899775,-0.23940389468718323
chem__donor__n_total,82,-0.006406623673555983,-0.02372377563328061
chem__n_ligands,82,0.004974514801389868,-0.14809280607107514
chem__donor__O(hydroxyl),82,-0.004283156868984001,-0.23878599544585807
NumHDonors,82,-0.004283156868984001,-0.23878599544585807
coord__arch__n_heteroatoms,80,-0.0032309282840608717,-0.07008432578231646
coord__arch__clogp_per_donor,80,-0.002356002537650115,-0.09851841457188665
cond__diluent__1_2_dichloroethane,82,-0.0004373604331511269,0.030994276029309858
