model,arm,arm_kind,design_corner,axis_label,n_curves,n_ligands,shape_mae,slope_mae,slope_true_median,slope_pred_median,span_recovery_median,within_curve_spearman,within_curve_sign_accuracy,design_matched_baseline,baseline_shape_mae,shape_improvement_vs_baseline,frozen_anchor_shape_mae,shape_improvement_vs_frozen
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,FROZEN_3|FROZEN_8,metal_series,321.0,84.0,0.29112879088438637,0.09265088570703515,0.08443469855079262,0.08339980806784394,0.606852965397711,0.5703008459698429,0.7644840919625333,A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,0.29112879088438637,,0.29112879088438637,0.0
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,FROZEN_3|FROZEN_8,temperature,32.0,5.0,0.4077324562510797,0.03962953571783296,-0.04032650561688559,6.614515532249176e-05,0.13591012219478216,0.017529385026496824,0.5290625,A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,0.4077324562510797,,0.4077324562510797,0.0
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,GENERAL|ANNOTATION_SAFE,acid,421.0,68.0,0.5396106267387164,1.3560898888226294,1.6557758087863772,0.7051810474148533,0.37741393217585745,0.6050835959083275,0.7875623480744415,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.5396106267387164,,0.5453233535058455,0.005712726767129084
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,GENERAL|ANNOTATION_SAFE,contact_time,8.0,8.0,0.07157656416558267,0.003931917684829254,0.00014296899524398737,-7.472915201577956e-06,,0.14266381673369824,0.5408333333333333,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.07157656416558267,,0.07312988753142831,0.0015533233658456408
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,GENERAL|ANNOTATION_SAFE,extractant,155.0,25.0,0.47414139221375873,1.520896246598899,2.573675226299942,1.1459674840197112,0.430163557699765,0.8517639046380061,0.9106455945488203,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.47414139221375873,,0.46919411338733114,-0.004947278826427592
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,GENERAL|ANNOTATION_SAFE,metal_concentration,9.0,4.0,0.2691093183617456,0.8496180374016854,-1.1226193871745382,0.0006308472598548108,0.011443667922002113,0.004847103578719494,0.49189910307557366,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.2691093183617456,,0.26983611288473996,0.0007267945229943451
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,GENERAL|ANNOTATION_SAFE,metal_series,321.0,84.0,0.29266308462396834,0.09311075812108335,0.08443469855079262,0.08474024680925656,0.6264133350936482,0.5678905719523781,0.7629491314319005,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.29266308462396834,,0.29112879088438637,-0.0015342937395819711
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,GENERAL|ANNOTATION_SAFE,temperature,32.0,5.0,0.4086140205020848,0.039493243626283724,-0.04032650561688559,-9.883936688260663e-05,0.166578644774783,-0.0018051886803943985,0.5263541666666667,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.4086140205020848,,0.4077324562510797,-0.0008815642510051069
A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,GENERAL|FROZEN_8,acid,421.0,68.0,0.543009857377527,1.3707409333357954,1.6557758087863772,0.6823161249990486,0.3745586021585188,0.6042991130529977,0.7869253927740465,A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,0.543009857377527,,0.5453233535058455,0.0023134961283184374
A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,GENERAL|FROZEN_8,contact_time,8.0,8.0,0.07210057561390001,0.003933988634347449,0.00014296899524398737,-9.797360034761755e-06,,0.13842429303820078,0.5422916666666666,A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,0.07210057561390001,,0.07312988753142831,0.0010293119175282944
A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,GENERAL|FROZEN_8,extractant,155.0,25.0,0.46608055290984085,1.4930928404876225,2.573675226299942,1.1725228933404368,0.43632058498897397,0.8750505059075827,0.9218893221473866,A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,0.46608055290984085,,0.46919411338733114,0.0031135604774902848
A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,GENERAL|FROZEN_8,metal_concentration,9.0,4.0,0.2690767785586347,0.8469655885689955,-1.1226193871745382,-0.0012147741255788339,0.011875393694529151,0.12332745376818381,0.5292293381999265,A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,0.2690767785586347,,0.26983611288473996,0.0007593343261052543
A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,GENERAL|FROZEN_8,metal_series,321.0,84.0,0.29108082112128636,0.09302839925896485,0.08443469855079262,0.08451946872757479,0.6229742731351562,0.5704464600215216,0.7644323129934321,A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,0.29108082112128636,,0.29112879088438637,4.796976310000867e-05
A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL,DESIGN_CONTROL,GENERAL|FROZEN_8,temperature,32.0,5.0,0.4062058111392167,0.03948010392975173,-0.04032650561688559,5.9439484397669394e-05,0.14599786804215303,-0.04538070806795447,0.5118750000000001,A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,0.4062058111392167,,0.4077324562510797,0.0015266451118629565
B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,B_LN_EXPANDED,AUXILIARY,GENERAL|ANNOTATION_SAFE,acid,421.0,68.0,0.5397936406994166,1.3360045865055437,1.6557758087863772,0.7317393008260992,0.4261738772321693,0.611523802929667,0.7925764513256442,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.5396106267387164,-0.0001830139607001957,0.5453233535058455,0.005529712806428888
B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,B_LN_EXPANDED,AUXILIARY,GENERAL|ANNOTATION_SAFE,contact_time,8.0,8.0,0.07736019765401023,0.0043873610025205725,0.00014296899524398737,-1.6729410510768596e-05,,0.10104282978949845,0.533125,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.07157656416558267,-0.005783633488427559,0.07312988753142831,-0.004230310122581918
B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,B_LN_EXPANDED,AUXILIARY,GENERAL|ANNOTATION_SAFE,extractant,155.0,25.0,0.46754747547519343,1.458518655740345,2.573675226299942,1.2184559977444955,0.4681766024719365,0.8308176375589881,0.9012051675922645,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.47414139221375873,0.0065939167385652975,0.46919411338733114,0.001646637912137705
B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,B_LN_EXPANDED,AUXILIARY,GENERAL|ANNOTATION_SAFE,metal_concentration,9.0,4.0,0.269947501349879,0.8502238049539507,-1.1226193871745382,0.005429717546413226,0.015090532130211049,0.02732620902588397,0.514666011185619,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.2691093183617456,-0.0008381829881333736,0.26983611288473996,-0.00011138846513902845
B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,B_LN_EXPANDED,AUXILIARY,GENERAL|ANNOTATION_SAFE,metal_series,321.0,84.0,0.29589258300775895,0.094422858546344,0.08443469855079262,0.08143354884165896,0.6348922949494502,0.5616503752585809,0.7599107692726864,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.29266308462396834,-0.0032294983837906077,0.29112879088438637,-0.004763792123372579
B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,B_LN_EXPANDED,AUXILIARY,GENERAL|ANNOTATION_SAFE,temperature,32.0,5.0,0.4087322570808999,0.039051414079781396,-0.04032650561688559,-0.0008187746607648649,0.15788868576834394,-0.026104084482751966,0.5167708333333334,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.4086140205020848,-0.00011823657881510075,0.4077324562510797,-0.0009998008298202077
