arm,arm_kind,criterion,description,measured_quantity,measured_value,threshold,requirement,requirement_met,status,evidence_table,reason,negative_control_note
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DESIGN_CONTROL,A_ZERO_SHOT,zero-shot macro MAE improves by >= 0.02 on the locked benchmark,not applicable,,0.02,consistent seed direction,,NOT_APPLICABLE,t2_leaderboard.csv,"this arm carries no auxiliary rows; it is a design control, and §18 governs auxiliary arms",
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DESIGN_CONTROL,B_FEW_SHOT,few-shot macro MAE improves by >= 0.01 at two or more k,not applicable,,0.01,"at least two k, no meaningful degradation at later k",,NOT_APPLICABLE,t2_leaderboard.csv,"this arm carries no auxiliary rows; it is a design control, and §18 governs auxiliary arms",
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DESIGN_CONTROL,C_SHAPE,shape MAE improves by >= 0.10 on a scientifically important axis,not applicable,,0.1,macro non-worse,,NOT_APPLICABLE,t2_leaderboard.csv,"this arm carries no auxiliary rows; it is a design control, and §18 governs auxiliary arms",
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DESIGN_CONTROL,D_FAR_CHEMOTYPE,clear improvement on distant held-out chemotypes,not applicable,,,"statistically supported, overall benchmark not degraded",,NOT_APPLICABLE,t2_leaderboard.csv,"this arm carries no auxiliary rows; it is a design control, and §18 governs auxiliary arms",
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DESIGN_CONTROL,E_ROBUSTNESS,meaningfully lower query-design sensitivity at matched accuracy,not applicable,,,matched predictive accuracy,,NOT_APPLICABLE,t2_leaderboard.csv,"this arm carries no auxiliary rows; it is a design control, and §18 governs auxiliary arms",
A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,DESIGN_CONTROL,A_ZERO_SHOT,zero-shot macro MAE improves by >= 0.02 on the locked benchmark,not applicable,,0.02,consistent seed direction,,NOT_APPLICABLE,t2_leaderboard.csv,"this arm carries no auxiliary rows; it is a design control, and §18 governs auxiliary arms",
A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,DESIGN_CONTROL,B_FEW_SHOT,few-shot macro MAE improves by >= 0.01 at two or more k,not applicable,,0.01,"at least two k, no meaningful degradation at later k",,NOT_APPLICABLE,t2_leaderboard.csv,"this arm carries no auxiliary rows; it is a design control, and §18 governs auxiliary arms",
A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,DESIGN_CONTROL,C_SHAPE,shape MAE improves by >= 0.10 on a scientifically important axis,not applicable,,0.1,macro non-worse,,NOT_APPLICABLE,t2_leaderboard.csv,"this arm carries no auxiliary rows; it is a design control, and §18 governs auxiliary arms",
A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,DESIGN_CONTROL,D_FAR_CHEMOTYPE,clear improvement on distant held-out chemotypes,not applicable,,,"statistically supported, overall benchmark not degraded",,NOT_APPLICABLE,t2_leaderboard.csv,"this arm carries no auxiliary rows; it is a design control, and §18 governs auxiliary arms",
A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,DESIGN_CONTROL,E_ROBUSTNESS,meaningfully lower query-design sensitivity at matched accuracy,not applicable,,,matched predictive accuracy,,NOT_APPLICABLE,t2_leaderboard.csv,"this arm carries no auxiliary rows; it is a design control, and §18 governs auxiliary arms",
B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,AUXILIARY,A_ZERO_SHOT,zero-shot macro MAE improves by >= 0.02 on the locked benchmark,macro MAE improvement vs design-matched control,-0.003709694584322576,0.02,all 5 seeds improve,2/5,FAIL,"t2_leaderboard.csv, t3_paired_bootstrap.csv",,
B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,AUXILIARY,B_FEW_SHOT,few-shot macro MAE improves by >= 0.01 at two or more k,"macro MAE improvement at k in {1,2,3,5}",,0.01,"improvement at >= 2 k, none degraded",,NOT_EVALUABLE,t5_kshot.csv,no k-shot frontier has been produced for this arm,
B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,AUXILIARY,C_SHAPE,shape MAE improves by >= 0.10 on a scientifically important axis,shape MAE improvement on axis 'extractant' (155 curves),0.0065939167385652975,0.1,macro MAE non-worse than the design-matched control,False,FAIL,t4_shape_by_axis.csv,,
B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,AUXILIARY,D_FAR_CHEMOTYPE,clear improvement on distant held-out chemotypes,"far-band macro MAE improvement (30 units, 2138 rows)",-0.018630516936381552,BCa 95 % lower bound > 0,overall macro not degraded,False,FAIL,"t6_decomposition.csv, t3_paired_bootstrap.csv",,
B_LN_EXPANDED|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,AUXILIARY,E_ROBUSTNESS,meaningfully lower query-design sensitivity at matched accuracy,query-design sensitivity at matched accuracy,,lower than the control,matched accuracy,,NOT_EVALUABLE,runs/gen11_transfer/consistency/,the query-consistency run has not been produced for gen11 arms,
