design,pair,arm,n_units,obs_spread,spearman,top1,regret
BQ,Nd/Dy,O_BOTH,71.0,4.090574848000005,0.9708920187793426,0.5,0.03731680850000085
BQ,Nd/Dy,HEAVIER_ALWAYS,71.0,4.090574848000005,0.0,0.014084507042253521,2.0452874240000023
BQ,Nd/Dy,G14_TIED,71.0,4.090574848000005,0.6506235837302587,0.023341590020921326,1.504412142352605
BQ,Nd/Dy,_RANDOM,71.0,4.090574848000005,0.0,0.014084507042253521,2.0452874240000023
BQ,Pr/Nd,FLAT,71.0,1.3249782835000128,0.0,0.014084507042253521,0.6624891417500064
BQ,Pr/Nd,MEAN_CURVE,71.0,1.3249782835000128,-0.05251672837539183,0.00625,0.6942465427996327
BQ,Pr/Nd,G14,71.0,1.3249782835000128,0.2385129208902371,0.0,0.6813454587148138
BQ,Pr/Nd,G13_FULL,71.0,1.3249782835000128,0.33390855470094905,0.0,0.5565599416909801
BQ,Pr/Nd,O_BOTH,71.0,1.3249782835000128,0.6977095144605479,1.0,0.0
BQ,Pr/Nd,HEAVIER_ALWAYS,71.0,1.3249782835000128,0.0,0.014084507042253521,0.6624891417500064
BQ,Pr/Nd,G14_TIED,71.0,1.3249782835000128,0.29823607155397386,0.022655847541988714,0.5983559910937675
BQ,Pr/Nd,_RANDOM,71.0,1.3249782835000128,0.0,0.014084507042253521,0.6624891417500064
BQ,Sm/Eu,FLAT,77.0,2.110615111616385,0.0,0.012987012987012988,1.0553075558081926
BQ,Sm/Eu,MEAN_CURVE,77.0,2.110615111616385,-0.28394437734069466,0.00625,1.1483579041874752
BQ,Sm/Eu,G14,77.0,2.110615111616385,0.4082358667842446,0.026785714285714284,0.926695041940846
BQ,Sm/Eu,G13_FULL,77.0,2.110615111616385,0.4788032581786953,0.0,1.4911339819565326
BQ,Sm/Eu,O_BOTH,77.0,2.110615111616385,0.7735124826919811,0.0,0.7593964563081927
BQ,Sm/Eu,HEAVIER_ALWAYS,77.0,2.110615111616385,0.0,0.012987012987012988,1.0553075558081926
BQ,Sm/Eu,G14_TIED,77.0,2.110615111616385,0.5108826672889553,0.02070183711563022,0.9384265323297534
BQ,Sm/Eu,_RANDOM,77.0,2.110615111616385,0.0,0.012987012987012988,1.0553075558081926
BQ,Eu/Gd,FLAT,70.0,1.6474275469810429,0.0,0.014285714285714285,0.8237137734905214
BQ,Eu/Gd,MEAN_CURVE,70.0,1.6474275469810429,-0.251866848527011,0.003125,0.879804371121482
BQ,Eu/Gd,G14,70.0,1.6474275469810429,0.28393488716891435,0.004,0.7728076976521847
BQ,Eu/Gd,G13_FULL,70.0,1.6474275469810429,0.5188463885011776,0.1,0.6311268245267637
BQ,Eu/Gd,O_BOTH,70.0,1.6474275469810429,0.5591083660882155,0.0,0.7187835896612851
BQ,Eu/Gd,HEAVIER_ALWAYS,70.0,1.6474275469810429,0.0,0.014285714285714285,0.8237137734905214
BQ,Eu/Gd,G14_TIED,70.0,1.6474275469810429,0.3576970610516751,0.018947707883646827,0.76304083079812
BQ,Eu/Gd,_RANDOM,70.0,1.6474275469810429,0.0,0.014285714285714285,0.8237137734905214
BQ,La/Ce,FLAT,68.0,2.0712666813266707,0.0,0.014705882352941176,1.0356333406633353
BQ,La/Ce,MEAN_CURVE,68.0,2.0712666813266707,-0.004747370251596749,0.02269230769230769,1.0547408599288333
BQ,La/Ce,G14,68.0,2.0712666813266707,0.3579166556655407,0.02857142857142857,1.0310095062503861
BQ,La/Ce,G13_FULL,68.0,2.0712666813266707,0.3964317438945491,0.0,1.5110400152935077
BQ,La/Ce,O_BOTH,68.0,2.0712666813266707,0.8128489221361292,0.0,0.8057347022257162
BQ,La/Ce,HEAVIER_ALWAYS,68.0,2.0712666813266707,0.0,0.014705882352941176,1.0356333406633353
BQ,La/Ce,G14_TIED,68.0,2.0712666813266707,0.3895721827611716,0.02334549508462552,0.9284191138513567
BQ,La/Ce,_RANDOM,68.0,2.0712666813266707,0.0,0.014705882352941176,1.0356333406633353
BQ,Dy/Ho,FLAT,57.0,1.2886539464998008,0.0,0.017543859649122806,0.6443269732499004
BQ,Dy/Ho,MEAN_CURVE,57.0,1.2886539464998008,-0.13100905054412812,0.008928571428571428,0.6875967623193885
BQ,Dy/Ho,G14,57.0,1.2886539464998008,0.20091570476352608,0.0,0.5920782500534599
BQ,Dy/Ho,G13_FULL,57.0,1.2886539464998008,0.11723034881472523,0.0,0.6003452401205174
BQ,Dy/Ho,O_BOTH,57.0,1.2886539464998008,0.6828280210259511,0.5,0.017376686185217538
BQ,Dy/Ho,HEAVIER_ALWAYS,57.0,1.2886539464998008,0.0,0.017543859649122806,0.6443269732499004
BQ,Dy/Ho,G14_TIED,57.0,1.2886539464998008,0.30351246590682424,0.01186291445366885,0.5867618913439839
BQ,Dy/Ho,_RANDOM,57.0,1.2886539464998008,0.0,0.017543859649122806,0.6443269732499004
BQ,Er/Yb,FLAT,58.0,2.9722245269820182,0.0,0.017241379310344827,1.4861122634910091
BQ,Er/Yb,MEAN_CURVE,58.0,2.9722245269820182,-0.10702962132683984,0.011142857142857144,1.543590878552469
BQ,Er/Yb,G14,58.0,2.9722245269820182,0.21641100252843634,0.0125,1.400585925506795
BQ,Er/Yb,G13_FULL,58.0,2.9722245269820182,0.22134553479792363,0.0,1.3556214558588262
BQ,Er/Yb,O_BOTH,58.0,2.9722245269820182,0.6865589000612123,0.5,0.4004497632038138
