split_seed,extractant,chemotype,n_pairs,n_cells,n_adjacent,n_far,n_strong,y_abs_mean,arm,mae_all,mae_adjacent,mae_far,sign_acc_strong,pair_spearman,n_cells_spearman
262147,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,sc009,178,9,51,36,60,0.27437443345911433,S3_HIER_shrink8,0.2306118411085165,0.1155598187266127,0.40808714767386245,0.9333333333333333,0.5892260504464502,9
262147,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,sc061,91,1,13,49,82,1.7234663426813275,B1_MEAN_CURVE,1.487253103252824,0.3734506467789256,2.133786756852639,0.8902439024390244,0.9051758128364054,1
262147,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,sc061,91,1,13,49,82,1.7234663426813275,C_DIRECT_ROW,1.5511657420691674,0.3975735175872646,2.2339088171660495,0.975609756097561,0.976169525800032,1
262147,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,sc061,91,1,13,49,82,1.7234663426813275,M_PHYSICS_radius+radius_sq,0.7876608981361928,0.26971513151687165,1.0333808127967807,0.8902439024390244,0.9497469638692061,1
262147,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,sc061,91,1,13,49,82,1.7234663426813275,S2_CENTRED_ROW,0.912953930043099,0.26252909346486986,1.2591374744739283,0.8658536585365854,0.9233403287388207,1
262147,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,sc061,91,1,13,49,82,1.7234663426813275,S2_CENTRED_ROW_basic,1.052974466242731,0.28660697160347887,1.4793986454382773,0.9634146341463414,0.9666452991365999,1
262147,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,sc061,91,1,13,49,82,1.7234663426813275,S2_CENTRED_ROW_rel,0.947284613941091,0.2678658880539293,1.3116031529749101,0.8902439024390244,0.9329680796051163,1
262147,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,sc061,91,1,13,49,82,1.7234663426813275,S2_REL_PHYSICS,0.7932837262773468,0.2699894100645027,1.0431388793327632,0.8902439024390244,0.9500973534788975,1
262147,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,sc061,91,1,13,49,82,1.7234663426813275,S2_STACK_CENTRED+PHYSICS,0.8210211662745479,0.2577552927450764,1.0984974440907032,0.8902439024390244,0.9559743428414501,1
262147,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,sc061,91,1,13,49,82,1.7234663426813275,S3_EXT_LEVEL,0.8501077914904294,0.27749085772341914,1.1323798498360413,0.8902439024390244,0.9504318162881485,1
262147,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,sc061,91,1,13,49,82,1.7234663426813275,S3_EXTW_LOWRANK_K2,0.7172771551460334,0.23405990155265752,0.9613145351106207,0.975609756097561,0.9839895848163284,1
262147,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,sc061,91,1,13,49,82,1.7234663426813275,S3_EXTW_PHYSICS,0.7749309276772527,0.26817519514276716,1.0131148351312629,0.8902439024390244,0.9490939650511447,1
262147,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,sc061,91,1,13,49,82,1.7234663426813275,S3_HIER,0.9081998715107011,0.28204000987264566,1.2298066737856521,0.8902439024390244,0.9520802401337427,1
262147,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,sc061,91,1,13,49,82,1.7234663426813275,S3_HIER_shrink8,0.9135106285220823,0.28204469980744096,1.2395298629076001,0.8902439024390244,0.9525660075471786,1
262147,CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,sc068,3,1,0,3,2,0.705327964666667,B1_MEAN_CURVE,1.1345832988971674,,1.1345832988971674,0.0,,0
262147,CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,sc068,3,1,0,3,2,0.705327964666667,C_DIRECT_ROW,0.6005192208185273,,0.6005192208185273,1.0,,0
262147,CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,sc068,3,1,0,3,2,0.705327964666667,M_PHYSICS_radius+radius_sq,0.7202696226154396,,0.7202696226154396,0.5,,0
262147,CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,sc068,3,1,0,3,2,0.705327964666667,S2_CENTRED_ROW,0.7056499172386124,,0.7056499172386124,0.0,,0
262147,CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,sc068,3,1,0,3,2,0.705327964666667,S2_CENTRED_ROW_basic,0.6767427638033747,,0.6767427638033747,0.5,,0
262147,CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,sc068,3,1,0,3,2,0.705327964666667,S2_CENTRED_ROW_rel,0.6921487898715376,,0.6921487898715376,0.5,,0
262147,CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,sc068,3,1,0,3,2,0.705327964666667,S2_REL_PHYSICS,0.7230663639261975,,0.7230663639261975,0.5,,0
262147,CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,sc068,3,1,0,3,2,0.705327964666667,S2_STACK_CENTRED+PHYSICS,0.696040571118607,,0.696040571118607,0.5,,0
262147,CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,sc068,3,1,0,3,2,0.705327964666667,S3_EXT_LEVEL,0.6452256098505776,,0.6452256098505776,1.0,,0
262147,CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,sc068,3,1,0,3,2,0.705327964666667,S3_EXTW_LOWRANK_K2,0.7111488307956524,,0.7111488307956524,0.5,,0
262147,CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,sc068,3,1,0,3,2,0.705327964666667,S3_EXTW_PHYSICS,0.7522317575796736,,0.7522317575796736,0.5,,0
262147,CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,sc068,3,1,0,3,2,0.705327964666667,S3_HIER,0.6617870162857789,,0.6617870162857789,1.0,,0
262147,CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,sc068,3,1,0,3,2,0.705327964666667,S3_HIER_shrink8,0.6565490674723289,,0.6565490674723289,1.0,,0
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,sc068,91,1,13,49,2,0.12401183137362634,B1_MEAN_CURVE,0.34071309964046204,0.09085833069728144,0.5068649060121984,0.0,-0.03937312241286239,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,sc068,91,1,13,49,2,0.12401183137362634,C_DIRECT_ROW,0.15767790735189408,0.040155795729934926,0.22205384444222243,0.5,0.361662401382481,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,sc068,91,1,13,49,2,0.12401183137362634,M_PHYSICS_radius+radius_sq,0.15086225378551535,0.043818522461955715,0.21064987128315893,0.0,-0.1308640558609986,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,sc068,91,1,13,49,2,0.12401183137362634,S2_CENTRED_ROW,0.14986834158863244,0.0470791545354274,0.20215055644956456,1.0,0.412800464479907,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,sc068,91,1,13,49,2,0.12401183137362634,S2_CENTRED_ROW_basic,0.14216563034247687,0.03981879471620657,0.19505901536423123,1.0,0.43612324465891994,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,sc068,91,1,13,49,2,0.12401183137362634,S2_CENTRED_ROW_rel,0.1456565626662599,0.046029871470281515,0.19665311921867917,1.0,0.3992512673882058,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,sc068,91,1,13,49,2,0.12401183137362634,S2_REL_PHYSICS,0.14720446810050566,0.04402080447905498,0.2039017702151851,0.0,-0.1476631485514147,1
262147,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,sc068,91,1,13,49,2,0.12401183137362634,S2_STACK_CENTRED+PHYSICS,0.14530504438898256,0.0374633466121401,0.20646877231056768,0.0,0.2917338879973872,1
