data_cohort,model,axis_label,split_seed,n_curves,n_curves_guarded,n_ligands,slope_true_median,slope_pred_median,slope_mae,slope_mae_median,slope_ratio_median,slope_pearson,slope_spearman,slope_sign_agree,span_true_median,span_pred_median,span_recovery_median,span_recovery_median_unguarded,span_recovery_q25,span_recovery_q75,compression_median,shape_mae,shape_mae_median,within_curve_spearman,within_curve_sign_accuracy,row_mae,n_distinct_pred_median,n_distinct_true_median,step_share_pred_median,linear_r2_pred_median,linear_r2_true_median
CORRECTED,REC_ecfp_plus_recovered,metal_series,169954.6,321.0,242.0,84.0,0.0856338783168053,0.04034872316033417,0.09410912071690344,0.07654059287115869,0.28344757779421925,0.3575096388750631,0.3736475783625123,0.7713395638629283,1.0261096605744122,0.424684519308035,0.32589655964982106,0.3752119590577526,0.1893673979156756,0.523754757535062,0.3445759232895516,0.2981302413678958,0.2414665160739406,0.49268409753060044,0.7266829925321923,1.0948742469089072,8.0,8.0,1.0,0.8597567837798831,0.874586388178975
CORRECTED,REC_ecfp_plus_recovered,temperature,169954.6,32.0,32.0,5.0,-0.04032650561688559,0.0008744610008706102,0.03895765035174236,0.04225676334697846,-0.02785113964831527,-0.18982572127002453,-0.1252559901200921,0.4375,1.1765941508309075,0.10127569721113261,0.0769109410958949,0.0769109410958949,0.029079505786843207,0.10216610607469925,0.0907134205678633,0.3951396560359267,0.39391063443567925,-0.05512366154039468,0.5620833333333334,1.2354814683140372,2.8,4.0,0.64,0.6528717900636927,0.9893613987029377
FROZEN,GEN10_LEVEL_SHAPE,acid,169954.6,421.0,390.0,68.0,1.6557758087863772,0.45555484873797136,1.4210933028582462,1.1988696517012505,0.27359339399071403,0.20551958953469257,0.28080234484091204,0.8156769596199525,1.9269282814614344,0.708564154202831,0.32406162891243256,0.3319095670535884,0.11604389281696097,0.5468653227402869,0.30321633242349477,0.5481824696485763,0.4897112633664647,0.5692440344291073,0.7712938430963133,1.2044888466621562,5.0,5.0,1.0,0.9200200434995589,0.917337219586492
FROZEN,GEN10_LEVEL_SHAPE,contact_time,169954.6,8.0,0.0,8.0,0.00014296899524398737,-4.364647216909995e-05,0.0037927543666210367,0.001167529351342349,1.1887452242534132e-14,0.18891690429568253,0.4000000000000001,0.525,0.06287846248431395,0.051596009020094744,,0.41460490443971343,,,,0.07899514111254946,0.03733931046350893,0.019087428362998777,0.5104166666666666,2.1083515828737904,3.4,5.0,0.6533333333333333,0.5241175653870143,0.1646628381999693
FROZEN,GEN10_LEVEL_SHAPE,extractant,169954.6,155.0,155.0,25.0,2.573675226299942,1.1232947889068303,1.5260931276564307,1.5149606106109235,0.3789915896082633,0.3522099680535765,0.3830427500265093,0.9548387096774194,2.073913043478258,1.0281160504725908,0.4229498346800713,0.4229498346800713,0.30706456819251543,0.667090496950528,0.41927575507914305,0.4765235708993525,0.4520878887996288,0.8569927517163027,0.9127087715152232,1.1308923360032035,5.0,5.0,1.0,0.955389722793776,0.9940258395786431
FROZEN,GEN10_LEVEL_SHAPE,metal_concentration,169954.6,9.0,6.0,4.0,-1.1226193871745382,0.012834636177621931,0.8587763589848698,1.1284385972775792,-0.004736049827326726,0.09369285243082116,0.019999999999999997,0.3555555555555555,0.72923076923077,0.01263413104935025,0.022204641064533525,0.0218656036008835,0.010193216297483024,0.05473463989217346,0.023998630206878306,0.2720301212797434,0.23415256757897335,-0.22182176784497912,0.4099775297324316,0.4988680453193055,4.6,8.0,0.65,0.5287306257665021,0.7515429813530872
FROZEN,GEN10_LEVEL_SHAPE,metal_series,169954.6,321.0,242.0,84.0,0.08443469855079262,0.0780689950008296,0.09613665962191889,0.072649971686742,0.5566291157708901,0.1341964365672664,0.18146050018357365,0.7800623052959501,1.0261096605744122,0.9244228838582904,0.5820742763449761,0.6763531916035921,0.34564263153346203,0.8960726529921678,0.5676936878014941,0.3029700559308986,0.25390350371184817,0.49436309105454407,0.7270251267275264,1.0976644651972822,8.0,8.0,1.0,0.9004484276213931,0.8742223263723046
FROZEN,GEN10_LEVEL_SHAPE,temperature,169954.6,32.0,32.0,5.0,-0.04032650561688559,0.0006864603277922617,0.03923114200383863,0.04358051218381002,-0.01850502924479853,0.12962762722989654,0.20527859237536655,0.41875,1.1765941508309075,0.19673864234672067,0.18031647105055043,0.18031647105055043,0.10014196047734822,0.4186147700607477,0.18421123901805223,0.41755337000127823,0.3944763953329854,0.09516411101324182,0.5617708333333333,1.3293629477168563,4.0,4.0,0.865,0.3134865932751126,0.9893613987029377
FROZEN,GEN10_REC_ALL,acid,169954.6,421.0,390.0,68.0,1.6557758087863772,0.7557247637517541,1.2530003892284411,0.9713046993210052,0.468800874592138,0.2706025394210561,0.36289413024678707,0.8323040380047505,1.9269282814614344,0.9892320308996929,0.4863281282666434,0.504697988547713,0.24972969628750868,0.7885152164348616,0.48496967941340935,0.5043251856145232,0.44598097488117333,0.599653531812166,0.7852537422556967,1.2078346730025853,5.0,5.0,1.0,0.9648010920524175,0.917337219586492
FROZEN,GEN10_REC_ALL,contact_time,169954.6,8.0,0.0,8.0,0.00014296899524398737,-1.2368841607557051e-05,0.004572811746083686,0.0010336065535440924,1.4196641387558265e-14,0.17180450285213686,0.35714285714285715,0.55,0.06287846248431395,0.062092083704035884,,0.42469953012030837,,,,0.07936690846531025,0.03587360523812241,0.16768034541063256,0.545625,1.8933461608539521,3.2,5.0,0.6266666666666667,0.5550166328722288,0.1646628381999693
FROZEN,GEN10_REC_ALL,extractant,169954.6,155.0,155.0,25.0,2.573675226299942,1.8884166293268336,1.1935566500627197,1.1319767914938539,0.6373487476413541,0.38713906825326455,0.410424100435263,0.9638709677419355,2.073913043478258,1.6785924975064532,0.6570380140813955,0.6570380140813955,0.46838786715802305,1.0341458754273274,0.6745591988982752,0.38318323883080596,0.3523268322796668,0.8829623759933533,0.9241744062389223,1.0202150886484904,5.0,5.0,1.0,0.9698948544764319,0.9940258395786431
FROZEN,GEN10_REC_ALL,metal_concentration,169954.6,9.0,6.0,4.0,-1.1226193871745382,0.0020289545279892013,0.8470614068630427,1.1188561703361877,0.0008235277721174768,0.15233254645555055,0.06666666666666668,0.6,0.72923076923077,0.00838330805315319,0.010213915561527254,0.012391981097855215,0.006310887856769138,0.020941014317375863,0.011477088394878945,0.2747140734066578,0.23593844916640316,0.03199207684196762,0.523708796649973,0.5338383034847454,4.2,8.0,0.5833333333333333,0.4061999815262506,0.7515429813530872
FROZEN,GEN10_REC_ALL,metal_series,169954.6,321.0,242.0,84.0,0.08443469855079262,0.10416196947028496,0.10580980890245004,0.07314620730518592,0.7373702150995312,0.13449479407773177,0.19549688365841772,0.8249221183800624,1.0261096605744122,1.1293337051509202,0.7375851901235825,0.8667314217344056,0.42542938170022876,1.1614340206406548,0.7383098608913777,0.3174159864547974,0.26289854244271504,0.5740182487757725,0.7665614011766737,1.0824823894697524,8.0,8.0,1.0,0.9260337298741341,0.8742223263723046
FROZEN,GEN10_REC_ALL,temperature,169954.6,32.0,32.0,5.0,-0.04032650561688559,0.0005180706119948337,0.04034633605694822,0.043903991877224616,-0.01746693210633234,0.043744677480847406,0.060703812316715546,0.40625,1.1765941508309075,0.22967670898508272,0.2198631718244081,0.2198631718244081,0.10678791487989561,0.4870173586994627,0.2298685642617298,0.4251611917422025,0.3990801043810708,-0.028722883421414592,0.5130208333333333,1.2233148092561346,4.0,4.0,0.865,0.36357560001371664,0.9893613987029377
FROZEN,GEN10_REC_GEN9_PLUS,acid,169954.6,421.0,390.0,68.0,1.6557758087863772,0.6698940128455135,1.3645909060877441,1.0773381156634523,0.3366897284289615,0.22228875804700846,0.2699783099080796,0.8318289786223279,1.9269282814614344,0.8287722208412761,0.37800883339882085,0.39084454308139344,0.2225504581865164,0.6608777764974425,0.3571428932071222,0.5403648406124172,0.47518188579299725,0.6022860136260221,0.7865363614107375,1.2201795989003164,5.0,5.0,1.0,0.948689243843597,0.917337219586492
