chemotype,n_cells,n_extractants,element,n_cells_el,mean_resid,lo,hi
sc076,11,1,Eu,6,0.03488462017384549,0.03488462017384549,0.03488462017384549
sc076,11,1,Gd,6,0.02249590642818033,0.02249590642818033,0.02249590642818033
sc076,11,1,Tb,5,0.004836372652877419,0.004836372652877419,0.004836372652877419
sc076,11,1,Dy,6,0.0022402056159812143,0.0022402056159812143,0.0022402056159812143
sc076,11,1,Ho,5,-0.001823493184172091,-0.001823493184172091,-0.001823493184172091
sc076,11,1,Er,6,-0.0023416849118460975,-0.0023416849118460975,-0.0023416849118460975
sc076,11,1,Tm,5,-0.012554078622597437,-0.012554078622597437,-0.012554078622597437
sc076,11,1,Yb,5,-0.01381642992748093,-0.01381642992748093,-0.01381642992748093
sc076,11,1,Lu,6,0.012482765088084283,0.012482765088084283,0.012482765088084283
sc027,10,6,La,5,-0.14144689831926519,-0.20250033119347693,-0.07091289186997304
sc027,10,6,Ce,10,0.05196788667019331,-0.008250103378298103,0.17495656733627019
sc027,10,6,Pr,10,0.06472866115255851,0.04044286180199501,0.1151524461048903
sc027,10,6,Nd,10,0.012236047159360521,-0.039453193058187376,0.04595558924405676
sc027,10,6,Sm,10,-0.020342659868090845,-0.03954401571415595,0.00486142079137577
sc027,10,6,Eu,9,0.018895125277738213,-0.07027918990764823,0.06508607247525805
sc027,10,6,Gd,10,-0.13555497804610175,-0.1518967327863016,-0.12365629923923216
sc027,10,6,Tb,10,-0.0003580884386950131,-0.04495725818735955,0.020742377468835272
sc027,10,6,Dy,10,0.027232710898553992,-0.0038519703603645777,0.05693919259445458
sc027,10,6,Ho,5,0.06789981172597927,0.02818710926965861,0.11637243407719364
sc027,10,6,Er,5,0.06439680509644415,0.034174850617911326,0.09735397887653906
sc027,10,6,Tm,5,0.04669494245722507,0.03521515974820056,0.059538214743700274
sc027,10,6,Yb,5,0.006046774931036186,-0.011766369311715296,0.02256811755082881
sc027,10,6,Lu,5,-0.07742182044690551,-0.1510716780058511,-0.01805709139668457
sc077,10,1,La,10,-0.11982735791328603,-0.11982735791328603,-0.11982735791328603
sc077,10,1,Ce,10,-0.009845120740672675,-0.009845120740672675,-0.009845120740672675
sc077,10,1,Pr,10,0.15472811600509262,0.15472811600509262,0.15472811600509262
sc077,10,1,Nd,10,0.09131191613407534,0.09131191613407534,0.09131191613407534
sc077,10,1,Sm,10,0.08299416959681438,0.08299416959681438,0.08299416959681438
sc077,10,1,Eu,10,0.007449799819658781,0.007449799819658781,0.007449799819658781
sc077,10,1,Gd,10,-0.23318593000238708,-0.23318593000238708,-0.23318593000238708
sc077,10,1,Tb,10,-0.0928075177534426,-0.0928075177534426,-0.0928075177534426
sc077,10,1,Dy,10,-0.03229342281223282,-0.03229342281223282,-0.03229342281223282
sc077,10,1,Ho,10,0.03508954143785893,0.03508954143785893,0.03508954143785893
sc077,10,1,Er,10,0.09687509151535492,0.09687509151535492,0.09687509151535492
sc077,10,1,Tm,10,0.037640199469497634,0.037640199469497634,0.037640199469497634
sc077,10,1,Yb,10,-0.009830144184126284,-0.009830144184126284,-0.009830144184126284
sc077,10,1,Lu,10,-0.008299340572204616,-0.008299340572204616,-0.008299340572204616
