extractant,ae,absy,ae_mc,log_resid,skill_vs_meancurve,chemotype,n_cells,max_n_metals
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,0.2253409920559842,0.27437443345911433,0.2052247973514491,-0.0887173883985769,-0.0201161947045351,sc009,9,8
CCCCN(C)C(=O)CC(=O)N(C)CCCC,0.1413531957368572,0.1361584974285715,0.4121456984976139,-0.09535408870651485,0.2707925027607567,sc031,3,3
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,0.3321430956421316,0.5138977473571429,0.3922929361721834,-0.09568041645010888,0.06014984053005179,sc084,1,8
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,0.5228112930095479,1.0461637732620186,0.9132809369073248,-0.09740663160965665,0.39046964389777694,sc009,1,13
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,0.5085062964166294,1.0311703719666234,0.8546586629585644,-0.10541931404770263,0.34615236654193504,sc009,1,14
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,0.5941177042245126,1.3333960447716453,1.150401172791263,-0.1097061563470434,0.5562834685667505,sc009,1,14
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,0.2751707253281107,0.4048763256703297,0.35023386211184376,-0.11073845855398279,0.07506313678373305,sc068,1,14
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.15506953424861986,0.16695513519002816,0.1348457371925284,-0.11214212796287881,-0.020223797056091453,sc017,1,6
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.27268036928716716,0.40937643174086646,0.3050432886723994,-0.11777719154749688,0.032362919385232225,sc009,21,8
CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,0.08716230784318782,0.07043650359999995,0.18421426325884327,-0.12105438345167097,0.09705195541565545,sc036,1,5
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,0.2508696337972859,0.38450525272527475,0.2576181570107575,-0.136459245872809,0.0067485232134716355,sc070,1,14
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.15141509553888638,0.17757490829629627,0.25549298282194843,-0.1397407110096739,0.10407788728306205,sc008,2,13
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.14520933736956523,0.1716825887680148,0.13708532783374955,-0.14848070055541407,-0.008124009535815685,sc027,1,14
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,0.3846740242826061,0.7955269945786233,0.5875364254600595,-0.15408591015706535,0.20286240117745336,sc020,3,7
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,0.2269912584474863,0.3536647308316527,0.20852774941283486,-0.15652265719842184,-0.018463509034651437,sc009,1,8
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,0.15675402245415399,0.23226484772222217,0.46854502654192964,-0.19975574858591238,0.31179100408777566,sc030,1,9
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,0.26458528103595025,0.5589096608214286,0.40235189608951333,-0.21791490012522735,0.13776661505356308,sc085,1,8
CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,0.17095406282481382,0.28518372098901096,0.5221134277038205,-0.21948129184413956,0.3511593648790067,sc059,1,14
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,0.17974334985090742,0.3217713084119852,0.1897087815984947,-0.2314558667639779,0.009965431747587267,sc009,1,8
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,0.1063139325713836,0.15059394988461564,0.37896557563987493,-0.24724260823795696,0.2726516430684913,sc086,2,14
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.19561587480464276,0.4006714609262982,0.2098329073638495,-0.25601776424281364,0.014217032559206727,sc027,5,8
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,0.38680904993427634,1.2150717582417583,1.0386425337400709,-0.270101329507248,0.6518334838057945,sc009,1,14
CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,0.3702486951307987,1.1575091208791208,0.9854995018664721,-0.2755353974349315,0.6152508067356733,sc057,1,14
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.12858801459647734,0.22430237443528864,0.10822906397537597,-0.2760211152123271,-0.020358950621101365,sc008,1,6
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,0.17166427713246546,0.37727662638130094,0.20940982945892,-0.29592123452798624,0.037745552326454546,sc010,1,8
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,0.17442322186873263,0.39511508107142856,0.20686976239053947,-0.30191323030580997,0.032446540521806844,sc027,1,14
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,0.20843938212785207,0.5615598713855251,0.3890142259803811,-0.3228233922285727,0.18057484385252903,sc007,1,14
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.13980047739863927,0.3431918738880579,0.17317052821759243,-0.35861890198423196,0.03337005081895317,sc009,6,14
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.10315819015409773,0.3197713204273231,0.15813775692629067,-0.4708617851388518,0.05497956677219294,sc009,3,8
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,0.1455010343426611,0.9642210884792991,0.7954092741730505,-0.6300812861040044,0.6499082398303895,sc033,1,14
