extractant,mae_best,mae_incumbent,mae_meancurve,mean_abs_y,frac_beats_meancurve,mae_best_sd_over_seeds,chemotype,n_cells,extractant_name,mean_n_metals,max_n_metals,replicate_sd_median,n_publications,n_pairs_per_seed,ratio_mae_over_absy,gain_vs_incumbent,gain_vs_meancurve,noise_floor_pairwise,at_or_below_floor
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,0.5163139583871122,0.5916655867784915,0.777220901558023,0.534935726388889,0.9,0.06189789160861394,sc031,1,N-N-dimethyl-N-N-dioctylpropanediamide,9.0,9,,1,36,0.9651887748693027,0.07535162839137921,0.2609069431709108,,False
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,0.5085062964166294,0.5518415344356175,0.8546586629585644,1.0311703719666234,0.9340659340659341,0.03896942465293791,sc009,1,DMDdecHDGA,14.0,14,,1,91,0.49313509216407986,0.04333523801898809,0.34615236654193504,,False
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],0.4954241302151109,0.554760378613296,0.6135379644371944,0.39273563198901096,0.7450549450549451,0.0334987442519576,sc055,2,2-6-bis(dioctylphosphorylmethyl)-1-oxidopyridin-1-ium,14.0,14,,1,182,1.2614697772800336,0.059336248398185076,0.11811383422208355,,False
CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,0.4577817545233535,0.5787428698572794,0.5415182791313604,0.3665168371428583,0.6461538461538462,0.010243892791363255,sc075,1,N-N-dimethyl-N-N-diphenylpropanediamide,14.0,14,,1,91,1.2490060704767094,0.1209611153339259,0.0837365246080069,,False
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,0.45424021544407045,0.414725898609413,0.42451063726960125,0.3322335813259807,0.40930232558139534,0.027549986335231376,sc009,2,DOODA (C8),7.0,8,0.6215448772485663,1,43,1.3672314930692675,-0.03951431683465745,-0.029729578174469196,0.8789971950284431,True
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.44467737570654703,0.487454680269695,0.601460185102073,0.718357263242339,0.7634943592710443,0.040105075354761724,sc009,171,TODGA,5.2748538011695905,14,0.12881737427361148,18,3457,0.6190198087501405,0.04277730456314799,0.15678280939552597,0.18217527776703238,False
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.4411790768291536,0.4154785241306179,0.5767409106886922,0.6534342867416089,0.8329411764705883,0.09202060692046628,sc018,17,DBD1MHDGA,4.764705882352941,6,0.003701322300649473,1,170,0.6751697696016546,-0.02570055269853566,0.13556183385953857,0.005234460196292472,False
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,0.4343975949825298,0.41287535681226456,0.4964608558441232,0.6605436359176023,0.778021978021978,0.06704142247837507,sc009,1,DMDetHDGA,14.0,14,,1,91,0.6576364851037902,-0.021522238170265218,0.06206326086159342,,False
O=C(COCC(=O)N1CCCCC1)N1CCCCC1,0.4318656824400481,0.42392281593387243,0.2252989910314888,0.04131868131868131,0.21758241758241761,0.06721585167408584,sc083,1,DPiperidineDGA,14.0,14,,1,91,10.452068378203293,-0.00794286650617565,-0.2065666914085593,,False
C1COCCOCCOCCOCCOCCO1,0.41692160049763904,0.486758188235542,0.7121849956894764,0.4034118878000001,1.0,0.06993955621857197,sc001,1,1-4-7-10-13-16-hexaoxacyclooctadecane,5.0,5,,1,10,1.0334886330973387,0.06983658773790297,0.2952633951918373,,False
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,0.4052414487245268,0.36888879438731603,0.6222264759941633,0.3464787522000003,0.96,0.08435281461140279,sc000,1,2-5-8-15-18-21-hexaoxatricyclo[20.4.0.09-14]hexacosane,5.0,5,,1,10,1.1695997118189991,-0.036352654337210744,0.21698502726963648,,False
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,0.38680904993427634,0.4168746673609368,1.0386425337400709,1.2150717582417583,0.9648351648351647,0.09611995315477018,sc009,1,N-(3-7-dimethyloctyl)-2-[2-[3-7-dimethyloctyl(hexyl)amino]-2-oxoethoxy]-N-hexylacetamide,14.0,14,,1,91,0.3183425565696626,0.030065617426660474,0.6518334838057945,,False
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,0.3846740242826061,0.3256686069914932,0.5875364254600595,0.7955269945786233,0.8984126984126984,0.1043246688986925,sc020,3,DMDO-HPyranDGA,7.0,7,0.11195760402438439,1,63,0.4835461611033843,-0.059005417291112916,0.20286240117745336,0.15833196202208102,False
c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,0.3821452241973088,0.3994797239176636,0.7286088251841039,0.4354591918000005,1.0,0.02837969134094772,sc096,1,3-10-13-16-23-pentaoxa-29-azatetracyclo[23.3.1.04-9.017-22]nonacosa-1(29)-4-6-8-17-19-21-25-27-nonaene,5.0,5,,1,10,0.8775683953706093,0.017334499720354835,0.3464636009867951,,False
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,0.374365371664989,0.4470585168542109,0.5121389569873849,0.33831106333333333,0.7444444444444445,0.05281931745621729,sc036,1,N-N-N-N-tetrabutylpropanediamide,9.0,9,,1,36,1.10657147294096,0.07269314518922187,0.13777358532239586,,False
CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,0.3702486951307987,0.33291517047749786,0.9854995018664721,1.1575091208791208,0.9692307692307693,0.08501127922382477,sc057,1,N-(3-7-dimethyloct-6-enyl)-2-[2-[3-7-dimethyloct-6-enyl(hexyl)amino]-2-oxoethoxy]-N-hexylacetamide,14.0,14,,1,91,0.31986676256131547,-0.037333524653300865,0.6152508067356733,,False
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,0.352552138613546,0.3684840438174372,0.5297049747918539,0.344101734945055,0.6857142857142857,0.018260367235479802,sc029,1,N-(4-methylphenyl)-N-octyl-1-10-phenanthroline-2-carboxamide,14.0,14,,1,91,1.0245578641730484,0.015931905203891206,0.17715283617830785,,False
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,0.3454439586563227,0.3035730008036218,0.23200886472876542,0.23845110013186815,0.3186813186813187,0.020584027316489836,sc069,1,N-(2-5-dimethylphenyl)-6-[6-[(2-5-dimethylphenyl)-ethylcarbamoyl]-2-pyridinyl]-N-ethylpyridine-2-carboxamide,14.0,14,,1,91,1.4486993705010605,-0.041870957852700896,-0.1134350939275573,,False
c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,0.34313303247663285,0.36106622033836455,0.5969371311518031,0.3594450262000003,0.82,0.009043149707615635,sc097,1,2-5-8-15-18-21-hexaoxatricyclo[20.4.0.09-14]hexacosa-1(26)-9-11-13-22-24-hexaene,5.0,5,,1,10,0.9546189471702657,0.017933187861731703,0.2538040986751703,,False
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,0.3321430956421316,0.394880599256314,0.3922929361721834,0.5138977473571429,0.6214285714285714,0.06114966902803036,sc084,1,2-[[2-[bis(carboxymethyl)amino]cyclohexyl]-(carboxymethyl)amino]acetic acid,8.0,8,,1,28,0.6463213690861006,0.0627375036141824,0.06014984053005179,,False
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.3306198937847099,0.24288651063518657,0.12886680598495875,0.14994282561166777,0.23829787234042552,0.05579596473356353,sc009,20,DHD2DGA,6.4,14,0.0069360240491084255,1,376,2.2049730784784063,-0.08773338314952334,-0.20175308779975115,0.009809019279195086,False
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.31193495937982824,0.3138236584201112,0.36956711557401983,0.3331691120150303,0.6353846153846154,0.014864731423354942,sc077,10,DMDPhPDA,14.0,14,,1,910,0.9362661427202047,0.0018886990402829373,0.0576321561941916,,False
COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,0.29076269791724735,0.22043073824556955,0.24920476950535236,0.04274725274725268,0.4747252747252747,0.07163294037961737,sc078,1,TEtOMeDGA,14.0,14,,1,91,6.801903730197828,-0.0703319596716778,-0.041557928411894984,,False
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.28743092726984265,0.23881262973995235,0.27305521228707486,0.31765546623123314,0.41463414634146345,0.03503235206598284,sc009,14,TDDGA,2.4285714285714284,8,,1,41,0.9048511920163561,-0.0486182975298903,-0.014375714982767795,,False
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,0.2870600690318839,0.3289489392643234,0.5084548927764319,0.2774160303846154,0.8505494505494505,0.02718254042442685,sc068,1,N-ethyl-6-[6-[ethyl(phenyl)carbamoyl]-2-pyridinyl]-N-phenylpyridine-2-carboxamide,14.0,14,,1,91,1.0347638117159195,0.04188887023243948,0.22139482374454794,,False
CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,0.2818906904472312,0.2823641465578097,0.40469261806824275,0.3110053405274725,0.7846153846153846,0.009744957532129898,sc068,1,2-N-6-N-diethyl-2-N-6-N-bis(3-methylphenyl)pyridine-2-6-dicarboxamide,14.0,14,,1,91,0.9063853693609822,0.00047345611057852954,0.12280192762101155,,False
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.28056748634011863,0.2864278301279143,0.2783527545605082,0.2966101059603053,0.5176954732510287,0.0161044814046044,sc076,11,DMDPDGA,7.090909090909091,8,,3,243,0.9459134422670898,0.005860343787795652,-0.002214731779610457,,False
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,0.2771560593162272,0.2487215926672947,0.38901820293171996,0.18843170866141704,0.5763779527559054,0.07884505189786278,sc029,2,2-N-2-N-9-N-9-N-tetraoctyl-1-10-phenanthroline-2-9-dicarboxamide,11.5,14,,1,127,1.4708567962637025,-0.02843446664893251,0.11186214361549274,,False
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,0.2751707253281107,0.28867175359042063,0.35023386211184376,0.4048763256703297,0.6945054945054945,0.06800692514192644,sc068,1,2-N-6-N-diethyl-2-N-6-N-bis(4-methylphenyl)pyridine-2-6-dicarboxamide,14.0,14,,1,91,0.6796414309296225,0.013501028262309922,0.07506313678373305,,False
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,0.2728356849967385,0.30305777528614797,0.47470244792155436,0.2952265731666667,0.7555555555555555,0.06688483500587979,sc036,1,N-N-N-N-tetrahexylpropanediamide,9.0,9,,1,36,0.9241569350287189,0.030222090289409476,0.20186676292481587,,False
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.27268036928716716,0.27624796912121036,0.3050432886723994,0.40937643174086646,0.6178137651821862,0.0050370161982452874,sc009,21,TDdDGA,4.857142857142857,8,0.0019119895148922146,2,247,0.6660871221325527,0.0035675998340432002,0.032362919385232225,0.0027039615030757247,False
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,0.26458528103595025,0.37850414157085066,0.40235189608951333,0.5589096608214286,0.6642857142857143,0.11927979164946001,sc085,1,2-[2-[bis(carboxymethyl)amino]ethyl-(2-hydroxyethyl)amino]acetic acid,8.0,8,,1,28,0.4733954332567623,0.11391886053490041,0.13776661505356308,,False
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0.2619539869600691,0.3451630594389716,0.5443924791347619,0.30874036000000005,0.8666666666666666,0.05175682692462765,sc092,1,2-(3-4-dihydroxyphenyl)-3-5-7-trihydroxychromen-4-one,3.0,3,,1,3,0.8484604570651828,0.08320907247890247,0.28243849217469275,,False
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,0.2577222517909008,0.2740726365149983,0.46744966669521737,0.2902813708333334,0.7611111111111111,0.0527497607493437,sc036,1,N-N-N-N-tetraoctylpropanediamide,9.0,9,,1,36,0.8878360021900042,0.0163503847240975,0.20972741490431657,,False
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,0.2508696337972859,0.2640897817674378,0.2576181570107575,0.38450525272527475,0.5384615384615384,0.06796244664491807,sc070,1,2-N-6-N-diethyl-2-N-6-N-bis(2-methylphenyl)pyridine-2-6-dicarboxamide,14.0,14,,1,91,0.6524478716979447,0.013220147970151919,0.0067485232134716355,,False
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.2508604393818306,0.1521898350985627,0.1946638142940628,0.2563453078834993,0.4197802197802198,0.02248632889670976,sc027,1,Et-Me-TDDGA-Syn,14.0,14,,1,91,0.9786035931495911,-0.0986706042832679,-0.05619662508776782,,False
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,0.2269912584474863,0.2140253410642111,0.20852774941283486,0.3536647308316527,0.5071428571428571,0.062263206204895886,sc009,1,D2EHDODGA,8.0,8,,1,28,0.6418261100384817,-0.01296591738327521,-0.018463509034651437,,False
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,0.2253409920559842,0.2227261508970022,0.2052247973514491,0.27437443345911433,0.45056179775280897,0.0230873376300129,sc009,9,TPrDGA,6.666666666666667,8,,1,178,0.8212900495685695,-0.002614841158982001,-0.0201161947045351,,False
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,0.21935555297573348,0.1504763507215761,0.11069530393770446,0.22601019671930095,0.2897435897435897,0.04503955473898703,sc027,1,Et-Me-TODGA-Anti,13.0,13,,1,78,0.970556002162007,-0.06887920225415736,-0.10866024903802901,,False
CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,0.21535990173644665,0.307689216253188,0.394126457286357,0.20350245166666664,0.7222222222222222,0.05650988190053326,sc031,1,N-N-dihexyl-N-N-dimethylpropanediamide,9.0,9,,1,36,1.05826686594028,0.09232931451674137,0.17876655554991033,,False
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,0.21214383850052104,0.16477109407838256,0.21021429441551326,0.1487637754725275,0.5142857142857143,0.021478533343009573,sc069,1,N-(2-4-dimethylphenyl)-6-[6-[(2-4-dimethylphenyl)-ethylcarbamoyl]-2-pyridinyl]-N-ethylpyridine-2-carboxamide,14.0,14,,1,91,1.4260450020623339,-0.047372744422138485,-0.0019295440850077838,,False
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,0.20843938212785207,0.19743489839075107,0.3890142259803811,0.5615598713855251,0.7076923076923076,0.03858809147545505,sc007,1,DMDdecdDGA,14.0,14,,1,91,0.3711792682293588,-0.011004483737101,0.18057484385252903,,False
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.19561587480464276,0.12483219955555928,0.2098329073638495,0.4006714609262982,0.5657142857142857,0.025922606982739318,sc027,5,mTDDGA,8.0,8,,1,140,0.4882201351511419,-0.07078367524908348,0.014217032559206727,,False
CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,0.19396528924378256,0.17822761842695442,0.39845441192154146,0.17097448284615396,0.7142857142857143,0.05150568407857364,sc029,1,2-N-2-N-9-N-9-N-tetrabutyl-1-10-phenanthroline-2-9-dicarboxamide,14.0,14,,1,91,1.134469226137775,-0.015737670816828142,0.2044891226777589,,False
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,0.17974334985090742,0.18680316246434525,0.1897087815984947,0.3217713084119852,0.5714285714285714,0.05004000033231429,sc009,1,DIBDODGA,8.0,8,,1,28,0.5586058954043537,0.007059812613437827,0.009965431747587267,,False
CCN(CC)C(=O)COCC(=O)N(CC)CC,0.174477605129764,0.20973250745493024,0.14565191066083455,0.13776322576304637,0.4356589147286821,0.020907681322824043,sc071,12,TEDGA,7.0,8,,1,258,1.2665034820676064,0.03525490232516623,-0.028825694468929464,,False
