metal_state,class,Z,pc1,pc2
Ce(III),replicate,58,-0.154106,-1.54468
Cf(III),replicate,98,0.369128,-2.32231
Cm(III),replicate,96,0.264901,-2.0551
Dy(III),replicate,66,-0.00851914,-2.45425
Er(III),replicate,68,0.321336,-2.86377
Eu(III),replicate,63,-0.832078,-2.16491
Gd(III),replicate,64,-0.676426,-2.55561
Hf(IV),replicate,,2.23596,-0.610461
Ho(III),replicate,67,0.253935,-2.69432
In(III),replicate,,-2.63549,3.38474
La(III),replicate,57,-0.40941,-1.14457
Lu(III),replicate,71,0.534224,-3.32893
Nd(III),replicate,60,-0.581912,-1.76528
Np(IV),replicate,93,0.764885,-1.18092
Np(V),replicate,93,-0.434163,0.584026
Np(VI),replicate,93,0.843643,-0.260083
Pa(V),replicate,91,0.304637,-0.518337
Pb(II),replicate,,-2.14795,2.924
Pd(II),replicate,,4.44421,0.787111
Pd(IV),replicate,,2.133,0.356516
Pm(III),replicate,61,-0.338956,-2.32619
Pr(III),replicate,59,-0.552584,-1.60733
Pu(III),replicate,94,1.28259,-1.57999
Pu(IV),replicate,94,1.21513,-1.0665
Pu(VI),replicate,94,1.19517,-0.142258
Sm(III),replicate,62,-0.50193,-2.10146
Sr(II),replicate,,-1.24208,1.95138
Sr(III),replicate,,-1.27458,1.35774
Tb(III),replicate,65,-0.283664,-2.35702
Tc(VII),replicate,,3.52061,-0.635203
Th(IV),replicate,90,0.268156,-1.78454
Tm(III),replicate,69,0.411363,-2.98933
U(IV),replicate,92,-0.0275783,-0.459239
U(VI),replicate,92,0.548304,0.533516
Y(III),replicate,,0.314385,-0.924624
Yb(III),replicate,70,0.547293,-3.0779
Zr(IV),replicate,,3.33235,-2.10746
Am(III),replicate,95,0.810252,-1.42517
Am(VI),replicate,95,0.254758,-1.22711
Ba(II),replicate,,-0.41593,3.88021
Bi(III),replicate,,-2.05453,1.77883
Ca(II),replicate,,1.01961,0.698507
Cd(II),replicate,,-3.10855,5.31344
Ce(III),replicate,58,-0.842391,-1.51142
Cf(III),replicate,98,0.967998,-1.63668
Cm(III),replicate,96,0.74801,-1.62868
Dy(III),replicate,66,-0.312748,-3.14087
Er(III),replicate,68,-0.267229,-3.33046
Eu(III),replicate,63,-0.222345,-2.80897
Gd(III),replicate,64,-0.702387,-2.89265
Hf(IV),replicate,,3.21065,-1.08193
Ho(III),replicate,67,-0.354493,-3.38502
In(III),replicate,,-0.718865,2.84278
La(III),replicate,57,-0.877401,-1.14233
Lu(III),replicate,71,-0.356216,-3.53764
Nd(III),replicate,60,-0.682452,-2.15751
Np(IV),replicate,93,1.49607,-1.48205
Np(V),replicate,93,0.139673,-0.579786
Np(VI),replicate,93,0.395855,-0.950034
Pa(V),replicate,91,0.622331,-0.512919
Pb(II),replicate,,-3.15277,2.9058
Pd(II),replicate,,0.671534,3.49443
Pd(IV),replicate,,2.12608,2.7521
Pm(III),replicate,61,-0.277557,-2.76205
Pr(III),replicate,59,-0.927132,-1.73992
Pu(III),replicate,94,0.850545,-1.08222
Pu(IV),replicate,94,1.66962,-1.49876
Pu(VI),replicate,94,0.495386,-0.956919
Sm(III),replicate,62,-0.791416,-2.51705
Sr(II),replicate,,0.263368,2.59864
Sr(III),replicate,,1.28453,2.83467
Tb(III),replicate,65,-0.414711,-3.22099
Tc(VII),replicate,,3.8224,-0.287485
Th(IV),replicate,90,0.417575,-2.38715
Tm(III),replicate,69,-0.271691,-3.31785
U(IV),replicate,92,0.296861,-1.43214
U(VI),replicate,92,1.23839,-0.713554
Y(III),replicate,,0.745136,0.588725
Yb(III),replicate,70,-0.277431,-3.45988
Zr(IV),replicate,,2.15756,-2.15672
Am(III),replicate,95,0.54471,-0.306891
Am(VI),replicate,95,0.699362,-0.443381
Ba(II),replicate,,-1.90335,6.09421
Bi(III),replicate,,-1.31213,-1.60115
Ca(II),replicate,,-1.46487,1.28133
Cd(II),replicate,,-1.27746,4.10971
Ce(III),replicate,58,-0.0768415,-0.31178
Cf(III),replicate,98,1.63721,-1.33223
Cm(III),replicate,96,1.34213,-0.681043
Dy(III),replicate,66,0.700022,-2.61908
Er(III),replicate,68,0.825158,-3.16663
Eu(III),replicate,63,-0.691933,-2.15097
Gd(III),replicate,64,0.0107798,-2.31573
Hf(IV),replicate,,1.11332,-2.24455
Ho(III),replicate,67,0.823794,-3.09533
In(III),replicate,,-1.86204,2.16756
La(III),replicate,57,-0.0594299,0.128419
Lu(III),replicate,71,1.0058,-3.60249
Nd(III),replicate,60,0.0279703,-1.31013
Np(IV),replicate,93,-0.214333,-1.76132
Np(V),replicate,93,0.91683,0.122986
Np(VI),replicate,93,0.544332,-1.56441
Pa(V),replicate,91,0.443814,-0.404238
Pb(II),replicate,,-3.04818,2.16109
Pd(II),replicate,,1.67683,1.53437
Pd(IV),replicate,,1.05017,1.3896
Pm(III),replicate,61,-0.275473,-2.0538
Pr(III),replicate,59,-0.275355,-0.798422
Pu(III),replicate,94,1.36891,-0.415831
Pu(IV),replicate,94,0.0503389,-1.78559
Pu(VI),replicate,94,0.827561,-1.51067
Sm(III),replicate,62,0.0780226,-1.80629
Sr(II),replicate,,-1.58721,3.0433
Sr(III),replicate,,0.451464,2.25606
Tb(III),replicate,65,0.261216,-2.6417
Tc(VII),replicate,,2.54829,-2.48329
Th(IV),replicate,90,-0.267662,-0.756834
Tm(III),replicate,69,0.95381,-3.42182
U(IV),replicate,92,0.194743,-0.234915
U(VI),replicate,92,0.0287209,-1.22178
Y(III),replicate,,0.491358,-2.00097
Yb(III),replicate,70,0.818031,-3.57543
Zr(IV),replicate,,1.55753,-2.94571
Am(III),replicate,95,-1.33227,-0.879724
Am(VI),replicate,95,0.217858,-1.53855
Ba(II),replicate,,-2.86856,2.60061
Bi(III),replicate,,-2.34276,-0.749266
Ca(II),replicate,,-1.705,0.219639
Cd(II),replicate,,0.194755,5.44305
Ce(III),replicate,58,-0.513877,-0.672385
Cf(III),replicate,98,-0.547887,-1.57288
Cm(III),replicate,96,-1.43594,-1.5328
Dy(III),replicate,66,-0.192857,-1.92436
Er(III),replicate,68,-0.062175,-2.04251
Eu(III),replicate,63,0.20591,-1.57496
Gd(III),replicate,64,-0.154172,-2.14807
Hf(IV),replicate,,2.84977,-0.00531843
Ho(III),replicate,67,0.00196071,-2.09658
In(III),replicate,,0.59965,0.937345
La(III),replicate,57,-0.594547,-0.682219
Lu(III),replicate,71,0.195097,-2.14051
Nd(III),replicate,60,0.237377,-1.87468
Np(IV),replicate,93,-0.460443,-1.29978
Np(V),replicate,93,-0.997131,-1.9839
Np(VI),replicate,93,0.908329,-1.83914
Pa(V),replicate,91,0.194683,-1.30862
Pb(II),replicate,,-3.19335,0.706512
Pd(II),replicate,,5.92237,3.11182
Pd(IV),replicate,,6.66073,-0.798811
Pm(III),replicate,61,0.449147,-1.65315
Pr(III),replicate,59,-0.362959,-1.63421
Pu(III),replicate,94,-0.96073,-0.519255
Pu(IV),replicate,94,-0.194802,-0.0988262
Pu(VI),replicate,94,1.10257,-0.638245
Sm(III),replicate,62,0.237779,-1.80021
Sr(II),replicate,,-1.00595,1.35515
Sr(III),replicate,,-0.225377,0.242989
Tb(III),replicate,65,0.193064,-2.00869
Tc(VII),replicate,,5.21812,-1.9589
Th(IV),replicate,90,-0.834613,-0.811193
Tm(III),replicate,69,0.399623,-2.16256
U(IV),replicate,92,-0.584919,-0.698563
U(VI),replicate,92,1.2013,-0.742507
Y(III),replicate,,-2.7282,-0.894515
Yb(III),replicate,70,0.702134,-2.04021
Zr(IV),replicate,,4.28225,-0.566805
Am(III),replicate,95,0.0938882,-1.34891
Am(VI),replicate,95,1.11804,-1.44421
Ba(II),replicate,,0.367752,1.35223
Bi(III),replicate,,-3.10057,1.06061
Ca(II),replicate,,-0.943447,-0.112678
Cd(II),replicate,,-4.28102,4.75581
Ce(III),replicate,58,1.04009,-1.70843
Cf(III),replicate,98,0.0507045,-2.0601
Cm(III),replicate,96,0.0962575,-2.31325
Dy(III),replicate,66,-0.215377,-2.12383
Er(III),replicate,68,-0.107273,-2.27246
Eu(III),replicate,63,0.0562424,-1.8197
Gd(III),replicate,64,-0.165496,-1.87716
Hf(IV),replicate,,2.0022,-1.16263
Ho(III),replicate,67,-0.162735,-2.32699
In(III),replicate,,-5.02698,2.74306
La(III),replicate,57,0.896839,-1.27794
Lu(III),replicate,71,-0.147064,-2.18939
Nd(III),replicate,60,0.683862,-1.71517
Np(IV),replicate,93,1.65508,-0.429719
Np(V),replicate,93,0.348406,-0.0944782
Np(VI),replicate,93,1.65163,-0.962749
Pa(V),replicate,91,-0.354813,0.321202
Pb(II),replicate,,-3.2767,2.8385
Pd(II),replicate,,4.02322,-0.342809
Pd(IV),replicate,,2.2597,-0.815736
Pm(III),replicate,61,0.31147,-1.9615
Pr(III),replicate,59,0.716259,-1.61369
Pu(III),replicate,94,1.38411,-1.47112
Pu(IV),replicate,94,1.62763,-0.202436
Pu(VI),replicate,94,1.57488,-0.800582
Sm(III),replicate,62,0.0515451,-1.64551
Sr(II),replicate,,-0.56322,1.02852
Sr(III),replicate,,-2.66049,1.09882
Tb(III),replicate,65,-0.491909,-2.18073
Tc(VII),replicate,,3.49798,-2.36775
Th(IV),replicate,90,0.841971,-1.07917
Tm(III),replicate,69,-0.0878034,-2.40413
U(IV),replicate,92,0.389948,0.189325
U(VI),replicate,92,1.3848,0.858894
Y(III),replicate,,0.436651,-0.611873
Yb(III),replicate,70,-0.299468,-2.22367
Zr(IV),replicate,,1.99918,-1.56228
Am(III),replicate,95,-0.0150009,-1.47065
Am(VI),replicate,95,0.884738,-1.38633
Ba(II),replicate,,-2.49073,2.24894
Bi(III),replicate,,-2.07144,0.456949
Ca(II),replicate,,-0.423662,0.84926
Cd(II),replicate,,-3.65809,4.35689
Ce(III),replicate,58,-1.6893,-0.315566
Cf(III),replicate,98,0.171256,-2.12704
Cm(III),replicate,96,0.0694238,-1.99567
Dy(III),replicate,66,0.834452,-1.90102
Er(III),replicate,68,0.98897,-2.24931
Eu(III),replicate,63,-0.190729,-1.57659
Gd(III),replicate,64,0.301599,-1.47687
Hf(IV),replicate,,2.52246,-1.35829
Ho(III),replicate,67,0.918973,-2.13731
In(III),replicate,,-1.93628,2.51715
La(III),replicate,57,-1.7539,0.0141984
Lu(III),replicate,71,1.17588,-2.65262
Nd(III),replicate,60,-0.849534,-1.19956
Np(IV),replicate,93,1.55756,-1.58605
Np(V),replicate,93,0.740943,-1.62919
Np(VI),replicate,93,1.48223,-1.94433
Pa(V),replicate,91,0.572874,-1.3561
Pb(II),replicate,,-5.02535,2.46361
Pd(II),replicate,,3.04906,1.43997
Pd(IV),replicate,,4.09116,-0.0135832
Pm(III),replicate,61,-0.126336,-1.51102
Pr(III),replicate,59,-0.71852,-0.684272
Pu(III),replicate,94,0.0486936,-1.62363
Pu(IV),replicate,94,1.4423,-1.42016
Pu(VI),replicate,94,1.29047,-1.79688
Sm(III),replicate,62,-0.314121,-1.11655
Sr(II),replicate,,-1.35534,1.74112
Sr(III),replicate,,0.307818,1.14763
Tb(III),replicate,65,0.437782,-2.08987
Tc(VII),replicate,,2.73415,-1.18719
Th(IV),replicate,90,-0.413599,-1.54436
Tm(III),replicate,69,1.0367,-2.56758
U(IV),replicate,92,0.36271,-1.22601
U(VI),replicate,92,1.99437,-0.793405
Y(III),replicate,,-0.595701,0.802305
Yb(III),replicate,70,0.760548,-2.78719
Zr(IV),replicate,,2.52645,-1.58963
Am(III),replicate,95,-0.0782948,-1.30925
Am(VI),replicate,95,0.55037,0.0734107
Ba(II),replicate,,-1.27328,1.33533
Bi(III),replicate,,-7.49184,2.53342
Ca(II),replicate,,-0.0210762,0.225945
Cd(II),replicate,,-1.61241,7.23946
Ce(III),replicate,58,-0.386317,-1.89904
Cf(III),replicate,98,-0.342336,-1.81512
Cm(III),replicate,96,-0.180254,-1.75588
Dy(III),replicate,66,0.340875,-2.46213
Er(III),replicate,68,0.538989,-2.51532
Eu(III),replicate,63,0.498777,-1.98546
Gd(III),replicate,64,0.533009,-2.69316
Hf(IV),replicate,,2.12349,-2.84533
Ho(III),replicate,67,0.417408,-2.53197
In(III),replicate,,-2.92548,3.18794
La(III),replicate,57,-0.326667,-1.90495
Lu(III),replicate,71,0.77159,-2.7472
Nd(III),replicate,60,0.526219,-2.19222
Np(IV),replicate,93,1.54865,-1.1084
Np(V),replicate,93,1.08835,0.42635
Np(VI),replicate,93,2.46722,-0.010468
Pa(V),replicate,91,1.13616,0.42662
Pb(II),replicate,,-8.47869,3.05592
Pd(II),replicate,,3.51985,2.13092
Pd(IV),replicate,,1.80445,-0.980713
Pm(III),replicate,61,0.470207,-2.45136
Pr(III),replicate,59,-0.0431889,-2.21702
Pu(III),replicate,94,-0.250869,-1.24735
Pu(IV),replicate,94,0.870704,-1.5438
Pu(VI),replicate,94,1.7312,-0.460157
Sm(III),replicate,62,0.389181,-2.29368
Sr(II),replicate,,0.0734097,0.566556
Sr(III),replicate,,0.833501,2.61834
Tb(III),replicate,65,0.265087,-2.3689
Tc(VII),replicate,,4.35931,-2.40762
Th(IV),replicate,90,-0.296446,-2.08581
Tm(III),replicate,69,0.512717,-2.53596
U(IV),replicate,92,0.531161,-0.779886
U(VI),replicate,92,2.59459,0.493808
Y(III),replicate,,-0.527472,0.669688
Yb(III),replicate,70,0.486059,-2.57494
Zr(IV),replicate,,1.92805,-3.53642
Am(III),replicate,95,-0.433753,-0.776406
Am(VI),replicate,95,0.374566,-0.766072
Ba(II),replicate,,-2.57212,2.77089
Bi(III),replicate,,1.13232,-0.098069
Ca(II),replicate,,-1.60327,0.33749
Cd(II),replicate,,-0.620324,2.98316
Ce(III),replicate,58,0.245362,-0.919593
Cf(III),replicate,98,0.305528,-1.072
Cm(III),replicate,96,-0.253768,-1.16937
Dy(III),replicate,66,0.0264205,-2.41015
Er(III),replicate,68,0.0850624,-2.61034
Eu(III),replicate,63,-0.902254,-1.59776
Gd(III),replicate,64,-0.336039,-2.07531
Hf(IV),replicate,,1.62964,-3.32401
Ho(III),replicate,67,0.032107,-2.5051
In(III),replicate,,-1.76818,2.1226
La(III),replicate,57,0.00850242,-0.773545
Lu(III),replicate,71,0.21818,-2.65691
Nd(III),replicate,60,-0.0552324,-1.25436
Np(IV),replicate,93,0.0839114,-2.08173
Np(V),replicate,93,-0.340528,0.590101
Np(VI),replicate,93,0.371816,-0.664229
Pa(V),replicate,91,2.00468,0.323167
Pb(II),replicate,,-0.413296,1.37324
Pd(II),replicate,,1.8291,0.247899
Pd(IV),replicate,,0.822056,2.59712
Pm(III),replicate,61,-0.569323,-1.78523
Pr(III),replicate,59,-0.303167,-1.18798
Pu(III),replicate,94,0.341049,-1.29213
Pu(IV),replicate,94,1.08675,-2.62573
Pu(VI),replicate,94,1.32084,-1.06131
Sm(III),replicate,62,-0.354445,-1.69227
Sr(II),replicate,,-2.17655,1.19321
Sr(III),replicate,,-0.942379,2.22035
Tb(III),replicate,65,-0.215619,-2.28941
Tc(VII),replicate,,2.86282,-0.194445
Th(IV),replicate,90,0.879712,-1.20711
Tm(III),replicate,69,0.150552,-2.66845
U(IV),replicate,92,1.51321,0.420993
U(VI),replicate,92,1.9736,-0.874718
Y(III),replicate,,0.295067,-0.785984
Yb(III),replicate,70,0.201128,-2.58717
Zr(IV),replicate,,2.74222,-2.44913
Am(III),replicate,95,-0.233019,-0.900812
Am(VI),replicate,95,1.44994,-0.035794
Ba(II),replicate,,-3.974,4.23032
Bi(III),replicate,,-2.26356,1.556
Ca(II),replicate,,-1.00647,1.3993
Cd(II),replicate,,0.171295,3.46085
Ce(III),replicate,58,-1.42301,-1.69151
Cf(III),replicate,98,0.903426,-1.11629
Cm(III),replicate,96,0.26892,-1.04676
Dy(III),replicate,66,0.0444201,-2.4586
Er(III),replicate,68,0.328148,-2.89194
Eu(III),replicate,63,-0.467421,-1.9518
Gd(III),replicate,64,-0.452122,-2.55097
Hf(IV),replicate,,2.61688,-2.36595
Ho(III),replicate,67,0.176945,-2.80702
In(III),replicate,,-0.255497,2.29253
La(III),replicate,57,-1.41334,-1.71467
Lu(III),replicate,71,0.431333,-3.13877
Nd(III),replicate,60,-0.777173,-2.24638
Np(IV),replicate,93,0.23809,-1.49611
Np(V),replicate,93,1.0361,-0.627232
Np(VI),replicate,93,1.64675,-0.895723
Pa(V),replicate,91,1.98616,-0.761285
Pb(II),replicate,,-4.9719,3.25156
Pd(II),replicate,,2.65112,2.98401
Pd(IV),replicate,,1.83427,2.47493
Pm(III),replicate,61,-0.605085,-1.95923
Pr(III),replicate,59,-1.13483,-1.99505
Pu(III),replicate,94,0.841182,-1.07875
Pu(IV),replicate,94,0.711416,-1.98072
Pu(VI),replicate,94,2.07807,-1.34563
Sm(III),replicate,62,-0.36498,-2.26094
Sr(II),replicate,,-2.06919,2.47346
Sr(III),replicate,,-0.239129,2.10327
Tb(III),replicate,65,-0.201406,-2.47712
Tc(VII),replicate,,3.76701,-0.80081
Th(IV),replicate,90,0.242067,-1.72853
Tm(III),replicate,69,0.34074,-3.01329
U(IV),replicate,92,0.611684,-0.928917
U(VI),replicate,92,1.41025,-0.765272
Y(III),replicate,,-0.394296,-1.35914
Yb(III),replicate,70,0.41276,-3.09017
Zr(IV),replicate,,4.72338,-3.02084
Am(III),replicate,95,-0.550397,-1.17302
Am(VI),replicate,95,1.0065,-0.45523
Ba(II),replicate,,-3.76074,3.12926
Bi(III),replicate,,-4.42059,0.0570768
Ca(II),replicate,,-2.11533,-0.12136
Cd(II),replicate,,-2.12118,3.43551
Ce(III),replicate,58,-0.981394,-1.54179
Cf(III),replicate,98,0.0716939,-1.63847
Cm(III),replicate,96,-0.770452,-1.13055
Dy(III),replicate,66,-0.159197,-2.6045
Er(III),replicate,68,-0.12768,-2.55208
Eu(III),replicate,63,-0.52758,-2.61386
Gd(III),replicate,64,-0.551168,-2.64196
Hf(IV),replicate,,4.60474,-0.658855
Ho(III),replicate,67,-0.200819,-2.81561
In(III),replicate,,-1.4203,4.58792
La(III),replicate,57,-1.14679,-1.23619
Lu(III),replicate,71,-0.0928827,-2.84718
Nd(III),replicate,60,-0.6924,-2.2041
Np(IV),replicate,93,1.19456,-0.794984
Np(V),replicate,93,-0.505442,0.501909
Np(VI),replicate,93,1.9191,-0.27852
Pa(V),replicate,91,0.960494,0.307483
Pb(II),replicate,,-6.07126,2.30323
Pd(II),replicate,,6.98761,0.571935
Pd(IV),replicate,,8.0782,2.81625
Pm(III),replicate,61,-0.381222,-2.84696
Pr(III),replicate,59,-0.851065,-1.82939
Pu(III),replicate,94,0.0771606,-1.09514
Pu(IV),replicate,94,1.54537,-1.36197
Pu(VI),replicate,94,2.19674,-0.851899
Sm(III),replicate,62,-0.478568,-2.44115
Sr(II),replicate,,-2.30069,0.964396
Sr(III),replicate,,-0.122013,1.94077
Tb(III),replicate,65,-0.291912,-2.86889
Tc(VII),replicate,,5.13208,-1.63014
Th(IV),replicate,90,-0.851337,-1.85724
Tm(III),replicate,69,-0.107868,-2.81577
U(IV),replicate,92,-0.300356,-0.20623
U(VI),replicate,92,2.15849,0.468834
Y(III),replicate,,1.55839,-0.952751
Yb(III),replicate,70,-0.180916,-3.19107
Zr(IV),replicate,,3.26635,-2.10349
Am(III),replicate,95,0.012385,-1.24664
Am(VI),replicate,95,1.42345,0.111315
Ba(II),replicate,,-0.230793,4.19266
Bi(III),replicate,,-3.34685,2.15337
Ca(II),replicate,,-0.825351,1.43693
Cd(II),replicate,,-2.09765,5.42469
Ce(III),replicate,58,-0.404618,-2.16567
Cf(III),replicate,98,-0.229654,-2.04771
Cm(III),replicate,96,-0.0532105,-1.48381
Dy(III),replicate,66,-0.118763,-3.64349
Er(III),replicate,68,0.14402,-4.03602
Eu(III),replicate,63,-0.638175,-2.72762
Gd(III),replicate,64,-0.283406,-3.48025
Hf(IV),replicate,,3.21765,-0.384073
Ho(III),replicate,67,-0.00936324,-3.95294
In(III),replicate,,-1.93808,4.05113
La(III),replicate,57,-0.265513,-1.95251
Lu(III),replicate,71,0.543916,-4.19596
Nd(III),replicate,60,-0.391236,-2.66266
Np(IV),replicate,93,0.260693,-1.41598
Np(V),replicate,93,-1.60494,0.872615
Np(VI),replicate,93,0.523103,0.213613
Pa(V),replicate,91,0.55615,-0.171198
Pb(II),replicate,,-4.92687,4.64611
Pd(II),replicate,,3.14478,0.849593
Pd(IV),replicate,,3.43979,2.56383
Pm(III),replicate,61,-0.329112,-3.13041
Pr(III),replicate,59,-0.233145,-2.29442
Pu(III),replicate,94,1.37415,-1.34813
Pu(IV),replicate,94,1.13569,-1.96223
Pu(VI),replicate,94,1.36248,-0.303339
Sm(III),replicate,62,-0.312536,-3.12453
Sr(II),replicate,,0.169526,2.16571
Sr(III),replicate,,1.62108,2.92157
Tb(III),replicate,65,-0.294897,-3.61718
Tc(VII),replicate,,3.63898,0.159483
Th(IV),replicate,90,0.514198,-1.91776
Tm(III),replicate,69,0.386752,-4.11357
U(IV),replicate,92,0.127758,-0.511039
U(VI),replicate,92,0.131763,0.462386
Y(III),replicate,,-1.14435,-0.419336
Yb(III),replicate,70,0.506432,-4.14585
Zr(IV),replicate,,4.11972,-2.04644
Am(III),replicate,95,-0.575243,-0.917399
Am(VI),replicate,95,0.520122,-0.351509
Ba(II),replicate,,-2.56166,2.38197
Bi(III),replicate,,-1.85629,-0.935973
Ca(II),replicate,,-0.870082,1.46232
Cd(II),replicate,,-0.799584,3.35798
Ce(III),replicate,58,-0.465474,-1.86551
Cf(III),replicate,98,0.575889,-1.43749
Cm(III),replicate,96,0.355617,-1.01588
Dy(III),replicate,66,0.00711986,-2.39148
Er(III),replicate,68,0.114474,-2.47314
Eu(III),replicate,63,-1.17803,-2.4358
Gd(III),replicate,64,-0.655786,-2.54209
Hf(IV),replicate,,1.5456,-1.6392
Ho(III),replicate,67,-0.00918351,-2.47688
In(III),replicate,,-1.76284,2.76364
La(III),replicate,57,-0.695518,-1.61974
Lu(III),replicate,71,0.0850102,-2.56906
Nd(III),replicate,60,-0.632288,-2.0377
Np(IV),replicate,93,0.858361,-1.33747
Np(V),replicate,93,1.59115,0.835762
Np(VI),replicate,93,1.80146,-0.36802
Pa(V),replicate,91,1.15331,0.956733
Pb(II),replicate,,-3.86211,-0.281284
Pd(II),replicate,,4.6033,0.232205
Pd(IV),replicate,,3.74027,0.510263
Pm(III),replicate,61,-0.887809,-2.47264
Pr(III),replicate,59,-0.654272,-2.02082
Pu(III),replicate,94,1.16598,-0.74878
Pu(IV),replicate,94,1.4865,-1.50239
Pu(VI),replicate,94,2.36009,-0.49284
Sm(III),replicate,62,-0.82659,-2.4347
Sr(II),replicate,,-1.403,1.79471
Sr(III),replicate,,-0.215114,2.80814
Tb(III),replicate,65,-0.55844,-2.44024
Tc(VII),replicate,,3.57891,-1.57483
Th(IV),replicate,90,-0.515185,-0.844912
Tm(III),replicate,69,0.0949586,-2.49707
U(IV),replicate,92,0.044407,0.260226
U(VI),replicate,92,1.54088,-0.0928221
Y(III),replicate,,1.0784,-0.122988
Yb(III),replicate,70,-0.277105,-2.55893
Zr(IV),replicate,,1.63574,-1.14015
Am(III),replicate,95,0.141441,-1.98694
Am(VI),replicate,95,2.01225,-0.632866
Ba(II),replicate,,-2.30827,1.81367
Bi(III),replicate,,-6.04736,2.00286
Ca(II),replicate,,-1.22107,0.436332
Cd(II),replicate,,-4.36874,7.77474
Ce(III),replicate,58,-0.837376,-1.35373
Cf(III),replicate,98,0.394699,-2.78539
Cm(III),replicate,96,0.145739,-2.42505
Dy(III),replicate,66,0.179412,-2.42637
Er(III),replicate,68,0.370624,-2.66573
Eu(III),replicate,63,-0.50144,-2.32363
Gd(III),replicate,64,-0.034301,-2.36214
Hf(IV),replicate,,3.50312,-2.29584
Ho(III),replicate,67,0.282138,-2.61443
In(III),replicate,,-1.45791,4.6189
La(III),replicate,57,-0.988767,-1.48096
Lu(III),replicate,71,0.569461,-2.97682
Nd(III),replicate,60,-0.393471,-1.86363
Np(IV),replicate,93,1.32825,-1.0832
Np(V),replicate,93,1.33527,0.239645
Np(VI),replicate,93,2.21187,0.0145745
Pa(V),replicate,91,1.57165,0.771743
Pb(II),replicate,,-7.68537,3.04527
Pd(II),replicate,,2.24209,2.40386
Pd(IV),replicate,,5.18483,0.429427
Pm(III),replicate,61,-0.659748,-2.57341
Pr(III),replicate,59,-0.567866,-1.61147
Pu(III),replicate,94,0.215905,-2.15284
Pu(IV),replicate,94,1.08293,-1.8556
Pu(VI),replicate,94,1.89222,-0.750526
Sm(III),replicate,62,-0.243425,-2.19317
Sr(II),replicate,,-1.39634,0.973705
Sr(III),replicate,,1.37667,1.01883
Tb(III),replicate,65,-0.0826417,-2.79853
Tc(VII),replicate,,3.36738,-1.52638
Th(IV),replicate,90,-0.18613,-1.61251
Tm(III),replicate,69,0.434801,-2.88278
U(IV),replicate,92,0.848889,-0.0652076
U(VI),replicate,92,2.7597,0.610735
Y(III),replicate,,0.525886,-1.86225
Yb(III),replicate,70,0.183905,-3.36579
Zr(IV),replicate,,3.49502,-1.90286
Am(III),replicate,95,-0.111695,-1.33019
Am(VI),replicate,95,0.859786,-0.252638
Ba(II),replicate,,-2.17369,2.13091
Bi(III),replicate,,-0.604144,0.403593
Ca(II),replicate,,-1.33805,0.103457
Cd(II),replicate,,-2.60851,2.51665
Ce(III),replicate,58,-0.866913,-0.817062
Cf(III),replicate,98,1.08601,-1.07705
Cm(III),replicate,96,1.00835,-1.39122
