feature_set,endpoint,comparison,reference,candidate,statistic,pooled_point_delta,pooled_ci95_low,pooled_ci95_high,pooled_p_worse_one_sided,pooled_units_improved,pooled_units_total,pooled_blocks,bootstrap_replicates,block_macro_delta,n_blocks_positive,largest_block_unit_share,cluster_robust_se,cluster_robust_low,cluster_robust_high,cluster_robust_p_two_sided,bca_low,bca_high,bca_z0,bca_acceleration,preregistered,question,mean_point_delta,min_point_delta,max_point_delta,seeds_positive,n_seeds
MC_lig2d_ext_massaction,all,EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,offset_mae,-0.03375757433238521,-0.07597850660702292,0.00747605115112487,0.9492101579684064,56,131,79,5000,-0.04389806786273892,32,0.21374045801526717,0.020095569753489383,-0.07376478047222042,0.006249631807450001,0.09698751960697026,-0.07429611070866217,0.00826407343640079,0.0220601179411501,-0.001482489930222088,True,how much of the apparent gain survives destroying the new labels?,-0.0337575743323852,-0.06394842097168683,-0.006294298660798638,0,5
MC_lig2d_ext_massaction,all,EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,shape_mae,-0.0046547737101097246,-0.021065739723485865,0.017343723108240266,0.6914617076584683,57,131,79,5000,0.008007972833503312,40,0.21374045801526717,0.009457720157593325,-0.02348364816349564,0.014174100743276189,0.623983996325799,-0.021419594862299204,0.01604971492088266,0.015541720951108279,-0.024360377702147853,True,how much of the apparent gain survives destroying the new labels?,-0.004654773710109719,-0.029074071700108756,0.009378783219579578,2,5
MC_lig2d_ext_massaction,all,EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,mae,0.0021515578016346663,-0.003658861621341494,0.007964983943982297,0.23235352929414116,69,131,79,5000,0.0005609258396117427,37,0.21374045801526717,0.002803476368257922,-0.0034297349085944625,0.007732850511863796,0.4451246732480722,-0.003129097065487124,0.008694071289771416,0.014538956187067702,0.03896376513638508,False,derived (not pre-registered): needed to score A4's first clause,0.0021515578016346694,-0.012004518085411345,0.017543911669737608,3,5
MC_lig2d_ext_massaction,all,EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,offset_mae,8.498562244179753e-05,-0.00579930089973765,0.006710263447406471,0.494501099780044,65,131,79,5000,-0.00042808104484144,38,0.21374045801526717,0.0030188583058527573,-0.005925099586922991,0.0060950708318065865,0.9776131615979905,-0.005500966235769608,0.007029111306190661,0.016043109130585573,0.013725528592716302,False,derived (not pre-registered): needed to score A4's first clause,8.498562244179109e-05,-0.021112205358403784,0.019570179846932923,3,5
MC_lig2d_ext_massaction,all,EXPANDED_vs_EXPANDED_ROWMATCHED,EXPANDED_ROWMATCHED,EXPANDED,shape_mae,0.0028307499394114423,-0.0010201529589859727,0.0060387767071105715,0.09938012397520496,72,131,79,5000,0.0015956919002842916,42,0.21374045801526717,0.001932421070222312,-0.0010164048839505983,0.006677904762773483,0.14697501110845151,-0.000386601218484316,0.006726406410961957,0.05366759628332598,0.10360919830090477,False,derived (not pre-registered): needed to score A4's first clause,0.0028307499394114428,0.0024596849213139333,0.0038126962790413312,5,5
MC_lig2d_ext_massaction,nn<0.4,EXPANDED_vs_BASE,BASE,EXPANDED,mae,0.37120720011511876,0.18256115396261163,0.5753581980770615,0.0003999200159968006,32,42,37,5000,0.4210685406241043,29,0.09523809523809523,0.10077594078637023,0.16682411916312023,0.5755902810671173,0.0007507134487520474,0.17452503088773888,0.566938316133962,-0.02306302451252785,-0.010888332702977531,True,"A1 primary: does adding 61 sparse, chemically distant extractants help?",0.4116673071067304,0.34439995209448465,0.45941768298216595,5,5
MC_lig2d_ext_massaction,nn<0.4,EXPANDED_vs_BASE,BASE,EXPANDED,offset_mae,0.3783384356676513,0.17730800612611822,0.5932786277744617,0.0005998800239952009,31,42,37,5000,0.42786719309396337,28,0.09523809523809523,0.10783408454523166,0.1596407757002483,0.5970360956350543,0.0012293606007140632,0.1686475887681526,0.585869724674353,-0.014538956187067702,-0.010508734282634827,True,"A1 primary: does adding 61 sparse, chemically distant extractants help?",0.4135680609800703,0.3240125311337779,0.49090159972283653,5,5
MC_lig2d_ext_massaction,nn<0.4,EXPANDED_vs_BASE,BASE,EXPANDED,shape_mae,0.06432937902256046,0.03340613174246854,0.10407854144567409,0.0001999600079984003,31,42,37,5000,0.07083949344092698,27,0.09523809523809523,0.01797617647045986,0.0278720033622549,0.10078675468286602,0.0010100679380996049,0.0356281028908148,0.10798395725129507,0.0366049457959125,0.030783872612605654,True,"A1 primary: does adding 61 sparse, chemically distant extractants help?",0.07459247957025675,0.04855623188110361,0.10228075110568248,5,5
MC_lig2d_ext_massaction,nn<0.4,EXPANDED_ROWMATCHED_vs_BASE,BASE,EXPANDED_ROWMATCHED,mae,0.3811052629149499,0.1926515003711116,0.5857129244926166,0.0003999200159968006,32,42,37,5000,0.4294219355271256,29,0.09523809523809523,0.0999862667912989,0.17832371505508576,0.5838868107748141,0.0005204693522173757,0.1883447852448611,0.5781476277926563,-0.015040336678635672,-0.008620478641676806,True,row-budget-matched depth control: help at BASE's row count?,0.41803854020028053,0.33614819671381524,0.4795252186243151,5,5
MC_lig2d_ext_massaction,nn<0.4,EXPANDED_ROWMATCHED_vs_BASE,BASE,EXPANDED_ROWMATCHED,offset_mae,0.38605207530650987,0.18681260399980296,0.6010054556276673,0.0003999200159968006,30,42,37,5000,0.43413648937756977,27,0.09523809523809523,0.10737705952388729,0.16828130504319333,0.6038228455698265,0.0009636484473881865,0.17975922028800634,0.5940216515374565,-0.020054370352950636,-0.008527871981988065,True,row-budget-matched depth control: help at BASE's row count?,0.41857038152994896,0.3207012941173589,0.5021333324050685,5,5
