adapter,policy,k,mae,n_ligands
ZERO_SHOT,RANDOM,3,0.9989919366193941,140
ZERO_SHOT,CENTRAL,3,0.9989919366193941,140
PHYS_residual_prior,CENTRAL,1,1.0140733526936472,143
PHYS_residual_prior,CENTRAL,2,1.0140733526936472,143
PHYS_residual_prior,RANDOM,1,1.0140733526936472,143
PHYS_residual_prior,RANDOM,2,1.0140733526936472,143
PHYS_residual_prior,RANDOM,3,1.019473030878425,140
PHYS_residual_prior,CENTRAL,3,1.019473030878425,140
ZERO_SHOT,RANDOM,5,1.0605303772612387,99
ZERO_SHOT,CENTRAL,5,1.0605303772612387,99
PHYS_residual_prior,CENTRAL,5,1.0848608834859519,99
PHYS_residual_prior,RANDOM,5,1.0848608834859519,99
PHYS_prior,RANDOM,5,1.3511679824329408,99
PHYS_prior,CENTRAL,5,1.3511679824329408,99
PHYS_prior,RANDOM,3,1.3614255025825805,140
PHYS_prior,CENTRAL,3,1.3614255025825805,140
PHYS_prior,CENTRAL,2,1.3786968469456715,143
PHYS_prior,RANDOM,1,1.3786968469456715,143
PHYS_prior,RANDOM,2,1.3786968469456715,143
PHYS_prior,CENTRAL,1,1.3786968469456715,143
