adapter,policy,k,mae,n_ligands
PHYS_residual,CENTRAL,1,0.6159503344749069,143
PHYS_residual_hypernet,CENTRAL,1,0.6169131218815299,143
OFFSET_K1,CENTRAL,5,0.6188479552996771,99
OFFSET_K1,RANDOM,2,0.6224288267374765,143
PHYS_map_metalcat,RANDOM,2,0.6225911595711592,143
OFFSET_K1,RANDOM,5,0.6240126979011439,99
PHYS_map_metalcat,CENTRAL,5,0.6289250576627265,99
OFFSET_K3,CENTRAL,1,0.6395211117803841,143
OFFSET_K1,CENTRAL,1,0.6395211117803841,143
OFFSET_K2,CENTRAL,1,0.6395211117803841,143
NEAREST_OBSERVED,RANDOM,2,0.6532245030232846,143
PHYS_residual_hypernet,RANDOM,1,0.6620126444149481,143
PHYS_residual_gbm,RANDOM,1,0.6620756714979407,143
PHYS_residual,RANDOM,1,0.6632218290037698,143
PHYS_map,CENTRAL,2,0.6638203483060636,143
PHYS_residual_metalcat,RANDOM,1,0.6639059517524757,143
PHYS_map_metalcat,CENTRAL,2,0.6860714373593256,143
NEAREST_OBSERVED,CENTRAL,2,0.6912540461356353,143
OFFSET_K3,RANDOM,1,0.714000019399016,143
OFFSET_K1,RANDOM,1,0.714000019399016,143
OFFSET_K2,RANDOM,1,0.714000019399016,143
NO_MODEL,CENTRAL,3,0.7167240150984905,140
NO_MODEL,RANDOM,3,0.7254437531116995,140
NO_MODEL,CENTRAL,2,0.7338370275194565,143
NO_MODEL,RANDOM,2,0.736438525191085,143
NO_MODEL,CENTRAL,1,0.7566594449588104,143
NEAREST_OBSERVED,CENTRAL,1,0.7566594449588104,143
PHYS_map,CENTRAL,1,0.7597423449283702,143
NO_MODEL,CENTRAL,5,0.7674840261808489,99
PHYS_map_metalcat,CENTRAL,1,0.7687642384042068,143
NO_MODEL,RANDOM,5,0.773346317125921,99
PHYS_map,RANDOM,1,0.8137645149439884,143
PHYS_map_metalcat,RANDOM,1,0.8253902704242511,143
NO_MODEL,RANDOM,1,0.834818993560999,143
NEAREST_OBSERVED,RANDOM,1,0.834818993560999,143
ZERO_SHOT,RANDOM,3,1.0061286808043977,140
ZERO_SHOT,CENTRAL,3,1.0061286808043977,140
ZERO_SHOT,CENTRAL,1,1.008831949174355,143
ZERO_SHOT,CENTRAL,2,1.008831949174355,143
ZERO_SHOT,RANDOM,1,1.008831949174355,143
ZERO_SHOT,RANDOM,2,1.008831949174355,143
ZERO_SHOT_REF,NONE,0,1.008831949174355,143
PHYS_residual_prior,CENTRAL,3,1.0131187838067852,140
PHYS_residual_prior,RANDOM,3,1.0131187838067852,140
PHYS_residual_prior,CENTRAL,1,1.0151436300395642,143
PHYS_residual_prior,CENTRAL,2,1.0151436300395642,143
PHYS_residual_prior,RANDOM,1,1.0151436300395642,143
PHYS_residual_prior,RANDOM,2,1.0151436300395642,143
ZERO_SHOT,RANDOM,5,1.0575994442388128,99
ZERO_SHOT,CENTRAL,5,1.0575994442388128,99
PHYS_residual_prior,RANDOM,5,1.0668309036967394,99
PHYS_residual_prior,CENTRAL,5,1.0668309036967394,99
PHYS_prior,CENTRAL,3,1.3637735778011921,140
PHYS_prior,RANDOM,3,1.3637735778011921,140
PHYS_prior,RANDOM,5,1.3723724645664686,99
PHYS_prior,CENTRAL,5,1.3723724645664686,99
PHYS_prior,RANDOM,1,1.3807120008931548,143
PHYS_prior,RANDOM,2,1.3807120008931548,143
PHYS_prior,CENTRAL,2,1.3807120008931548,143
PHYS_prior,CENTRAL,1,1.3807120008931548,143
