design,order,budget,k_actual,macro_mae,draw_sd,macro_mae_far,macro_sign_acc,macro_pair_spearman,n_draws,n_folds_used,n_folds_skipped,n_flat_fallbacks,n_units,n_seeds
BQ,RANDOM,6,6.0,0.604218262419611,0.021259594658369536,0.8264189498737314,0.46083499787802573,0.2536231307038599,20,25,0,130,90,5
BQ,UNCERT,6,6.0,0.5780241455712577,,0.7838545906859931,0.6864658028515574,0.299311391339412,1,25,0,0,90,5
BQ,AOPT,9,9.0,0.5654876662973687,,0.7596472327164095,0.7386120150193178,0.3812992357158903,1,25,0,0,90,5
BQ,MAXMIN,9,9.0,0.5922054603220297,0.02440752919882181,0.8096170476388396,0.5324254718248465,0.22483009059773554,20,25,0,70,90,5
BQ,RANDOM,9,9.0,0.581694279134033,0.025256750731732603,0.7881252339832697,0.6429036630178189,0.30893906370902774,20,25,0,21,90,5
BQ,UNCERT,9,9.0,0.5741371227947318,,0.778644994911937,0.6962553825307184,0.31170647634665605,1,25,0,0,90,5
BQ,AOPT,12,12.0,0.5823756273601035,,0.7956113697494775,0.6512728080463451,0.25078687330468846,1,25,0,0,90,5
BQ,MAXMIN,12,12.0,0.5914990867427691,0.02220345141612388,0.8083995182935348,0.6281264273467417,0.2279170310498663,20,25,0,0,90,5
BQ,RANDOM,12,12.0,0.5539190776128172,0.02052726296680635,0.7432171111997846,0.7183161407072457,0.3716527351494552,20,25,0,1,90,5
BQ,UNCERT,12,12.0,0.5528209011861243,,0.7482010039104929,0.7480576658449082,0.3823866977434055,1,25,0,0,90,5
BQ,AOPT,16,16.0,0.5459018177599093,,0.7383135559377946,0.7212056652568792,0.3571020998633366,1,25,0,0,90,5
BQ,MAXMIN,16,16.0,0.5543850953079422,0.02196835402325575,0.749880536988212,0.6947530161950666,0.33508116443021657,20,25,0,0,90,5
BQ,RANDOM,16,16.0,0.531518130854154,0.016037104106543323,0.7081707442037499,0.7569202956539924,0.42242900377693965,20,25,0,0,90,5
BQ,UNCERT,16,16.0,0.5508716458174407,,0.7441127423862406,0.7555367649432441,0.39688334078420706,1,25,0,0,90,5
BQ,AOPT,20,20.0,0.5149549715472855,,0.6812608521729424,0.7781582178113718,0.4634616930986245,1,25,0,0,90,5
BQ,MAXMIN,20,20.0,0.5296139960141918,0.01643402646111797,0.7069762407277453,0.7458458685755666,0.41473734945166785,20,25,0,0,90,5
BQ,RANDOM,20,20.0,0.5227744477405473,0.014898565609635922,0.6947403210872959,0.7697829606984119,0.44106555281826915,20,25,0,0,90,5
BQ,UNCERT,20,20.0,0.5220789742789931,,0.6986511050839671,0.8010039779375722,0.4658506349891833,1,25,0,0,90,5
BQ,AOPT,24,24.0,0.5249174085862844,,0.701405144684137,0.756649151836649,0.42032528230049826,1,25,0,0,90,5
BQ,MAXMIN,24,24.0,0.5298500789656752,0.013101772797032864,0.7063179518842958,0.7461877628182535,0.41856778750790574,20,25,0,0,90,5
BQ,RANDOM,24,24.0,0.5083750482265098,0.007254726362606317,0.6725440564933225,0.7907311091914039,0.4729368428323834,20,25,0,0,90,5
BQ,UNCERT,24,24.0,0.5038035666057923,,0.6708022335114363,0.8116449130102744,0.48922908063088155,1,25,0,0,90,5
BQ,FLAT,full,35.08,0.5885062528901843,,0.8071706996999868,0.0,,1,25,0,0,90,5
BQ,FULL,full,35.08,0.49054320488997477,,0.6462779108490173,0.8101769497198481,0.5078459215681232,1,25,0,0,90,5
A,AOPT,6,6.0,0.5331601766296297,,0.7064062006578213,0.7584359674958613,0.43595238134285524,1,25,0,0,90,5
A,MAXMIN,6,6.0,0.5910419000262748,0.01241966835935291,0.8107563495817833,0.1656300307144382,0.18816950638916335,20,25,0,364,90,5
A,RANDOM,6,6.0,0.5967451446568506,0.017974963250944286,0.8137833935539405,0.5055207682447478,0.26237790295776203,20,25,0,116,90,5
A,UNCERT,6,6.0,0.6110972372300411,,0.8396690618564839,0.6466584696838175,0.1912640053863566,1,25,0,0,90,5
A,AOPT,9,9.0,0.5099452557538489,,0.6760363882077702,0.8011493012552868,0.4780094492689111,1,25,0,0,90,5
A,MAXMIN,9,9.0,0.5890337431560764,0.021257837553346842,0.804421186565184,0.5114975159237579,0.23892107842227067,20,25,0,97,90,5
A,RANDOM,9,9.0,0.566089675398163,0.014454829260952972,0.7617681090617285,0.6894763923908778,0.3474928505848357,20,25,0,15,90,5
A,UNCERT,9,9.0,0.6117250129550239,,0.8395397413138269,0.6939167844449727,0.28290923177286575,1,25,0,0,90,5
A,AOPT,12,12.0,0.5112670907813028,,0.6831779428560821,0.794258002176705,0.45856906465046565,1,25,0,0,90,5
A,MAXMIN,12,12.0,0.5715507145553428,0.016426761540149926,0.776299161517088,0.6689396666996783,0.28094464984504725,20,25,0,0,90,5
A,RANDOM,12,12.0,0.5495326899841583,0.01628601890955016,0.7355695625770344,0.733887576966248,0.38154412052834824,20,25,0,0,90,5
A,UNCERT,12,12.0,0.5718248856856071,,0.769650146311132,0.7284365216580352,0.3605870439167786,1,25,0,0,90,5
A,AOPT,16,16.0,0.5061413295443493,,0.6722279290856242,0.7994913754998697,0.46870903990150714,1,25,0,0,90,5
A,MAXMIN,16,16.0,0.5567369675900544,0.01781185273728881,0.7521864644313206,0.6980079696077854,0.3280556460120111,20,25,0,0,90,5
A,RANDOM,16,16.0,0.5309516983178254,0.012973141093448874,0.7054901237454918,0.7604763397377463,0.4258873899723599,20,25,0,0,90,5
A,UNCERT,16,16.0,0.5444584835951212,,0.7279346591051705,0.7500078846224778,0.40656576822234464,1,25,0,0,90,5
A,AOPT,20,20.0,0.4938201384178858,,0.6493283321428148,0.8112714322214813,0.5047563181636743,1,25,0,0,90,5
A,MAXMIN,20,20.0,0.5381353854509177,0.0174947425202094,0.721787370493223,0.7293513141957704,0.3818345618937944,20,25,0,0,90,5
A,RANDOM,20,20.0,0.5198215220853311,0.010691185297426926,0.6880242286800975,0.7751121182306349,0.4497193419066943,20,25,0,0,90,5
A,UNCERT,20,20.0,0.5245330839852766,,0.6974299108581571,0.7841742865019266,0.45007360195856416,1,25,0,0,90,5
A,AOPT,24,24.0,0.4987050358149242,,0.6574537466360021,0.7884408542660154,0.4829893205889591,1,25,0,0,90,5
A,MAXMIN,24,24.0,0.5246977985840015,0.01046420548408953,0.6956143750483286,0.7585928636241093,0.437962034714661,20,25,0,0,90,5
A,RANDOM,24,24.0,0.5103772620461349,0.006487376852592784,0.6733101776275403,0.7884251082711667,0.47131761841327097,20,25,0,0,90,5
A,UNCERT,24,24.0,0.5179804589807349,,0.6889675565733003,0.79351319922359,0.4613928462540552,1,25,0,0,90,5
A,FLAT,full,38.08,0.5885062528901843,,0.8071706996999868,0.0,,1,25,0,0,90,5
A,FULL,full,38.08,0.49213393784744824,,0.6451991179908991,0.8084723143535989,0.5111303834901167,1,25,0,0,90,5
BP,AOPT,6,6.0,0.5697893667771213,,0.76145725571518,0.7071612105978108,0.34017902363280494,1,25,0,0,90,5
BP,MAXMIN,6,6.0,0.5989165518986618,0.019452188076403646,0.8205756236738561,0.24197157789105456,0.25469890204264256,20,25,0,317,90,5
BP,RANDOM,6,6.0,0.6263779318453481,0.02212952044410654,0.8592382578660219,0.47889073400707594,0.21908419097017343,20,25,0,108,90,5
BP,UNCERT,6,6.0,0.6629598652166738,,0.9238463734187328,0.6483248895168149,0.16536389170780622,1,25,0,0,90,5
BP,AOPT,9,9.0,0.5229821977582275,,0.693134934210307,0.7672861410047744,0.442869702751204,1,25,0,0,90,5
BP,MAXMIN,9,9.0,0.6125514245000182,0.026906641458667228,0.8398625367555435,0.5738659429522343,0.2325657032800741,20,25,0,44,90,5
BP,RANDOM,9,9.0,0.6081656849240824,0.02724950113384185,0.8294312404005837,0.6278170270793325,0.2559474256494199,20,25,0,10,90,5
BP,UNCERT,9,9.0,0.6363775142328875,,0.8826708236068186,0.6563359392332744,0.18497517931028823,1,25,0,0,90,5
BP,AOPT,12,12.0,0.5089522778258624,,0.6734219023603877,0.7933251723771103,0.46454578156417503,1,25,0,0,90,5
BP,MAXMIN,12,12.0,0.6086223443941735,0.02328812787242876,0.8350887427832785,0.6392423099243436,0.24222766103667928,20,25,0,0,90,5
BP,RANDOM,12,12.0,0.5780645037530585,0.02512693118078375,0.7820793835005246,0.6850516939442357,0.3224328719667922,20,25,0,0,90,5
BP,UNCERT,12,12.0,0.6058773241337179,,0.8341544020981708,0.7042619701072945,0.2913623034694767,1,25,0,0,90,5
BP,AOPT,16,16.0,0.49231860818305995,,0.6460962638524468,0.823862776291205,0.5134561739662742,1,25,0,0,90,5
BP,MAXMIN,16,16.0,0.5908899381988395,0.019324327347106672,0.8063374631084759,0.6669994560439099,0.28214793513993247,20,25,0,0,90,5
BP,RANDOM,16,16.0,0.5525012508576486,0.02306651000499796,0.7422086411300441,0.7296083003031046,0.3857868585340397,20,25,0,0,90,5
BP,UNCERT,16,16.0,0.5236403722049726,,0.7016525911040172,0.810263682688149,0.4711193118801303,1,25,0,0,90,5
BP,AOPT,20,20.0,0.5033477155391515,,0.6646891912455091,0.8054208880041056,0.4893170461024837,1,25,0,0,90,5
BP,MAXMIN,20,20.0,0.5261637499649574,0.010084425099429417,0.700343252584953,0.7736817355165415,0.44918105887207416,20,25,0,0,90,5
BP,RANDOM,20,20.0,0.5241937323459265,0.012139660914778064,0.6970553594719621,0.7764208773548101,0.4521640757897182,20,25,0,0,90,5
BP,UNCERT,20,20.0,0.5199602145674336,,0.694321979594432,0.8043411870510392,0.47130173227940936,1,25,0,0,90,5
BP,AOPT,24,24.0,0.5025663224782961,,0.6653447516914828,0.8102913364151487,0.49556374464577235,1,25,0,0,90,5
BP,MAXMIN,24,24.0,0.512064140517662,0.0022599759403532965,0.6760778357143192,0.8022398259905161,0.4873570077886293,20,25,0,0,90,5
BP,RANDOM,24,24.0,0.5110452953407846,0.007227662602811621,0.6756950825050458,0.7981590003482485,0.48331996674569855,20,25,0,0,90,5
BP,UNCERT,24,24.0,0.5168960549531443,,0.6855022114466571,0.7957042911123786,0.47168147389042403,1,25,0,0,90,5
BP,FLAT,full,29.36,0.5885062528901843,,0.8071706996999868,0.0,,1,25,0,0,90,5
BP,FULL,full,29.36,0.5000794414203691,,0.6587344933567273,0.8122458223013377,0.5037694544333655,1,25,0,0,90,5
