grouping,extractant,n_rows,baseline_mae,baseline_rmse,baseline_sign_accuracy,baseline_r2,delta3d_mae,delta3d_rmse,delta3d_sign_accuracy,delta3d_r2,mae_reduction
extractant,CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,12,0.11591480964112356,0.18213064662367046,0.5833333333333334,0.20507275367765287,0.11591480964112356,0.18213064662367046,0.5833333333333334,0.20507275367765287,0.0
extractant,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,12,0.07011236621569819,0.08648129496012195,0.5,-0.2820871288472535,0.08955389241206729,0.10965690963435791,0.5,-1.0613188600089964,-0.019441526196369102
extractant,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,12,0.11530945041723585,0.1468955882715125,0.8333333333333334,0.016862780076296935,0.11832934580612349,0.1518835366521977,0.8333333333333334,-0.05103707289368309,-0.003019895388887639
extractant,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,12,0.03561886694649585,0.04639268264834179,1.0,0.648108965139655,0.03561886694649585,0.04639268264834179,1.0,0.648108965139655,0.0
extractant,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,12,0.20704978458395376,0.24174432724155107,0.4166666666666667,-2.194371107983977,0.20704978458395376,0.24174432724155107,0.4166666666666667,-2.194371107983977,0.0
extractant,CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,12,0.07179346136602967,0.09748027963346251,0.9166666666666666,0.7513549169018474,0.09941885043417846,0.12821435694427094,0.8333333333333334,0.5698502647669469,-0.027625389068148792
extractant,O=C(COCC(=O)N1CCCCC1)N1CCCCC1,12,0.07497684168764428,0.09934141363199638,0.5,-7.4438215721098615,0.07717385909681466,0.10215944660938985,0.5,-7.929670615218635,-0.0021970174091703876
extractant,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,12,0.05519485202886414,0.06576487313597278,0.75,0.5926316584432529,0.05116637500766188,0.0630154865056735,0.75,0.6259808071031983,0.004028477021202265
extractant,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,12,0.06664601191176689,0.07893297324635647,0.9166666666666666,0.2974941702866757,0.07745657463857039,0.09439743586768752,0.6666666666666666,-0.004739331881557396,-0.010810562726803502
extractant,CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,12,0.20584398590161498,0.30201902509023254,0.3333333333333333,0.04331073288635945,0.19572623412280435,0.2982208863812696,0.3333333333333333,0.0672217466629974,0.010117751778810635
