design,chemotype,topo39_acc,embed_acc,delta,topo39_macro_without,embed_macro_without
BP,sc057,1.0,0.6,-0.4,0.7734900337375894,0.5367343155688278
BP,sc058,1.0,0.4,-0.6,0.7734900337375894,0.5412797701142823
BP,sc059,1.0,0.8,-0.19999999999999996,0.7734900337375894,0.5321888610233733
BP,sc060,1.0,0.6,-0.4,0.7734900337375894,0.5367343155688277
BP,sc061,1.0,0.1,-0.9,0.7734900337375894,0.548097951932464
BP,sc062,0.8,1.0,0.19999999999999996,0.7780354882830438,0.5276434064779186
BP,sc063,0.8,1.0,0.19999999999999996,0.7780354882830438,0.5276434064779186
BP,sc068,1.0,0.3333333333333333,-0.6666666666666667,0.7734900337375894,0.5427949216294338
BP,sc069,0.0,1.0,1.0,0.7962173064648621,0.5276434064779186
BP,sc070,1.0,1.0,0.0,0.7734900337375894,0.5276434064779186
BP,sc071,0.16666666666666666,0.3,0.13333333333333333,0.7924294276769834,0.5435524973870095
BP,sc075,1.0,0.8,-0.19999999999999996,0.7734900337375894,0.5321888610233731
BP,sc076,0.7272727272727273,0.45454545454545453,-0.27272727272727276,0.7796883808450275,0.5400401006927947
BP,sc077,0.8,0.2,-0.6000000000000001,0.7780354882830438,0.5458252246597368
BP,sc078,0.8,0.0,-0.8,0.7780354882830438,0.5503706792051913
BP,sc083,0.0,0.0,0.0,0.796217306464862,0.5503706792051913
BP,sc084,0.0,0.0,0.0,0.796217306464862,0.5503706792051913
BP,sc085,0.0,0.0,0.0,0.796217306464862,0.5503706792051913
BP,sc086,0.8,0.2,-0.6000000000000001,0.7780354882830438,0.5458252246597368
BP,sc092,1.0,0.2,-0.8,0.7734900337375893,0.5458252246597368
BP,sc096,1.0,1.0,0.0,0.7734900337375893,0.5276434064779186
BP,sc097,1.0,0.8,-0.19999999999999996,0.7734900337375893,0.5321888610233731
