arm,outer_fold,n_rows,n_extractants,pooled_r2
C2,4,991,7,0.6770311876468929
C3,0,956,9,-0.13485619336960752
C3,1,916,10,0.5365662320785047
C3,2,915,7,0.5243065731454777
C3,3,2921,1,0.17438639502629782
C3,4,991,7,0.6728563140504111
E2,0,956,9,-0.2313828309225232
E2,1,916,10,0.553883841133319
E2,2,915,7,0.5530549563187446
E2,3,2921,1,-0.009882147964305199
E2,4,991,7,0.6736169317462777
E3,0,956,9,-0.18509625322587686
E3,1,916,10,0.5790291846851611
E3,2,915,7,0.5643075123089406
E3,3,2921,1,0.10721919948552872
E3,4,991,7,0.67655991757786
E4,0,956,9,-0.2500293940836773
E4,1,916,10,0.5486439676202743
E4,2,915,7,0.564659581343913
E4,3,2921,1,-0.02699121147800332
E4,4,991,7,0.6680491778384012
G2,0,956,9,-0.18828967145718356
G2,1,916,10,0.49817839086250904
G2,2,915,7,0.5436939003145275
G2,3,2921,1,0.02840010002772242
G2,4,991,7,0.6779869615772572
G4,0,956,9,-0.22197472795010897
G4,1,916,10,0.5378243383332078
G4,2,915,7,0.5455357228089093
G4,3,2921,1,-0.031730377935096366
G4,4,991,7,0.6772076028284166
S1,0,956,9,-0.3717033091708244
S1,1,916,10,0.37338855491432965
S1,2,915,7,0.6072147033058212
S1,3,2921,1,0.08666433042274724
S1,4,991,7,0.6158213379015962
S2,0,956,9,-0.3910634735973426
S2,1,916,10,0.5065409205366442
S2,2,915,7,0.4939339785865988
S2,3,2921,1,-0.06866221057874244
S2,4,991,7,0.6561414192133928
S3,0,956,9,-0.2622710510501083
S3,1,916,10,0.3861007158225813
S3,2,915,7,0.5351460291388774
S3,3,2921,1,0.03472227084548174
S3,4,991,7,0.6422938858678728
S4,0,956,9,-0.3440466973243268
S4,1,916,10,0.31657730203079804
S4,2,915,7,0.5641647335991758
S4,3,2921,1,0.08728809301115847
S4,4,991,7,0.6444648952843051
S5,0,956,9,-0.25897862881942757
S5,1,916,10,0.4340965641068192
S5,2,915,7,0.5867783185397326
S5,3,2921,1,0.1258850388299374
S5,4,991,7,0.632414952805444
