species,energy_Eh,energy_eV,converged,xtb_version
lig_060,-138.281724857186,-3762.837425850,ok,6.7.1pre
lig_061,-100.318162994712,-2729.796280737,ok,6.7.1pre
lig_062,-169.927866746094,-4623.972815985,ok,6.7.1pre
lig_063,-157.270687380621,-4279.553419486,ok,6.7.1pre
lig_064,-150.002650373649,-4081.780057239,ok,6.7.1pre
lig_065,-138.286779120008,-3762.974959348,ok,6.7.1pre
lig_066,-137.276943940396,-3735.495944231,ok,6.7.1pre
lig_067,-124.74088376497,-3394.372368794,ok,6.7.1pre
lig_068,-138.285955490224,-3762.952547240,ok,6.7.1pre
lig_069,-194.796467692071,-5300.681921723,ok,6.7.1pre
lig_070,-146.224545823567,-3978.972595049,ok,6.7.1pre
lig_071,-131.318291866232,-3573.352761135,ok,6.7.1pre
lig_072,-103.502291466161,-2816.440830431,ok,6.7.1pre
lig_073,-111.700078757101,-3039.513986767,ok,6.7.1pre
lig_074,-68.510443509849,-1864.264140230,ok,6.7.1pre
lig_075,-146.847084969536,-3995.912748203,ok,6.7.1pre
lig_076,-135.125720656728,-3676.958176558,ok,6.7.1pre
lig_077,-87.655227500012,-2385.220251983,ok,6.7.1pre
lig_078,-131.954756812922,-3590.671854632,ok,6.7.1pre
lig_079,-92.971549761312,-2529.884750443,ok,6.7.1pre
lig_080,-96.135883066162,-2615.990646212,ok,6.7.1pre
lig_081,-97.022410072821,-2640.114275008,ok,6.7.1pre
lig_082,-183.788079444444,-5001.128417171,ok,6.7.1pre
lig_083,-180.63272286223,-4915.266790469,ok,6.7.1pre
lig_084,-177.483215917229,-4829.564340504,ok,6.7.1pre
lig_085,-184.689510601517,-5025.657608560,ok,6.7.1pre
lig_086,-178.364773633855,-4853.552748029,ok,6.7.1pre
lig_087,-182.856605735548,-4975.781726300,ok,6.7.1pre
lig_088,-182.855321855839,-4975.746790154,ok,6.7.1pre
lig_089,-142.33924775672,-3873.248248671,ok,6.7.1pre
lig_090,-104.131004658665,-2833.548987950,ok,6.7.1pre
lig_091,-112.334127212213,-3056.767324177,ok,6.7.1pre
lig_092,-138.289252043489,-3763.042251024,ok,6.7.1pre
lig_093,-141.45331389593,-3849.140760197,ok,6.7.1pre
lig_094,-138.288698476808,-3763.027187707,ok,6.7.1pre
lig_095,-150.946010708264,-4107.450199674,ok,6.7.1pre
lig_096,-135.229524717275,-3679.782828943,ok,6.7.1pre
lig_097,-156.203150326168,-4250.504256365,ok,6.7.1pre
lig_098,-86.040318101277,-2341.276328582,ok,6.7.1pre
lig_099,-132.748959920663,-3612.283222154,ok,6.7.1pre
lig_100,-154.552936492858,-4205.599650359,ok,6.7.1pre
lig_101,-55.17444460659,-1501.373123098,ok,6.7.1pre
lig_102,-58.36517043256,-1588.197195953,ok,6.7.1pre
lig_103,-51.388994806457,-1398.365786472,ok,6.7.1pre
lig_104,-126.27947481185,-3436.239564046,ok,6.7.1pre
lig_105,-119.968094939195,-3264.498168586,ok,6.7.1pre
lig_106,-86.489395645162,-2353.496351083,ok,6.7.1pre
lig_107,-142.096738308467,-3866.649230407,ok,6.7.1pre
lig_108,-107.339861047874,-2920.866418564,ok,6.7.1pre
lig_109,-67.783610057491,-1844.485994422,ok,6.7.1pre
lig_110,-129.863985351136,-3533.779064833,ok,6.7.1pre
lig_111,-131.95820567714,-3590.765703008,ok,6.7.1pre
lig_112,-99.429898064428,-2705.625360630,ok,6.7.1pre
lig_113,-106.645968616145,-2901.984643591,ok,6.7.1pre
lig_114,-80.319033947409,-2185.592255648,ok,6.7.1pre
lig_115,-83.481457349078,-2271.646180304,ok,6.7.1pre
lig_116,-84.381202765259,-2296.129500346,ok,6.7.1pre
lig_117,-83.247793156572,-2265.287853710,ok,6.7.1pre
lig_118,-84.496825152141,-2299.275745775,ok,6.7.1pre
lig_119,-58.427756641106,-1589.900253448,ok,6.7.1pre
lig_120,-155.298977882687,-4225.900470773,ok,6.7.1pre
lig_121,-131.044925954552,-3565.914095726,ok,6.7.1pre
lig_122,-161.044505478041,-4382.244241357,ok,6.7.1pre
lig_123,-93.990689596482,-2557.616958137,ok,6.7.1pre
lig_124,-125.976133597302,-3427.985229092,ok,6.7.1pre
lig_125,-55.124595333861,-1500.016655283,ok,6.7.1pre
lig_126,-74.121794404206,-2016.956776779,ok,6.7.1pre
lig_127,-77.283445678392,-2102.989690776,ok,6.7.1pre
lig_128,-81.336390500972,-2213.275937776,ok,6.7.1pre
lig_129,-136.339720791158,-3709.992803118,ok,6.7.1pre
lig_130,-130.011465488836,-3537.792203824,ok,6.7.1pre
lig_131,-126.841414058282,-3451.530709927,ok,6.7.1pre
lig_132,-132.241193020195,-3598.466180903,ok,6.7.1pre
lig_133,-105.575616395566,-2872.858875898,ok,6.7.1pre
lig_134,-70.595103601573,-1920.990631178,ok,6.7.1pre
lig_135,-61.151800918124,-1664.025274421,ok,6.7.1pre
lig_136,-83.818041518284,-2280.805102136,ok,6.7.1pre
lig_137,-74.634489440749,-2030.907919444,ok,6.7.1pre
lig_138,-67.415347190082,-1834.465051297,ok,6.7.1pre
lig_139,-68.672258776668,-1868.667357956,ok,6.7.1pre
lig_140,-85.499341433015,-2326.555603511,ok,6.7.1pre
lig_141,-103.719568144879,-2822.353230057,ok,6.7.1pre
lig_142,-105.741828249925,-2877.381730866,ok,6.7.1pre
lig_143,-105.741455363998,-2877.371584123,ok,6.7.1pre
lig_144,-105.740165531677,-2877.336485997,ok,6.7.1pre
lig_145,-93.058051269492,-2532.238576393,ok,6.7.1pre
lig_146,-84.238386030196,-2292.243259006,ok,6.7.1pre
lig_147,-84.24170257288,-2292.333506730,ok,6.7.1pre
lig_148,-84.238094000429,-2292.235312472,ok,6.7.1pre
lig_149,-56.016040556449,-1524.274115552,ok,6.7.1pre
lig_150,-57.93646268547,-1576.531463861,ok,6.7.1pre
lig_151,-91.631988582074,-2493.433433795,ok,6.7.1pre
lig_152,-65.703589152385,-1787.885742173,ok,6.7.1pre
lig_153,-110.031684585346,-2994.114668549,ok,6.7.1pre
lig_154,-59.572475492826,-1621.049640265,ok,6.7.1pre
lig_155,-66.789684013087,-1817.439888928,ok,6.7.1pre
lig_156,-71.558796167907,-1947.214041823,ok,6.7.1pre
lig_157,-84.89731654427,-2310.173671734,ok,6.7.1pre
lig_158,-117.671838476386,-3202.013847056,ok,6.7.1pre
lig_159,-55.434838410875,-1508.458799482,ok,6.7.1pre
lig_160,-55.697785809043,-1515.613962696,ok,6.7.1pre
lig_161,-49.08675834624,-1335.718740923,ok,6.7.1pre
lig_162,-49.351910804591,-1342.933906881,ok,6.7.1pre
lig_163,-60.322949172387,-1641.471069427,ok,6.7.1pre
lig_164,-79.646379383549,-2167.288392500,ok,6.7.1pre
lig_165,-64.917615855076,-1766.498319201,ok,6.7.1pre
lig_166,-86.341338759786,-2349.467517988,ok,6.7.1pre
lig_167,-103.465389108795,-2815.436666131,ok,6.7.1pre
lig_168,-58.769233852021,-1599.192321728,ok,6.7.1pre
lig_169,-46.826498077347,-1274.213925730,ok,6.7.1pre
lig_170,-109.44589895069,-2978.174629387,ok,6.7.1pre
lig_171,-65.713410339685,-1788.152990294,ok,6.7.1pre
lig_172,-83.522548544669,-2272.764328698,ok,6.7.1pre
lig_173,-48.443632779678,-1318.218402727,ok,6.7.1pre
lig_174,-42.751099377859,-1163.316677612,ok,6.7.1pre
lig_175,-84.205099022271,-2291.337473377,ok,6.7.1pre
lig_176,-79.428076033105,-2161.348055713,ok,6.7.1pre
nitrate,-15.259314992228,-415.227114103,ok,6.7.1pre
strain_lig_000,-85.558964920666,-2328.178041263,ok,6.7.1pre
strain_lig_001,-62.240089714317,-1693.639121201,ok,6.7.1pre
strain_lig_002,-74.319763098069,-2022.343779372,ok,6.7.1pre
strain_lig_003,-136.637592211148,-3718.098297379,ok,6.7.1pre
strain_lig_004,-95.222821467994,-2591.144974398,ok,6.7.1pre
strain_lig_006,-96.772518404901,-2633.314376313,ok,6.7.1pre
strain_lig_007,-112.924691911253,-3072.837408306,ok,6.7.1pre
strain_lig_008,-86.457842948079,-2352.637758455,ok,6.7.1pre
strain_lig_009,-144.851656061896,-3941.614361471,ok,6.7.1pre
strain_lig_010,-81.292792711638,-2212.089581491,ok,6.7.1pre
strain_lig_011,-115.610633177801,-3145.925593544,ok,6.7.1pre
strain_lig_012,-126.443781425508,-3440.710574773,ok,6.7.1pre
strain_lig_013,-86.407342545687,-2351.263572500,ok,6.7.1pre
strain_lig_014,-111.295333420607,-3028.500305084,ok,6.7.1pre
strain_lig_015,-106.748664734798,-2904.779147342,ok,6.7.1pre
strain_lig_016,-105.123070669638,-2860.544479356,ok,6.7.1pre
strain_lig_017,-109.23846671914,-2972.530110814,ok,6.7.1pre
strain_lig_018,-94.085942772496,-2560.208929100,ok,6.7.1pre
strain_lig_019,-87.615213101633,-2384.131404733,ok,6.7.1pre
strain_lig_021,-138.213719035102,-3760.986893159,ok,6.7.1pre
strain_lig_022,-194.695516486067,-5297.934899464,ok,6.7.1pre
strain_lig_023,-131.880836630727,-3588.660384003,ok,6.7.1pre
strain_lig_024,-86.467688663906,-2352.905674031,ok,6.7.1pre
strain_lig_025,-158.414858699752,-4310.687907183,ok,6.7.1pre
strain_lig_026,-106.593174278412,-2900.548036476,ok,6.7.1pre
strain_lig_027,-125.568610258512,-3416.895954116,ok,6.7.1pre
strain_lig_028,-142.700459117644,-3883.077310530,ok,6.7.1pre
strain_lig_029,-128.601548725122,-3499.426414192,ok,6.7.1pre
strain_lig_030,-112.921319251283,-3072.745633553,ok,6.7.1pre
strain_lig_031,-119.254993285426,-3245.093684052,ok,6.7.1pre
strain_lig_032,-125.586429373518,-3417.380836937,ok,6.7.1pre
strain_lig_033,-131.869862144538,-3588.361753020,ok,6.7.1pre
strain_lig_034,-157.196779263211,-4277.542277157,ok,6.7.1pre
strain_lig_035,-134.059987051354,-3647.958087787,ok,6.7.1pre
strain_lig_036,-157.199281107649,-4277.610355812,ok,6.7.1pre
strain_lig_037,-182.481657160918,-4965.578855814,ok,6.7.1pre
strain_lig_038,-192.925106036985,-5249.759576921,ok,6.7.1pre
strain_lig_040,-117.60650247216,-3200.235963810,ok,6.7.1pre
strain_lig_042,-174.205668281396,-4740.377725846,ok,6.7.1pre
strain_lig_043,-163.532542064042,-4449.947165893,ok,6.7.1pre
strain_lig_044,-131.896013844672,-3589.073377034,ok,6.7.1pre
strain_lig_045,-157.247868205291,-4278.932478092,ok,6.7.1pre
strain_lig_046,-166.676631928721,-4535.502209593,ok,6.7.1pre
strain_lig_047,-176.179620166658,-4794.091693026,ok,6.7.1pre
strain_lig_048,-88.617513553342,-2411.405389459,ok,6.7.1pre
strain_lig_049,-99.386102984531,-2704.433635796,ok,6.7.1pre
strain_lig_050,-109.735160355987,-2986.045833212,ok,6.7.1pre
strain_lig_051,-80.39300916155,-2187.605223772,ok,6.7.1pre
strain_lig_052,-87.619656883859,-2384.252326208,ok,6.7.1pre
strain_lig_053,-144.845610194231,-3941.449845031,ok,6.7.1pre
strain_lig_054,-109.751856806706,-2986.500166782,ok,6.7.1pre
strain_lig_055,-138.512976337304,-3769.130099196,ok,6.7.1pre
strain_lig_056,-156.586947925434,-4260.947921079,ok,6.7.1pre
strain_lig_057,-106.605259738767,-2900.876898605,ok,6.7.1pre
strain_lig_058,-131.907639219024,-3589.389719585,ok,6.7.1pre
strain_lig_059,-93.934137297386,-2556.078091683,ok,6.7.1pre
strain_lig_060,-138.235387079828,-3761.576510693,ok,6.7.1pre
strain_lig_061,-100.270167202823,-2728.490248706,ok,6.7.1pre
strain_lig_062,-169.841921380893,-4621.634123456,ok,6.7.1pre
strain_lig_063,-157.197478775875,-4277.561311866,ok,6.7.1pre
strain_lig_064,-149.946025744107,-4080.239222574,ok,6.7.1pre
strain_lig_065,-138.223880485423,-3761.263400308,ok,6.7.1pre
strain_lig_066,-137.218534667906,-3733.906546957,ok,6.7.1pre
strain_lig_067,-124.696401241174,-3393.161937658,ok,6.7.1pre
strain_lig_068,-138.233261772272,-3761.518678128,ok,6.7.1pre
strain_lig_069,-194.742580218994,-5299.215568879,ok,6.7.1pre
strain_lig_070,-146.177654004612,-3977.696603652,ok,6.7.1pre
strain_lig_071,-131.28243311184,-3572.376994719,ok,6.7.1pre
strain_lig_072,-103.426867528233,-2814.388440523,ok,6.7.1pre
strain_lig_073,-111.643281472027,-3037.968453905,ok,6.7.1pre
strain_lig_074,-68.489143148146,-1863.684527861,ok,6.7.1pre
strain_lig_075,-146.774434505853,-3993.935828375,ok,6.7.1pre
strain_lig_076,-135.075723696545,-3675.597689963,ok,6.7.1pre
strain_lig_077,-87.613278004615,-2384.078748061,ok,6.7.1pre
strain_lig_078,-131.892510422929,-3588.978044071,ok,6.7.1pre
strain_lig_079,-92.940669301569,-2529.044450326,ok,6.7.1pre
strain_lig_080,-96.106006630754,-2615.177666989,ok,6.7.1pre
strain_lig_081,-96.966086836464,-2638.581641669,ok,6.7.1pre
strain_lig_082,-183.68436208034,-4998.306123916,ok,6.7.1pre
strain_lig_083,-180.555424060922,-4913.163382930,ok,6.7.1pre
strain_lig_084,-177.431607478763,-4828.160003351,ok,6.7.1pre
strain_lig_085,-184.513847248201,-5020.877565204,ok,6.7.1pre
strain_lig_086,-178.234166762599,-4849.998754009,ok,6.7.1pre
strain_lig_087,-182.795462716429,-4974.117939991,ok,6.7.1pre
strain_lig_088,-182.810025823499,-4974.514222322,ok,6.7.1pre
strain_lig_089,-142.241643473805,-3870.592300830,ok,6.7.1pre
strain_lig_090,-104.087326645788,-2832.360448671,ok,6.7.1pre
strain_lig_091,-112.272614392417,-3055.093475079,ok,6.7.1pre
strain_lig_092,-138.20496483432,-3760.748679220,ok,6.7.1pre
strain_lig_093,-141.403977865968,-3847.798258430,ok,6.7.1pre
strain_lig_094,-138.218387962819,-3761.113941154,ok,6.7.1pre
strain_lig_095,-150.8807542685,-4105.674481486,ok,6.7.1pre
strain_lig_096,-135.179065002447,-3678.409750153,ok,6.7.1pre
strain_lig_097,-156.117424185378,-4248.171529237,ok,6.7.1pre
strain_lig_099,-132.6371132934,-3609.239720380,ok,6.7.1pre
strain_lig_100,-154.49446490355,-4204.008557358,ok,6.7.1pre
strain_lig_101,-55.157261401044,-1500.905544255,ok,6.7.1pre
strain_lig_103,-51.3281167487,-1396.709210128,ok,6.7.1pre
strain_lig_104,-126.240025925199,-3435.166105154,ok,6.7.1pre
strain_lig_105,-119.914219218202,-3263.032135533,ok,6.7.1pre
strain_lig_106,-86.449120335923,-2352.400404087,ok,6.7.1pre
strain_lig_107,-142.014382566376,-3864.408216499,ok,6.7.1pre
strain_lig_108,-107.325194429754,-2920.467319554,ok,6.7.1pre
strain_lig_109,-67.754487643183,-1843.693533158,ok,6.7.1pre
strain_lig_110,-129.809367830572,-3532.292846385,ok,6.7.1pre
strain_lig_111,-131.913647097918,-3589.553202298,ok,6.7.1pre
strain_lig_112,-99.399128299427,-2704.788072670,ok,6.7.1pre
strain_lig_113,-106.597230947658,-2900.658424070,ok,6.7.1pre
strain_lig_114,-80.281438268697,-2184.569225113,ok,6.7.1pre
strain_lig_115,-83.439933762736,-2270.516265957,ok,6.7.1pre
strain_lig_116,-84.313175080978,-2294.278372754,ok,6.7.1pre
strain_lig_117,-83.21357201312,-2264.356648957,ok,6.7.1pre
strain_lig_118,-84.453258418083,-2298.090234547,ok,6.7.1pre
strain_lig_119,-58.070518189375,-1580.179299956,ok,6.7.1pre
strain_lig_120,-155.198075830542,-4223.154786059,ok,6.7.1pre
strain_lig_121,-130.957162124818,-3563.525920257,ok,6.7.1pre
strain_lig_122,-161.029175877852,-4381.827101685,ok,6.7.1pre
strain_lig_123,-93.937998940701,-2556.183172351,ok,6.7.1pre
strain_lig_124,-125.947773996282,-3427.213525035,ok,6.7.1pre
strain_lig_125,-55.103320761699,-1499.437744683,ok,6.7.1pre
strain_lig_126,-74.091864937811,-2016.142354508,ok,6.7.1pre
strain_lig_127,-77.251966676463,-2102.133103495,ok,6.7.1pre
strain_lig_128,-81.294790692136,-2212.143949310,ok,6.7.1pre
strain_lig_129,-136.291075339805,-3708.669092952,ok,6.7.1pre
strain_lig_130,-129.926305866554,-3535.474892449,ok,6.7.1pre
strain_lig_131,-126.79343886263,-3450.225238348,ok,6.7.1pre
strain_lig_132,-132.175365536256,-3596.674923812,ok,6.7.1pre
strain_lig_133,-105.498476943105,-2870.759804462,ok,6.7.1pre
strain_lig_134,-70.5602017977,-1920.040904712,ok,6.7.1pre
strain_lig_135,-61.112117312342,-1662.945428496,ok,6.7.1pre
strain_lig_136,-83.747697179363,-2278.890935160,ok,6.7.1pre
strain_lig_138,-67.379258553496,-1833.483029467,ok,6.7.1pre
strain_lig_139,-68.640743762566,-1867.809790735,ok,6.7.1pre
strain_lig_140,-85.415412763275,-2324.271788062,ok,6.7.1pre
strain_lig_141,-103.65163733723,-2820.504738612,ok,6.7.1pre
strain_lig_142,-105.694503124453,-2876.093948597,ok,6.7.1pre
strain_lig_143,-105.679364208086,-2875.681997697,ok,6.7.1pre
strain_lig_144,-105.686073039897,-2875.864554310,ok,6.7.1pre
strain_lig_145,-92.988233023444,-2530.338725133,ok,6.7.1pre
strain_lig_146,-84.18259892248,-2290.725214471,ok,6.7.1pre
strain_lig_147,-84.198094945025,-2291.146882725,ok,6.7.1pre
strain_lig_148,-84.192502520895,-2290.994705112,ok,6.7.1pre
strain_lig_149,-55.980220338855,-1523.299397776,ok,6.7.1pre
strain_lig_150,-57.909050694235,-1575.785545579,ok,6.7.1pre
strain_lig_151,-91.585571445125,-2492.170359153,ok,6.7.1pre
strain_lig_152,-65.629656290652,-1785.873926516,ok,6.7.1pre
strain_lig_153,-109.955478891493,-2992.041005979,ok,6.7.1pre
strain_lig_154,-59.54351873183,-1620.261686657,ok,6.7.1pre
strain_lig_155,-66.754796753739,-1816.490558238,ok,6.7.1pre
strain_lig_156,-71.528746004901,-1946.396335231,ok,6.7.1pre
strain_lig_157,-84.785769740802,-2307.138328580,ok,6.7.1pre
strain_lig_158,-117.644137209861,-3201.260057194,ok,6.7.1pre
strain_lig_159,-55.406537958724,-1507.688704948,ok,6.7.1pre
strain_lig_160,-55.463526536668,-1509.239443154,ok,6.7.1pre
strain_lig_161,-49.070337370878,-1335.271903420,ok,6.7.1pre
strain_lig_163,-60.289445873232,-1640.559398213,ok,6.7.1pre
strain_lig_164,-79.48830244727,-2162.986899931,ok,6.7.1pre
strain_lig_165,-64.835431222835,-1764.261961430,ok,6.7.1pre
strain_lig_166,-86.279785152998,-2347.792559019,ok,6.7.1pre
strain_lig_167,-103.404806477908,-2813.788128762,ok,6.7.1pre
strain_lig_168,-58.730273722898,-1598.132162606,ok,6.7.1pre
strain_lig_169,-46.810787043891,-1273.786406730,ok,6.7.1pre
strain_lig_170,-109.394554603676,-2976.777478528,ok,6.7.1pre
strain_lig_171,-64.584480345409,-1757.433240175,ok,6.7.1pre
strain_lig_173,-48.422852366971,-1317.652938890,ok,6.7.1pre
strain_lig_174,-42.725050249745,-1162.607844725,ok,6.7.1pre
strain_lig_175,-84.160300522223,-2290.118444089,ok,6.7.1pre
strain_lig_176,-79.392520352386,-2160.380536351,ok,6.7.1pre
water,-5.070544384328,-137.976541719,ok,6.7.1pre
