species,canonical_smiles,status,note,n_complexes_tried,n_unrelaxed_sources,n_ligs,from_geometry_key
strain_lig_023,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC|nitrate
strain_lig_024,CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,ok,"connectivity cut, metal and fill removed",1,0,4,63|CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1|nitrate
strain_lig_025,CCCCCC(C)Oc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,ok,"connectivity cut, metal and fill removed",1,0,3,63|CCCCCC(C)Oc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1|nitrate
strain_lig_026,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC|water
strain_lig_027,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC|water
strain_lig_028,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C|water
strain_lig_029,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,ok,"connectivity cut, metal and fill removed",1,0,2,64|CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1|nitrate
strain_lig_030,CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,3,59|CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC|water
strain_lig_031,CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,3,59|CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC|water
strain_lig_032,CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,3,59|CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC|water
strain_lig_033,CCCCCCCCCCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCCCCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,3,59|CCCCCCCCCCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCCCCCCCCCC|water
strain_lig_034,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC|water
strain_lig_035,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O|nitrate
strain_lig_036,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,3,60|CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate
strain_lig_037,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,2,67|CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC|nitrate
strain_lig_038,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,1,60|CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC|water
lig_039,CCCCCCCCCCCCNC(=O)c1cc(OC)ccn1,FAILED,"no connected component matches the ligand formula -- the copies interpenetrate at bond length, so no connectivity cut separates them",1,0,3,
strain_lig_040,CCCCCCCCCCCCNCC(=O)c1cccc(C(=O)CNCCCCCCCCCCCC)n1,ok,"connectivity cut, metal and fill removed",1,0,1,63|CCCCCCCCCCCCNCC(=O)c1cccc(C(=O)CNCCCCCCCCCCCC)n1|nitrate
lig_041,CCCCCCCCCCCCOCc1cc(-n2ccc(C)n2)nc(-n2ccc(C)n2)c1,FAILED,"no connected component matches the ligand formula -- the copies interpenetrate at bond length, so no connectivity cut separates them",1,0,2,
strain_lig_042,CCCCCCCCCCCCOc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,ok,"connectivity cut, metal and fill removed",1,0,3,63|CCCCCCCCCCCCOc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1|nitrate
strain_lig_043,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC|nitrate
strain_lig_044,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC|water
strain_lig_045,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC|nitrate
strain_lig_046,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC|nitrate
strain_lig_047,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC|nitrate
strain_lig_048,CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1|nitrate
strain_lig_049,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,4,66|CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC|nitrate
strain_lig_050,CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC|nitrate
strain_lig_051,CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,4,66|CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC|nitrate
strain_lig_052,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC|nitrate
strain_lig_053,CCCCCCCCN(C)C(=O)COCC(=O)N(C)Cc1cccc(CN(C)C(=O)COCC(=O)N(C)CCCCCCCC)c1,ok,"connectivity cut, metal and fill removed",1,0,3,63|CCCCCCCCN(C)C(=O)COCC(=O)N(C)Cc1cccc(CN(C)C(=O)COCC(=O)N(C)CCCCCCCC)c1|nitrate
strain_lig_054,CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|water
strain_lig_055,CCCCCCCCN(C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(C)CCCCCCCC)c1,ok,"connectivity cut, metal and fill removed",1,0,3,63|CCCCCCCCN(C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(C)CCCCCCCC)c1|nitrate
strain_lig_056,CCCCCCCCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,3,63|CCCCCCCCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|water
strain_lig_057,CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C|nitrate
strain_lig_058,CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC|nitrate
strain_lig_059,CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC|water
strain_lig_060,CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C|water
strain_lig_061,CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC|water
strain_lig_062,CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC|water
strain_lig_063,CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C|water
strain_lig_064,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,ok,"connectivity cut, metal and fill removed",1,0,3,63|CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1|water
strain_lig_065,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate
strain_lig_066,CCCCCCCCN(CCCCCCCC)C(=O)C1CCC(C(=O)N(CCCCCCCC)CCCCCCCC)O1,ok,"connectivity cut, metal and fill removed",1,0,3,63|CCCCCCCCN(CCCCCCCC)C(=O)C1CCC(C(=O)N(CCCCCCCC)CCCCCCCC)O1|nitrate
strain_lig_067,CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,4,66|CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate
strain_lig_068,CCCCCCCCN(CCCCCCCC)C(=O)CCOCCC(=O)N(CCCCCCCC)CCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,3,63|CCCCCCCCN(CCCCCCCC)C(=O)CCOCCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate
strain_lig_069,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,ok,"connectivity cut, metal and fill removed",3,2,1,58|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate
strain_lig_070,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,ok,"connectivity cut, metal and fill removed",1,0,3,63|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1|nitrate
strain_lig_071,CCCCCCCCN(CCCCCCCC)C(=O)CNCC(=O)N(CCCCCCCC)CCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,3,63|CCCCCCCCN(CCCCCCCC)C(=O)CNCC(=O)N(CCCCCCCC)CCCCCCCC|water
strain_lig_072,CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(CCCC)CCCC,ok,"connectivity cut, metal and fill removed",1,0,3,63|CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(CCCC)CCCC|nitrate
strain_lig_073,CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(OCCCC)OCCCC,ok,"connectivity cut, metal and fill removed",1,0,1,63|CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(OCCCC)OCCCC|nitrate
strain_lig_074,CCCCCCCCN(CCCCCCCC)C(=O)CO,ok,"connectivity cut, metal and fill removed",1,0,4,63|CCCCCCCCN(CCCCCCCC)C(=O)CO|nitrate
strain_lig_075,CCCCCCCCN(CCCCCCCC)C(=O)COC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,ok,"connectivity cut, metal and fill removed",1,0,3,63|CCCCCCCCN(CCCCCCCC)C(=O)COC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1|water
strain_lig_076,CCCCCCCCN(CCCCCCCC)C(=O)COC(C)C(=O)N(CCCCCCCC)CCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,3,63|CCCCCCCCN(CCCCCCCC)C(=O)COC(C)C(=O)N(CCCCCCCC)CCCCCCCC|water
strain_lig_077,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,ok,"connectivity cut, metal and fill removed",1,0,2,67|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C|water
strain_lig_078,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|water
strain_lig_079,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCC1,ok,"connectivity cut, metal and fill removed",1,0,3,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCC1|water
strain_lig_080,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCCC1,ok,"connectivity cut, metal and fill removed",1,0,3,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCCC1|nitrate
strain_lig_081,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCOCC1,ok,"connectivity cut, metal and fill removed",1,0,2,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCOCC1|water
strain_lig_082,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,3,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate
strain_lig_083,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,3,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate
strain_lig_084,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,3,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate
strain_lig_085,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,3,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate
strain_lig_086,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCOCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,1,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCOCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate
strain_lig_087,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1ccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc1,ok,"connectivity cut, metal and fill removed",1,0,3,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1ccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc1|nitrate
strain_lig_088,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,ok,"connectivity cut, metal and fill removed",1,0,3,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1|nitrate
strain_lig_089,CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,ok,"connectivity cut, metal and fill removed",1,0,2,66|CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC|nitrate
strain_lig_090,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,ok,"connectivity cut, metal and fill removed",1,0,3,63|CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC|nitrate
