species,canonical_smiles,status,how
lig_061,CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,ok,ETKDGv3 + MMFF94s
lig_062,CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,ok,ETKDGv3+randomCoords + MMFF94s
lig_063,CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,ok,ETKDGv3 + MMFF94s
lig_064,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,ok,ETKDGv3 + MMFF94s
lig_065,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,ok,ETKDGv3 + MMFF94s
lig_066,CCCCCCCCN(CCCCCCCC)C(=O)C1CCC(C(=O)N(CCCCCCCC)CCCCCCCC)O1,ok,ETKDGv3 + MMFF94s
lig_067,CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,ok,ETKDGv3 + MMFF94s
lig_068,CCCCCCCCN(CCCCCCCC)C(=O)CCOCCC(=O)N(CCCCCCCC)CCCCCCCC,ok,ETKDGv3 + MMFF94s
lig_069,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,ok,ETKDGv3+randomCoords + MMFF94s
lig_070,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,ok,ETKDGv3 + MMFF94s
lig_071,CCCCCCCCN(CCCCCCCC)C(=O)CNCC(=O)N(CCCCCCCC)CCCCCCCC,ok,ETKDGv3 + MMFF94s
lig_072,CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(CCCC)CCCC,ok,ETKDGv3 + MMFF94s
lig_073,CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(OCCCC)OCCCC,ok,ETKDGv3 + MMFF94s
lig_074,CCCCCCCCN(CCCCCCCC)C(=O)CO,ok,ETKDGv3 + MMFF94s
lig_075,CCCCCCCCN(CCCCCCCC)C(=O)COC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,ok,ETKDGv3 + MMFF94s
lig_076,CCCCCCCCN(CCCCCCCC)C(=O)COC(C)C(=O)N(CCCCCCCC)CCCCCCCC,ok,ETKDGv3 + MMFF94s
lig_077,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,ok,ETKDGv3 + MMFF94s
lig_078,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,ok,ETKDGv3 + MMFF94s
