design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1,family,lead,loco_stable,p_bh_within_lead_family
BQ,UNCERT_vs_RANDOM_noDGA,mae_all,RANDOM,UNCERT,-0.004108037524142764,-0.03651214532163859,0.028259588039956447,-0.03480264707180985,0.02991432110251519,0.788,0.016498091447273797,0.04619465605236663,7.740135476437159e-05,67,27,3,5,-0.013731813248044003,0.003670181764002682,False,0.02,False,False,exploratory,L4,False,0.9270588235294118
BQ,UNCERT_vs_MAXMIN_noDGA,mae_all,MAXMIN,UNCERT,-0.0010809348272316707,-0.04212388355428124,0.03368855176408944,-0.044382315597773093,0.03233759958358702,0.9532,0.019321331165497124,0.05409972726339194,0.005384322308428513,67,31,2,5,-0.009835525225845422,0.010532059433709929,False,0.02,False,False,exploratory,L4,False,0.9963999999999998
A,AOPT_vs_RANDOM_noDGA,mae_all,RANDOM,AOPT,0.03449633694914064,0.016934766342738498,0.052485848310681434,0.017912536093524268,0.05331093257474483,0.0002,0.00904710849849773,0.025331903795793646,0.03496581174382697,67,50,5,5,0.03083978095737565,0.03701950326109946,True,0.02,True,True,exploratory,L4,True,0.0013333333333333333
A,AOPT_vs_MAXMIN_noDGA,mae_all,MAXMIN,AOPT,0.03598521556510096,0.013521015855866896,0.05775988959086419,0.014140172491547347,0.05847669436259863,0.0008,0.011412501897573443,0.03195500531320564,0.039570870633222906,67,43,5,5,0.03152492583896624,0.03965491839576833,True,0.02,True,True,exploratory,L4,True,0.004
A,UNCERT_vs_RANDOM_noDGA,mae_all,RANDOM,UNCERT,-0.019153189415194914,-0.040822877909512445,0.0011482358490960025,-0.038512970114943514,0.00362792218290383,0.0664,0.010813804094940966,0.030278651465834704,-0.023474796660416495,67,24,0,5,-0.02651758379051007,-0.016132632786023584,True,0.02,False,False,exploratory,L4,True,0.12072727272727274
A,UNCERT_vs_MAXMIN_noDGA,mae_all,MAXMIN,UNCERT,-0.0176643107992346,-0.04515441801387142,0.007056551138984701,-0.043855453094087685,0.008250274218425311,0.1608,0.0133174139497766,0.037288759059374475,-0.018869737771020557,67,23,0,5,-0.022611236182569907,-0.01333827551058203,True,0.02,False,False,exploratory,L4,True,0.268
BP,AOPT_vs_RANDOM_noDGA,mae_all,RANDOM,AOPT,0.038014627979416245,0.02357725117452415,0.05111659549376933,0.023042126628242895,0.05081640215893712,0.0,0.007034085978600776,0.01969544074008217,0.03827944987034226,67,54,5,5,0.03609923019188088,0.04042577601509867,True,0.02,True,True,exploratory,L4,True,0.0
BP,AOPT_vs_MAXMIN_noDGA,mae_all,MAXMIN,AOPT,0.03236157987655435,0.010320861047501078,0.05633786001465094,0.011660349010495095,0.05787846956856147,0.0028,0.011815281071030794,0.03308278699888622,0.04000135795530421,67,48,5,5,0.0244169881571348,0.03844801740767718,True,0.02,True,True,exploratory,L4,True,0.0095
BP,UNCERT_vs_RANDOM_noDGA,mae_all,RANDOM,UNCERT,0.00783901003676222,-0.025239263209128334,0.03899399668060827,-0.0218311545712406,0.04214971031127463,0.6574,0.016307670438028086,0.04566147722647864,0.0058281837793937,67,40,4,5,-0.003973501231337631,0.015508865606322418,False,0.02,False,False,exploratory,L4,False,0.9270588235294118
BP,UNCERT_vs_MAXMIN_noDGA,mae_all,MAXMIN,UNCERT,0.002185961933900318,-0.03044361089946942,0.030394857756952293,-0.03307209377161456,0.028772766666560905,0.877,0.01571534085046771,0.04400295438130959,0.0075500918643556505,67,33,3,5,-0.002968174882456782,0.011759853873998622,False,0.02,False,False,exploratory,L4,False,0.9744444444444444
