outer_fold,inner_fold,arm,search_phase,scope,weighting_scheme,fit_rows_before_swap,fit_groups,mean_weight_before_swap,minimum_weight,maximum_weight,group_counts_sha256,counts_from_fit_subset_only
0,,H1_CATBOOST_GROUP_SQRT_HUBER,expanded,outer_training_only,group_sqrt,5743,25,0.9999999999999999,0.359376339062453,4.238435820759469,3d99082ceb6dca2e88e1d483423d294c893335c9f98bd064a414d7ab1ff96255,True
0,0.0,H1_CATBOOST_GROUP_EQUAL_RMSE,screening,inner_training_only,group_equal,2822,24,1.0,0.23191978961209733,5.599206349206349,cffa3b3a63496d95163f74c109d13c67b387e64fc937626e8f69b16f11d54461,True
0,1.0,H1_CATBOOST_GROUP_EQUAL_RMSE,screening,inner_training_only,group_equal,4309,13,1.0000000000000002,0.11347536407447396,15.783882783882783,97c7f0adeb972e7fb777f816004e0bab098357b066a7357a0cd978e3dbf08568,True
0,2.0,H1_CATBOOST_GROUP_EQUAL_RMSE,screening,inner_training_only,group_equal,4355,13,1.0,0.11468675111263267,15.952380952380954,6710801fe55c4c23a929c3132aad53113d38f9ba2646ff0f0b19a14c407d1828,True
0,,H1_CATBOOST_GROUP_EQUAL_RMSE,screening,outer_training_only,group_equal,5743,25,0.9999999999999999,0.07864429989729543,10.939047619047617,3d99082ceb6dca2e88e1d483423d294c893335c9f98bd064a414d7ab1ff96255,True
0,0.0,H1_CATBOOST_GROUP_EQUAL_MAE,screening,inner_training_only,group_equal,2822,24,1.0,0.23191978961209733,5.599206349206349,cffa3b3a63496d95163f74c109d13c67b387e64fc937626e8f69b16f11d54461,True
0,1.0,H1_CATBOOST_GROUP_EQUAL_MAE,screening,inner_training_only,group_equal,4309,13,1.0000000000000002,0.11347536407447396,15.783882783882783,97c7f0adeb972e7fb777f816004e0bab098357b066a7357a0cd978e3dbf08568,True
0,2.0,H1_CATBOOST_GROUP_EQUAL_MAE,screening,inner_training_only,group_equal,4355,13,1.0,0.11468675111263267,15.952380952380954,6710801fe55c4c23a929c3132aad53113d38f9ba2646ff0f0b19a14c407d1828,True
0,,H1_CATBOOST_GROUP_EQUAL_MAE,screening,outer_training_only,group_equal,5743,25,0.9999999999999999,0.07864429989729543,10.939047619047617,3d99082ceb6dca2e88e1d483423d294c893335c9f98bd064a414d7ab1ff96255,True
0,0.0,H1_CATBOOST_GROUP_EQUAL_HUBER,screening,inner_training_only,group_equal,2822,24,1.0,0.23191978961209733,5.599206349206349,cffa3b3a63496d95163f74c109d13c67b387e64fc937626e8f69b16f11d54461,True
0,1.0,H1_CATBOOST_GROUP_EQUAL_HUBER,screening,inner_training_only,group_equal,4309,13,1.0000000000000002,0.11347536407447396,15.783882783882783,97c7f0adeb972e7fb777f816004e0bab098357b066a7357a0cd978e3dbf08568,True
0,2.0,H1_CATBOOST_GROUP_EQUAL_HUBER,screening,inner_training_only,group_equal,4355,13,1.0,0.11468675111263267,15.952380952380954,6710801fe55c4c23a929c3132aad53113d38f9ba2646ff0f0b19a14c407d1828,True
0,,H1_CATBOOST_GROUP_EQUAL_HUBER,screening,outer_training_only,group_equal,5743,25,0.9999999999999999,0.07864429989729543,10.939047619047617,3d99082ceb6dca2e88e1d483423d294c893335c9f98bd064a414d7ab1ff96255,True
1,0.0,H1_CATBOOST_NONE_RMSE,screening,inner_training_only,none,4265,13,1.0,1.0,1.0,06994cfd013a8e7c6a7f894f029a7223a07175ba1939e0e1978e98b5e0adf885,True
1,1.0,H1_CATBOOST_NONE_RMSE,screening,inner_training_only,none,4361,11,1.0,1.0,1.0,5bbf68ee75142ca88d308d177fe2146f0a725c43b1a2365e5dbafdbaf4b87e67,True
1,2.0,H1_CATBOOST_NONE_RMSE,screening,inner_training_only,none,2784,22,1.0,1.0,1.0,5e6e15704ffac00553c7992ee413e87e6e89540cab626bd7cc880ba60719a529,True
1,0.0,H1_CATBOOST_NONE_RMSE,expanded,inner_training_only,none,4265,13,1.0,1.0,1.0,06994cfd013a8e7c6a7f894f029a7223a07175ba1939e0e1978e98b5e0adf885,True
1,1.0,H1_CATBOOST_NONE_RMSE,expanded,inner_training_only,none,4361,11,1.0,1.0,1.0,5bbf68ee75142ca88d308d177fe2146f0a725c43b1a2365e5dbafdbaf4b87e67,True
1,2.0,H1_CATBOOST_NONE_RMSE,expanded,inner_training_only,none,2784,22,1.0,1.0,1.0,5e6e15704ffac00553c7992ee413e87e6e89540cab626bd7cc880ba60719a529,True
1,,H1_CATBOOST_NONE_RMSE,expanded,outer_training_only,none,5705,23,1.0,1.0,1.0,a5a8c3dcba6270c0157a0c58b0623d35ae8bd8491bde2a70970755780cc7ea88,True
1,0.0,H1_CATBOOST_NONE_MAE,screening,inner_training_only,none,4265,13,1.0,1.0,1.0,06994cfd013a8e7c6a7f894f029a7223a07175ba1939e0e1978e98b5e0adf885,True
1,1.0,H1_CATBOOST_NONE_MAE,screening,inner_training_only,none,4361,11,1.0,1.0,1.0,5bbf68ee75142ca88d308d177fe2146f0a725c43b1a2365e5dbafdbaf4b87e67,True
1,2.0,H1_CATBOOST_NONE_MAE,screening,inner_training_only,none,2784,22,1.0,1.0,1.0,5e6e15704ffac00553c7992ee413e87e6e89540cab626bd7cc880ba60719a529,True
1,,H1_CATBOOST_NONE_MAE,screening,outer_training_only,none,5705,23,1.0,1.0,1.0,a5a8c3dcba6270c0157a0c58b0623d35ae8bd8491bde2a70970755780cc7ea88,True
1,0.0,H1_CATBOOST_NONE_HUBER,screening,inner_training_only,none,4265,13,1.0,1.0,1.0,06994cfd013a8e7c6a7f894f029a7223a07175ba1939e0e1978e98b5e0adf885,True
1,1.0,H1_CATBOOST_NONE_HUBER,screening,inner_training_only,none,4361,11,1.0,1.0,1.0,5bbf68ee75142ca88d308d177fe2146f0a725c43b1a2365e5dbafdbaf4b87e67,True
1,2.0,H1_CATBOOST_NONE_HUBER,screening,inner_training_only,none,2784,22,1.0,1.0,1.0,5e6e15704ffac00553c7992ee413e87e6e89540cab626bd7cc880ba60719a529,True
1,,H1_CATBOOST_NONE_HUBER,screening,outer_training_only,none,5705,23,1.0,1.0,1.0,a5a8c3dcba6270c0157a0c58b0623d35ae8bd8491bde2a70970755780cc7ea88,True
1,0.0,H1_CATBOOST_GROUP_SQRT_RMSE,screening,inner_training_only,group_sqrt,4265,13,1.0000000000000002,0.4797264886352803,25.927430433558943,06994cfd013a8e7c6a7f894f029a7223a07175ba1939e0e1978e98b5e0adf885,True
1,1.0,H1_CATBOOST_GROUP_SQRT_RMSE,screening,inner_training_only,group_sqrt,4361,11,1.0,0.4738671577248328,2.8814351051282885,5bbf68ee75142ca88d308d177fe2146f0a725c43b1a2365e5dbafdbaf4b87e67,True
1,2.0,H1_CATBOOST_GROUP_SQRT_RMSE,screening,inner_training_only,group_sqrt,2784,22,1.0000000000000002,0.5454341692342304,12.281356012871507,5e6e15704ffac00553c7992ee413e87e6e89540cab626bd7cc880ba60719a529,True
1,,H1_CATBOOST_GROUP_SQRT_RMSE,screening,outer_training_only,group_sqrt,5705,23,1.0,0.37600962980004843,20.32192040661072,a5a8c3dcba6270c0157a0c58b0623d35ae8bd8491bde2a70970755780cc7ea88,True
1,0.0,H1_CATBOOST_GROUP_SQRT_MAE,screening,inner_training_only,group_sqrt,4265,13,1.0000000000000002,0.4797264886352803,25.927430433558943,06994cfd013a8e7c6a7f894f029a7223a07175ba1939e0e1978e98b5e0adf885,True
1,1.0,H1_CATBOOST_GROUP_SQRT_MAE,screening,inner_training_only,group_sqrt,4361,11,1.0,0.4738671577248328,2.8814351051282885,5bbf68ee75142ca88d308d177fe2146f0a725c43b1a2365e5dbafdbaf4b87e67,True
1,2.0,H1_CATBOOST_GROUP_SQRT_MAE,screening,inner_training_only,group_sqrt,2784,22,1.0000000000000002,0.5454341692342304,12.281356012871507,5e6e15704ffac00553c7992ee413e87e6e89540cab626bd7cc880ba60719a529,True
1,,H1_CATBOOST_GROUP_SQRT_MAE,screening,outer_training_only,group_sqrt,5705,23,1.0,0.37600962980004843,20.32192040661072,a5a8c3dcba6270c0157a0c58b0623d35ae8bd8491bde2a70970755780cc7ea88,True
1,0.0,H1_CATBOOST_GROUP_SQRT_HUBER,screening,inner_training_only,group_sqrt,4265,13,1.0000000000000002,0.4797264886352803,25.927430433558943,06994cfd013a8e7c6a7f894f029a7223a07175ba1939e0e1978e98b5e0adf885,True
1,1.0,H1_CATBOOST_GROUP_SQRT_HUBER,screening,inner_training_only,group_sqrt,4361,11,1.0,0.4738671577248328,2.8814351051282885,5bbf68ee75142ca88d308d177fe2146f0a725c43b1a2365e5dbafdbaf4b87e67,True
1,2.0,H1_CATBOOST_GROUP_SQRT_HUBER,screening,inner_training_only,group_sqrt,2784,22,1.0000000000000002,0.5454341692342304,12.281356012871507,5e6e15704ffac00553c7992ee413e87e6e89540cab626bd7cc880ba60719a529,True
1,0.0,H1_CATBOOST_GROUP_SQRT_HUBER,expanded,inner_training_only,group_sqrt,4265,13,1.0000000000000002,0.4797264886352803,25.927430433558943,06994cfd013a8e7c6a7f894f029a7223a07175ba1939e0e1978e98b5e0adf885,True
1,1.0,H1_CATBOOST_GROUP_SQRT_HUBER,expanded,inner_training_only,group_sqrt,4361,11,1.0,0.4738671577248328,2.8814351051282885,5bbf68ee75142ca88d308d177fe2146f0a725c43b1a2365e5dbafdbaf4b87e67,True
1,2.0,H1_CATBOOST_GROUP_SQRT_HUBER,expanded,inner_training_only,group_sqrt,2784,22,1.0000000000000002,0.5454341692342304,12.281356012871507,5e6e15704ffac00553c7992ee413e87e6e89540cab626bd7cc880ba60719a529,True
1,,H1_CATBOOST_GROUP_SQRT_HUBER,expanded,outer_training_only,group_sqrt,5705,23,1.0,0.37600962980004843,20.32192040661072,a5a8c3dcba6270c0157a0c58b0623d35ae8bd8491bde2a70970755780cc7ea88,True
1,0.0,H1_CATBOOST_GROUP_EQUAL_RMSE,screening,inner_training_only,group_equal,4265,13,1.0,0.11231664603797434,328.07692307692304,06994cfd013a8e7c6a7f894f029a7223a07175ba1939e0e1978e98b5e0adf885,True
1,1.0,H1_CATBOOST_GROUP_EQUAL_RMSE,screening,inner_training_only,group_equal,4361,11,1.0,0.1357256232299026,5.018411967779056,5bbf68ee75142ca88d308d177fe2146f0a725c43b1a2365e5dbafdbaf4b87e67,True
1,2.0,H1_CATBOOST_GROUP_EQUAL_RMSE,screening,inner_training_only,group_equal,2784,22,1.0,0.24959655728886496,126.54545454545453,5e6e15704ffac00553c7992ee413e87e6e89540cab626bd7cc880ba60719a529,True
1,,H1_CATBOOST_GROUP_EQUAL_RMSE,screening,outer_training_only,group_equal,5705,23,1.0,0.08491731539228672,248.04347826086956,a5a8c3dcba6270c0157a0c58b0623d35ae8bd8491bde2a70970755780cc7ea88,True
1,0.0,H1_CATBOOST_GROUP_EQUAL_MAE,screening,inner_training_only,group_equal,4265,13,1.0,0.11231664603797434,328.07692307692304,06994cfd013a8e7c6a7f894f029a7223a07175ba1939e0e1978e98b5e0adf885,True
1,1.0,H1_CATBOOST_GROUP_EQUAL_MAE,screening,inner_training_only,group_equal,4361,11,1.0,0.1357256232299026,5.018411967779056,5bbf68ee75142ca88d308d177fe2146f0a725c43b1a2365e5dbafdbaf4b87e67,True
1,2.0,H1_CATBOOST_GROUP_EQUAL_MAE,screening,inner_training_only,group_equal,2784,22,1.0,0.24959655728886496,126.54545454545453,5e6e15704ffac00553c7992ee413e87e6e89540cab626bd7cc880ba60719a529,True
1,,H1_CATBOOST_GROUP_EQUAL_MAE,screening,outer_training_only,group_equal,5705,23,1.0,0.08491731539228672,248.04347826086956,a5a8c3dcba6270c0157a0c58b0623d35ae8bd8491bde2a70970755780cc7ea88,True
1,0.0,H1_CATBOOST_GROUP_EQUAL_HUBER,screening,inner_training_only,group_equal,4265,13,1.0,0.11231664603797434,328.07692307692304,06994cfd013a8e7c6a7f894f029a7223a07175ba1939e0e1978e98b5e0adf885,True
1,1.0,H1_CATBOOST_GROUP_EQUAL_HUBER,screening,inner_training_only,group_equal,4361,11,1.0,0.1357256232299026,5.018411967779056,5bbf68ee75142ca88d308d177fe2146f0a725c43b1a2365e5dbafdbaf4b87e67,True
1,2.0,H1_CATBOOST_GROUP_EQUAL_HUBER,screening,inner_training_only,group_equal,2784,22,1.0,0.24959655728886496,126.54545454545453,5e6e15704ffac00553c7992ee413e87e6e89540cab626bd7cc880ba60719a529,True
1,0.0,H1_CATBOOST_GROUP_EQUAL_HUBER,expanded,inner_training_only,group_equal,4265,13,1.0,0.11231664603797434,328.07692307692304,06994cfd013a8e7c6a7f894f029a7223a07175ba1939e0e1978e98b5e0adf885,True
1,1.0,H1_CATBOOST_GROUP_EQUAL_HUBER,expanded,inner_training_only,group_equal,4361,11,1.0,0.1357256232299026,5.018411967779056,5bbf68ee75142ca88d308d177fe2146f0a725c43b1a2365e5dbafdbaf4b87e67,True
1,2.0,H1_CATBOOST_GROUP_EQUAL_HUBER,expanded,inner_training_only,group_equal,2784,22,1.0,0.24959655728886496,126.54545454545453,5e6e15704ffac00553c7992ee413e87e6e89540cab626bd7cc880ba60719a529,True
1,,H1_CATBOOST_GROUP_EQUAL_HUBER,expanded,outer_training_only,group_equal,5705,23,1.0,0.08491731539228672,248.04347826086956,a5a8c3dcba6270c0157a0c58b0623d35ae8bd8491bde2a70970755780cc7ea88,True
2,0.0,H1_CATBOOST_NONE_RMSE,screening,inner_training_only,none,2954,27,1.0,1.0,1.0,ef2e9b621a24d295a53b9240687f8232fbfee995ac7038ae46f4553cb842b092,True
2,1.0,H1_CATBOOST_NONE_RMSE,screening,inner_training_only,none,4384,15,1.0,1.0,1.0,9002b7bd7ddeaeb82345ea36ee091f9be7c7422e2f0bb3ac01d1dc4d6f081772,True
2,2.0,H1_CATBOOST_NONE_RMSE,screening,inner_training_only,none,4412,14,1.0,1.0,1.0,04847b358738528aa77d8cff630b760575c95afdf2d87d4bc7929ba45d7192a7,True
2,0.0,H1_CATBOOST_NONE_RMSE,expanded,inner_training_only,none,2954,27,1.0,1.0,1.0,ef2e9b621a24d295a53b9240687f8232fbfee995ac7038ae46f4553cb842b092,True
