extractant_system_key,records,model_ready,metals,solvents,names,n_components,log_D_min,log_D_max
CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,83,81,3,4,TBEE-BisDGA,1,-1.5955749482795731,2.075903536286388
CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,78,17,5,1,DHOA + TODGA,2,-3.0,2.5283842794759805
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,77,75,16,5,TPrDGA,1,-2.983114446529083,2.780487804878048
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,75,75,2,4,L1e,1,-1.9050131926121392,3.1926121372031657
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCc1c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1CC,71,69,4,2,HOEtBenDGA,1,-1.4276729559748436,2.873323397913561
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,71,71,4,2,HOOxyBenDGA,1,-2.154901959985743,2.8593073593073606
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,71,70,4,2,HOAmBenDGA,1,-1.6989700043360187,2.777202072538861
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,70,42,14,1,DOODA (C8),1,-3.0227272727272774,1.212121212121211
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,64,36,15,3,2-[1-(dioctylamino)-1-oxopropan-2-yl]oxy-N-N-dioctylpropanamide + Me2-TODGA + NEA14 + TWE-14,1,-4.0,2.0
CCCCCCCCCC(=O)N(CCCCCC)CCCCCC,63,37,3,1,DHDA,1,-3.0070422535211265,1.577464788732394
CCCCC(CC)C(=O)N(CCCC)CCCC,62,61,5,2,DBEHA,1,-3.290623109497882,1.053324533905294
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,61,39,2,1,D3DODGA,1,-1.2637505725607983,1.819517131377064
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,60,54,11,7,TIBDGA,1,-2.433355133093145,1.3892159686407408
CCCCCCCCCCCC(=O)N(CC)CC,59,32,3,1,DEDoDA,1,-3.5130201415899203,1.3953412735992585
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,58,58,16,3,NTAamide(C8) + TWE-11,1,-1.7252747252747256,2.0086001717619175
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,55,27,3,1,DEHAA,1,-2.3233410802241963,1.3944516808262162
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC,53,25,2,1,DEHPA,1,-2.3233410802241963,1.0762763521443774
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,52,52,17,1,p-TODGA-Syn,1,-4.0,2.32315040971632
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)N(CCC(C)C)CCC(C)C,52,46,3,6,TiADGA,1,-2.1777501710822063,1.4811763214859468
CCCCCCN(CCCCCC)C(=O)C(CC)CCCC,49,44,5,2,DHEHA,1,-3.699248120300752,0.7744360902255635
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,47,47,15,4,2-N-2-N-9-N-9-N-tetraoctyl-1-10-phenanthroline-2-9-dicarboxamide + T8-PHEN-CAM,1,-3.9999999999999902,-1.25026368443093
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,47,47,2,2,LL9,1,-1.8807854137447408,3.054205607476635
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,47,42,2,2,tBu-CyMe4-BTBP,1,-2.69897000433601,1.71103070820744
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,42,7,1,1,C5-BPP,1,-2.281498311132726,0.5728716022004802
CCCCN(CCCC)C(=O)CCC,40,39,4,1,DBBA,1,-2.895887698909804,2.7133878914989853
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,37,0,0,1,DEHDODGA,1,,
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,36,6,6,1,6-MH-C9-B8D(iB)CMPO,1,0.0,0.5314789170422551
CCCCCCN(CCCCCC)C(=O)c1ccc2ccc3cccnc3c2n1,36,6,1,1,C6-PTA,1,-1.0,-0.5228787452803376
CCCCN(CCCC)C(=O)c1ccc2ccc3cccnc3c2n1,36,6,1,1,C4-PTA,1,-1.0,0.2304489213782739
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,36,6,6,1,2-EH-C9-B8D(iB)CMPO,1,-0.36653154442041347,0.04139268515822508
CCCCCCCCN(CCCCCCCC)C(=O)C(CC)CCCC,35,35,2,1,DOEHA,1,-1.7774150330825649,0.43498975244341115
CCCCCCCCN(CCCCCCCC)C(=O)CCCCCCC,34,34,3,2,DOOA,1,-2.1924583602011505,1.0974914225821841
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,34,34,17,1,Et-Me-TDDGA-Syn,1,-3.0,2.240465378918771
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,32,32,16,1,Et-Me-TODGA-Anti,1,-3.3979400086720375,1.7882297791514528
Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,32,32,2,2,MeCyMe4-BTBP,1,-2.52287874528033,1.44090908206521
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,30,30,15,2,8-11-11-trimethyl-5-[6-(8-11-11-trimethyl-3-4-6-triazatricyclo[6.2.1.02-7]undeca-2(7)-3-5-trien-5-yl)-2-pyridinyl]-3-4-6-triazatricyclo[6.2.1.02-7]undeca-2(7)-3-5-triene + CA-BTP,1,-4.0,0.431363764158987
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC(C)(C)C,29,29,2,1,DEHtBAA,1,-2.959890477502347,1.4116959064327477
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,28,28,14,1,6-19-dihexyl-7-8-17-18-tetraphenyl-3-6-19-22-tetrazapentacyclo[12.8.0.02-11.04-9.016-21]docosa-1(22)-2-4(9)-7-10-12-14-16(21)-17-nonaene-5-20-dione,1,-2.0,3.069668097
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],28,28,14,1,2-6-bis(dioctylphosphorylmethyl)-1-oxidopyridin-1-ium,1,0.17609125900000008,1.477121255
CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,28,20,2,1,CA-BTBP,1,-2.55284196865778,1.5365584425715297
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,28,28,14,1,[4-7-dichloro-9-(pyrrolidine-1-carbonyl)-1-10-phenanthrolin-2-yl]-pyrrolidin-1-ylmethanone,1,-2.045757491,-0.9208187539999999
CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,27,24,1,8,DPDDdDGA,1,-1.6719053088383902,1.16551724137931
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,27,27,3,1,p-TDDGA-Anti,1,-3.003116359856115,2.510635303242356
CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,26,25,1,8,DEDDdDGA,1,-12.46716855883153,0.905747126436782
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,25,25,15,1,p-TDDGA-Syn,1,-3.0083000043130634,0.5268119460897768
CCCCCCCCN(CCCCCCCC)C(=O)CN(C)CC(=O)N(CCCCCCCC)CCCCCCCC,25,25,4,1,MIDOA,1,-0.550521600812635,2.0209203668554356
CCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,25,17,3,2,DEHHA,1,-1.6715955538813592,1.4631578947368407
CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,24,24,3,1,TBi-PE-BisDGA,1,-1.5955749482795731,1.447689061954829
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,24,24,15,2,5-5-8-8-tetramethyl-3-[6-[6-(5-5-8-8-tetramethyl-6-7-dihydro-1-2-4-benzotriazin-3-yl)-2-pyridinyl]-2-pyridinyl]-6-7-dihydro-1-2-4-benzotriazine + CyMe4-BTBP,1,-2.301029996,1.0850407067421903
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC,24,0,2,2,CyMe4-BTTP + DMDOHEMA,2,-3.9999999999999902,-0.236572006437062
CCCCCCCCN(CCCCCCCC)C(=O)COC(C)C(=O)N(CCCCCCCC)CCCCCCCC,24,24,2,2,10a + TWE-21,1,-2.9999999999999902,2.67215144841626
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC|O=C(COCC(=O)N(CCO)CCO)N(CCO)CCO,24,0,2,1,TODGA + TWE-18 + TWE-19 + TWE-20 + TWE-21 + TWE-22 + TWE-23 + TWE-24 + TWE-25 + TWE-26 + TWE-27 + TWE-28 + TWE-29 + TWE-30 + TWE-31 + TWE-32 + TWE-33 + TWE-34 + TWE-35 + TWE-36 + TWE-37 + TWE-38 + TWE-39 + TWE-40 + TWE-41,2,-3.52287874528033,2.3802112417116
CCCCCCCCN(CCCCCCCC)C(=O)COC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,24,24,2,2,NEA15 + TWE-22,1,-3.9999999999999902,1.47334096418593
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,24,24,2,2,18b + TWE-17,1,-1.36653154442041,0.5072886297376099
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,24,24,2,3,T8-PHEN-TAM,1,-3.9999999999999902,-0.9079815292472019
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,24,24,2,2,NEA16 + TWE-15,1,-3.9999999999999902,0.6020599913279624
CCCCCCCCCCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCCCCCCCCCC,23,19,1,7,DBDDdDGA,1,-12.46716855883153,1.18620689655172
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,22,22,2,2,LL7,1,-2.077138849929874,2.8316970546984517
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,22,22,2,1,CyMe4-BTTP,1,-3.69897000433601,-1.4089353929735
CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,22,21,1,7,DMDDdDGA,1,-12.46716855883153,1.262028659672296
CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,22,22,2,2,Cy5-S-Me4-BTBP + Cy5S-Me4-BTBP,1,-2.69897000433601,-0.142667503568731
CCCCCCCCN(CCCCCCCC)C(=O)CO,20,20,2,1,DOHyA,1,-2.5164835164835164,2.230769230769231
CCCCCCN(CCCCCC)C(=O)C(C)C,18,8,2,1,DHiBA,1,-2.4195888381281603,-0.11350927482751812
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1ccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc1,18,18,2,2,LL3,1,1.8260748027008264,3.1214953271028003
CCCCCCN(CCCCCC)C(=O)CCC,18,8,2,1,DHBA,1,-1.8153460485676625,0.32014628611105395
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,17,17,14,2,N-N-bis(2-methylpropyl)-2-[octyl(phenyl)phosphoryl]acetamide,1,0.17609125900000008,0.740362689
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCC1,16,16,1,1,DOpyrDGA,1,-0.3889570552147255,3.518857142857141
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1|Cc1cc(Br)ccc1NC(=O)CCl,16,16,2,1,Br-Cosan + T8-PHEN-TAM,2,-3.9999999999999902,0.18469143081759792
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,16,16,16,1,cMe2-TODGA,1,0.06532663316582815,2.0904522613065306
CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCCC1,16,14,1,2,DHpyrDGA,1,-0.026872146400301365,3.584579976985039
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,16,16,16,1,tMe2-TODGA,1,-0.49246231155778847,0.11557788944723538
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,15,14,14,1,DODDbDGA + N-(4-butyldecyl)-2-[2-[4-butyldecyl(octyl)amino]-2-oxoethoxy]-N-octylacetamide,1,-4.0,1.0637085593914173
CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,14,14,14,1,2-N-9-N-diethyl-2-N-9-N-bis(4-ethylphenyl)-1-10-phenanthroline-2-9-dicarboxamide,1,-0.09691001299999998,2.698970004
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,14,14,14,1,2-N-6-N-diethyl-2-N-6-N-bis(4-methylphenyl)pyridine-2-6-dicarboxamide,1,-0.09691001299999998,0.954242509
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,14,14,14,1,N-(2-5-dimethylphenyl)-6-[6-[(2-5-dimethylphenyl)-ethylcarbamoyl]-2-pyridinyl]-N-ethylpyridine-2-carboxamide,1,-0.22184875,0.568201724
CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,14,14,14,1,2-N-6-N-diethyl-2-N-6-N-bis(3-methylphenyl)pyridine-2-6-dicarboxamide,1,-0.09691001299999998,0.740362689
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,14,14,14,1,N-(2-4-dimethylphenyl)-6-[6-[(2-4-dimethylphenyl)-ethylcarbamoyl]-2-pyridinyl]-N-ethylpyridine-2-carboxamide,1,-0.22184875,0.255272505
O=C(COCC(=O)N1CCCCC1)N1CCCCC1,14,14,14,1,DPiperidineDGA,1,-0.7700000000000001,-0.6600000000000001
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1|Cc1cc(Br)ccc1NC(=O)CCl,14,14,2,1,Br-Cosan + T8-PHEN-CAM,2,-2.65757731917779,3.0203612826477
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,14,14,14,1,N-(3-5-dimethylphenyl)-6-[6-[(3-5-dimethylphenyl)-ethylcarbamoyl]-2-pyridinyl]-N-ethylpyridine-2-carboxamide,1,0.146128036,0.462397998
CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,14,14,14,1,3-[6-(5-6-dipropyl-1-2-4-triazin-3-yl)-2-pyridinyl]-5-6-dipropyl-1-2-4-triazine,1,-4.0,0.698970004
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,14,14,14,1,2-N-6-N-diethyl-2-N-6-N-bis(2-methylphenyl)pyridine-2-6-dicarboxamide,1,-0.5228787449999999,0.681241237
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,14,14,14,1,cPSNDGA,1,0.28555730900777376,2.187012807018954
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,14,14,14,1,N-ethyl-6-[6-[ethyl(phenyl)carbamoyl]-2-pyridinyl]-N-phenylpyridine-2-carboxamide,1,-0.698970004,0.0
CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,14,14,14,1,N-N-dimethyl-N-N-diphenylpropanediamide,1,-2.698970004,-1.187086643
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,14,14,14,1,MMTODGA,1,-0.46852108295774486,2.5806399120080803
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,14,14,14,1,N-N-didodecyl-2-(1-hexyl-2-oxopiperidin-3-yl)oxyacetamide,1,-0.7457300000000001,2.58494
CCCCCC(CC)C(=O)N(CC(C)C)CC(C)C,14,14,2,1,DiBEHA,1,-2.244933557490258,-0.026641301058649015
Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,14,14,2,2,3-Me-N-DPP,1,-2.9999999999999902,-2.9999999999999902
CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,14,14,14,1,N-ethyl-6-[6-[ethyl-(4-hexylphenyl)carbamoyl]-2-pyridinyl]-N-(4-hexylphenyl)pyridine-2-carboxamide,1,-0.795880017,0.0
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,14,14,14,1,DMDetHDGA,1,-0.10790539730951958,1.9467960272714604
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,14,14,14,1,N-(4-methylphenyl)-N-octyl-1-10-phenanthroline-2-carboxamide,1,-2.0,-1.022276395
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,14,14,14,1,DMDdecHDGA,1,-0.8538719643217619,1.7157527168228595
COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,14,14,14,1,TEtOMeDGA,1,-0.7399999999999999,-0.6200000000000001
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,14,14,14,1,DMDdecdDGA,1,-0.1804560644581313,1.2871296207191107
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,14,14,14,1,DODDmDGA,1,-1.3979400086720375,2.1051694279993316
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,14,14,14,1,DEDODGA,1,-0.1366771398795441,2.7974129739592226
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,14,14,14,1,DODHtDGA,1,-1.3010299956639813,1.2060158767633447
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,14,14,14,1,DPDODGA,1,-0.46852108295774486,2.67355537811554
CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,14,14,14,1,N-(3-7-dimethyloct-6-enyl)-2-[2-[3-7-dimethyloct-6-enyl(hexyl)amino]-2-oxoethoxy]-N-hexylacetamide,1,-1.26169,1.77057
CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,14,14,14,1,2-N-2-N-9-N-9-N-tetrabutyl-1-10-phenanthroline-2-9-dicarboxamide,1,-1.397940009,-0.8239087409999999
