family,model_arm,transform,design,metric,half,seed_set,decision_seed,label,contrast,cluster_unit,clustered,decides,point,percentile_low,percentile_high,bca_low,bca_high,p_two_sided,bootstrap_sd,mde_80,bias_z0,acceleration,loco_min,loco_max,n_units,n_clusters,n_resamples,bootstrap_seed,n_nan_draws,higher_is_better,with_value,transform_value,n_pairs,primary_cluster_unit,status,target,detail
H3,B5,ACT_PERMUTED,V5,crps,selection,discovery,104729,"discovery, optimistically biased (selection half)",,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,,NOT_RUN: no learned arm has a predictive SD (std_logD NaN; split-conformal intervals only)
H3,B5,WITHOUT,V5,rank_accuracy,selection,discovery,104729,"discovery, optimistically biased (selection half)",B5:WITH - B5:WITHOUT,system,True,True,0.0133829,-0.00196935,0.0597907,-0.00138314,0.0680022,0.119,0.016724,0.0468271,0.026448,0.0261821,0.00595079,0.0195118,59,11,10000,19,0,True,0.942319,0.928936,33261,True,computed,,
H3,B5,WITHOUT,V5,rank_accuracy,selection,discovery,104729,"discovery, optimistically biased (selection half)",B5:WITH - B5:WITHOUT,publication_group,True,True,0.0133829,-0.00301347,0.053283,-0.00187854,0.0624625,0.1634,0.015048,0.0421344,0.0541697,0.0320193,0.0050656,0.0195118,59,14,10000,19,0,True,0.942319,0.928936,33261,False,computed,,
H3,B5,WITHOUT,V5,abs_coverage_gap_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_80 B5:WITHOUT - B5:WITH,system,True,True,-0.0451209,-0.115265,-0.00813271,-0.115803,-0.00853567,0.0226,0.0331434,0.0928016,-0.0157924,0.00365294,-0.0585754,-0.0323521,59,11,10000,19,0,False,0.952954,0.907833,,True,computed,0.8,
H3,B5,WITHOUT,V5,width_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_80 B5:WITHOUT - B5:WITH,system,True,True,0.0513497,0.00544312,0.0964331,0.00889217,0.10044,0.0348,0.0231181,0.0647308,0.0288302,0.0211933,0.0385913,0.0611051,59,11,10000,19,0,False,1.69111,1.74246,,True,computed,,
H3,B5,WITHOUT,V5,abs_coverage_gap_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_80 B5:WITHOUT - B5:WITH,publication_group,True,True,-0.0451209,-0.107662,-0.00580432,-0.112769,-0.00870696,0.0266,0.0296139,0.0829189,-0.0878448,-0.00281719,-0.0585754,-0.0323521,59,14,10000,19,0,False,0.952954,0.907833,,False,computed,0.8,
H3,B5,WITHOUT,V5,width_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_80 B5:WITHOUT - B5:WITH,publication_group,True,True,0.0513497,-0.000761525,0.0898168,0.00280348,0.092166,0.0526,0.0230093,0.0644261,0.0205558,0.0193476,0.0385913,0.0611051,59,14,10000,19,0,False,1.69111,1.74246,,False,computed,,
H3,B5,WITHOUT,V5,abs_coverage_gap_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_95 B5:WITHOUT - B5:WITH,system,True,True,-0.0288647,-0.0431387,0.0211567,-0.0468558,-0.0076506,0.1084,0.0192476,0.0538933,-0.38532,0.000460706,-0.0388589,-0.0214048,59,11,10000,19,0,False,0.992601,0.963737,,True,computed,0.95,
H3,B5,WITHOUT,V5,width_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_95 B5:WITHOUT - B5:WITH,system,True,True,0.0690275,-0.029214,0.124396,-0.0207576,0.127757,0.1248,0.0407423,0.114078,0.029081,0.0176307,0.045846,0.0841552,59,11,10000,19,0,False,3.38378,3.45281,,True,computed,,
H3,B5,WITHOUT,V5,abs_coverage_gap_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_95 B5:WITHOUT - B5:WITH,publication_group,True,True,-0.0288647,-0.0420542,0.0233954,-0.0463796,-0.00884973,0.1274,0.0174583,0.0488832,-0.471057,-0.0129429,-0.0362344,-0.0198453,59,14,10000,19,0,False,0.992601,0.963737,,False,computed,0.95,
H3,B5,WITHOUT,V5,width_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_95 B5:WITHOUT - B5:WITH,publication_group,True,True,0.0690275,-0.0221809,0.121024,-0.0170793,0.122556,0.1058,0.0369196,0.103375,-0.00350929,0.017966,0.045846,0.0841552,59,14,10000,19,0,False,3.38378,3.45281,,False,computed,,
H3,B5,WITHOUT,V5,crps,selection,discovery,104729,"discovery, optimistically biased (selection half)",,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,,NOT_RUN: no learned arm has a predictive SD (std_logD NaN; split-conformal intervals only)
H3,B6,ACT_PERMUTED,V5,rank_accuracy,selection,discovery,104729,"discovery, optimistically biased (selection half)",B6:WITH - B6:ACT_PERMUTED,system,True,True,0.00504955,-0.00268065,0.0126434,-0.000756079,0.0149215,0.2168,0.00392002,0.0109761,0.0906131,0.0884369,0.00132851,0.0063388,59,11,10000,19,0,True,0.842342,0.837293,33261,True,computed,,
H3,B6,ACT_PERMUTED,V5,rank_accuracy,selection,discovery,104729,"discovery, optimistically biased (selection half)",B6:WITH - B6:ACT_PERMUTED,publication_group,True,True,0.00504955,-0.000618254,0.0119678,-0.000241318,0.0124842,0.0794,0.00321053,0.00898948,0.0339713,0.0157562,0.0032471,0.00638756,59,14,10000,19,0,True,0.842342,0.837293,33261,False,computed,,
H3,B6,ACT_PERMUTED,V5,abs_coverage_gap_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_80 B6:ACT_PERMUTED - B6:WITH,system,True,True,5.80035e-05,-0.0198121,0.0219711,-0.0165968,0.0281646,0.9736,0.0108575,0.030401,0.0409949,0.065882,-0.00869883,0.00406259,59,11,10000,19,0,False,0.879275,0.879333,,True,computed,0.8,
H3,B6,ACT_PERMUTED,V5,width_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_80 B6:ACT_PERMUTED - B6:WITH,system,True,True,0.108478,-0.121898,0.332081,-0.115653,0.337159,0.3542,0.115716,0.324005,0.0211826,0.00449675,0.0117833,0.203426,59,11,10000,19,0,False,3.20828,3.31675,,True,computed,,
H3,B6,ACT_PERMUTED,V5,abs_coverage_gap_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_80 B6:ACT_PERMUTED - B6:WITH,publication_group,True,True,5.80035e-05,-0.0169574,0.018438,-0.0146622,0.0214323,0.9512,0.00889436,0.0249042,0.0677307,0.0253402,-0.00389443,0.00329176,59,14,10000,19,0,False,0.879275,0.879333,,False,computed,0.8,
H3,B6,ACT_PERMUTED,V5,width_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_80 B6:ACT_PERMUTED - B6:WITH,publication_group,True,True,0.108478,-0.0951816,0.323459,-0.0980236,0.321409,0.3238,0.1088,0.30464,0.0147896,-0.014754,0.02443,0.203426,59,14,10000,19,0,False,3.20828,3.31675,,False,computed,,
H3,B6,ACT_PERMUTED,V5,abs_coverage_gap_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_95 B6:ACT_PERMUTED - B6:WITH,system,True,True,0.00502714,-0.0160598,0.0277584,-0.0111396,0.0351227,0.7666,0.0114553,0.0320749,0.111777,0.0738019,-0.00828471,0.0126936,59,11,10000,19,0,False,0.959241,0.964268,,True,computed,0.95,
H3,B6,ACT_PERMUTED,V5,width_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_95 B6:ACT_PERMUTED - B6:WITH,system,True,True,-0.920341,-1.45417,-0.348108,-1.43165,-0.309539,0,0.287839,0.80595,0.0298333,0.0139431,-1.15298,-0.708508,59,11,10000,19,0,False,6.17883,5.25848,,True,computed,,
H3,B6,ACT_PERMUTED,V5,abs_coverage_gap_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_95 B6:ACT_PERMUTED - B6:WITH,publication_group,True,True,0.00502714,-0.0304243,0.0269551,-0.00958689,0.0424298,0.9552,0.0139989,0.0391968,0.364078,0.0661907,-0.00685631,0.0126936,59,14,10000,19,0,False,0.959241,0.964268,,False,computed,0.95,
H3,B6,ACT_PERMUTED,V5,width_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_95 B6:ACT_PERMUTED - B6:WITH,publication_group,True,True,-0.920341,-1.40597,-0.414711,-1.41783,-0.429125,0,0.257726,0.721632,-0.00125331,-0.0172373,-1.09482,-0.708508,59,14,10000,19,0,False,6.17883,5.25848,,False,computed,,
H3,B6,ACT_PERMUTED,V5,crps,selection,discovery,104729,"discovery, optimistically biased (selection half)",,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,,NOT_RUN: no learned arm has a predictive SD (std_logD NaN; split-conformal intervals only)
H3,B6,WITHOUT,V5,rank_accuracy,selection,discovery,104729,"discovery, optimistically biased (selection half)",B6:WITH - B6:WITHOUT,system,True,True,0.00812799,-0.00446135,0.0195822,-0.00461814,0.0195398,0.2024,0.00614477,0.0172054,-0.00601594,-0.00489082,0.00351909,0.0129729,59,11,10000,19,0,True,0.842342,0.834214,33261,True,computed,,
H3,B6,WITHOUT,V5,rank_accuracy,selection,discovery,104729,"discovery, optimistically biased (selection half)",B6:WITH - B6:WITHOUT,publication_group,True,True,0.00812799,-0.00951559,0.0250416,-0.00649445,0.0281265,0.3866,0.00883435,0.0247362,0.0711228,0.054572,0.000223181,0.0129729,59,14,10000,19,0,True,0.842342,0.834214,33261,False,computed,,
H3,B6,WITHOUT,V5,abs_coverage_gap_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_80 B6:WITHOUT - B6:WITH,system,True,True,-0.0196583,-0.0821422,0.0422733,-0.0747128,0.0620707,0.5328,0.0338368,0.094743,0.0107787,0.0852642,-0.0523371,-0.00717267,59,11,10000,19,0,False,0.879275,0.859617,,True,computed,0.8,
H3,B6,WITHOUT,V5,width_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_80 B6:WITHOUT - B6:WITH,system,True,True,0.162538,-0.619772,0.930906,-0.58796,0.99675,0.7212,0.40396,1.13109,0.0283287,0.0227685,-0.119488,0.422072,59,11,10000,19,0,False,3.20828,3.37081,,True,computed,,
H3,B6,WITHOUT,V5,abs_coverage_gap_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_80 B6:WITHOUT - B6:WITH,publication_group,True,True,-0.0196583,-0.0783764,0.0426518,-0.0724491,0.0588841,0.5618,0.0320826,0.0898312,-0.0368558,0.0881137,-0.0523371,-0.00717267,59,14,10000,19,0,False,0.879275,0.859617,,False,computed,0.8,
H3,B6,WITHOUT,V5,width_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_80 B6:WITHOUT - B6:WITH,publication_group,True,True,0.162538,-0.604335,0.882956,-0.573648,0.940631,0.7142,0.390192,1.09254,0.0343476,0.0269565,-0.121579,0.422072,59,14,10000,19,0,False,3.20828,3.37081,,False,computed,,
H3,B6,WITHOUT,V5,abs_coverage_gap_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_95 B6:WITHOUT - B6:WITH,system,True,True,0.0162111,-0.0210634,0.0310085,0.000496732,0.0403089,0.426,0.0137559,0.0385165,0.550903,0.0511338,0.00588057,0.0226645,59,11,10000,19,0,False,0.959241,0.975452,,True,computed,0.95,
H3,B6,WITHOUT,V5,width_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_95 B6:WITHOUT - B6:WITH,system,True,True,0.0371005,-1.4633,1.96549,-1.48155,1.94389,0.9592,0.839109,2.3495,-0.00325862,-0.00462746,-0.458402,0.606869,59,11,10000,19,0,False,6.17883,6.21593,,True,computed,,
H3,B6,WITHOUT,V5,abs_coverage_gap_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_95 B6:WITHOUT - B6:WITH,publication_group,True,True,0.0162111,-0.0342921,0.0310936,0.000394884,0.0446896,0.5436,0.0166029,0.0464882,0.639958,0.0608359,0.00588057,0.0217415,59,14,10000,19,0,False,0.959241,0.975452,,False,computed,0.95,
H3,B6,WITHOUT,V5,width_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_95 B6:WITHOUT - B6:WITH,publication_group,True,True,0.0371005,-1.5217,1.67869,-1.53178,1.65056,0.9618,0.823251,2.3051,-0.00325862,-0.00314285,-0.458402,0.606869,59,14,10000,19,0,False,6.17883,6.21593,,False,computed,,
H3,B6,WITHOUT,V5,crps,selection,discovery,104729,"discovery, optimistically biased (selection half)",,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,,NOT_RUN: no learned arm has a predictive SD (std_logD NaN; split-conformal intervals only)
H3,B5,ACT_PERMUTED,V2,rank_accuracy,selection,discovery,104729,"discovery, optimistically biased (selection half)",B5:WITH - B5:ACT_PERMUTED,metal_state,True,True,-0.000498595,-0.0172597,0.0105089,-0.0250258,0.00908019,0.9756,0.00753778,0.0211058,-0.0702433,-0.108352,-0.00370279,0.00732286,7,7,10000,19,0,True,0.891476,0.891974,18550,True,computed,,
H3,B5,ACT_PERMUTED,V2,abs_coverage_gap_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_80 B5:ACT_PERMUTED - B5:WITH,metal_state,True,True,-0.0133231,-0.035185,0.0118958,-0.0339992,0.0128865,0.2736,0.0120153,0.0336427,0.0117814,0.0171185,-0.0235757,-0.00407977,7,7,10000,19,0,False,0.887736,0.874413,,True,computed,0.8,
H3,B5,ACT_PERMUTED,V2,width_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_80 B5:ACT_PERMUTED - B5:WITH,metal_state,True,True,-0.121233,-0.266245,0.0375748,-0.247884,0.0799956,0.1422,0.0790654,0.221383,0.0985444,0.0482702,-0.176007,-0.0906823,7,7,10000,19,0,False,1.70519,1.58396,,True,computed,,
H3,B5,ACT_PERMUTED,V2,abs_coverage_gap_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_95 B5:ACT_PERMUTED - B5:WITH,metal_state,True,True,0.00619857,-0.00718487,0.0239567,-0.00516135,0.0304016,0.505,0.00818406,0.0229154,0.110264,0.0843858,-0.00180447,0.00987717,7,7,10000,19,0,False,0.9821,0.988299,,True,computed,0.95,
H3,B5,ACT_PERMUTED,V2,width_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_95 B5:ACT_PERMUTED - B5:WITH,metal_state,True,True,0.000914508,-0.23941,0.258568,-0.225419,0.349162,0.9692,0.136844,0.383162,0.0540441,0.0573922,-0.101189,0.0522572,7,7,10000,19,0,False,3.22422,3.22513,,True,computed,,
H3,B5,ACT_PERMUTED,V2,crps,selection,discovery,104729,"discovery, optimistically biased (selection half)",,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,,NOT_RUN: no learned arm has a predictive SD (std_logD NaN; split-conformal intervals only)
H3,B5,WITHOUT,V2,rank_accuracy,selection,discovery,104729,"discovery, optimistically biased (selection half)",B5:WITH - B5:WITHOUT,metal_state,True,True,-0.00461804,-0.0156285,0.00367647,-0.0178556,0.00254236,0.3636,0.00488894,0.013689,-0.0709972,-0.0678385,-0.00757248,7.46316e-05,7,7,10000,19,0,True,0.891476,0.896094,18550,True,computed,,
H3,B5,WITHOUT,V2,abs_coverage_gap_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_80 B5:WITHOUT - B5:WITH,metal_state,True,True,-0.0680023,-0.0894505,0.0400952,-0.103944,-0.0471727,0.1178,0.0275243,0.0770681,-0.521239,-0.0279126,-0.0756185,-0.0588582,7,7,10000,19,0,False,0.887736,0.819734,,True,computed,0.8,
H3,B5,WITHOUT,V2,width_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_80 B5:WITHOUT - B5:WITH,metal_state,True,True,-0.720533,-0.985995,-0.445414,-0.962661,-0.408198,0,0.139133,0.389573,0.0466402,0.0262942,-0.813749,-0.646756,7,7,10000,19,0,False,1.70519,0.984662,,True,computed,,
H3,B5,WITHOUT,V2,abs_coverage_gap_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_95 B5:WITHOUT - B5:WITH,metal_state,True,True,-0.0288809,-0.0417743,0.0215582,-0.0450866,0.000932873,0.207,0.0161144,0.0451203,-0.319958,0.00171029,-0.0321696,-0.0196732,7,7,10000,19,0,False,0.9821,0.946781,,True,computed,0.95,
H3,B5,WITHOUT,V2,width_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_95 B5:WITHOUT - B5:WITH,metal_state,True,True,-1.13239,-1.48485,-0.758129,-1.4485,-0.641935,0,0.194093,0.543462,0.08143,0.0510513,-1.27025,-1.05673,7,7,10000,19,0,False,3.22422,2.09182,,True,computed,,
H3,B5,WITHOUT,V2,crps,selection,discovery,104729,"discovery, optimistically biased (selection half)",,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,,NOT_RUN: no learned arm has a predictive SD (std_logD NaN; split-conformal intervals only)
H3,B6,ACT_PERMUTED,V2,rank_accuracy,selection,discovery,104729,"discovery, optimistically biased (selection half)",B6:WITH - B6:ACT_PERMUTED,metal_state,True,True,-0.00298326,-0.0214731,0.0122758,-0.0250482,0.0112072,0.7982,0.00879252,0.0246191,-0.047393,-0.0508784,-0.00785001,0.0048715,7,7,10000,19,0,True,0.81803,0.821014,18550,True,computed,,
H3,B6,ACT_PERMUTED,V2,abs_coverage_gap_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_80 B6:ACT_PERMUTED - B6:WITH,metal_state,True,True,-0.0232185,-0.0726297,0.0304287,-0.0676664,0.0371077,0.3886,0.0263468,0.0737711,0.0244421,0.0442933,-0.0431525,-0.0113054,7,7,10000,19,0,False,0.850604,0.827385,,True,computed,0.8,
H3,B6,ACT_PERMUTED,V2,width_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_80 B6:ACT_PERMUTED - B6:WITH,metal_state,True,True,-0.0115366,-0.243977,0.232782,-0.231137,0.249612,0.9164,0.122673,0.343485,0.0292064,0.020753,-0.0952742,0.05418,7,7,10000,19,0,False,2.64769,2.63615,,True,computed,,
H3,B6,ACT_PERMUTED,V2,abs_coverage_gap_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_95 B6:ACT_PERMUTED - B6:WITH,metal_state,True,True,-0.00462826,-0.0129669,0.0137743,-0.023898,0.00228571,0.816,0.00658308,0.0184326,-0.617508,-0.0628908,-0.00821555,0.00554889,7,7,10000,19,0,False,0.945308,0.950064,,True,computed,0.95,
H3,B6,ACT_PERMUTED,V2,width_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_95 B6:ACT_PERMUTED - B6:WITH,metal_state,True,True,0.104203,-0.164683,0.385534,-0.148879,0.404796,0.4872,0.141706,0.396778,0.0345984,0.0207048,0.000835608,0.174506,7,7,10000,19,0,False,4.00812,4.11232,,True,computed,,
H3,B6,ACT_PERMUTED,V2,crps,selection,discovery,104729,"discovery, optimistically biased (selection half)",,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,,NOT_RUN: no learned arm has a predictive SD (std_logD NaN; split-conformal intervals only)
H3,B6,WITHOUT,V2,rank_accuracy,selection,discovery,104729,"discovery, optimistically biased (selection half)",B6:WITH - B6:WITHOUT,metal_state,True,True,-0.00272535,-0.023575,0.0122015,-0.0324351,0.00996016,0.8416,0.00948549,0.0265594,-0.0948928,-0.0949933,-0.00666169,0.00677568,7,7,10000,19,0,True,0.81803,0.820756,18550,True,computed,,
H3,B6,WITHOUT,V2,abs_coverage_gap_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_80 B6:WITHOUT - B6:WITH,metal_state,True,True,-0.0375514,-0.0926322,0.0241508,-0.0924506,0.0246369,0.2594,0.0305716,0.0856006,0.00701862,3.16142e-05,-0.0564494,-0.0189211,7,7,10000,19,0,False,0.850604,0.786948,,True,computed,0.8,
H3,B6,WITHOUT,V2,width_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_80 B6:WITHOUT - B6:WITH,metal_state,True,True,-0.394749,-0.639305,-0.140566,-0.623506,-0.111203,0.0036,0.128993,0.361181,0.0340968,0.0255403,-0.500206,-0.317564,7,7,10000,19,0,False,2.64769,2.25294,,True,computed,,
H3,B6,WITHOUT,V2,abs_coverage_gap_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_95 B6:WITHOUT - B6:WITH,metal_state,True,True,0.00717122,-0.0397094,0.012756,-0.00909577,0.0216943,0.855,0.0143748,0.0402495,0.840372,0.0889209,-0.00978558,0.00654456,7,7,10000,19,0,False,0.945308,0.961863,,True,computed,0.95,
H3,B6,WITHOUT,V2,width_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_95 B6:WITHOUT - B6:WITH,metal_state,True,True,-0.265438,-0.582262,0.171335,-0.532461,0.366728,0.1908,0.198192,0.554937,0.118969,0.0973777,-0.466314,-0.194289,7,7,10000,19,0,False,4.00812,3.74268,,True,computed,,
H3,B6,WITHOUT,V2,crps,selection,discovery,104729,"discovery, optimistically biased (selection half)",,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,,NOT_RUN: no learned arm has a predictive SD (std_logD NaN; split-conformal intervals only)
H3,B5,WITHOUT,V1,rank_accuracy,selection,discovery,104729,"discovery, optimistically biased (selection half)",B5:WITH - B5:WITHOUT,publication_group,True,True,0.0115682,-0.0451811,0.054737,-0.0674651,0.0465582,0.5868,0.0251927,0.0705396,-0.0865867,-0.0809137,0.00163356,0.0330843,25,25,10000,19,0,True,0.704351,0.692782,314142,True,computed,,
H3,B5,WITHOUT,V1,abs_coverage_gap_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_80 B5:WITHOUT - B5:WITH,publication_group,True,True,0.0543349,-0.0629948,0.0865066,0.0180816,0.128729,0.4442,0.0386559,0.108237,0.763106,0.0146176,0.0324761,0.059804,25,25,10000,19,0,False,0.802059,0.856394,,True,computed,0.8,
H3,B5,WITHOUT,V1,width_80,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_80 B5:WITHOUT - B5:WITH,publication_group,True,True,0.31215,0.260392,0.363559,0.257235,0.360738,0,0.0264771,0.0741359,-0.0190515,-0.0147941,0.301805,0.323615,25,25,10000,19,0,False,3.38363,3.69578,,True,computed,,
H3,B5,WITHOUT,V1,abs_coverage_gap_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",abs_coverage_gap_95 B5:WITHOUT - B5:WITH,publication_group,True,True,0.00121342,-0.00972073,0.0116446,-0.0107266,0.0108284,0.795,0.00546244,0.0152948,-0.025445,-0.0278284,-0.002391,0.00576627,25,25,10000,19,0,False,0.964033,0.965246,,True,computed,0.95,
H3,B5,WITHOUT,V1,width_95,selection,discovery,104729,"discovery, optimistically biased (selection half)",width_95 B5:WITHOUT - B5:WITH,publication_group,True,True,0.250754,0.164878,0.330931,0.157731,0.323389,0,0.0421037,0.11789,-0.0383608,-0.0294646,0.236379,0.276358,25,25,10000,19,0,False,5.45624,5.707,,True,computed,,
H3,B5,WITHOUT,V1,crps,selection,discovery,104729,"discovery, optimistically biased (selection half)",,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,,NOT_RUN: no learned arm has a predictive SD (std_logD NaN; split-conformal intervals only)
H3,B6,WITHOUT,V1,rank_accuracy,selection,discovery,104729,"discovery, optimistically biased (selection half)",B6:WITH - B6:WITHOUT,publication_group,True,True,-0.0040044,-0.0331605,0.0220844,-0.0376861,0.0191619,0.8168,0.014222,0.0398215,-0.0431274,-0.0484848,-0.00937958,0.00593216,25,25,10000,19,0,True,0.659289,0.663293,314142,True,computed,,
