comparison,reference,candidate,outer_fold,delta_mae,delta_rmse,delta_r2,delta_spearman
S1_vs_S3,S1,S3,0,0.006348517302810386,0.01164506023441314,0.05153003248587251,-0.016726109969694924
S1_vs_S3,S1,S3,1,0.01943150702725155,0.02130679240634309,0.0658004580278716,0.015231873730189971
S1_vs_S3,S1,S3,2,-0.03059787009689846,-0.0598539216333458,-0.08469309187360397,-0.025944725136971103
S1_vs_S3,S1,S3,3,-0.013684236457707777,-0.023000440761637875,-0.06154459135936585,-0.02570557168826315
S1_vs_S3,S1,S3,4,-0.00352961093251436,0.015769052687274576,0.025018078966328794,0.0017967448745975778
S1_vs_S4,S1,S4,0,-0.0020554265742845357,0.00019914475129245712,0.0008895561111257333,-0.024946534795390163
S1_vs_S4,S1,S4,1,0.02032573364351864,0.02783925225339906,0.08537352971798351,0.008717832147130622
S1_vs_S4,S1,S4,2,-0.02646895013049999,-0.03376817430290857,-0.04676870685614465,-0.012714089614830781
S1_vs_S4,S1,S4,3,-0.00047977288347367253,-0.0023629346190229272,-0.006229337171855143,-0.018265669556761677
S1_vs_S4,S1,S4,4,-0.002407594440250127,0.017629810393398837,0.02791482979978288,0.0060287763985340526
S1_vs_S5,S1,S5,0,0.022594068911294896,0.0318872414877972,0.13874405718785643,0.01675214755925103
S1_vs_S5,S1,S5,1,0.059232947687681614,0.0784673797928021,0.22751017192294443,0.018273032302589587
S1_vs_S5,S1,S5,2,-0.015946418638726978,-0.01559499764453498,-0.021273003886239095,0.0009214014938068171
S1_vs_S5,S1,S5,3,0.006905022073277423,0.01045184031991786,0.02729734418246288,-0.002184362058697764
S1_vs_S5,S1,S5,4,-0.0009443801211960201,0.01082995027588246,0.017272372687189064,0.007126867085586297
A2_vs_G2_SHUFFLED_s1009,A2,G2_SHUFFLED_s1009,0,0.0005423336209983698,0.011809143877453576,0.05020988451938968,-0.002705763634525904
A2_vs_G2_SHUFFLED_s1009,A2,G2_SHUFFLED_s1009,1,-0.02967355608718203,-0.02214361697901679,-0.054639626609755076,-0.062995045693646
A2_vs_G2_SHUFFLED_s1009,A2,G2_SHUFFLED_s1009,2,-0.025316179066375566,-0.008350150481642782,-0.011915165478443956,-0.003576490875384808
A2_vs_G2_SHUFFLED_s1009,A2,G2_SHUFFLED_s1009,3,0.029124370210100115,0.04277693571676788,0.11562634295221597,0.012012720582329162
A2_vs_G2_SHUFFLED_s1009,A2,G2_SHUFFLED_s1009,4,-0.0034302736447129334,0.005888071797029826,0.008788838525116915,0.007517971576258997
G2_SHUFFLED_s1009_vs_G2,G2_SHUFFLED_s1009,G2,0,-0.0003053781733595162,0.004023877442570933,0.01687582560829548,-0.003180593866541348
G2_SHUFFLED_s1009_vs_G2,G2_SHUFFLED_s1009,G2,1,0.003283794577412069,0.0022999108636733157,0.005825811833041206,0.013172405227595219
G2_SHUFFLED_s1009_vs_G2,G2_SHUFFLED_s1009,G2,2,0.00390254436572518,-0.0013702324930432441,-0.001970559089410129,0.004442677748906831
G2_SHUFFLED_s1009_vs_G2,G2_SHUFFLED_s1009,G2,3,-0.020035858038957743,-0.035953293109495355,-0.09671208228269934,-0.022954897545922726
G2_SHUFFLED_s1009_vs_G2,G2_SHUFFLED_s1009,G2,4,0.004145707199863402,0.0026223670927410514,0.0038765922767745042,0.00585989818789634
A2_vs_G2_SHUFFLED_s2017,A2,G2_SHUFFLED_s2017,0,-0.0039032269990399437,0.003746965049996498,0.0160416640776897,-0.004433673774510594
A2_vs_G2_SHUFFLED_s2017,A2,G2_SHUFFLED_s2017,1,-0.024595944776473755,-0.016635177517295763,-0.04074480122137414,-0.060558052627823766
A2_vs_G2_SHUFFLED_s2017,A2,G2_SHUFFLED_s2017,2,-0.023729817905802864,-0.019379999951116278,-0.027899958534554736,0.0011029479203462644
A2_vs_G2_SHUFFLED_s2017,A2,G2_SHUFFLED_s2017,3,0.023531700757065954,0.03261150759998588,0.08878409618367555,0.030248885714176388
A2_vs_G2_SHUFFLED_s2017,A2,G2_SHUFFLED_s2017,4,-0.0006485364872495514,0.006448771552929333,0.009619661742424235,0.01027126029253067
G2_SHUFFLED_s2017_vs_G2,G2_SHUFFLED_s2017,G2,0,0.004140182446678797,0.012086056270028012,0.05104404604999546,-0.0014526837265566583
G2_SHUFFLED_s2017_vs_G2,G2_SHUFFLED_s2017,G2,1,-0.0017938167332962052,-0.0032085285980477107,-0.008069013555339732,0.010735412161772984
G2_SHUFFLED_s2017_vs_G2,G2_SHUFFLED_s2017,G2,2,0.0023161832051524778,0.009659616976430252,0.014014233966700651,-0.00023676104682424093
G2_SHUFFLED_s2017_vs_G2,G2_SHUFFLED_s2017,G2,3,-0.014443188585923583,-0.02578786499271335,-0.06986983551415893,-0.04119106267776995
G2_SHUFFLED_s2017_vs_G2,G2_SHUFFLED_s2017,G2,4,0.00136397004240002,0.002061667336841544,0.003045769059467185,0.003106609471624666
A2_vs_G2_SHUFFLED_s3019,A2,G2_SHUFFLED_s3019,0,0.0009392936207175406,0.012979418379772345,0.05513012735015388,-0.007256105939219493
A2_vs_G2_SHUFFLED_s3019,A2,G2_SHUFFLED_s3019,1,-0.030477080704508663,-0.029779358296122438,-0.07423201987355577,-0.045087557637026654
A2_vs_G2_SHUFFLED_s3019,A2,G2_SHUFFLED_s3019,2,-0.026912127181532353,-0.017801110215597604,-0.02559462077004504,-0.006257224160841179
A2_vs_G2_SHUFFLED_s3019,A2,G2_SHUFFLED_s3019,3,0.02106095378562106,0.03085349213876243,0.08410183153794959,0.013170471238697967
A2_vs_G2_SHUFFLED_s3019,A2,G2_SHUFFLED_s3019,4,-0.00420653103579105,0.004040588125082678,0.006043795488671955,0.00939894625855564
G2_SHUFFLED_s3019_vs_G2,G2_SHUFFLED_s3019,G2,0,-0.0007023381730786871,0.0028536029402521645,0.011955582777531282,0.0013697484381522407
G2_SHUFFLED_s3019_vs_G2,G2_SHUFFLED_s3019,G2,1,0.004087319194738703,0.009935652180778964,0.025418205096841895,-0.004735082829024129
G2_SHUFFLED_s3019_vs_G2,G2_SHUFFLED_s3019,G2,2,0.005498492480881967,0.008080727240911578,0.011708896202190955,0.007123411034363203
G2_SHUFFLED_s3019_vs_G2,G2_SHUFFLED_s3019,G2,3,-0.01197244161447869,-0.0240298495314899,-0.06518757086843296,-0.02411264820229153
G2_SHUFFLED_s3019_vs_G2,G2_SHUFFLED_s3019,G2,4,0.004921964590941519,0.004469850764688199,0.006621635313219465,0.003978923505599696
A2_vs_E3_SHUFFLED_s1009,A2,E3_SHUFFLED_s1009,0,0.0057928212113668165,0.01533906885449865,0.0650204840458315,0.005874694430069105
A2_vs_E3_SHUFFLED_s1009,A2,E3_SHUFFLED_s1009,1,-0.007304836392449943,-0.005832232598807774,-0.014076857376771557,-0.021453606997873576
A2_vs_E3_SHUFFLED_s1009,A2,E3_SHUFFLED_s1009,2,-0.02874477795669511,-0.01963780308040508,-0.028276921632993002,-0.00812003597497657
A2_vs_E3_SHUFFLED_s1009,A2,E3_SHUFFLED_s1009,3,0.008456383742679874,0.010692327499226661,0.02955852728610142,0.015022426341340656
A2_vs_E3_SHUFFLED_s1009,A2,E3_SHUFFLED_s1009,4,-0.0016615230903528344,0.00852021452654289,0.012679838476399308,0.0019991795743047325
E3_SHUFFLED_s1009_vs_E3,E3_SHUFFLED_s1009,E3,0,-0.0009774773283369176,0.0032568582876751906,0.0135841128956804,0.004237804003952184
E3_SHUFFLED_s1009_vs_E3,E3_SHUFFLED_s1009,E3,1,0.007601216776021602,0.013521582577459057,0.032292666052344154,0.0074268539079900275
E3_SHUFFLED_s1009_vs_E3,E3_SHUFFLED_s1009,E3,2,0.016221344579721686,0.017800454881366945,0.02566889880136025,0.01501878604599527
E3_SHUFFLED_s1009_vs_E3,E3_SHUFFLED_s1009,E3,3,0.025949827715457063,0.03649299465150446,0.09758528962015212,0.002938183177906062
E3_SHUFFLED_s1009_vs_E3,E3_SHUFFLED_s1009,E3,4,0.005561426042621387,0.0035127350667055746,0.005156296085114365,0.010588016265671185
A2_vs_E3_SHUFFLED_s2017,A2,E3_SHUFFLED_s2017,0,-0.0017320887489954417,0.005311498686787042,0.02270944373398942,-0.003989557451792969
A2_vs_E3_SHUFFLED_s2017,A2,E3_SHUFFLED_s2017,1,-0.004629138694814794,-0.002815290512192703,-0.00676701617217057,-0.014382206171048573
A2_vs_E3_SHUFFLED_s2017,A2,E3_SHUFFLED_s2017,2,-0.016321105932261604,-0.009830087020899048,-0.014043678912666668,-0.0018197177161032307
A2_vs_E3_SHUFFLED_s2017,A2,E3_SHUFFLED_s2017,3,0.005208855993290906,0.001182046134124426,0.003289253098083922,0.011740366396880808
A2_vs_E3_SHUFFLED_s2017,A2,E3_SHUFFLED_s2017,4,0.0008362627394795652,0.007314104085312134,0.010899794183545586,0.010434467691994631
