outer_fold,extractant_id,n_train_extractants,max_train_tanimoto,nearest_train_extractant,mean_train_tanimoto
0,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,25,0.6206896551724138,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,0.43526368674347454
0,COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,25,0.5714285714285714,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,0.40173373443378585
1,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,24,0.5365853658536586,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,0.44238002916923386
1,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,24,0.5151515151515151,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,0.3866911366148189
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,24,0.5151515151515151,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,0.3866911366148189
1,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,24,0.5151515151515151,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,0.3866911366148189
1,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,24,0.45714285714285713,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.30028744207704544
0,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,25,0.45714285714285713,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.12011677988475117
2,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,27,0.29508196721311475,CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,0.23880529469046838
0,O=C(COCC(=O)N1CCCCC1)N1CCCCC1,25,0.2916666666666667,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,0.19737964944248831
