level,n_pairs,n_extractants,n_cells,mae_pooled,mean_abs_y,mae_pooled_incumbent,mae_pooled_meancurve,frac_beats_meancurve,mae_macro,mean_abs_y_macro,mae_macro_meancurve,ratio_pooled,ratio_macro,n_pairs_per_seed
Ce-Dy,665,55,133,0.8756225689669274,1.28729441252549,0.950792766828054,1.1122597302073312,0.7112781954887218,0.7531396454134563,1.0809164559021334,1.0183519230441624,0.680203813864988,0.6967602734707982,133.0
Nd-Lu,680,56,136,0.8546492732932284,1.2019825711717704,0.9425646356933792,1.078790040185564,0.7529411764705882,0.7507403980404133,0.996816009625012,0.9570515600287474,0.7110329998046985,0.7531383834042062,136.0
Nd-Tm,505,48,101,0.8353456042655371,1.1439969712534426,0.8455962701660598,1.052106425009423,0.7267326732673267,0.7200024934787876,0.9371791386792901,0.9289467961087755,0.730199139732227,0.7682656002068543,101.0
Nd-Ho,720,52,144,0.793243454013442,1.0173056940559069,0.8368916831682014,0.8983180886695935,0.6041666666666666,0.6983893597690122,0.9411200493972393,0.9379794480196757,0.7797493503165712,0.7420831807975091,144.0
Ce-Tb,640,53,128,0.7902394959439614,1.169696816004961,0.8685179116460715,1.0264873619274129,0.75,0.722786444771873,1.0339921687993492,0.9944063437631876,0.6755934402240946,0.6990250667093137,128.0
Pr-Dy,610,60,122,0.7477310363244986,1.0302363986131065,0.8236264362631612,0.9695505764869782,0.7459016393442623,0.6623940086638906,0.8900342316413508,0.9468158754844478,0.7257858849979347,0.7442343059573575,122.0
La-Gd,785,68,157,0.7451754716732177,1.1028818676600742,0.8026362500515446,0.9485626052492067,0.6917197452229299,0.7198554367857593,0.9920184895697097,0.9364977185156512,0.6756620935787229,0.7256471974610051,157.0
Nd-Er,865,65,173,0.7387397441682069,0.999512037219331,0.7858773716483427,0.9219636882531081,0.7398843930635838,0.649794369437031,0.8920863843810919,0.8971768257306312,0.7391003976534394,0.728398483391093,173.0
Sm-Yb,635,51,127,0.6864413426131467,0.8643649993053041,0.7428575718877904,0.8439822022148528,0.7937007874015748,0.557917561166456,0.6763428715363089,0.6900834925640484,0.7941568008478411,0.8249034397289491,127.0
La-Eu,1100,83,220,0.6818317733362829,0.9795590029581281,0.7344987563643864,0.7987717200746038,0.5863636363636363,0.7209086064849664,0.936233487645525,0.8947215255709677,0.6960599323545069,0.7700094217927776,220.0
Sm-Lu,665,56,133,0.6773581100892919,0.8571724960870318,0.7360726028695866,0.8206119819433639,0.7458646616541353,0.5595827120439181,0.707002288690998,0.7072492677664484,0.7902238034717779,0.7914864223140994,133.0
Pr-Tb,600,58,120,0.6531536874881915,0.9368214343464206,0.7423242544830543,0.8872016170782503,0.825,0.624189591556497,0.8532199009826125,0.906780573880362,0.6972019037372562,0.731569424057793,120.0
Ce-Gd,720,57,144,0.652514805977579,0.9757962957623767,0.7018329323002297,0.8691286890079996,0.7736111111111111,0.605484899102663,0.8674461616549964,0.8359246416499351,0.6686998186109918,0.6980086210162729,144.0
Sm-Tm,510,48,102,0.6244314968584224,0.7950368402854779,0.6457113629800084,0.7507519070507921,0.7235294117647059,0.5162244397600104,0.6312525430703712,0.6279783070721526,0.7854120277422674,0.8177779961869595,102.0
Ce-Eu,880,68,176,0.61967426062736,0.8726539355093359,0.6660249198569882,0.7470850212383303,0.6806818181818182,0.5627477548730139,0.788904315540496,0.7301465716980035,0.7101030951813435,0.7133282754163447,176.0
Nd-Dy,950,71,190,0.6094410493645205,0.8240863996049955,0.6389098373470802,0.730300134759168,0.6673684210526316,0.5229479546520104,0.732550777607075,0.7522223046936214,0.7395353808249235,0.7138726360515978,190.0
La-Sm,965,74,193,0.5997695935484726,0.8889957802224799,0.6456680882045852,0.6874279160686745,0.5823834196891192,0.598078723211489,0.8389515850289474,0.7223593188147384,0.6746596630620387,0.7128882451433151,193.0
Eu-Yb,605,51,121,0.5935550943845281,0.7018749388899429,0.6282246746510173,0.6976501768028999,0.7090909090909091,0.4466276361129893,0.5369619682233167,0.5597795437274822,0.8456707334831913,0.8317677275930307,121.0
Nd-Tb,680,59,136,0.5826990947833721,0.8545773891847473,0.6527448241290533,0.796576982946347,0.8294117647058824,0.5242419863316622,0.7275604161427367,0.7773021757869529,0.6818564382323026,0.7205477025688182,136.0
Sm-Ho,715,52,143,0.5761497938718749,0.6906306389253154,0.600876755263472,0.6254958022410372,0.579020979020979,0.4999477745757436,0.612681886810559,0.6093803015647753,0.8342372339119168,0.8159989471507376,143.0
Gd-Yb,830,57,166,0.5685603696206124,0.655554531495112,0.5790136444763809,0.6062452221692548,0.5481927710843374,0.43000677951882194,0.4874438423519944,0.4781151899849331,0.8672968339093111,0.8821668101169778,166.0
Eu-Lu,665,55,133,0.5555913681509069,0.6851299940130046,0.5905392816724199,0.6621548685604071,0.7263157894736842,0.46064621978597103,0.5848457650866226,0.5893215149752414,0.8109283975390532,0.7876370955986044,133.0
Gd-Lu,855,60,171,0.5541593603048657,0.6427451816437256,0.5711910034023021,0.5806936801763285,0.5684210526315789,0.45650295334077784,0.531477833551957,0.5074977637623398,0.8621758297552463,0.8589313128825915,171.0
Sm-Er,880,65,176,0.546852183225627,0.6932092172857093,0.5829376067450662,0.6905387340571811,0.7613636363636364,0.47264433389003385,0.6123605571750641,0.6278678287874015,0.7888703288840423,0.771839937030615,176.0
Pr-Gd,665,62,133,0.5228578770954244,0.7609432087934475,0.5887819073423646,0.7256291726766966,0.8195488721804511,0.5405425918230878,0.7327030863647763,0.7642542436273849,0.6871181331974413,0.7377375663925874,133.0
Ce-Sm,905,65,181,0.5149248493513241,0.7408405507952432,0.5502127006325731,0.5981523308895373,0.625414364640884,0.47370431850188455,0.6943725204535257,0.5969400130615563,0.6950548924442465,0.6822048749747284,181.0
Eu-Tm,485,47,97,0.5066240125077118,0.6336471084129879,0.5167939317850545,0.6000775414332072,0.7298969072164948,0.42773465348512846,0.5173792120523706,0.5198832960053014,0.7995365334761584,0.8267333582815692,97.0
Pr-Eu,815,73,163,0.5035306411321135,0.6702422119567669,0.5554663571118046,0.630666536709495,0.7263803680981595,0.48770236950927687,0.6310408518285693,0.6509799213124168,0.75126667964117,0.7728538779954737,163.0
Eu-Ho,630,51,126,0.47776955771283525,0.5920154555516568,0.5044116657772255,0.5264500489622511,0.6253968253968254,0.38490123068934384,0.46479444847639256,0.4595621454078178,0.8070221026031086,0.8281106453639009,126.0
Eu-Er,735,68,147,0.4729313647845356,0.6013784043802101,0.5089109916499525,0.6150500036139875,0.8,0.3913593921097166,0.48932364360325203,0.5092427593834945,0.7864122844117525,0.7997966115592695,147.0
Nd-Gd,985,72,197,0.4586314910725466,0.6034733894641529,0.4772414027162197,0.5715057199073902,0.7177664974619289,0.4335076367855864,0.574507662756809,0.5970150661474686,0.7599862712749986,0.7545724189393304,197.0
Sm-Dy,1010,70,202,0.4365452713351206,0.5417847691390085,0.4599669463252402,0.5019279917809814,0.6465346534653466,0.3709775581434646,0.4793080018152148,0.48728930013156113,0.8057540488428052,0.7739857393127472,202.0
Gd-Tm,670,54,134,0.4351195729764873,0.5381271023021679,0.4410440890025125,0.45850679089670154,0.5970149253731343,0.39079871996788423,0.44748251275453627,0.4183966190454017,0.8085814134151526,0.8733273565536055,134.0
Gd-Ho,920,57,184,0.4161527775529561,0.487046804965289,0.4219197522829002,0.3893564001078852,0.3923913043478261,0.3625227473516946,0.3994356934419084,0.381899870879806,0.8544410379257381,0.9075872619891888,184.0
Nd-Eu,1110,80,222,0.41485323400152446,0.5466567272019446,0.4458859290656697,0.5009565050190519,0.6648648648648648,0.40137272205086677,0.49781879349209507,0.5219689234877457,0.7588916652044976,0.8062626949764607,222.0
Gd-Er,1070,69,214,0.41441738833477104,0.5039694044766292,0.42494861638989595,0.4719880905261395,0.6560747663551402,0.3470779384840159,0.4101107725196771,0.3979776011267878,0.8223066413429251,0.846302905801781,214.0
Tb-Lu,775,54,155,0.41343362650533905,0.4363235667227102,0.41412076481242244,0.44392132952050634,0.5974193548387097,0.3478657152606987,0.3920203770417274,0.4055731218088362,0.9475390697108093,0.8873664116283201,155.0
Pr-Sm,820,70,164,0.40623751729135893,0.5384187902643914,0.4427404636380759,0.48802792307095016,0.675609756097561,0.3782008405044138,0.5055126683917505,0.49393422560951017,0.7545010030052542,0.7481530417578468,164.0
Tb-Yb,765,56,153,0.37399715098009584,0.39182167333924084,0.3762769928565318,0.4074162992970396,0.6078431372549019,0.29198173501956237,0.3147557268433173,0.32970928181757647,0.9545085849712237,0.9276455044927852,153.0
Sm-Tb,720,59,144,0.3589210549061235,0.48477135253045944,0.4020631190940163,0.46154849414910354,0.7875,0.32202629243831343,0.4173731873984584,0.43791689453407334,0.7403924613791438,0.7715548151177256,144.0
La-Nd,1210,77,242,0.3485441461852078,0.4630459552683949,0.3625526609179098,0.3567074855693551,0.5049586776859504,0.35952511882932675,0.486499419083218,0.41235879017731636,0.7527204205534663,0.7390042099265658,242.0
La-Pr,850,72,170,0.3307652030584614,0.4335327600993612,0.3359405586190628,0.3509720806187083,0.5494117647058824,0.320258875566686,0.4210828124028259,0.3677435990519671,0.7629531917787562,0.7605603129208527,170.0
Dy-Yb,880,58,176,0.3276637088612597,0.3440114782582545,0.3334887444116851,0.3764244261213815,0.7079545454545455,0.26598713115950334,0.30049715176685976,0.32109797335391155,0.9524790001782373,0.8851569127878758,176.0
Dy-Lu,910,60,182,0.3180437351801872,0.3276221493369906,0.3211538394591193,0.35285774856886987,0.6659340659340659,0.31239452494318865,0.3473883248410276,0.37063203471332357,0.9707638382319778,0.8992660449545825,182.0
Tb-Er,810,63,162,0.3101532443451347,0.34474421219664975,0.318086937755944,0.38376407282399966,0.7296296296296296,0.2454682633662943,0.25999384736604636,0.28040428904970627,0.8996619330282372,0.9441310471501219,162.0
Eu-Dy,805,69,161,0.30662384310047514,0.4118696083096409,0.3262815073194643,0.37162167018477793,0.684472049689441,0.25818700873363254,0.3398789304925735,0.32918545775329366,0.7444682416818609,0.7596440543091388,161.0
Tb-Tm,675,54,135,0.3044059035983207,0.34378988376745095,0.3003384747589292,0.32969555711140053,0.6177777777777778,0.27093793569248403,0.2889345595330732,0.2946099918243766,0.8854417130093023,0.937713841259861,135.0
Nd-Sm,1170,78,234,0.2904107989294552,0.3903792425983236,0.3140940574911183,0.33799169674162716,0.6623931623931624,0.26225813010684784,0.3538112295385419,0.3509637295391895,0.7439196741007825,0.7412374402273717,234.0
Gd-Dy,1185,74,237,0.27977772711021226,0.3411440049678004,0.27974318153992817,0.26899803993308824,0.4582278481012658,0.24203009680339455,0.29169428266444425,0.26042363718919004,0.8201162061652517,0.8297389122357883,237.0
Ce-Nd,965,65,193,0.2708971755629394,0.33577015794996096,0.27573893228365776,0.275186101865796,0.49948186528497407,0.22468984366148875,0.3138128644198422,0.25121955187743084,0.8067934840216222,0.7159994669972547,193.0
Sm-Gd,1020,72,204,0.25264930176696077,0.2733912562016425,0.2457597186256055,0.2912303344201806,0.6176470588235294,0.23869459037916582,0.2776435328809503,0.29090116303414004,0.924130878496775,0.8597160103185791,204.0
Tb-Ho,790,57,158,0.25169656238084576,0.2850749069404398,0.2573036261894028,0.24234027349226842,0.44050632911392407,0.23062583874253167,0.2377973903781358,0.23591786223862,0.8829137754780791,0.9698417563615807,158.0
Ho-Lu,790,54,158,0.24605321542988237,0.23561684990589274,0.24316620102841388,0.28738647625843156,0.6531645569620254,0.2821655457846067,0.2993373021921191,0.33219381161617195,1.044293799565515,0.9426340911013777,158.0
Eu-Tb,710,58,142,0.2375642419614464,0.31902235713021726,0.2585796654809038,0.2909014418235129,0.7070422535211267,0.23051778755861854,0.2914252306136479,0.2857995242816297,0.7446633022790888,0.791001475998568,142.0
Dy-Tm,715,54,143,0.22744144261110943,0.2518477729114696,0.2281355740362535,0.2530521033804327,0.6685314685314685,0.21936525540420604,0.24252885455901577,0.2556120201912294,0.9030909425236825,0.9044913678542393,143.0
Ho-Yb,830,57,166,0.22064361457575551,0.21289763743081883,0.22171852015415314,0.27182071573385697,0.6397590361445783,0.21992990703791437,0.2319408219319611,0.25579933459703397,1.0363835749349437,0.9482156060584709,166.0
Gd-Tb,940,65,188,0.2121124044375813,0.26900506699802956,0.2219167130016835,0.19785299930442873,0.3861702127659574,0.2019033109711288,0.24226479515146626,0.19535434832813206,0.7885070969281593,0.8333993011444231,188.0
La-Ce,935,68,187,0.21123485741981926,0.26637121865815366,0.22202785256360233,0.2177758542788335,0.5304812834224599,0.2540877276391105,0.30118836186172776,0.2646225081330362,0.7930093141590744,0.8436173498488609,187.0
Ce-Pr,845,68,169,0.20602156414880193,0.23806707655873416,0.21030605501238556,0.20791684584269,0.5017751479289941,0.19029561505511283,0.2185674523278634,0.19658686105478396,0.8653929267618565,0.870649371753937,169.0
Dy-Er,1100,69,220,0.1792087998619931,0.20004161686432922,0.18482331979142544,0.27088491045792795,0.82,0.15617586503147873,0.17076229802572998,0.2122067253953778,0.8958575853920177,0.9145804831459143,220.0
Er-Yb,870,58,174,0.17365791481442427,0.1616570587051411,0.17390666017763529,0.16455078748175114,0.47126436781609193,0.18508083926893734,0.18505631930298141,0.19802163348534152,1.0742365115721453,1.0001325000197145,174.0
Sm-Eu,1015,77,203,0.16942290168129695,0.20656401743388011,0.18363194930587562,0.20193929443141995,0.7004926108374384,0.18553294850948152,0.21277500293427148,0.21865036638656865,0.8201956167681924,0.8719677873382272,203.0
Er-Lu,885,60,177,0.16512700410908082,0.15012400756629532,0.16075643094914233,0.1513548242808601,0.4214689265536723,0.21432317875038157,0.21676411709068838,0.22759692392033784,1.0999373570290556,0.9887391955224508,177.0
Eu-Gd,885,70,177,0.15915163389870557,0.16010293072216095,0.15379829533086237,0.17697713419354472,0.6237288135593221,0.15251424881477302,0.15916770941160766,0.1716766504500712,0.9940582173033032,0.9581984271720039,177.0
Pr-Nd,860,71,172,0.15777209343455026,0.17622583717472062,0.16295908818981406,0.1613781302089451,0.5313953488372093,0.14587290281713136,0.1681390832330551,0.15463297563019326,0.8952835518558255,0.8675728451245276,172.0
Tb-Dy,905,66,181,0.14684401963288102,0.16091154382628062,0.14769626741012426,0.14939161389656797,0.543646408839779,0.15542782148885576,0.1563783952171766,0.15642210081230823,0.912576041103758,0.9939213231661528,181.0
Ho-Tm,715,55,143,0.14265992523982432,0.14795948681866403,0.14384588998986542,0.18072945587996594,0.7580419580419581,0.17972925853509836,0.1911957269681894,0.21599482229011374,0.9641823468519141,0.9400275904963148,143.0
Dy-Ho,925,57,185,0.13297858417543618,0.14636612907970675,0.13700344221551783,0.12075081224745389,0.3762162162162162,0.1365720953451857,0.13758564119494177,0.1458987213159777,0.9085338596542366,0.9926333457404904,185.0
Tm-Lu,730,52,146,0.11578952159396073,0.11631443740685053,0.1178963515161995,0.13303965855542713,0.6438356164383562,0.154090555857244,0.15921690353483747,0.1729197070404832,0.9954870966614943,0.9678027422730789,146.0
Er-Tm,765,55,153,0.10477653111938726,0.09761066322049729,0.1038175735942377,0.14815718904502928,0.6888888888888889,0.15284603516798423,0.15202500012915166,0.20469246880343758,1.0734127569925702,1.0054006580373955,153.0
Ho-Er,940,57,188,0.10358794810011383,0.10293583761893839,0.10209886195969603,0.2310200859769435,0.8893617021276595,0.12445736146392691,0.12747079474707015,0.21114565303170968,1.00633511609037,0.9763598141117537,188.0
Yb-Lu,820,54,164,0.078484978932432,0.075267926444311,0.07522076647873369,0.08084376444144864,0.5036585365853659,0.11266487432879368,0.11067641359931506,0.11801123074946399,1.0427413460167687,1.017966436251517,164.0
Tm-Yb,735,55,147,0.06518608790877718,0.06457801303036172,0.06868572356190512,0.08761664572502295,0.673469387755102,0.07767214826743804,0.07962814239092708,0.0958550111208274,1.0094161286462866,0.9754358940852059,147.0
