arm,baseline,family,statistic,n_units,baseline_median,arm_median,median_paired_delta,mean_paired_delta,p95_paired_delta,n_ties,frac_units_worse,sign_test_p
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DENSITY,shift_max,267,0.020105370895852348,0.0,-0.020105370895852348,-0.06602714836545115,0.0,56,0.0,6.077163357286271e-64
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DENSITY,shape_shift_median,267,0.002403351135169207,0.0,-0.002403351135169207,-0.01515063869060135,0.0,57,0.0,1.2154326714572542e-63
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DENSITY,level_shift,267,0.011822258338418906,0.0,-0.011822258338418906,-0.02489772767141769,0.0,56,0.0,6.077163357286271e-64
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,EXTEND,shift_median,534,0.061033410871468616,0.0,-0.061033410871468616,-0.09223115964122326,0.0,132,0.0,1.9362959574246591e-121
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,EXTEND,shift_p95,534,0.1763716293222539,0.0,-0.1763716293222539,-0.21065863454754863,0.0,114,0.0,7.386382894228589e-127
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,EXTEND,shift_max,534,0.19461185290362545,0.0,-0.19461185290362545,-0.23424843426027195,0.0,114,0.0,7.386382894228589e-127
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,EXTEND,shape_shift_median,534,0.06078549109864956,0.0,-0.06078549109864956,-0.09296846405927574,0.0,114,0.0,7.386382894228589e-127
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,EXTEND,level_shift,534,0.039576551615258526,0.0,-0.039576551615258526,-0.049821230446110636,0.0,114,0.0,7.386382894228589e-127
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,NESTED,shift_median,970,0.02976832831222173,0.0,-0.02976832831222173,-0.050887793484138306,0.0,123,0.0,2.131197353912215e-255
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,NESTED,shift_p95,970,0.0876428180480389,0.0,-0.0876428180480389,-0.1284204210097655,0.0,112,0.0,1.0406237079649487e-258
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,NESTED,shift_max,970,0.10215188945532121,0.0,-0.10215188945532121,-0.14509285238341466,0.0,112,0.0,1.0406237079649487e-258
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,NESTED,shape_shift_median,970,0.025313180386474676,0.0,-0.025313180386474676,-0.046694309901159754,0.0,112,0.0,1.0406237079649487e-258
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,NESTED,level_shift,970,0.020560533512967133,0.0,-0.020560533512967133,-0.040765681412257275,0.0,114,0.0,4.162494831859795e-258
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,PERMUTE,shift_median,194,0.0,0.0,0.0,-5.5124415198598047e-17,0.0,99,0.0,5.048709793414476e-29
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,PERMUTE,shift_p95,194,5.551115123125783e-17,0.0,-5.551115123125783e-17,-1.0886909930264341e-16,0.0,60,0.0,9.183549615799121e-41
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,PERMUTE,shift_max,194,5.551115123125783e-17,0.0,-5.551115123125783e-17,-1.1926670991019924e-16,0.0,60,0.0,9.183549615799121e-41
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,PERMUTE,shape_shift_median,194,0.0,0.0,0.0,-4.554096218118494e-17,0.0,112,0.0,4.1359030627651384e-25
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,PERMUTE,level_shift,194,0.0,0.0,0.0,-4.891428399207283e-17,0.0,118,0.0,2.6469779601696886e-23
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,SPARSE,shift_median,791,0.03445960155406802,0.0,-0.03445960155406802,-0.08631328449863022,0.0,75,0.0,5.801671039719116e-216
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,SPARSE,shift_p95,791,0.04723442726502171,0.0,-0.04723442726502171,-0.11823255139306892,0.0,73,0.0,1.450417759929779e-216
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,SPARSE,shift_max,791,0.04989186610009744,0.0,-0.04989186610009744,-0.12209442453301197,0.0,73,0.0,1.450417759929779e-216
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,SPARSE,shape_shift_median,791,0.00948062485070457,0.0,-0.00948062485070457,-0.0683375681425598,0.0,73,0.0,1.450417759929779e-216
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,SPARSE,level_shift,791,0.026024893712745634,0.0,-0.026024893712745634,-0.0436404010878267,0.0,74,0.0,2.900835519859558e-216
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,CONTEXT,shift_median,194,0.0,0.0,0.0,6.6169864547568934e-18,2.220446049250313e-16,116,0.5769230769230769,0.21268281985080573
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,CONTEXT,shift_p95,194,0.0,1.0874547790029609e-17,0.0,1.0435501796882891e-17,2.220446049250313e-16,86,0.6018518518518519,0.04280722079922557
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,CONTEXT,shift_max,194,0.0,1.3877787807814457e-17,0.0,1.7061094804967774e-17,2.220446049250313e-16,96,0.6122448979591837,0.03336002889694201
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,CONTEXT,shape_shift_median,194,0.0,0.0,0.0,2.950818283878074e-18,2.220446049250313e-16,121,0.4931506849315068,1.0
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,CONTEXT,level_shift,194,0.0,0.0,0.0,8.014154202805224e-18,2.220446049250313e-16,123,0.5211267605633803,0.8125886494061619
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DECOY,shift_median,178,0.09179853044470956,0.07834683488715045,0.0,0.0032843013790265106,0.05719835400913458,44,0.5522388059701493,0.26135029662495074
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DECOY,shift_p95,178,0.24456233685250878,0.25079903143735627,0.0,0.008111358239965097,0.0755509954434246,38,0.6285714285714286,0.002958700233194229
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DECOY,shift_max,178,0.26194549448533444,0.2674486722106372,0.00014543237538056086,0.010395785901359197,0.09756894754021497,38,0.6357142857142857,0.0016675138859024267
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DECOY,shape_shift_median,178,0.08497522403299484,0.08178837450494562,0.0,0.006231989608215122,0.05585533639361508,38,0.5857142857142857,0.051523568581622284
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DECOY,level_shift,178,0.01864884139502329,0.022525652420733733,0.001465692312489178,0.004902834724484589,0.03515509432426669,38,0.6785714285714286,2.8775745476269793e-05
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DENSITY,shift_median,267,0.011516884123213167,0.01049105946911516,0.0,-0.0010209031987201867,0.018232798817835953,62,0.4585365853658537,0.26373833548604814
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DENSITY,shift_p95,267,0.01924110393415021,0.017497978259164236,0.0,-0.002801879264962275,0.030123858666542574,56,0.46445497630331756,0.33516111181152464
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DENSITY,shift_max,267,0.020105370895852348,0.01836818704307308,0.0,-0.0034616860241717105,0.02685703136430589,56,0.45023696682464454,0.16840642629329217
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DENSITY,shape_shift_median,267,0.002403351135169207,0.002199739848974258,0.0,-0.0007702017789416127,0.005574590056756711,56,0.4549763033175355,0.21518592344658025
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DENSITY,level_shift,267,0.011822258338418906,0.010457410257475264,0.0,-0.001361680596319068,0.018161261414754784,56,0.44549763033175355,0.1296923596836744
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,EXTEND,shift_median,534,0.061033410871468616,0.06338101174632157,0.0,0.005235023893004141,0.04397114823750698,132,0.6268656716417911,4.116802509274644e-07
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,EXTEND,shift_p95,534,0.1763716293222539,0.17683093005293754,0.0,0.0034617338239359093,0.06731282436304989,114,0.5595238095238095,0.016702001102544235
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,EXTEND,shift_max,534,0.19461185290362545,0.19786678140490227,0.0,0.00298832455770773,0.07373290142349787,114,0.5452380952380952,0.07088305778641356
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,EXTEND,shape_shift_median,534,0.06078549109864956,0.061611312940136366,0.0,0.004053768375801556,0.04371629837538996,114,0.5642857142857143,0.009623554820561828
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,EXTEND,level_shift,534,0.039576551615258526,0.03711389174546298,0.0,-0.0007257214948693627,0.0161174444985511,114,0.4642857142857143,0.1569699365247444
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,NESTED,shift_median,970,0.02976832831222173,0.03000309470772948,0.0,0.0009580660119929205,0.02965283715915563,123,0.5301062573789846,0.0857327195983659
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,NESTED,shift_p95,970,0.0876428180480389,0.09131483580582404,0.0,0.0024729722299665687,0.04938691904013843,112,0.4825174825174825,0.32215377452617483
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,NESTED,shift_max,970,0.10215188945532121,0.10891025794937301,0.0,0.0024111890296322244,0.05843334590686134,112,0.49417249417249415,0.758669942001097
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,NESTED,shape_shift_median,970,0.025313180386474676,0.025726736916917486,0.0,0.0015681574132401597,0.024897404508447487,112,0.5396270396270396,0.022120969929002667
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,NESTED,level_shift,970,0.020560533512967133,0.02039006231461858,0.0,-5.7749088518965736e-05,0.02071151123029501,114,0.49182242990654207,0.6568285475864584
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,PERMUTE,shift_median,194,0.0,0.0,0.0,2.2198201180991872e-18,2.220446049250313e-16,74,0.45,0.315303300832258
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,PERMUTE,shift_p95,194,5.551115123125783e-17,5.551115123125783e-17,0.0,-3.969744779174756e-18,2.220446049250313e-16,53,0.48226950354609927,0.7363564588511883
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,PERMUTE,shift_max,194,5.551115123125783e-17,5.551115123125783e-17,0.0,-5.87481094699362e-18,2.220446049250313e-16,66,0.5,1.0
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,PERMUTE,shape_shift_median,194,0.0,0.0,0.0,-2.4768989837400803e-18,2.220446049250313e-16,91,0.3883495145631068,0.02968221463162667
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,PERMUTE,level_shift,194,0.0,0.0,0.0,1.3043958095779214e-17,2.6090241078691116e-16,79,0.5043478260869565,1.0
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,SPARSE,shift_median,791,0.03445960155406802,0.03507682549994562,0.0,-0.000636284245548068,0.04253106846459642,75,0.49860335195530725,0.9701920635774092
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,SPARSE,shift_p95,791,0.04723442726502171,0.049357731377408495,0.0,0.0002987680074987156,0.0669476225129998,73,0.49164345403899723,0.6814563352541425
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,SPARSE,shift_max,791,0.04989186610009744,0.05047201598033679,0.0,0.00034364639155477626,0.0706125726849578,73,0.49164345403899723,0.6814563352541425
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,SPARSE,shape_shift_median,791,0.00948062485070457,0.01007797059233656,0.0,-0.00035797339523682963,0.04144681633774154,73,0.5139275766016713,0.4783042365680866
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,SPARSE,level_shift,791,0.026024893712745634,0.024570043044201295,0.0,0.00012263810158785477,0.03363290066345204,73,0.49303621169916434,0.736989749971178
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,CONTEXT,shift_median,194,0.0,0.0,0.0,3.0357660829594124e-18,1.1102230246251565e-16,114,0.5625,0.31430657986393706
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,CONTEXT,shift_p95,194,0.0,0.0,0.0,-3.9138580692528294e-18,2.0400348077487236e-16,86,0.5370370370370371,0.5007663934164357
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,CONTEXT,shift_max,194,0.0,0.0,0.0,-1.6453047401017139e-18,2.220446049250313e-16,97,0.5463917525773195,0.4167748410890994
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,CONTEXT,shape_shift_median,194,0.0,0.0,0.0,-1.8599097062019374e-18,1.1102230246251565e-16,124,0.5857142857142857,0.18821620302302766
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,CONTEXT,level_shift,194,0.0,0.0,0.0,8.673617379884035e-18,2.220446049250313e-16,122,0.6111111111111112,0.07636915467183139
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DECOY,shift_median,178,0.09179853044470956,0.13797430951585338,0.02158104297984862,0.04860624023394031,0.22380895391503836,44,0.7910447761194029,7.055225473235021e-12
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DECOY,shift_p95,178,0.24456233685250878,0.3420746459732107,0.06282882132524241,0.08803501514168832,0.285170812121883,38,0.8928571428571429,8.894877270372546e-23
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DECOY,shift_max,178,0.26194549448533444,0.36406177177452065,0.07326477789790219,0.0956812724574083,0.3165489805243845,38,0.8642857142857143,2.319120802043693e-19
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DECOY,shape_shift_median,178,0.08497522403299484,0.14318114980559749,0.028848876998150697,0.05156449549507213,0.2284316798598053,38,0.8,4.246281288380078e-13
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DECOY,level_shift,178,0.01864884139502329,0.017268566471618174,0.0,-0.005338177929978767,0.030029685445596914,38,0.39285714285714285,0.013957334124842413
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DENSITY,shift_median,267,0.011516884123213167,0.0142768489446089,0.0,0.0034462269009741943,0.04699223589708688,62,0.5756097560975609,0.03588773130337706
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DENSITY,shift_p95,267,0.01924110393415021,0.02347148031218191,0.0,0.012705968416331174,0.08362757915182745,56,0.6255924170616114,0.0003220215771176904
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DENSITY,shift_max,267,0.020105370895852348,0.025052382244262317,0.0,0.014915749601918235,0.10059034856180775,56,0.6303317535545023,0.00018638092711828374
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DENSITY,shape_shift_median,267,0.002403351135169207,0.003408282287984288,0.0,0.002323514155094975,0.021252886576108992,56,0.6255924170616114,0.0003220215771176904
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DENSITY,level_shift,267,0.011822258338418906,0.014537622107465648,0.0,0.005554806600982373,0.05232245672875714,56,0.6113744075829384,0.001481626604666837
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,EXTEND,shift_median,534,0.061033410871468616,0.08065972084022094,0.010082647048975019,0.025561913560513613,0.12735738630795435,132,0.7711442786069652,1.0508234566759128e-28
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,EXTEND,shift_p95,534,0.1763716293222539,0.23972319714454277,0.030976996302466794,0.057167913913752234,0.2273596662692081,114,0.7857142857142857,2.8471531541827662e-33
