extractant,chemotype,mae_all,n_pairs,n_cells,mae_adjacent,mae_far,entry
CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,sc031,0.36469454561469344,36,1,0.13713629719825046,0.5485504513308999,L1_CORPUS_MEAN_permetal_w
CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,sc057,0.9787369364612318,91,1,0.23975033676814156,1.475817199415942,L1_CORPUS_MEAN_permetal_w
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,sc009,1.004057227019029,91,1,0.23842621647663995,1.5133591935695911,L1_CORPUS_MEAN_permetal_w
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,sc036,0.47988221839287487,36,1,0.2731803423455181,0.6816699811596628,L1_CORPUS_MEAN_permetal_w
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,sc009,0.1246453156872985,59,3,0.08117676547696528,0.1704716715510624,L1_CORPUS_MEAN_permetal_w
CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,sc030,0.8266856034098489,4,2,,1.344775089022999,L1_CORPUS_MEAN_permetal_w
CCCCCCOP(=O)(O)OCCCCCC,sc058,0.9387521649184559,45,1,0.27526993906569397,1.407804436140191,L1_CORPUS_MEAN_permetal_w
CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,sc059,0.5128668823609813,91,1,0.1256467266080795,0.7577620146068829,L1_CORPUS_MEAN_permetal_w
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,sc060,1.5081645862869708,182,2,0.3484180933078584,2.2638022060678056,L1_CORPUS_MEAN_permetal_w
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,sc061,0.7261509285005525,1236,16,0.24353126343056442,1.0235365498414775,L1_CORPUS_MEAN_permetal_w
CCCCN(C)C(=O)CC(=O)N(C)CCCC,sc031,0.41173129922285007,7,3,,0.6691025264351048,L1_CORPUS_MEAN_permetal_w
CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,sc062,0.3770876126242113,6,1,,0.5357083617784933,L1_CORPUS_MEAN_permetal_w
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,sc036,0.5185245603313351,36,1,0.2306035695762281,0.7488075757005069,L1_CORPUS_MEAN_permetal_w
CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,sc036,0.1797615993979173,10,1,0.11289972158151147,0.40869713337900554,L1_CORPUS_MEAN_permetal_w
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,sc009,0.5729324640045425,186,33,0.2663311053602764,0.7750638431778318,L1_CORPUS_MEAN_permetal_w
CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,sc029,0.3714799509432855,91,1,0.15315745546618104,0.5274001955797292,L1_CORPUS_MEAN_permetal_w
CCCCN(CCCC)C(=O)c1ccccc1C(=O)O,sc063,2.393173824931515,3,1,,2.393173824931515,L1_CORPUS_MEAN_permetal_w
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,sc009,0.19406417723088873,178,9,0.11594004101990416,0.31144488262828185,L1_CORPUS_MEAN_permetal_w
CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,sc061,1.5029210956871168,91,1,0.37296562287248874,2.165643406420852,L1_CORPUS_MEAN_permetal_w
CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,sc068,1.092840401213634,3,1,,1.092840401213634,L1_CORPUS_MEAN_permetal_w
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,sc068,0.3214152850765206,91,1,0.07910835287898652,0.48076235842471626,L1_CORPUS_MEAN_permetal_w
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,sc069,0.2133170410587695,91,1,0.09644609989040129,0.24690849054219882,L1_CORPUS_MEAN_permetal_w
