axis,metric,comparison,point,ci95_low,ci95_high,bca_low,bca_high,block_macro,n_units,units_improved,seeds_positive,n_seeds
metal_series,slope_abs_error,GEN10_MF_050 vs REC_ecfp_plus_recovered,0.00023370421229327332,-0.0059669546462536895,0.0039141669224573164,-0.006956384075331811,0.003552532513574998,0.00014209319969002597,84,53,2,5
metal_series,slope_abs_error,GEN10_MF_100 vs GEN9_A0_ROW_ONLY,-0.004172277424087133,-0.015801582546096267,0.0023208363632967076,-0.015519350462752093,0.0023748113176585493,-0.004983293404572625,84,37,2,5
metal_series,slope_abs_error,GEN10_MF_100 vs REC_ecfp_plus_recovered,-0.004016787549774179,-0.01345812928163683,0.001659234855773779,-0.013194446486543015,0.0017721201708996669,-0.004560566591225118,84,39,2,5
metal_series,slope_abs_error,GEN10_MF_SQRT vs GEN9_A0_ROW_ONLY,-0.00720039164274396,-0.015995819252570036,0.00487603776557819,-0.0193146395214409,0.0024858364061344637,-0.003975161799090583,84,35,0,5
metal_series,slope_abs_error,GEN10_MF_SQRT vs REC_ecfp_plus_recovered,-0.007044901768431004,-0.016447751185847247,0.005203117477961795,-0.020437889488113915,0.0031567360129614416,-0.003552434985743074,84,40,0,5
metal_series,slope_abs_error,GEN10_REP_32 vs GEN9_A0_ROW_ONLY,-0.0022396718096219337,-0.011162308292841518,0.0042858240111907425,-0.011334986217420578,0.0041866633544547635,-0.003719630744219647,84,43,1,5
metal_series,slope_abs_error,GEN10_REP_32 vs REC_ecfp_plus_recovered,-0.002084181935308981,-0.009311647858851212,0.0037543373141684755,-0.009384240636136191,0.0036801706174348562,-0.0032969039308721393,84,48,1,5
metal_series,slope_abs_error,GEN10_REP_8 vs GEN9_A0_ROW_ONLY,-0.0014465377961991916,-0.010241048775709482,0.004701337139658706,-0.010239281054084053,0.004704932578194965,-0.0028580764247524604,84,43,1,5
metal_series,slope_abs_error,GEN10_REP_8 vs REC_ecfp_plus_recovered,-0.0012910479218862395,-0.008199999613837423,0.004009934770580403,-0.008291126581365922,0.003952736172125934,-0.0024353496114049526,84,46,2,5
metal_series,slope_abs_error,GEN9_A0_ROW_ONLY vs REC_ecfp_plus_recovered,0.00015548987431295212,-0.0015713570588399355,0.00290541352760392,-0.0016894682198226603,0.0027848553053766083,0.00042272681334750773,84,43,2,5
metal_series,slope_abs_error,GEN9_A1_ADJ_d05 vs GEN9_A0_ROW_ONLY,0.0007693192780771042,-0.0026990153683491037,0.005542492453017896,-0.0022802458237539415,0.006499748893167753,0.0026640670096492254,84,33,2,5
metal_series,slope_abs_error,GEN9_A1_ADJ_d05 vs REC_ecfp_plus_recovered,0.0009248091523900557,-0.00248680616935234,0.006288373143940017,-0.002418266543838344,0.006461349284071629,0.003086793822996734,84,41,3,5
metal_series,slope_abs_error,GEN9_A2_END_d05 vs GEN9_A0_ROW_ONLY,-0.010846431976444743,-0.024990452749628245,0.0008542404217521233,-0.024349166179817895,0.0014928431681758498,-0.009817156738341269,84,30,0,5
metal_series,slope_abs_error,GEN9_A2_END_d05 vs REC_ecfp_plus_recovered,-0.010690942102131793,-0.02391585909211251,0.0008905173192658253,-0.022746470417069085,0.0019751232049253775,-0.009394429924993761,84,26,0,5
metal_series,slope_abs_error,GEN9_A3_RAND_d05 vs GEN9_A0_ROW_ONLY,-0.002929233689646596,-0.010116914488402434,0.002218639071239538,-0.009113752779797863,0.0032311929688528126,-0.004086813608143006,84,43,2,5
metal_series,slope_abs_error,GEN9_A3_RAND_d05 vs REC_ecfp_plus_recovered,-0.0027737438153336447,-0.008860568487104536,0.00257366000954469,-0.008319634437882055,0.0033539642474468526,-0.0036640867947954968,84,37,1,5
metal_series,slope_abs_error,GEN9_A4_MULTI_d05 vs GEN9_A0_ROW_ONLY,-0.0023437637265458916,-0.006284491919202178,0.0010252786298524138,-0.0062019091573961935,0.0011920185208249203,-0.0014885161710221659,84,34,1,5
metal_series,slope_abs_error,GEN9_A4_MULTI_d05 vs REC_ecfp_plus_recovered,-0.0021882738522329393,-0.0050841891219504986,0.0013531410603491892,-0.004900479909962353,0.001792361886402812,-0.0010657893576746583,84,35,1,5
metal_series,slope_abs_error,GEN9_REL_MONOLITH vs GEN9_A0_ROW_ONLY,0.00022208193363174538,-0.005650365016829946,0.004828377934767581,-0.005310145204456464,0.0050451003493493735,-0.0001894871627378253,84,44,3,5
metal_series,slope_abs_error,GEN9_REL_MONOLITH vs REC_ecfp_plus_recovered,0.0003775718079446976,-0.0031561205328514692,0.004092596519488784,-0.002756963190028116,0.004831167603745324,0.00023323965060968204,84,49,3,5
metal_series,slope_abs_error,GEN9_SHAPE_RECOMPOSED vs GEN9_A0_ROW_ONLY,0.0014862062002585362,-0.006313994295121625,0.01358930704148557,-0.006849021755949726,0.012763494349165919,0.0045280676285440425,84,51,4,5
metal_series,slope_abs_error,GEN9_SHAPE_RECOMPOSED vs REC_ecfp_plus_recovered,0.0016416960745714883,-0.006126268354491215,0.014324221252124372,-0.007707085269547512,0.012347800701192043,0.004950794441891552,84,52,4,5
metal_series,slope_abs_error,GEN9_X_MULTI_d2 vs GEN9_A0_ROW_ONLY,-0.0270397191120061,-0.04974427539355408,-0.013083128903802742,-0.0459655025503051,-0.010845987567117008,-0.030641456572820698,84,28,0,5
metal_series,slope_abs_error,GEN9_X_MULTI_d2 vs REC_ecfp_plus_recovered,-0.026884229237693142,-0.048024793580538426,-0.013620099996439192,-0.044735969770773945,-0.011676019217007134,-0.03021872975947319,84,18,0,5
metal_series,slope_abs_error,GEN9_X_MULTI_d8c vs GEN9_A0_ROW_ONLY,-0.029289803524903946,-0.05004129941971033,-0.015491137135669268,-0.04653788116605192,-0.013715410113494343,-0.035566585238234444,84,29,0,5
metal_series,slope_abs_error,GEN9_X_MULTI_d8c vs REC_ecfp_plus_recovered,-0.02913431365059099,-0.04956250721868512,-0.016148165019601476,-0.04587078888377293,-0.014678386583582411,-0.03514385842488693,84,25,0,5
metal_series,slope_abs_error,REC_ecfp_plus_recovered vs GEN9_A0_ROW_ONLY,-0.00015548987431295212,-0.002905413527603922,0.0015713570588399355,-0.002784855305376609,0.0016894682198226592,-0.00042272681334750773,84,41,3,5
metal_series,shape_mae,GEN10_MF_025 vs GEN9_A0_ROW_ONLY,0.0038355777567305053,-0.011717514144525145,0.016195273932328554,-0.010723872498949731,0.017084929862860216,0.0025640044133826987,84,45,3,5
metal_series,shape_mae,GEN10_MF_025 vs REC_ecfp_plus_recovered,0.004095018576528899,-0.0045265086013794205,0.01490080220164351,-0.003150410928292511,0.0166470140093452,0.004743716374881657,84,50,4,5
metal_series,shape_mae,GEN10_MF_050 vs GEN9_A0_ROW_ONLY,0.0030195703043131134,-0.02489219526152163,0.01864795150016695,-0.02163122274917761,0.02046113180699731,0.0008701867752476789,84,41,3,5
metal_series,shape_mae,GEN10_MF_050 vs REC_ecfp_plus_recovered,0.0032790111241115098,-0.016958042341847602,0.014567670161524722,-0.016714176858949964,0.014588263499986369,0.0030498987367466373,84,50,3,5
metal_series,shape_mae,GEN10_MF_100 vs GEN9_A0_ROW_ONLY,-0.015545890256861716,-0.053910972720998804,0.007504398543293458,-0.04894227180293634,0.010685567410355125,-0.017362527424195244,84,31,2,5
metal_series,shape_mae,GEN10_MF_100 vs REC_ecfp_plus_recovered,-0.015286449437063324,-0.047986045883182865,0.00426458687859235,-0.04336463253849783,0.006600672013576942,-0.01518281546269629,84,37,2,5
metal_series,shape_mae,GEN10_MF_SQRT vs GEN9_A0_ROW_ONLY,-0.026070102938066792,-0.05503438590103496,0.012285244437009233,-0.06485063706443565,0.00519409266290842,-0.013481865912743581,84,34,0,5
metal_series,shape_mae,GEN10_MF_SQRT vs REC_ecfp_plus_recovered,-0.025810662118268393,-0.058359899918109526,0.014878424283514761,-0.07052234579047069,0.008124943622368618,-0.011302153951244624,84,39,0,5
metal_series,shape_mae,GEN10_REP_32 vs GEN9_A0_ROW_ONLY,-0.00037365474055148196,-0.02633005299923876,0.016584252229567952,-0.024924451538187547,0.01705869448132512,-0.0036226301277976756,84,41,2,5
metal_series,shape_mae,GEN10_REP_32 vs REC_ecfp_plus_recovered,-0.00011421392075308695,-0.019477121274473024,0.01380516624844049,-0.019400523158046655,0.013820098939772513,-0.0014429181662987175,84,46,2,5
metal_series,shape_mae,GEN10_REP_8 vs GEN9_A0_ROW_ONLY,0.0029369540068955556,-0.0228139496011388,0.018844453112282666,-0.02021730073797532,0.01995969685674446,-0.0004066345268552634,84,39,3,5
metal_series,shape_mae,GEN10_REP_8 vs REC_ecfp_plus_recovered,0.00319639482669395,-0.01533481339950475,0.015614402664410977,-0.014530794195586151,0.015777799136142814,0.0017730774346436944,84,47,3,5
metal_series,shape_mae,GEN9_A0_ROW_ONLY vs REC_ecfp_plus_recovered,0.0002594408197983947,-0.0051703044656592305,0.009103669643606432,-0.006267140899094351,0.0071273612608293915,0.0021797119614989594,84,48,3,5
