model,failure_class,n_ligands,macro_mae,mean_mae,span_recovery,slope_abs_error,shape_mae
GEN9_REL_MONOLITH,PARTIAL_LEVEL,7,1.4717551326877838,1.4717551326877838,0.16308858210074162,1.5973521191125661,0.5693402386755194
GEN9_REL_MONOLITH,PURE_LEVEL,25,1.9214752172893055,1.9566112583375876,0.35034525055526533,1.4334131628857347,0.3915203287046213
GEN9_REL_MONOLITH,RESIDUAL_SHAPE,29,1.329098314106526,1.3155859602899123,0.1935658993378213,1.9658244344429232,0.6738314119995115
GEN9_SHAPE_RECOMPOSED,ALREADY_GOOD,82,0.543202455174408,0.5471972717122002,0.5586826446350844,1.1921239610963124,0.2976052019617243
GEN9_SHAPE_RECOMPOSED,PARTIAL_LEVEL,7,1.4409237448647632,1.4409237448647632,0.27679645067219144,1.096519795637302,0.4182423280684314
GEN9_SHAPE_RECOMPOSED,PURE_LEVEL,25,1.8800867028495964,1.9121793518187045,0.6855714389464933,0.9968757357598761,0.31035726773161665
GEN9_SHAPE_RECOMPOSED,RESIDUAL_SHAPE,29,1.2985667415555393,1.2898635653788806,0.48560063681131416,1.61895477831403,0.5942008478831915
GEN9_X_MULTI_d2,ALREADY_GOOD,82,0.739459110772658,0.7547308214407796,0.2579039964296957,3.08438942937547,0.7482709780265602
GEN9_X_MULTI_d2,PARTIAL_LEVEL,7,1.4748174602754065,1.4748174602754067,0.1421785488168641,1.8923754680866973,0.6616301234619664
GEN9_X_MULTI_d2,PURE_LEVEL,25,2.142153382745086,2.1300891296031588,0.3304440884283065,3.104836244642396,0.9473151661265087
GEN9_X_MULTI_d2,RESIDUAL_SHAPE,29,1.737431229261513,1.7545469720366755,0.2743265385997843,4.150190732756839,1.4126446708320886
GEN9_X_MULTI_d8c,ALREADY_GOOD,82,0.922935795442297,0.9255304538662974,0.5460644805822779,2.607275255936029,0.5588854648266486
GEN9_X_MULTI_d8c,PARTIAL_LEVEL,7,1.7159378166514097,1.7159378166514094,0.42156094205357864,1.6257252988546327,0.605006948153019
GEN9_X_MULTI_d8c,PURE_LEVEL,25,1.9317634461887623,1.9415218243578403,0.5466494259976575,1.7007419882114168,0.4660800871286022
GEN9_X_MULTI_d8c,RESIDUAL_SHAPE,29,1.5721406341428297,1.575156898953827,0.3169539817103658,2.551582004596345,0.8803474304833644
REC_ecfp_plus_recovered,ALREADY_GOOD,82,0.5493069888565099,0.5545938026720884,0.05854824738792594,2.222147842435746,0.4596465432253241
REC_ecfp_plus_recovered,PARTIAL_LEVEL,7,1.4554756525742452,1.4554756525742452,0.046571021928381064,1.9139503878116284,0.6607888383138526
REC_ecfp_plus_recovered,PURE_LEVEL,25,1.8805685413028599,1.912603369657576,0.060329131135079234,2.023592167432436,0.5232491568359754
REC_ecfp_plus_recovered,RESIDUAL_SHAPE,29,1.3479837107909487,1.3388480796947446,0.06113406962999578,2.3281440628175702,0.7717907173779541
