model,axis_label,extractant,tanimoto_cluster,split_seed,slope_abs_error,shape_mae,row_mae,spearman,sign_accuracy,span_recovery,span_recovery_distance,slope_recovery_distance,n_curves
GEN10_MF_025,acid,CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,tan021,262147,0.38637203840528295,0.26668195434453595,0.2520748687254831,0.8944271909999159,1.0,0.4052553796579108,0.5947446203420892,0.5403399094817604,1
GEN10_MF_025,acid,CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,tan022,104729,0.23122699213687467,0.2053887938913886,0.26496799162519863,0.7773268353539885,0.95,0.4400122113032477,0.5599877886967524,0.3149403631990624,2
GEN10_MF_025,acid,CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,tan022,130363,0.20561700990435453,0.2090768722541918,0.2863299810515853,0.7773268353539885,0.95,0.48387319447820576,0.5161268055217942,0.33740156176485525,2
GEN10_MF_025,acid,CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,tan022,155921,0.21216011499374823,0.18478967995019963,0.1923183060909358,0.7773268353539885,0.95,0.7460340372383482,0.28678520592908285,0.5343446879934001,2
GEN10_MF_025,acid,CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,tan022,196613,0.1723808125516266,0.19421460467772095,0.24106200065499667,0.7773268353539885,0.95,0.783403993598496,0.21659600640150395,0.5971590172522168,2
GEN10_MF_025,acid,CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,tan022,262147,0.16340598958324082,0.19649906562566777,0.2730508658569022,0.7773268353539885,0.95,0.7686174308020146,0.23138256919798544,0.5564214619884762,2
GEN10_MF_025,acid,CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,tan017,104729,1.1965709821657773,0.18260092099230862,0.29686512318964586,0.7999999999999999,0.8333333333333334,0.22256197487546758,0.7774380251245324,0.8226986241775042,1
GEN10_MF_025,acid,CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,tan017,130363,1.4907862972233608,0.22174911001352698,0.27950922212455326,0.0,0.5,0.1867233406094979,0.8132766593905021,1.0249854408540349,1
GEN10_MF_025,acid,CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,tan017,155921,1.2134980787442589,0.19261167089778142,0.23027321654542865,0.7999999999999999,0.8333333333333334,0.15752510281113352,0.8424748971888665,0.834336796316052,1
GEN10_MF_025,acid,CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,tan017,196613,1.2655150650448914,0.19201016146185335,0.31426466509451145,0.6000000000000001,0.6666666666666666,0.17560793357047969,0.8243920664295203,0.8701009120277111,1
GEN10_MF_025,acid,CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,tan017,262147,1.2725500720160368,0.19212592381600158,0.2926529815796539,0.6000000000000001,0.6666666666666666,0.18274619506539094,0.8172538049346091,0.8749378089962175,1
GEN10_MF_025,acid,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,tan017,104729,0.42555212617523597,0.2675439418712976,0.4544645457115708,0.5476190476190477,0.7142857142857143,0.325452022785034,0.6745479772149661,0.6129741681317207,1
