feature,delta3d_blend_weight,importance
base__ecfp_1957,0.5,0.0005881231830254084
base__ecfp_1935,0.5,0.0005750657139744261
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_03,0.5,0.0005743198812884229
base__ecfp_1874,0.5,0.0005418262415917057
base__ecfp_1747,0.5,0.0005362011380756743
base__ecfp_1726,0.5,0.0005322193310420167
base__ecfp_1587,0.5,0.0005213029470106229
base__ecfp_289,0.5,0.0005119934416499018
base__ecfp_504,0.5,0.0005088490212987045
base__ecfp_1059,0.5,0.0005054588899720106
base__cond__diluent__dichloromethane,0.5,0.0005004677718048637
base__ecfp_1952,0.5,0.0004982096506679921
base__ecfp_449,0.5,0.0004918311341541684
base__ecfp_288,0.5,0.0004904482465439921
base__ecfp_460,0.5,0.0004811005826768258
base__ecfp_932,0.5,0.00047602697087318057
base__ecfp_244,0.5,0.0004659528625523691
base__ecfp_1800,0.5,0.00046575106543203797
base__ecfp_1620,0.5,0.0004652789451859924
base__cond__diluent__chloroform,0.5,0.00046370629680534125
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_mean,0.5,0.0004620272823058875
base__ecfp_1589,0.5,0.00045755284392777343
base__ecfp_1295,0.5,0.0004549249647700828
base__ecfp_1722,0.5,0.00044962932490813143
base__ecfp_54,0.5,0.0004347239126507582
base__ecfp_1920,0.5,0.0004321035071840547
base__ecfp_605,0.5,0.0004311052950571378
base__ecfp_855,0.5,0.000422300641160364
base__cond__diluent__phenyl_trifluoromethyl_sulfone,0.5,0.0004129496379440469
base__cond__diluent__isopar_l_0_7_exxal_13_0_3,0.5,0.0004122467300622197
base__ecfp_1325,0.5,0.0004078490741654131
base__ecfp_850,0.5,0.0003997410014736841
base__ecfp_1203,0.5,0.0003912939499495995
base__ecfp_282,0.5,0.0003904224188561509
base__ecfp_314,0.5,0.00039037504493826816
base__ecfp_203,0.5,0.00038380694855500786
base__ecfp_881,0.5,0.00038355864799098963
base__ecfp_378,0.5,0.0003808689127619879
base__ecfp_1429,0.5,0.0003802168332415167
delta3d__feat3d__polyhedron__donor_atomic_number_03,0.5,0.0003733862539110323
base__ecfp_1225,0.5,0.00037313425078808443
base__ecfp_1860,0.5,0.0003704124824423713
base__ecfp_1823,0.5,0.0003695600495451075
base__ecfp_1847,0.5,0.00036762761062727827
base__cond__diluent__kerosene_with_40_vol_1_octanol,0.5,0.0003633389104073953
base__ecfp_487,0.5,0.0003628474414237122
base__ecfp_1427,0.5,0.00036261508665905986
base__ecfp_1100,0.5,0.0003555130064290843
base__ecfp_875,0.5,0.0003528932158113508
base__ecfp_802,0.5,0.00035042275514986633
base__ecfp_5,0.5,0.0003503346033187085
base__ecfp_1123,0.5,0.000337668172185859
base__ecfp_1495,0.5,0.0003324516369067766
base__ecfp_980,0.5,0.0003305028065881586
base__ecfp_806,0.5,0.00032207260608642797
base__cond__diluent__meta_nitrobenzotrifluoride,0.5,0.0003119307327796179
base__ecfp_1544,0.5,0.00031081196791016324
base__ecfp_1199,0.5,0.00031054812523804976
base__ecfp_389,0.5,0.00030971019955441633
base__ecfp_1879,0.5,0.00030936519263633904
base__cond__acid__malonic_acid,0.5,0.0003046853979156344
base__ecfp_779,0.5,0.0002968840563845711
base__ecfp_1855,0.5,0.0002941184165278996
base__ecfp_624,0.5,0.00029408082943073254
base__cond__diluent__kerosene_0_7_1_octanol_0_3,0.5,0.0002923439074938112
base__ecfp_1420,0.5,0.00028516691385658996
base__ecfp_926,0.5,0.00028356126022284657
base__ecfp_1737,0.5,0.0002751200259517336
base__ecfp_868,0.5,0.0002723518226125899
base__cond__diluent__ch3cl,0.5,0.0002710615903585032
base__ecfp_1145,0.5,0.00026059208479964964
base__ecfp_310,0.5,0.0002575853306824982
base__ecfp_488,0.5,0.00025691408590834734
base__cond__diluent__1_octanol_0_5_kerosene_0_5,0.5,0.0002553563423387793
base__ecfp_603,0.5,0.00025372979849889267
base__ecfp_960,0.5,0.0002484743847953568
base__ecfp_893,0.5,0.00024832485308805334
base__ecfp_1706,0.5,0.0002468425741550613
base__ecfp_446,0.5,0.0002446716963596766
base__ecfp_1028,0.5,0.00024189441229699707
base__ecfp_1642,0.5,0.00024063733872941402
base__ecfp_715,0.5,0.00023990894712807418
base__ecfp_1013,0.5,0.00023913163364154493
base__ecfp_1221,0.5,0.00023649740364792884
base__ecfp_555,0.5,0.00023253607975644048
base__ecfp_406,0.5,0.00022859448443175262
base__ecfp_951,0.5,0.00021947689928496867
base__ecfp_351,0.5,0.00021560711952531462
base__ecfp_1180,0.5,0.00020703837247781977
base__ecfp_486,0.5,0.00020295434361523998
base__ecfp_1851,0.5,0.0001997788151131566
base__ecfp_1754,0.5,0.00019954435541035017
base__ecfp_1635,0.5,0.00019940710112244497
base__ecfp_1184,0.5,0.0001983574707188838
base__ecfp_273,0.5,0.00019768354788847166
missingindicator_base__cond__temperature_C,0.5,0.00019055774628375804
base__cond__diluent__nitrobenzene,0.5,0.00018928752014704735
base__ecfp_1218,0.5,0.0001877047108730247
base__ecfp_1912,0.5,0.0001801899473626007
base__ecfp_1243,0.5,0.00017762357339095642
base__ecfp_146,0.5,0.0001776029553956612
base__ecfp_1089,0.5,0.0001772008850539606
base__ecfp_1452,0.5,0.00017420362909387026
base__ecfp_207,0.5,0.0001737691240410665
base__ecfp_741,0.5,0.00017044926537273578
base__ecfp_1021,0.5,0.00016997006784159866
base__ecfp_1304,0.5,0.00015748944558908066
base__ecfp_148,0.5,0.00015500632925521607
base__NumAliphaticRings,0.5,0.00015451255171780514
base__ecfp_1249,0.5,0.0001542013154212145
base__ecfp_1362,0.5,0.00015263698634701643
base__ecfp_471,0.5,0.00015244075068911249
base__ecfp_877,0.5,0.00015174341250752193
base__ecfp_574,0.5,0.00015062052558556546
base__ecfp_192,0.5,0.00014758923874760204
base__ecfp_670,0.5,0.00014565434262542193
base__ecfp_1328,0.5,0.00014422948893358086
base__ecfp_1008,0.5,0.0001427599786286077
base__ecfp_1057,0.5,0.00014183348016634178
base__ecfp_677,0.5,0.0001406669811846968
base__ecfp_1087,0.5,0.0001393723242627802
base__ecfp_823,0.5,0.00013928329347505638
base__ecfp_1018,0.5,0.00013681634210094807
base__ecfp_205,0.5,0.00013452035324167414
base__ecfp_1603,0.5,0.00013407741887006304
base__ecfp_1142,0.5,0.0001276856350514021
base__ecfp_1357,0.5,0.0001249701149016549
base__ecfp_2037,0.5,0.00012231829007797672
base__ecfp_1683,0.5,0.00012214686126716726
base__ecfp_381,0.5,0.00012151076354544797
base__ecfp_49,0.5,0.00012054440888435947
base__ecfp_80,0.5,0.00012023732910625042
base__ecfp_473,0.5,0.00011961288492656678
base__ecfp_1761,0.5,0.0001187253441434236
base__cond__diluent__1_2_dichloroethane,0.5,0.00011851289305828353
base__ecfp_1721,0.5,0.00011549654409471155
base__ecfp_1004,0.5,0.000115322382516283
base__ecfp_935,0.5,0.00011307114918590491
base__ecfp_904,0.5,0.00011295062583042783
base__ecfp_1130,0.5,0.00011201752798304432
base__ecfp_352,0.5,0.00011089391609876253
base__ecfp_392,0.5,0.00010969842438519083
base__ecfp_475,0.5,0.00010860876235118544
base__cond__diluent__1_octanol,0.5,0.00010835162622461031
delta3d__feat3d__polyhedron__donor_atomic_number_02,0.5,0.00010750272969478574
base__ecfp_114,0.5,0.0001060916681904511
base__ecfp_1274,0.5,0.0001032956302808569
base__ecfp_1480,0.5,0.00010199428879932561
base__ecfp_1866,0.5,0.00010186121048478141
base__ecfp_783,0.5,9.931887822448815e-05
base__ecfp_1998,0.5,9.040865256076446e-05
base__ecfp_369,0.5,9.009513404892612e-05
base__cond__diluent__hydrogenated_tetrapropene,0.5,8.863653342671146e-05
base__ecfp_943,0.5,8.501561881598616e-05
base__ecfp_1248,0.5,8.371815124738479e-05
base__ecfp_222,0.5,8.31689572216245e-05
base__ecfp_780,0.5,7.605485194465026e-05
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_02,0.5,7.56445269610418e-05
base__ecfp_798,0.5,7.558236426972984e-05
base__ecfp_1314,0.5,7.520422187192927e-05
base__ecfp_1492,0.5,7.474020705736178e-05
base__ecfp_172,0.5,7.402712183700083e-05
base__ecfp_1514,0.5,7.390734981043337e-05
base__ecfp_1214,0.5,7.173669013941256e-05
base__ecfp_1103,0.5,7.046533349628846e-05
base__ecfp_1539,0.5,7.016475295420963e-05
base__ecfp_9,0.5,6.971502963730244e-05
base__ecfp_1455,0.5,6.915133620042465e-05
base__ecfp_969,0.5,6.908951621283099e-05
base__ecfp_1534,0.5,6.596192457183863e-05
base__ecfp_448,0.5,6.206652878184384e-05
base__ecfp_243,0.5,6.151454127417668e-05
base__ecfp_1386,0.5,6.079297421109599e-05
base__cond__acid__lactic_acid,0.5,5.9050735262121247e-05
base__ecfp_1060,0.5,5.779877207199826e-05
missingindicator_delta3d__feat3d__complex_physical__metal_partial_charge,0.5,5.6884118917171404e-05
base__ecfp_691,0.5,5.432097236177412e-05
base__ecfp_1066,0.5,5.3780076049393715e-05
base__cond__acid__citric_acid,0.5,5.219755011582751e-05
base__ecfp_1051,0.5,5.0192614209318277e-05
base__ecfp_1765,0.5,4.958358662063067e-05
base__ecfp_860,0.5,4.85260191810128e-05
base__ecfp_1254,0.5,4.76110462525774e-05
base__ecfp_970,0.5,4.6638276590759e-05
base__ecfp_1043,0.5,4.6550356701125715e-05
base__ecfp_1085,0.5,4.639526808179158e-05
base__ecfp_466,0.5,4.6305685492658145e-05
delta3d__feat3d__polyhedron__donor_atomic_number_01,0.5,4.549101506793047e-05
base__ecfp_185,0.5,4.4165262853676774e-05
base__cond__diluent__cyclohexanone,0.5,4.370204400885995e-05
base__ecfp_255,0.5,4.3643239659453106e-05
base__ecfp_560,0.5,4.241941194720936e-05
base__ecfp_180,0.5,4.203360881041169e-05
base__ecfp_1162,0.5,4.16629805807492e-05
base__ecfp_1520,0.5,4.082805157401172e-05
base__ecfp_1647,0.5,4.052541134899833e-05
base__ecfp_1939,0.5,3.9726236631669045e-05
base__ecfp_748,0.5,3.7988451276300673e-05
base__cond__diluent__kerosene,0.5,3.683593302083403e-05
base__cond__acid__h2so4,0.5,3.630200863792992e-05
base__ecfp_1905,0.5,3.6014931753694624e-05
base__ecfp_1678,0.5,3.578971672226512e-05
base__ecfp_699,0.5,3.341411705059093e-05
base__ecfp_2009,0.5,3.26020962766874e-05
base__ecfp_1999,0.5,3.215362474214372e-05
base__ecfp_1895,0.5,3.1405980043437173e-05
base__ecfp_764,0.5,3.1250384280251473e-05
base__ecfp_1923,0.5,3.118414919225322e-05
base__ecfp_1953,0.5,3.088012141717812e-05
base__cond__acid__tartaric_acid,0.5,3.0245141402244198e-05
base__ecfp_1630,0.5,2.9347640461335224e-05
base__ecfp_841,0.5,2.883367618052279e-05
base__ecfp_1995,0.5,2.8829453896913203e-05
base__ecfp_1687,0.5,2.8520205216622373e-05
base__ecfp_1045,0.5,2.7486900837400444e-05
base__ecfp_747,0.5,2.673670844892493e-05
base__ecfp_388,0.5,2.6282669266352648e-05
base__ecfp_1733,0.5,2.5339020408796526e-05
base__ecfp_953,0.5,2.448490281168757e-05
base__cond__diluent__1_4_diisopropylbenzene,0.5,2.4058716398232612e-05
base__ecfp_1845,0.5,2.3881600030868684e-05
base__ecfp_1504,0.5,2.386885501543189e-05
base__ecfp_760,0.5,2.175810289257286e-05
base__ecfp_1859,0.5,2.047348969777191e-05
base__ecfp_1009,0.5,2.0347062661942133e-05
base__ecfp_46,0.5,1.98243225761499e-05
base__ecfp_561,0.5,1.8946761969348628e-05
base__ecfp_636,0.5,1.8724497370321112e-05
base__ecfp_888,0.5,1.863494710163529e-05
base__cond__diluent__tbub,0.5,1.8334197479768585e-05
base__ecfp_36,0.5,1.81558858931897e-05
base__cond__additive__1_octanol,0.5,1.7724826856608534e-05
base__ecfp_556,0.5,1.6520185481342597e-05
base__ecfp_366,0.5,1.585261568869294e-05
base__ecfp_1025,0.5,1.4646785991889697e-05
base__ecfp_697,0.5,1.4527845167987003e-05
base__ecfp_1410,0.5,1.4454641789323708e-05
base__ecfp_344,0.5,1.4452484996010754e-05
base__cond__diluent__tert_butylbenzene,0.5,1.4191995596315244e-05
base__ecfp_1292,0.5,1.3756401492709111e-05
base__ecfp_1005,0.5,1.331730231662154e-05
base__ecfp_204,0.5,1.3059600833632784e-05
base__ecfp_942,0.5,1.1868387469276643e-05
base__ecfp_1680,0.5,1.1381467631371233e-05
base__ecfp_1308,0.5,1.0708941391554535e-05
base__ecfp_1938,0.5,1.0516495840394238e-05
base__cond__diluent__dipb,0.5,1.0273064106028032e-05
base__ecfp_897,0.5,9.622659284989683e-06
base__ecfp_50,0.5,9.139011048871816e-06
base__ecfp_1614,0.5,8.59628897853175e-06
base__ecfp_1582,0.5,8.439105672848745e-06
base__ecfp_1189,0.5,8.290299521160231e-06
base__ecfp_418,0.5,8.243134557603767e-06
base__ecfp_853,0.5,7.866712130244074e-06
base__ecfp_933,0.5,6.954819927578519e-06
base__ecfp_1017,0.5,6.9306930132256355e-06
base__ecfp_96,0.5,6.920386553110461e-06
base__ecfp_226,0.5,6.61666321351986e-06
base__ecfp_1289,0.5,6.610196063693554e-06
base__ecfp_846,0.5,5.577631375325951e-06
base__ecfp_1129,0.5,5.572381796312634e-06
base__ecfp_1858,0.5,5.291694078401576e-06
