comparison,reference,candidate,statistic,point_delta,ci95_low,ci95_high,p_worse_one_sided,units_improved,units_total,bootstrap_blocks,bootstrap_replicates,block_macro_delta,n_blocks_positive,largest_block_unit_share,cluster_robust_se,cluster_robust_low,cluster_robust_high,cluster_robust_p_two_sided,bca_low,bca_high,bca_z0,bca_acceleration
ABL_minus_ligphys,ABL_full,ABL_minus_ligphys,shape_mae,0.00018243741696095134,-0.00313020911313938,0.003777306913381518,0.46750649870025995,66,131,79,5000,-0.0001935901066252944,39,0.21374045801526717,0.00166407176928455,-0.0031304749872114795,0.003495349821133382,0.9129818995907149,-0.0029059509926296343,0.004068740824813248,0.03961508598957968,0.020213301270061344
ABL_minus_massaction,ABL_full,ABL_minus_massaction,mae,-0.025054661255868926,-0.04335967403718325,-0.007573634233805437,0.9964007198560288,54,131,79,5000,-0.023624498294413893,33,0.21374045801526717,0.008511424884107702,-0.04199960653780563,-0.008109715973932223,0.004271465916765363,-0.04396532547587815,-0.008500033953569021,-0.010528033237178323,-0.018998507262542888
ABL_minus_massaction,ABL_full,ABL_minus_massaction,offset_mae,-0.019552014405845107,-0.03929905508140793,0.0010271506428003348,0.9686062787442512,59,131,79,5000,-0.020421527172768312,35,0.21374045801526717,0.009687432790743421,-0.038838211581606906,-0.0002658172300833081,0.04699927849964629,-0.03962972220697283,0.0006182605612232747,-0.0060159441466754015,-0.006123541876360762
ABL_minus_massaction,ABL_full,ABL_minus_massaction,shape_mae,-0.00977388829953603,-0.01769435841485577,-0.0015178518056134472,0.989002199560088,60,131,79,5000,-0.010415678683071038,36,0.21374045801526717,0.003917394091425278,-0.01757282084383028,-0.0019749557552417776,0.01470843598561048,-0.01827097896051145,-0.0020373288935368523,-0.03610328874478396,-0.018862128337785236
ABL_minus_metal,ABL_full,ABL_minus_metal,mae,-0.019542775290547692,-0.036745677348378504,0.003601444462285018,0.9490101979604079,56,131,79,5000,-0.010155789063121142,35,0.21374045801526717,0.010312628890338734,-0.04007364228862132,0.0009880917075259371,0.06179333897606532,-0.03909842583327196,0.0009119407717044066,-0.007519955698540524,-0.06383373726244668
ABL_minus_metal,ABL_full,ABL_minus_metal,offset_mae,-0.0011075357989421635,-0.01865394941778354,0.023597189043453173,0.5290941811637673,63,131,79,5000,0.009911590567568811,41,0.21374045801526717,0.010621458060101688,-0.022253234444401915,0.02003816284651759,0.9172200265812357,-0.02170290789677886,0.01979046041335808,-0.026573386823392654,-0.06972263486584393
ABL_minus_metal,ABL_full,ABL_minus_metal,shape_mae,-0.025339871610941204,-0.03818992123079978,-0.008869997024734191,0.9992001599680064,48,131,79,5000,-0.0203461958828626,31,0.21374045801526717,0.007656263829743252,-0.04058232201443453,-0.010097421207447879,0.0014156469524712438,-0.040458055083782724,-0.011513103665839401,-0.029582527813948944,-0.07227547804776309
ABL_minus_recovered,ABL_full,ABL_minus_recovered,mae,-0.00915264714530917,-0.04131821457678506,0.03335744771994973,0.627874425114977,60,131,79,5000,0.017038945085057593,42,0.21374045801526717,0.02029133881739688,-0.04954959955218863,0.031244305261570283,0.6531965478515158,-0.05181153056249778,0.023886878906574666,-0.0828132919318812,-0.11703759486896245
ABL_minus_recovered,ABL_full,ABL_minus_recovered,offset_mae,-0.013335149110367048,-0.045420035404349614,0.029980817729239388,0.7174565086982604,67,131,79,5000,0.00769013389242178,44,0.21374045801526717,0.019786353264818476,-0.05272675251010354,0.026056454289369445,0.5023311375591654,-0.05156013759665944,0.02245462846973343,-0.04563647073493522,-0.08554384468247594
ABL_minus_recovered,ABL_full,ABL_minus_recovered,shape_mae,-0.006794979660889171,-0.014497732842448452,0.00278170969653099,0.9166166766646671,57,131,79,5000,-0.0060689954083466505,30,0.21374045801526717,0.004443418803840575,-0.01564114696201793,0.0020511876402395865,0.1302546211895443,-0.015149358805231525,0.0018667996033947768,-0.0025066308995717666,-0.05437013596033547
