model,set,target,n_mine,n_lead,rho_mine,rho_lead,d_rho,partial_mine,partial_lead
SPECIES,S14,b,39,39,-0.07510121457489878,-0.0751012145748987,-8.326672684688674e-17,-0.05398552583947602,-0.053985525839476
SPECIES,S3,a,81,81,-0.041666666666666664,-0.0416666666666666,-6.245004513516506e-17,-0.03773168993089576,-0.0377316899308957
SPECIES,S3,abs_a,81,81,-0.012262872628726286,-0.0122628726287262,-8.500145032286355e-17,-0.027369538750108027,-0.027369538750108
SPECIES,S3,b,81,81,-0.14130532971996387,-0.1413053297199638,-8.326672684688674e-17,-0.139407462463814,-0.139407462463814
SPECIES_NFILLCOL,S8,a,62,62,0.3738258920702072,0.3738258920702072,0.0,0.3703399642659966,0.3703399642659966
SPECIES_NFILLCOL,S8,abs_a,62,62,-0.3050288333207424,-0.3050288333207424,0.0,-0.3020258299370031,-0.3020258299370031
SPECIES_NFILLCOL,S8,b,62,62,0.329707134043464,0.329707134043464,0.0,0.32827791131023876,0.3282779113102386
SPECIES_NFILLCOL,S14,a,39,39,0.2641700404858299,0.2641700404858299,0.0,0.270913750438335,0.270913750438335
SPECIES_NFILLCOL,S14,abs_a,39,39,-0.26336032388663966,-0.2633603238866396,-5.551115123125783e-17,-0.333467996366511,-0.333467996366511
SPECIES_NFILLCOL,S14,b,39,39,0.20445344129554657,0.2044534412955465,8.326672684688674e-17,0.28237343938939924,0.2823734393893991
SPECIES_NFILLCOL,S3,a,81,81,0.3785004516711833,0.3785004516711833,0.0,0.37882389972840724,0.3788238997284074
SPECIES_NFILLCOL,S3,abs_a,81,81,-0.17000903342366758,-0.1700090334236675,-8.326672684688674e-17,-0.1743191906997257,-0.1743191906997257
SPECIES_NFILLCOL,S3,b,81,81,0.30679765130984643,0.3067976513098464,5.551115123125783e-17,0.30660213993551333,0.3066021399355133
SPECIES_CONST,S8,a,19,19,0.16666666666666666,0.1666666666666666,5.551115123125783e-17,0.15606411973695308,0.156064119736953
SPECIES_CONST,S8,abs_a,19,19,0.02280701754385965,0.0228070175438596,5.204170427930421e-17,-0.034119028362820505,-0.0341190283628205
SPECIES_CONST,S8,b,19,19,-0.12105263157894736,-0.1210526315789473,-5.551115123125783e-17,-0.05315765233906667,-0.0531576523390666
SPECIES_CONST,S14,a,11,11,0.15454545454545454,0.1545454545454545,2.7755575615628914e-17,0.1620076565842964,0.1620076565842964
SPECIES_CONST,S14,abs_a,11,11,0.018181818181818184,0.0181818181818181,8.326672684688674e-17,0.020994555243259105,0.0209945552432591
SPECIES_CONST,S14,b,11,11,-0.30000000000000004,-0.3,-5.551115123125783e-17,-0.3273268353539884,-0.3273268353539886
SPECIES_CONST,S3,a,33,33,0.1985294117647059,0.1985294117647059,0.0,0.20705341722359846,0.2070534172235985
SPECIES_CONST,S3,abs_a,33,33,-0.012366310160427808,-0.0123663101604278,-8.673617379884035e-18,0.0555928437691945,0.0555928437691944
SPECIES_CONST,S3,b,33,33,0.06417112299465241,0.0641711229946524,1.3877787807814457e-17,0.05727750872061096,0.057277508720611
