extractant,dCN_dr,CN_range,n_comp_changes,r_of_first_CN_drop,mean_CN,a,b,abs_a,n_metals,chemotype
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.4709284144863574,1.0,1,,8.5,-0.6453826421271318,-0.00476060643880139,0.6453826421271318,9.11111111111111,sc009
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.4709284144863574,1.0,1,,8.5,-0.8244015014148325,-0.2372365649028476,0.8244015014148325,14.0,sc009
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,0.48645923997104046,1.0,1,,8.625,-0.22633407470931466,-0.022587341031049077,0.22633407470931466,8.0,sc009
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,0.48645923997104046,1.0,1,,8.625,-0.2521014826249013,-0.03219809901232894,0.2521014826249013,8.0,sc009
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,0.4709284144863574,1.0,1,,8.5,-0.7292481827765358,-0.29238195007435935,0.7292481827765358,14.0,sc009
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,0.4709284144863574,1.0,1,,8.5,-0.7170884578157906,-0.15690949852024416,0.7170884578157906,14.0,sc033
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,0.4709284144863574,1.0,1,,8.5,-0.7940811776094859,-0.2985258743493042,0.7940811776094859,14.0,sc009
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,0.4709284144863574,1.0,1,,8.5,-0.8867915164656944,-0.12649247502408864,0.8867915164656944,13.0,sc009
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,0.4709284144863574,1.0,1,,8.5,-0.9992745864042203,-0.17784724730344387,0.9992745864042203,14.0,sc009
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,0.4709284144863574,1.0,1,,8.5,-0.22427103249718483,-0.20273156355578997,0.22427103249718483,14.0,sc027
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.4709284144863574,1.0,1,,8.5,-0.3255745912705604,-0.07822069944820567,0.3255745912705604,9.984126984126984,sc009
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,0.4709284144863574,1.0,1,,8.5,-0.0007708247149778961,0.08773932512607294,0.0007708247149778961,7.0,sc009
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.4709284144863574,1.0,1,,8.5,-0.3587201508417729,-0.31008639404587396,0.3587201508417729,14.0,sc027
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,0.44575245214531717,1.0,1,,8.5,-0.1344018887022944,-0.08222453155566446,0.1344018887022944,13.0,sc027
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.4709284144863574,1.0,1,,8.5,-0.06436545424974306,-0.08489687761980698,0.06436545424974306,14.0,sc027
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,0.4709284144863574,1.0,1,,8.5,0.30492576817424943,-0.1443408376652124,0.30492576817424943,14.0,sc028
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,0.4709284144863574,1.0,2,,8.5,0.05523910660636944,0.023956566968087185,0.05523910660636944,11.5,sc029
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.47311479084354774,1.0,1,,8.416666666666666,0.0804098188497249,-0.15704413138577816,0.0804098188497249,13.0,sc008
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],0.4543772067646967,1.0,1,,8.461538461538462,0.2811611168792546,-0.2219101300475188,0.2811611168792546,14.0,sc055
CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,0.7188873044889171,1.0,1,,8.666666666666666,0.0847260190546904,0.007507944947351539,0.0847260190546904,9.0,sc031
CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,0.4709284144863574,1.0,1,,8.5,-0.8569266354753365,-0.20916645452008065,0.8569266354753365,14.0,sc057
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,0.4709284144863574,1.0,1,,8.5,-0.9088900787833218,-0.18632234614240195,0.9088900787833218,14.0,sc009
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,0.7188873044889171,1.0,1,,8.666666666666666,0.09450184366406067,0.07059332345030415,0.09450184366406067,9.0,sc036
CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,0.4709284144863574,1.0,1,,8.5,0.23276708074116695,-0.06903078882046128,0.23276708074116695,14.0,sc059
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,-2.0497204290475574e-15,0.0,0,,8.0,0.9141468586952404,0.2796385176780678,0.9141468586952404,14.0,sc060
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,-1.3710326123527258e-15,0.0,0,,8.0,-0.6836791670144733,-0.0055817475540192105,0.6836791670144733,12.9375,sc061
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,0.7188873044889171,1.0,1,,8.666666666666666,0.10803147995248544,0.09085568699785203,0.10803147995248544,9.0,sc036
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,0.4828186348361474,1.0,1,,8.6,-0.4749290822009562,-0.12004942670096741,0.4749290822009562,7.8,sc009
CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,0.4709284144863574,1.0,1,,8.5,0.09671049187916156,-0.007156034837850184,0.09671049187916156,14.0,sc029
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,0.47727127460574775,1.0,1,,8.538461538461538,0.01737381896998138,-0.12316736083100942,0.01737381896998138,7.0,sc009
CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,-4.2916473862930494e-15,0.0,1,,9.0,-1.1402076412697881,-0.4569091689987956,1.1402076412697881,14.0,sc061
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,0.4709284144863574,1.0,1,,8.5,0.09121649837900109,-0.05574079364471141,0.09121649837900109,14.0,sc068
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,0.4709284144863574,1.0,1,,8.5,-0.1649673920867853,0.04711814360556551,0.1649673920867853,14.0,sc069
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,0.4709284144863574,1.0,1,,8.5,-0.050458278756047345,-0.037260424753369915,0.050458278756047345,14.0,sc069
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,0.4709284144863574,1.0,1,,8.5,0.22356360041157794,-0.039472726890211106,0.22356360041157794,14.0,sc068
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,0.5471277750970982,1.0,1,,8.583333333333334,-0.33120046212908366,0.2068169051811004,0.33120046212908366,14.0,sc068
CCN(CC)C(=O)COCC(=O)N(CC)CC,0.4709284144863574,1.0,1,,8.5,0.01940773275716319,-0.060086286364075724,0.01940773275716319,7.0,sc071
CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,0.4709284144863574,1.0,1,,8.5,0.7983757096683257,0.03807480069795167,0.7983757096683257,14.0,sc068
CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,0.4709284144863574,1.0,1,,8.5,0.1533720048308666,-0.04141192116807001,0.1533720048308666,14.0,sc075
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.4709284144863574,1.0,1,,8.5,-0.062445406491785004,0.06716189105022351,0.062445406491785004,7.090909090909091,sc076
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.8613501965755828,1.0,1,,8.875,-0.197326731817497,0.09426062174168622,0.197326731817497,14.0,sc077
COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,0.4661074456273282,1.0,2,,8.461538461538462,-0.0008875966165786524,0.012944830603059758,0.0008875966165786524,14.0,sc078
O=C(COCC(=O)N1CCCCC1)N1CCCCC1,0.4709284144863574,1.0,1,,8.5,0.004449311540707109,0.013481088261819521,0.004449311540707109,14.0,sc083
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,0.4709284144863574,1.0,1,,8.5,0.08628104423457818,0.026469369331320915,0.08628104423457818,14.0,sc086
