inject_mult,model,set,n,rho,p
0.5,SPECIES_CONST,S8,19,0.6368421052631579,0.0033660701999244803
0.5,CYCLEHAT,S8,62,0.4513359018911637,0.00023157323756551273
0.5,CYCLE_EXT,S8,62,0.449472438367203,0.0002475698962234021
0.5,NAIVE,const19,19,0.0894736842105263,0.7156627488431645
0.5,NAIVE,varying43,43,0.19012382965871336,0.22202406019366724
0.5,ELEM,const19,19,0.5403508771929825,0.01691948997160229
0.5,ELEM,varying43,43,0.5650860767139837,7.882257866159019e-05
0.5,SPECIES,const19,19,0.5649122807017544,0.011729723562510145
0.5,SPECIES,varying43,43,0.38976140138930837,0.009777712471674204
0.5,CYCLEHAT,const19,19,0.6000000000000001,0.006612317304156058
0.5,CYCLEHAT,varying43,43,0.6561461794019934,1.7806829643770065e-06
0.5,CYCLE_EXT,const19,19,0.6000000000000001,0.006612317304156058
0.5,CYCLE_EXT,varying43,43,0.6561461794019934,1.7806829643770065e-06
1.0,NAIVE,S8,62,0.40887915187227725,0.0009685576471116128
1.0,ELEM,S8,62,0.5469769081614666,4.227506733313746e-06
1.0,SPECIES,S8,62,0.5735186724081489,1.1024606966279794e-06
1.0,SPECIES_CONST,S8,19,0.8,3.9238561936082606e-05
1.0,CYCLEHAT,S8,62,0.5062828939084889,2.6902051306760287e-05
1.0,CYCLE_EXT,S8,62,0.5083981768275793,2.4575679403169965e-05
1.0,NAIVE,const19,19,0.22456140350877193,0.35534598974510745
1.0,NAIVE,varying43,43,0.1945031712473573,0.2113593781010269
1.0,ELEM,const19,19,0.8684210526315789,1.4290128393433563e-06
1.0,ELEM,varying43,43,0.6374207188160677,4.2933872395053604e-06
1.0,SPECIES,const19,19,0.7491228070175439,0.00022320662435049447
1.0,SPECIES,varying43,43,0.6348535185744487,4.821957620133014e-06
1.0,CYCLEHAT,const19,19,0.7929824561403509,5.126995807624348e-05
1.0,CYCLEHAT,varying43,43,0.7227423739051646,4.433387626707628e-08
