design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1,family,endpoint,lead,loco_stable,p_bh_within_lead_family,src,budget,p_bh_all_L4
BP,UNCERT_vs_RANDOM_k6_mae_all,mae_all,RANDOM,UNCERT,-0.0365819333713256,-0.1170323957344237,0.0634057937665784,-0.1485606497155428,0.0438714352775827,0.647,0.0501531531232267,0.1404288287450349,0.0116428793516168,90,42,2,5,-0.0538143314538141,0.0258509811348244,False,0.02,False,False,exploratory,budget6_mae_all,L4,False,0.7987654320987654,contrasts_per_budget.csv,6.0,0.8134248554913295
BP,UNCERT_vs_MAXMIN_k6_mae_all,mae_all,MAXMIN,UNCERT,-0.0640433133180119,-0.1256481388266097,0.0165940542122459,-0.1452976569249903,0.0009583288656496,0.164,0.0385606043780818,0.1079696922586292,-0.0216535625137875,90,36,2,5,-0.0757236627556404,-0.0193318713489292,True,0.02,False,False,exploratory,budget6_mae_all,L4,True,0.3,contrasts_per_budget.csv,6.0,0.3048717948717949
BP,MAXMIN_vs_RANDOM_k6_mae_all,mae_all,RANDOM,MAXMIN,0.0274613799466863,0.0017589835611351,0.0627972236369713,-0.004886818894883,0.0561185569461249,0.032,0.0162410274203397,0.0454748767769513,0.0332964418654043,90,51,5,5,0.0219093313018262,0.0451828524837537,True,0.02,False,False,exploratory,budget6_mae_all,L4,True,0.087027027027027,contrasts_per_budget.csv,6.0,0.08487804878048781
BP,AOPT_vs_RANDOM_k6_sign_acc_strong,sign_acc_strong,RANDOM,AOPT,0.2282704765907348,0.1501940668557429,0.2829686838325452,0.1497810908983283,0.2827645163644721,0.0,0.033823164198801,0.0947048597566429,0.2207874572025204,86,72,5,5,0.2113310951485744,0.2417699548134558,True,0.02,True,True,exploratory,budget6_sign_acc_strong,L4,True,0.0,contrasts_per_budget.csv,6.0,0.0
BP,AOPT_vs_MAXMIN_k6_sign_acc_strong,sign_acc_strong,MAXMIN,AOPT,0.4651896327067563,0.3442254924695103,0.554255495565229,0.3426237732587534,0.5531531864624496,0.0,0.0539933717562774,0.1511814409175767,0.4542691407220843,86,76,5,5,0.4375077253609442,0.4967208619655368,True,0.02,True,True,exploratory,budget6_sign_acc_strong,L4,True,0.0,contrasts_per_budget.csv,6.0,0.0
BP,UNCERT_vs_RANDOM_k6_sign_acc_strong,sign_acc_strong,RANDOM,UNCERT,0.1694341555097389,0.0618044974549847,0.3095138125615513,0.0245422543160002,0.2812308109913701,0.0004,0.0673888758741949,0.1886888524477458,0.2250840854495515,86,55,5,5,0.1466221855480603,0.2503654485237994,True,0.02,True,True,exploratory,budget6_sign_acc_strong,L4,True,0.0021052631578947,contrasts_per_budget.csv,6.0,0.0019772727272727273
BP,UNCERT_vs_MAXMIN_k6_sign_acc_strong,sign_acc_strong,MAXMIN,UNCERT,0.4063533116257604,0.3029671346090096,0.5496265437299082,0.2753365188159153,0.5220665780119521,0.0,0.0662188297534657,0.1854127233097041,0.4585657689691154,86,81,5,5,0.3745086801988736,0.4800642586562926,True,0.02,True,True,exploratory,budget6_sign_acc_strong,L4,True,0.0,contrasts_per_budget.csv,6.0,0.0
BP,MAXMIN_vs_RANDOM_k6_sign_acc_strong,sign_acc_strong,RANDOM,MAXMIN,-0.2369191561160214,-0.2863759896451182,-0.1793005307458408,-0.2845979048112735,-0.1772941840530854,0.0,0.0270643300018438,0.0757801240051628,-0.2334816835195639,86,4,0,5,-0.2549509071520809,-0.2193270330471298,True,0.02,False,False,exploratory,budget6_sign_acc_strong,L4,True,0.0,contrasts_per_budget.csv,6.0,0.0
BP,AOPT_vs_RANDOM_k9_mae_all,mae_all,RANDOM,AOPT,0.0851834871658549,0.0282796195523722,0.1290655311877562,0.0401939677088538,0.146037223733485,0.0002,0.0277487679417597,0.0776965502369271,0.0574127965337336,90,69,5,5,0.0506943045049943,0.089582741152956,True,0.02,True,True,exploratory,budget9_mae_all,L4,True,0.0011111111111111,contrasts_per_budget.csv,9.0,0.0010116279069767443
BP,AOPT_vs_MAXMIN_k9_mae_all,mae_all,MAXMIN,AOPT,0.0895692267417906,0.0112947066725029,0.1513661264870811,0.0267771463399014,0.1747273814364821,0.0118,0.0387902968316253,0.1086128311285509,0.0639710206815129,90,62,5,5,0.0414406599381125,0.100361489670429,True,0.02,True,True,exploratory,budget9_mae_all,L4,True,0.0389010989010989,contrasts_per_budget.csv,9.0,0.03640425531914893
BP,UNCERT_vs_RANDOM_k9_mae_all,mae_all,RANDOM,UNCERT,-0.028211829308805,-0.0942782477086251,0.0585808663306961,-0.1174647875875216,0.0410444757003265,0.651,0.0417416419282212,0.1168765973990194,0.0101001999217844,90,45,1,5,-0.0462610351384359,0.0215922355472602,False,0.02,False,False,exploratory,budget9_mae_all,L4,False,0.8004098360655738,contrasts_per_budget.csv,9.0,0.81375
BP,UNCERT_vs_MAXMIN_k9_mae_all,mae_all,MAXMIN,UNCERT,-0.0238260897328693,-0.0754397558860672,0.0448174675758461,-0.0916001422648941,0.0312445133123204,0.5892,0.0323033214141205,0.0904492999595374,0.0166584240695636,90,41,2,5,-0.0346819747941616,0.0123385909803784,False,0.02,False,False,exploratory,budget9_mae_all,L4,False,0.7567659574468085,contrasts_per_budget.csv,9.0,0.7673712574850299
BP,MAXMIN_vs_RANDOM_k9_mae_all,mae_all,RANDOM,MAXMIN,-0.0043857395759357,-0.0285072122035752,0.030560467798328,-0.0318172315470864,0.0255426421423343,0.8178,0.0152043098033556,0.0425720674493959,-0.0065582241477792,90,33,2,5,-0.0115790603442742,0.0092536445668817,False,0.02,False,False,exploratory,budget9_mae_all,L4,False,0.8825179856115108,contrasts_per_budget.csv,9.0,0.8915864661654135
BP,AOPT_vs_RANDOM_k9_sign_acc_strong,sign_acc_strong,RANDOM,AOPT,0.139469113925442,0.0514153657738127,0.1984273198115961,0.0726018287171323,0.2175238363250436,0.0004,0.0390828089732282,0.1094318651250389,0.1090708025899865,86,66,5,5,0.0950633892423604,0.1500279023522382,True,0.02,True,True,exploratory,budget9_sign_acc_strong,L4,True,0.0020689655172413,contrasts_per_budget.csv,9.0,0.001955056179775281
BP,AOPT_vs_MAXMIN_k9_sign_acc_strong,sign_acc_strong,MAXMIN,AOPT,0.1934201980525401,0.0622308928507714,0.2888300101871034,0.0897623174351216,0.3215229433828753,0.0,0.0618023305995025,0.1730465256786071,0.1497854128291768,86,70,5,5,0.1187788237137075,0.2129957239731802,True,0.02,True,True,exploratory,budget9_sign_acc_strong,L4,True,0.0,contrasts_per_budget.csv,9.0,0.0
BP,UNCERT_vs_RANDOM_k9_sign_acc_strong,sign_acc_strong,RANDOM,UNCERT,0.028518912153942,-0.0781955349330475,0.1609184322999412,-0.1206107109068217,0.1362077309201652,0.5922,0.0665341145105573,0.1862955206295605,0.0924561537101172,86,50,2,5,0.0089589301361128,0.1123368995464979,True,0.02,False,False,exploratory,budget9_sign_acc_strong,L4,True,0.7567659574468085,contrasts_per_budget.csv,9.0,0.7674642857142857
BP,UNCERT_vs_MAXMIN_k9_sign_acc_strong,sign_acc_strong,MAXMIN,UNCERT,0.0824699962810401,0.0057279370874803,0.1885435921587665,-0.0165295860933208,0.1659440889858447,0.0342,0.0486432769172804,0.1362011753683853,0.1331707639493075,86,54,4,5,0.06292898861932,0.136052334017845,True,0.02,False,False,exploratory,budget9_sign_acc_strong,L4,True,0.09,contrasts_per_budget.csv,9.0,0.08855357142857143
BP,MAXMIN_vs_RANDOM_k9_sign_acc_strong,sign_acc_strong,RANDOM,MAXMIN,-0.053951084127098,-0.0986108484506697,0.010759086296831,-0.1093066958430483,-0.0011058037173681,0.1196,0.0289575531578757,0.081081148842052,-0.0407146102391902,86,30,1,5,-0.0644632721374818,-0.023715434471347,True,0.02,False,False,exploratory,budget9_sign_acc_strong,L4,True,0.2345098039215686,contrasts_per_budget.csv,9.0,0.23865137614678897
BP,AOPT_vs_RANDOM_k12_mae_all,mae_all,RANDOM,AOPT,0.0691122259271962,0.0305708006396743,0.0974183824509955,0.0394433786585977,0.1082566645965348,0.0,0.0179809878741234,0.0503467660475456,0.0472641918704198,90,72,5,5,0.0478673845463005,0.0721065305031016,True,0.02,True,True,exploratory,budget12_mae_all,L4,True,0.0,contrasts_per_budget.csv,12.0,0.0
BP,AOPT_vs_MAXMIN_k12_mae_all,mae_all,MAXMIN,AOPT,0.0996700665683111,0.0273485509805229,0.1577084912665522,0.0403778743163571,0.1808720439347,0.0,0.0364052059885377,0.1019345767679057,0.065228141230752,90,70,5,5,0.054140943266823,0.1101098331034531,True,0.02,True,True,exploratory,budget12_mae_all,L4,True,0.0,contrasts_per_budget.csv,12.0,0.0
BP,UNCERT_vs_RANDOM_k12_mae_all,mae_all,RANDOM,UNCERT,-0.0278128203806592,-0.066436873941974,0.0269550089172357,-0.0745821581594971,0.0174052701603811,0.357,0.0247437288002609,0.0692824406407305,-0.0072854996007633,90,38,3,5,-0.0401116222872042,-0.0032536516274612,True,0.02,False,False,exploratory,budget12_mae_all,L4,True,0.552061855670103,contrasts_per_budget.csv,12.0,0.5526512455516014
BP,UNCERT_vs_MAXMIN_k12_mae_all,mae_all,MAXMIN,UNCERT,0.0027450202604555,-0.0334977250645169,0.0342424005636173,-0.0368022446562216,0.0317516639859699,0.8314,0.0169072216057058,0.0473402204959764,0.0106784497595688,90,41,2,5,-0.0032814234310526,0.0124981559888303,False,0.02,False,False,exploratory,budget12_mae_all,L4,False,0.8884697508896798,contrasts_per_budget.csv,12.0,0.9005149253731344
BP,MAXMIN_vs_RANDOM_k12_mae_all,mae_all,RANDOM,MAXMIN,-0.0305578406411148,-0.0646970335275113,0.0169880132544732,-0.0734823986123048,0.0077386940188757,0.2672,0.0218489360780605,0.0611770210185696,-0.0179639493603322,90,32,1,5,-0.0396045242021371,-0.0062735587205225,True,0.02,False,False,exploratory,budget12_mae_all,L4,True,0.4380327868852459,contrasts_per_budget.csv,12.0,0.4419467680608365
BP,AOPT_vs_RANDOM_k12_sign_acc_strong,sign_acc_strong,RANDOM,AOPT,0.1082734784328746,0.0472963587737276,0.1479088938902806,0.0618605465016573,0.1591383015772752,0.0002,0.026599012763638,0.0744772357381864,0.0773146626352596,86,69,5,5,0.078481739451412,0.1138346994822914,True,0.02,True,True,exploratory,budget12_sign_acc_strong,L4,True,0.001090909090909,contrasts_per_budget.csv,12.0,0.0010357142857142859
BP,AOPT_vs_MAXMIN_k12_sign_acc_strong,sign_acc_strong,MAXMIN,AOPT,0.1540828624527665,0.0281443968619687,0.2462727369195819,0.0527201505012929,0.2757416588995047,0.0024,0.0596924483407993,0.1671388553542382,0.094622724741395,86,64,5,5,0.0826808904010484,0.1688384200937852,True,0.02,True,True,exploratory,budget12_sign_acc_strong,L4,True,0.0102857142857142,contrasts_per_budget.csv,12.0,0.00949090909090909
BP,UNCERT_vs_RANDOM_k12_sign_acc_strong,sign_acc_strong,RANDOM,UNCERT,0.0192102761630588,-0.0449742469485439,0.1061360855056172,-0.062634045986397,0.0893051349779674,0.5662,0.0406577876063683,0.1138418052978313,0.0557508126985461,86,47,3,5,0.0044443831030639,0.0647875982086756,True,0.02,False,False,exploratory,budget12_sign_acc_strong,L4,True,0.7472489082969432,contrasts_per_budget.csv,12.0,0.7560273556231002
BP,UNCERT_vs_MAXMIN_k12_sign_acc_strong,sign_acc_strong,MAXMIN,UNCERT,0.0650196601829508,0.0018595088947204,0.1364112802697306,0.0109451650936827,0.1512901113147082,0.0462,0.0336056348670141,0.0940957776276395,0.0730588748046815,86,66,4,5,0.040095523308706,0.0786218918377743,True,0.02,True,True,exploratory,budget12_sign_acc_strong,L4,True,0.1117741935483871,contrasts_per_budget.csv,12.0,0.11227374301675977
