design,publication_id,mode,n_dropped_extractants,n_units_left,abc
B,pub_8dafaf94bc,modal,1,89,-0.01208607883616192
B,pub_9428119866,any_cell,2,88,-0.011330389542546598
B,pub_9428119866,modal,2,88,-0.011330389542546598
B,pub_9a3afbee00,any_cell,1,89,-0.010863280746985716
B,pub_9a3afbee00,modal,0,90,-0.011907271695526769
B,pub_a49146c8fd,any_cell,2,88,-0.013375920117245366
B,pub_a49146c8fd,modal,2,88,-0.013375920117245366
B,pub_ab5ae597b9,any_cell,1,89,-0.010645219204523108
B,pub_ab5ae597b9,modal,0,90,-0.011907271695526769
B,pub_aed382b25f,any_cell,1,89,-0.010645219204523108
B,pub_aed382b25f,modal,0,90,-0.011907271695526769
B,pub_af0c74798c,any_cell,1,89,-0.010645219204523108
B,pub_af0c74798c,modal,0,90,-0.011907271695526769
B,pub_af7a1cd919,any_cell,1,89,-0.014103400690672643
B,pub_af7a1cd919,modal,1,89,-0.014103400690672643
B,pub_b0b3296ec5,any_cell,1,89,-0.010645219204523108
B,pub_b0b3296ec5,modal,0,90,-0.011907271695526769
B,pub_b4273fb42a,any_cell,1,89,-0.010645219204523108
B,pub_b4273fb42a,modal,0,90,-0.011907271695526769
B,pub_b8175dc3a1,any_cell,1,89,-0.012479071489747471
B,pub_b8175dc3a1,modal,1,89,-0.012479071489747471
B,pub_b9dfc468cd,any_cell,11,79,-0.002173572107855121
B,pub_b9dfc468cd,modal,7,83,-0.007021040086481227
B,pub_bdb1564c49,any_cell,1,89,-0.012517445360350972
B,pub_bdb1564c49,modal,1,89,-0.012517445360350972
B,pub_bef16e560c,any_cell,2,88,-0.01075437982218362
B,pub_bef16e560c,modal,1,89,-0.012029386154460807
B,pub_c649e663f3,any_cell,1,89,-0.01161012528559555
B,pub_c649e663f3,modal,1,89,-0.01161012528559555
B,pub_c8195b4ca7,any_cell,1,89,-0.011544318599886621
B,pub_c8195b4ca7,modal,1,89,-0.011544318599886621
B,pub_ca616a18dd,any_cell,1,89,-0.01241203508064759
B,pub_ca616a18dd,modal,1,89,-0.01241203508064759
B,pub_cd72e4a7bb,any_cell,1,89,-0.010790437715641166
B,pub_cd72e4a7bb,modal,1,89,-0.010790437715641166
B,pub_d68ed8c8cf,any_cell,4,86,-0.011080585017277409
B,pub_d68ed8c8cf,modal,2,88,-0.013086620013174998
B,pub_dc1c90a4de,any_cell,1,89,-0.01225280605167985
B,pub_dc1c90a4de,modal,1,89,-0.01225280605167985
B,pub_dfa96a5118,any_cell,3,87,-0.010641285938879244
B,pub_dfa96a5118,modal,3,87,-0.010641285938879244
B,pub_e9799b75f3,any_cell,4,86,-0.014782739733197279
B,pub_e9799b75f3,modal,4,86,-0.014782739733197279
B,pub_f6d85bdb79,any_cell,1,89,-0.012099156557181783
B,pub_f6d85bdb79,modal,1,89,-0.012099156557181783
B,pub_f8a621ede4,any_cell,1,89,-0.010270288458636426
B,pub_f8a621ede4,modal,0,90,-0.011907271695526769
B,pub_f926473989,any_cell,1,89,-0.011890291097868901
B,pub_f926473989,modal,0,90,-0.011907271695526769
B,(none),any_cell,0,90,-0.011907271695526769
BR,pub_0a8da089ad,any_cell,1,89,0.0235456319618612
BR,pub_0a8da089ad,modal,1,89,0.0235456319618612
BR,pub_0af6736cb1,any_cell,3,87,0.02270299261709912
BR,pub_0af6736cb1,modal,3,87,0.02270299261709912
BR,pub_0e366d9257,any_cell,1,89,0.0235708699471426
BR,pub_0e366d9257,modal,1,89,0.0235708699471426
BR,pub_0fd6ab4e40,any_cell,1,89,0.02346775550516636
BR,pub_0fd6ab4e40,modal,1,89,0.02346775550516636
BR,pub_126bbe7976,any_cell,15,75,0.02401263345821525
BR,pub_126bbe7976,modal,12,78,0.024042710658881115
BR,pub_1605e436d7,any_cell,1,89,0.02350284098124522
BR,pub_1605e436d7,modal,0,90,0.023452157942270364
BR,pub_1845fd6492,any_cell,1,89,0.02214817658689301
BR,pub_1845fd6492,modal,1,89,0.02214817658689301
BR,pub_1927dff570,any_cell,4,86,0.022398143601434436
BR,pub_1927dff570,modal,4,86,0.022398143601434436
BR,pub_19783c039b,any_cell,1,89,0.023537055431893585
BR,pub_19783c039b,modal,1,89,0.023537055431893585
BR,pub_1bd76c48d9,any_cell,6,84,0.022689248959981253
BR,pub_1bd76c48d9,modal,6,84,0.022689248959981253
BR,pub_1c1b558856,any_cell,1,89,0.023138009356661743
BR,pub_1c1b558856,modal,1,89,0.023138009356661743
BR,pub_2c76a46f18,any_cell,1,89,0.02350284098124522
BR,pub_2c76a46f18,modal,0,90,0.023452157942270364
BR,pub_2e9f2dbea9,any_cell,1,89,0.02350284098124522
BR,pub_2e9f2dbea9,modal,0,90,0.023452157942270364
BR,pub_37086f6378,any_cell,1,89,0.02350284098124522
BR,pub_37086f6378,modal,1,89,0.02350284098124522
BR,pub_392f966ef2,any_cell,2,88,0.02353569394373571
BR,pub_392f966ef2,modal,2,88,0.02353569394373571
BR,pub_3e0f6bb1b5,any_cell,2,88,0.023975107785435726
BR,pub_3e0f6bb1b5,modal,2,88,0.023975107785435726
BR,pub_3f3b6220e0,any_cell,4,86,0.023579357081492294
BR,pub_3f3b6220e0,modal,4,86,0.023579357081492294
BR,pub_401a06b4b7,any_cell,1,89,0.022147676905248184
BR,pub_401a06b4b7,modal,1,89,0.022147676905248184
BR,pub_40c355ae86,any_cell,2,88,0.02356039019637995
BR,pub_40c355ae86,modal,2,88,0.02356039019637995
BR,pub_457a2adba4,any_cell,1,89,0.02350284098124522
BR,pub_457a2adba4,modal,0,90,0.023452157942270364
BR,pub_4829d176ba,any_cell,1,89,0.02350284098124522
BR,pub_4829d176ba,modal,0,90,0.023452157942270364
BR,pub_4cba27f5f3,any_cell,5,85,0.024475549813705654
BR,pub_4cba27f5f3,modal,2,88,0.02448642791126777
BR,pub_4fb6e0c041,any_cell,1,89,0.023874720298303512
BR,pub_4fb6e0c041,modal,1,89,0.023874720298303512
BR,pub_51c0693f9c,any_cell,4,86,0.023174749625777584
BR,pub_51c0693f9c,modal,0,90,0.023452157942270364
BR,pub_56338b6e47,any_cell,4,86,0.023795201915330084
BR,pub_56338b6e47,modal,4,86,0.023795201915330084
BR,pub_57ce0f7961,any_cell,1,89,0.024532708852169037
BR,pub_57ce0f7961,modal,1,89,0.024532708852169037
BR,pub_5a68dc5665,any_cell,4,86,0.023824328962666574
BR,pub_5a68dc5665,modal,3,87,0.02376820296853831
BR,pub_6a0ef8528c,any_cell,1,89,0.021641570480869236
BR,pub_6a0ef8528c,modal,1,89,0.021641570480869236
BR,pub_6c8ed9481c,any_cell,1,89,0.0235456319618612
BR,pub_6c8ed9481c,modal,0,90,0.023452157942270364
BR,pub_723ceb6c2c,any_cell,1,89,0.021641570480869236
BR,pub_723ceb6c2c,modal,0,90,0.023452157942270364
BR,pub_74428aeab2,any_cell,2,88,0.023220408901135112
BR,pub_74428aeab2,modal,1,89,0.0232975405940479
BR,pub_84113c17ad,any_cell,2,88,0.023601671768131095
BR,pub_84113c17ad,modal,2,88,0.023601671768131095
BR,pub_8415538291,any_cell,1,89,0.02322341279748909
BR,pub_8415538291,modal,1,89,0.02322341279748909
BR,pub_8dafaf94bc,any_cell,1,89,0.02373644597396249
BR,pub_8dafaf94bc,modal,1,89,0.02373644597396249
BR,pub_9428119866,any_cell,2,88,0.02518510520994768
BR,pub_9428119866,modal,2,88,0.02518510520994768
BR,pub_9a3afbee00,any_cell,1,89,0.023271325186708557
BR,pub_9a3afbee00,modal,0,90,0.023452157942270364
BR,pub_a49146c8fd,any_cell,2,88,0.023017684716611406
BR,pub_a49146c8fd,modal,2,88,0.023017684716611406
BR,pub_ab5ae597b9,any_cell,1,89,0.02350284098124522
BR,pub_ab5ae597b9,modal,0,90,0.023452157942270364
BR,pub_aed382b25f,any_cell,1,89,0.02350284098124522
BR,pub_aed382b25f,modal,0,90,0.023452157942270364
BR,pub_af0c74798c,any_cell,1,89,0.02350284098124522
BR,pub_af0c74798c,modal,0,90,0.023452157942270364
BR,pub_af7a1cd919,any_cell,1,89,0.022480364046065442
BR,pub_af7a1cd919,modal,1,89,0.022480364046065442
BR,pub_b0b3296ec5,any_cell,1,89,0.02350284098124522
BR,pub_b0b3296ec5,modal,0,90,0.023452157942270364
BR,pub_b4273fb42a,any_cell,1,89,0.02350284098124522
BR,pub_b4273fb42a,modal,0,90,0.023452157942270364
BR,pub_b8175dc3a1,any_cell,1,89,0.023585079596333814
BR,pub_b8175dc3a1,modal,1,89,0.023585079596333814
BR,pub_b9dfc468cd,any_cell,11,79,0.02194265550028576
BR,pub_b9dfc468cd,modal,7,83,0.021849705218445127
BR,pub_bdb1564c49,any_cell,1,89,0.023472213938052718
BR,pub_bdb1564c49,modal,1,89,0.023472213938052718
BR,pub_bef16e560c,any_cell,2,88,0.023859209373777147
BR,pub_bef16e560c,modal,1,89,0.023803952723212327
BR,pub_c649e663f3,any_cell,1,89,0.02428855639334963
BR,pub_c649e663f3,modal,1,89,0.02428855639334963
BR,pub_c8195b4ca7,any_cell,1,89,0.02367633145162101
BR,pub_c8195b4ca7,modal,1,89,0.02367633145162101
BR,pub_ca616a18dd,any_cell,1,89,0.0236419258942469
BR,pub_ca616a18dd,modal,1,89,0.0236419258942469
BR,pub_cd72e4a7bb,any_cell,1,89,0.024720002932985922
BR,pub_cd72e4a7bb,modal,1,89,0.024720002932985922
BR,pub_d68ed8c8cf,any_cell,4,86,0.024373489412468106
BR,pub_d68ed8c8cf,modal,2,88,0.024241336856559926
BR,pub_dc1c90a4de,any_cell,1,89,0.024218504252725714
BR,pub_dc1c90a4de,modal,1,89,0.024218504252725714
BR,pub_dfa96a5118,any_cell,3,87,0.022755091594138733
BR,pub_dfa96a5118,modal,3,87,0.022755091594138733
BR,pub_e9799b75f3,any_cell,4,86,0.022815744731923902
BR,pub_e9799b75f3,modal,4,86,0.022815744731923902
BR,pub_f6d85bdb79,any_cell,1,89,0.023639829015637406
BR,pub_f6d85bdb79,modal,1,89,0.023639829015637406
BR,pub_f8a621ede4,any_cell,1,89,0.023537055431893585
BR,pub_f8a621ede4,modal,0,90,0.023452157942270364
BR,pub_f926473989,any_cell,1,89,0.023874720298303512
BR,pub_f926473989,modal,0,90,0.023452157942270364
BR,(none),any_cell,0,90,0.023452157942270364
BQ,pub_0a8da089ad,any_cell,1,89,-0.002372508764066145
BQ,pub_0a8da089ad,modal,1,89,-0.002372508764066145
BQ,pub_0af6736cb1,any_cell,3,87,-0.004502138821267012
BQ,pub_0af6736cb1,modal,3,87,-0.004502138821267012
BQ,pub_0e366d9257,any_cell,1,89,-0.004256747516754011
BQ,pub_0e366d9257,modal,1,89,-0.004256747516754011
BQ,pub_0fd6ab4e40,any_cell,1,89,-0.0037622622002638968
BQ,pub_0fd6ab4e40,modal,1,89,-0.0037622622002638968
BQ,pub_126bbe7976,any_cell,15,75,0.01382948423703697
BQ,pub_126bbe7976,modal,12,78,0.009571049475932986
BQ,pub_1605e436d7,any_cell,1,89,-0.002378353079376148
BQ,pub_1605e436d7,modal,0,90,-0.003371720120869312
BQ,pub_1845fd6492,any_cell,1,89,-0.005420117412095494
BQ,pub_1845fd6492,modal,1,89,-0.005420117412095494
BQ,pub_1927dff570,any_cell,4,86,-0.006101362276265942
BQ,pub_1927dff570,modal,4,86,-0.006101362276265942
BQ,pub_19783c039b,any_cell,1,89,-0.002116966561427682
BQ,pub_19783c039b,modal,1,89,-0.002116966561427682
BQ,pub_1bd76c48d9,any_cell,6,84,-0.006168909576954051
BQ,pub_1bd76c48d9,modal,6,84,-0.006168909576954051
BQ,pub_1c1b558856,any_cell,1,89,-0.0038847376931173566
BQ,pub_1c1b558856,modal,1,89,-0.0038847376931173566
BQ,pub_2c76a46f18,any_cell,1,89,-0.002378353079376148
BQ,pub_2c76a46f18,modal,0,90,-0.003371720120869312
BQ,pub_2e9f2dbea9,any_cell,1,89,-0.002378353079376148
BQ,pub_2e9f2dbea9,modal,0,90,-0.003371720120869312
BQ,pub_37086f6378,any_cell,1,89,-0.002378353079376148
BQ,pub_37086f6378,modal,1,89,-0.002378353079376148
BQ,pub_392f966ef2,any_cell,2,88,-0.004067400115509392
BQ,pub_392f966ef2,modal,2,88,-0.004067400115509392
BQ,pub_3e0f6bb1b5,any_cell,2,88,-0.004117986969512502
BQ,pub_3e0f6bb1b5,modal,2,88,-0.004117986969512502
BQ,pub_3f3b6220e0,any_cell,4,86,-0.0035375889934550447
BQ,pub_3f3b6220e0,modal,4,86,-0.0035375889934550447
BQ,pub_401a06b4b7,any_cell,1,89,-0.005014807094932413
BQ,pub_401a06b4b7,modal,1,89,-0.005014807094932413
BQ,pub_40c355ae86,any_cell,2,88,-0.004190958090822486
BQ,pub_40c355ae86,modal,2,88,-0.004190958090822486
BQ,pub_457a2adba4,any_cell,1,89,-0.002378353079376148
BQ,pub_457a2adba4,modal,0,90,-0.003371720120869312
BQ,pub_4829d176ba,any_cell,1,89,-0.002378353079376148
BQ,pub_4829d176ba,modal,0,90,-0.003371720120869312
BQ,pub_4cba27f5f3,any_cell,5,85,0.000670022441623502
BQ,pub_4cba27f5f3,modal,2,88,-0.0026558812626932054
BQ,pub_4fb6e0c041,any_cell,1,89,-0.003133183293270284
BQ,pub_4fb6e0c041,modal,1,89,-0.003133183293270284
BQ,pub_51c0693f9c,any_cell,4,86,0.0005061478584226848
BQ,pub_51c0693f9c,modal,0,90,-0.003371720120869312
BQ,pub_56338b6e47,any_cell,4,86,-0.004201432495602455
BQ,pub_56338b6e47,modal,4,86,-0.004201432495602455
BQ,pub_57ce0f7961,any_cell,1,89,-0.001812726318387741
BQ,pub_57ce0f7961,modal,1,89,-0.001812726318387741
BQ,pub_5a68dc5665,any_cell,4,86,-0.0018088581362178452
BQ,pub_5a68dc5665,modal,3,87,-0.002843025132511445
BQ,pub_6a0ef8528c,any_cell,1,89,-0.004859449984020127
BQ,pub_6a0ef8528c,modal,1,89,-0.004859449984020127
BQ,pub_6c8ed9481c,any_cell,1,89,-0.002372508764066145
BQ,pub_6c8ed9481c,modal,0,90,-0.003371720120869312
BQ,pub_723ceb6c2c,any_cell,1,89,-0.004859449984020127
BQ,pub_723ceb6c2c,modal,0,90,-0.003371720120869312
BQ,pub_74428aeab2,any_cell,2,88,-0.0037461229902160096
BQ,pub_74428aeab2,modal,1,89,-0.0037832072743356716
BQ,pub_84113c17ad,any_cell,2,88,-0.0029768690288961602
BQ,pub_84113c17ad,modal,2,88,-0.0029768690288961602
BQ,pub_8415538291,any_cell,1,89,-0.003739314675418565
BQ,pub_8415538291,modal,1,89,-0.003739314675418565
BQ,pub_8dafaf94bc,any_cell,1,89,-0.00363017874748611
BQ,pub_8dafaf94bc,modal,1,89,-0.00363017874748611
BQ,pub_9428119866,any_cell,2,88,-0.002464093616974612
BQ,pub_9428119866,modal,2,88,-0.002464093616974612
BQ,pub_9a3afbee00,any_cell,1,89,-0.0024675452353727393
BQ,pub_9a3afbee00,modal,0,90,-0.003371720120869312
BQ,pub_a49146c8fd,any_cell,2,88,-0.00453246203008922
BQ,pub_a49146c8fd,modal,2,88,-0.00453246203008922
BQ,pub_ab5ae597b9,any_cell,1,89,-0.002378353079376148
BQ,pub_ab5ae597b9,modal,0,90,-0.003371720120869312
BQ,pub_aed382b25f,any_cell,1,89,-0.002378353079376148
BQ,pub_aed382b25f,modal,0,90,-0.003371720120869312
BQ,pub_af0c74798c,any_cell,1,89,-0.002378353079376148
BQ,pub_af0c74798c,modal,0,90,-0.003371720120869312
BQ,pub_af7a1cd919,any_cell,1,89,-0.005528062096088981
BQ,pub_af7a1cd919,modal,1,89,-0.005528062096088981
BQ,pub_b0b3296ec5,any_cell,1,89,-0.002378353079376148
BQ,pub_b0b3296ec5,modal,0,90,-0.003371720120869312
BQ,pub_b4273fb42a,any_cell,1,89,-0.002378353079376148
BQ,pub_b4273fb42a,modal,0,90,-0.003371720120869312
BQ,pub_b8175dc3a1,any_cell,1,89,-0.0034237119291989685
BQ,pub_b8175dc3a1,modal,1,89,-0.0034237119291989685
BQ,pub_b9dfc468cd,any_cell,11,79,0.004582305507324319
BQ,pub_b9dfc468cd,modal,7,83,0.0006726241710899844
BQ,pub_bdb1564c49,any_cell,1,89,-0.0032649011872734287
BQ,pub_bdb1564c49,modal,1,89,-0.0032649011872734287
BQ,pub_bef16e560c,any_cell,2,88,-0.0024007574816746423
BQ,pub_bef16e560c,modal,1,89,-0.0034050342157430275
BQ,pub_c649e663f3,any_cell,1,89,-0.003118000253543417
BQ,pub_c649e663f3,modal,1,89,-0.003118000253543417
BQ,pub_c8195b4ca7,any_cell,1,89,-0.0029277589590389562
BQ,pub_c8195b4ca7,modal,1,89,-0.0029277589590389562
BQ,pub_ca616a18dd,any_cell,1,89,-0.003259611430804606
BQ,pub_ca616a18dd,modal,1,89,-0.003259611430804606
BQ,pub_cd72e4a7bb,any_cell,1,89,-0.002001475624949433
BQ,pub_cd72e4a7bb,modal,1,89,-0.002001475624949433
BQ,pub_d68ed8c8cf,any_cell,4,86,-0.003559660267008094
BQ,pub_d68ed8c8cf,modal,2,88,-0.005145474878755118
BQ,pub_dc1c90a4de,any_cell,1,89,-0.0030397409595908104
BQ,pub_dc1c90a4de,modal,1,89,-0.0030397409595908104
BQ,pub_dfa96a5118,any_cell,3,87,-0.003144201854768123
BQ,pub_dfa96a5118,modal,3,87,-0.003144201854768123
BQ,pub_e9799b75f3,any_cell,4,86,-0.006132858506124029
BQ,pub_e9799b75f3,modal,4,86,-0.006132858506124029
BQ,pub_f6d85bdb79,any_cell,1,89,-0.0034879939509806814
BQ,pub_f6d85bdb79,modal,1,89,-0.0034879939509806814
BQ,pub_f8a621ede4,any_cell,1,89,-0.002116966561427682
BQ,pub_f8a621ede4,modal,0,90,-0.003371720120869312
BQ,pub_f926473989,any_cell,1,89,-0.003133183293270284
BQ,pub_f926473989,modal,0,90,-0.003371720120869312
BQ,(none),any_cell,0,90,-0.003371720120869312
A,pub_0a8da089ad,any_cell,1,89,0.03670118758685583
A,pub_0a8da089ad,modal,1,89,0.03670118758685583
A,pub_0af6736cb1,any_cell,3,87,0.03703525910969678
A,pub_0af6736cb1,modal,3,87,0.03703525910969678
A,pub_0e366d9257,any_cell,1,89,0.03520981507108986
A,pub_0e366d9257,modal,1,89,0.03520981507108986
A,pub_0fd6ab4e40,any_cell,1,89,0.036627591351547195
A,pub_0fd6ab4e40,modal,1,89,0.036627591351547195
A,pub_126bbe7976,any_cell,15,75,0.032808377997497876
A,pub_126bbe7976,modal,12,78,0.032997892808637554
A,pub_1605e436d7,any_cell,1,89,0.03695245267628854
A,pub_1605e436d7,modal,0,90,0.03674649425775374
A,pub_1845fd6492,any_cell,1,89,0.03516091660218673
A,pub_1845fd6492,modal,1,89,0.03516091660218673
A,pub_1927dff570,any_cell,4,86,0.0365830431901011
A,pub_1927dff570,modal,4,86,0.0365830431901011
A,pub_19783c039b,any_cell,1,89,0.037045156841152664
A,pub_19783c039b,modal,1,89,0.037045156841152664
A,pub_1bd76c48d9,any_cell,6,84,0.036929712984409314
A,pub_1bd76c48d9,modal,6,84,0.036929712984409314
A,pub_1c1b558856,any_cell,1,89,0.03681684136639098
A,pub_1c1b558856,modal,1,89,0.03681684136639098
A,pub_2c76a46f18,any_cell,1,89,0.03695245267628854
A,pub_2c76a46f18,modal,0,90,0.03674649425775374
A,pub_2e9f2dbea9,any_cell,1,89,0.03695245267628854
A,pub_2e9f2dbea9,modal,0,90,0.03674649425775374
A,pub_37086f6378,any_cell,1,89,0.03695245267628854
A,pub_37086f6378,modal,1,89,0.03695245267628854
A,pub_392f966ef2,any_cell,2,88,0.03705483221763246
A,pub_392f966ef2,modal,2,88,0.03705483221763246
A,pub_3e0f6bb1b5,any_cell,2,88,0.03643926228583927
A,pub_3e0f6bb1b5,modal,2,88,0.03643926228583927
A,pub_3f3b6220e0,any_cell,4,86,0.03782598296898472
A,pub_3f3b6220e0,modal,4,86,0.03782598296898472
A,pub_401a06b4b7,any_cell,1,89,0.03579802454185732
A,pub_401a06b4b7,modal,1,89,0.03579802454185732
A,pub_40c355ae86,any_cell,2,88,0.038224684618780154
A,pub_40c355ae86,modal,2,88,0.038224684618780154
A,pub_457a2adba4,any_cell,1,89,0.03695245267628854
A,pub_457a2adba4,modal,0,90,0.03674649425775374
A,pub_4829d176ba,any_cell,1,89,0.03695245267628854
A,pub_4829d176ba,modal,0,90,0.03674649425775374
A,pub_4cba27f5f3,any_cell,5,85,0.03811799284590804
A,pub_4cba27f5f3,modal,2,88,0.03810496228594969
A,pub_4fb6e0c041,any_cell,1,89,0.03741190105622396
A,pub_4fb6e0c041,modal,1,89,0.03741190105622396
A,pub_51c0693f9c,any_cell,4,86,0.03601005621448941
A,pub_51c0693f9c,modal,0,90,0.03674649425775374
A,pub_56338b6e47,any_cell,4,86,0.03813662366385398
A,pub_56338b6e47,modal,4,86,0.03813662366385398
A,pub_57ce0f7961,any_cell,1,89,0.03593087053355288
A,pub_57ce0f7961,modal,1,89,0.03593087053355288
A,pub_5a68dc5665,any_cell,4,86,0.037558420632582856
A,pub_5a68dc5665,modal,3,87,0.0373383950506929
A,pub_6a0ef8528c,any_cell,1,89,0.03492216273895313
A,pub_6a0ef8528c,modal,1,89,0.03492216273895313
A,pub_6c8ed9481c,any_cell,1,89,0.03670118758685583
A,pub_6c8ed9481c,modal,0,90,0.03674649425775374
A,pub_723ceb6c2c,any_cell,1,89,0.03492216273895313
A,pub_723ceb6c2c,modal,0,90,0.03674649425775374
A,pub_74428aeab2,any_cell,2,88,0.036822939222665024
A,pub_74428aeab2,modal,1,89,0.03685554944320732
A,pub_84113c17ad,any_cell,2,88,0.03756293942057459
A,pub_84113c17ad,modal,2,88,0.03756293942057459
A,pub_8415538291,any_cell,1,89,0.03672407508546344
A,pub_8415538291,modal,1,89,0.03672407508546344
A,pub_8dafaf94bc,any_cell,1,89,0.036563265961058466
A,pub_8dafaf94bc,modal,1,89,0.036563265961058466
A,pub_9428119866,any_cell,2,88,0.03860774320789883
A,pub_9428119866,modal,2,88,0.03860774320789883
A,pub_9a3afbee00,any_cell,1,89,0.03620852711550397
A,pub_9a3afbee00,modal,0,90,0.03674649425775374
A,pub_a49146c8fd,any_cell,2,88,0.03645220605692606
A,pub_a49146c8fd,modal,2,88,0.03645220605692606
A,pub_ab5ae597b9,any_cell,1,89,0.03695245267628854
A,pub_ab5ae597b9,modal,0,90,0.03674649425775374
A,pub_aed382b25f,any_cell,1,89,0.03695245267628854
A,pub_aed382b25f,modal,0,90,0.03674649425775374
A,pub_af0c74798c,any_cell,1,89,0.03695245267628854
A,pub_af0c74798c,modal,0,90,0.03674649425775374
A,pub_af7a1cd919,any_cell,1,89,0.03611472155955079
A,pub_af7a1cd919,modal,1,89,0.03611472155955079
A,pub_b0b3296ec5,any_cell,1,89,0.03695245267628854
A,pub_b0b3296ec5,modal,0,90,0.03674649425775374
A,pub_b4273fb42a,any_cell,1,89,0.03695245267628854
A,pub_b4273fb42a,modal,0,90,0.03674649425775374
A,pub_b8175dc3a1,any_cell,1,89,0.03732272320706989
A,pub_b8175dc3a1,modal,1,89,0.03732272320706989
A,pub_b9dfc468cd,any_cell,11,79,0.03396026693484645
A,pub_b9dfc468cd,modal,7,83,0.03363791378331172
A,pub_bdb1564c49,any_cell,1,89,0.03577020310445196
A,pub_bdb1564c49,modal,1,89,0.03577020310445196
A,pub_bef16e560c,any_cell,2,88,0.037419498142930684
A,pub_bef16e560c,modal,1,89,0.0372059778829894
A,pub_c649e663f3,any_cell,1,89,0.03836159914535125
