extractant,design,delta,n_cells,n_metals_max,n_metals_mean,n_pubs,a,b,abs_a,chemotype,chemotype_cells,chemotype_extractants
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,B,-0.008432466663714777,1,6,6.0,1,0.03929164417066978,-0.11854091718079607,0.03929164417066978,sc017,1,1
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,B,0.04239818447382748,17,6,4.764705882352941,1,-0.46063267360784843,0.1401303860221489,0.46063267360784843,sc018,17,1
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,B,-0.1802331529195227,1,14,14.0,1,-0.7847921858795874,-0.10437334281597316,0.7847921858795874,sc009,375,23
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,B,0.14023152287176255,1,14,14.0,1,-0.569600970402105,-0.09861878784918293,0.569600970402105,sc019,1,1
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,B,-0.11130549590534533,3,7,7.0,1,0.029087123427637352,-0.4690365346128549,0.029087123427637352,sc020,3,1
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,B,-0.18065434421811521,1,13,13.0,1,-1.2616648349370063,-0.10111352330586142,1.2616648349370063,sc009,375,23
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,B,0.05599248325122841,1,14,14.0,1,-1.0989182138161144,-0.09950622864584704,1.0989182138161144,sc021,1,1
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,B,-0.07446230627868972,21,8,4.857142857142857,2,-0.05578616328538173,-0.11153818975655101,0.05578616328538173,sc009,375,23
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,B,0.041086178535158946,10,9,7.2,1,0.07325366982190169,0.025548324705261766,0.07325366982190169,sc009,375,23
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,B,0.0674257989008282,5,8,8.0,1,-0.20480419002779032,-0.18495142442585483,0.20480419002779032,sc027,10,6
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,B,-0.04421009720750005,20,14,6.4,1,-0.08144215954670339,0.007402979123800198,0.08144215954670339,sc009,375,23
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,B,-0.05494332924311479,14,8,2.4285714285714284,1,-0.3037287353869552,0.045045909590600695,0.3037287353869552,sc009,375,23
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,B,0.03365988025351174,1,14,14.0,1,-0.06633072708891824,-0.20675673490621135,0.06633072708891824,sc027,10,6
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,B,0.03127222215380643,1,13,13.0,1,0.35530751853699627,-0.24873810458277856,0.35530751853699627,sc028,2,2
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,B,0.03898290999011589,1,14,14.0,1,0.05677265550773193,0.07445454333299406,0.05677265550773193,sc029,4,3
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,B,0.039935043781046925,1,9,9.0,1,0.15999421231466016,-0.006910759980945884,0.15999421231466016,sc030,4,3
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,B,0.03472804857466458,1,14,14.0,1,0.3467328148760595,-0.18375897577768446,0.3467328148760595,sc030,4,3
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,B,0.08737173630930156,1,9,9.0,1,0.36221010057175657,0.03768674494564828,0.36221010057175657,sc031,5,3
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,B,-0.15759877977876713,74,14,4.986486486486487,5,-0.6453826421271318,-0.00476060643880139,0.6453826421271318,sc009,375,23
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,B,-0.17777340386547247,1,14,14.0,1,-0.8244015014148325,-0.2372365649028476,0.8244015014148325,sc009,375,23
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,B,-0.09546906315539055,1,8,8.0,1,-0.22633407470931466,-0.022587341031049077,0.22633407470931466,sc009,375,23
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,B,-0.10510605013402677,1,8,8.0,1,-0.2521014826249013,-0.03219809901232894,0.2521014826249013,sc009,375,23
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,B,-0.1727860180005576,1,14,14.0,1,-0.7292481827765358,-0.29238195007435935,0.7292481827765358,sc009,375,23
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,B,-0.021235641106288505,1,14,14.0,1,-0.7170884578157906,-0.15690949852024416,0.7170884578157906,sc033,1,1
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,B,-0.17491606171861718,1,14,14.0,1,-0.7940811776094859,-0.2985258743493042,0.7940811776094859,sc009,375,23
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,B,-0.15263948929233662,1,13,13.0,1,-0.8867915164656944,-0.12649247502408864,0.8867915164656944,sc009,375,23
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,B,-0.17864502891666922,1,14,14.0,1,-0.9992745864042203,-0.17784724730344387,0.9992745864042203,sc009,375,23
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,B,0.07513247354322503,1,14,14.0,1,-0.22427103249718483,-0.20273156355578997,0.22427103249718483,sc027,10,6
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,B,0.024835261528881436,1,9,9.0,1,0.07767791537411164,0.07923142927827162,0.07767791537411164,sc036,4,4
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,B,-0.0010390848503976091,5,4,2.4,1,,,,sc032,5,1
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,B,-0.15771958066404568,1,7,7.0,1,0.008022171823822402,-0.785336214012229,0.008022171823822402,sc009,375,23
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,B,-0.12422994339485283,171,14,5.2748538011695905,18,-0.3255745912705604,-0.07822069944820567,0.3255745912705604,sc009,375,23
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,B,0.03888193002683177,2,8,7.0,1,-0.0007708247149778961,0.08773932512607294,0.0007708247149778961,sc009,375,23
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,B,0.05579329583659426,1,14,14.0,1,-0.3587201508417729,-0.31008639404587396,0.3587201508417729,sc027,10,6
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,B,0.093624525052273,1,13,13.0,1,-0.1344018887022944,-0.08222453155566446,0.1344018887022944,sc027,10,6
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,B,0.037791246977171344,1,14,14.0,1,-0.06436545424974306,-0.08489687761980698,0.06436545424974306,sc027,10,6
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,B,0.03243186377497498,1,14,14.0,1,0.30492576817424943,-0.1443408376652124,0.30492576817424943,sc028,2,2
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,B,0.01933007356726757,2,14,11.5,1,0.05523910660636944,0.023956566968087185,0.05523910660636944,sc029,4,3
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,B,-0.013418544887077055,2,13,8.0,2,0.0804098188497249,-0.15704413138577816,0.0804098188497249,sc008,3,2
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],B,0.033016669580226254,2,14,14.0,1,0.2811611168792546,-0.2219101300475188,0.2811611168792546,sc055,2,1
CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,B,0.008534674363733397,1,9,9.0,1,0.0847260190546904,0.007507944947351539,0.0847260190546904,sc031,5,3
CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,B,-0.022292609633965954,1,14,14.0,1,-0.8569266354753365,-0.20916645452008065,0.8569266354753365,sc057,1,1
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,B,-0.17956244953217748,1,14,14.0,1,-0.9088900787833218,-0.18632234614240195,0.9088900787833218,sc009,375,23
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,B,0.025021950369472523,1,9,9.0,1,0.09450184366406067,0.07059332345030415,0.09450184366406067,sc036,4,4
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,B,-0.09790292630238243,3,8,6.333333333333333,2,-0.22956325896989577,-0.06888889022977193,0.22956325896989577,sc009,375,23
CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,B,0.05807284536337082,2,3,2.5,1,,,,sc030,4,3
CCCCCCOP(=O)(O)OCCCCCC,B,-0.011302900924743398,1,10,10.0,1,-0.6727596782605673,-0.13556048833794881,0.6727596782605673,sc058,1,1
CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,B,0.03792400215139219,1,14,14.0,1,0.23276708074116695,-0.06903078882046128,0.23276708074116695,sc059,1,1
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,B,0.08609644415291551,2,14,14.0,1,0.9141468586952404,0.2796385176780678,0.9141468586952404,sc060,2,1
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,B,0.14003924071874874,16,13,12.9375,2,-0.6836791670144733,-0.0055817475540192105,0.6836791670144733,sc061,17,2
CCCCN(C)C(=O)CC(=O)N(C)CCCC,B,-0.003307988894607483,3,3,2.6666666666666665,1,,,,sc031,5,3
CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,B,-0.03835330217940536,1,4,4.0,1,,,,sc062,1,1
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,B,0.029559261240560353,1,9,9.0,1,0.10803147995248544,0.09085568699785203,0.10803147995248544,sc036,4,4
CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,B,0.005170480991769644,1,5,5.0,1,0.04815178807087685,0.020942722618112,0.04815178807087685,sc036,4,4
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,B,-0.1289137699961267,33,8,3.212121212121212,4,-0.4749290822009562,-0.12004942670096741,0.4749290822009562,sc009,375,23
CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,B,-0.005058343597306503,1,14,14.0,1,0.09671049187916156,-0.007156034837850184,0.09671049187916156,sc029,4,3
CCCCN(CCCC)C(=O)c1ccccc1C(=O)O,B,-0.18228511736634267,1,3,3.0,1,,,,sc063,1,1
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,B,-0.06278546590529785,9,8,6.666666666666667,1,0.01737381896998138,-0.12316736083100942,0.01737381896998138,sc009,375,23
CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,B,0.18354820887245626,1,14,14.0,1,-1.1402076412697881,-0.4569091689987956,1.1402076412697881,sc061,17,2
CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,B,-0.026599353844820817,1,3,3.0,1,,,,sc068,6,6
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,B,-0.013884664130752622,1,14,14.0,1,0.09121649837900109,-0.05574079364471141,0.09121649837900109,sc068,6,6
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,B,-0.015521489133479727,1,14,14.0,1,-0.1649673920867853,0.04711814360556551,0.1649673920867853,sc069,2,2
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,B,-0.029721029178317704,1,14,14.0,1,-0.050458278756047345,-0.037260424753369915,0.050458278756047345,sc069,2,2
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,B,-0.02783466220076586,1,14,14.0,1,0.22356360041157794,-0.039472726890211106,0.22356360041157794,sc068,6,6
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,B,0.03554405461640181,1,14,14.0,1,-0.33120046212908366,0.2068169051811004,0.33120046212908366,sc068,6,6
CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,B,0.03382905147737797,1,14,14.0,1,-0.13312663901329763,0.2504519856963187,0.13312663901329763,sc068,6,6
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,B,0.09236405621238497,1,14,14.0,1,-0.29319801230815806,0.03944119440434355,0.29319801230815806,sc070,1,1
CCN(CC)C(=O)COCC(=O)N(CC)CC,B,-0.0005514871237255747,12,8,7.0,1,0.01940773275716319,-0.060086286364075724,0.01940773275716319,sc071,12,1
CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,B,-0.04923068872436831,1,14,14.0,1,0.7983757096683257,0.03807480069795167,0.7983757096683257,sc068,6,6
CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,B,0.03282399538959896,1,14,14.0,1,0.1533720048308666,-0.04141192116807001,0.1533720048308666,sc075,1,1
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,B,-0.00029163748764082786,11,8,7.090909090909091,3,-0.062445406491785004,0.06716189105022351,0.062445406491785004,sc076,11,1
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,B,0.04521499311559468,10,14,14.0,1,-0.197326731817497,0.09426062174168622,0.197326731817497,sc077,10,1
COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,B,-0.05475691678610789,1,14,14.0,1,-0.0008875966165786524,0.012944830603059758,0.0008875966165786524,sc078,1,1
O=C(COCC(=O)N1CCCCC1)N1CCCCC1,B,-0.022156631376953728,1,14,14.0,1,0.004449311540707109,0.013481088261819521,0.004449311540707109,sc083,1,1
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,B,-0.009235975099555649,1,8,8.0,1,0.054562441955313026,-0.3165374136678865,0.054562441955313026,sc084,1,1
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,B,-0.02686228695911741,1,8,8.0,1,0.025094939337285523,-0.3347753189843246,0.025094939337285523,sc085,1,1
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,B,0.05953047922266863,2,14,14.0,1,0.08628104423457818,0.026469369331320915,0.08628104423457818,sc086,2,1
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,B,0.01884528600209734,1,3,3.0,1,,,,sc092,1,1
c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,B,0.060671136670795905,1,5,5.0,1,0.06254564584497657,0.13651673151397167,0.06254564584497657,sc096,1,1
c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,B,0.016425387923509283,1,5,5.0,1,0.09925470936310045,-0.015369319454164736,0.09925470936310045,sc097,1,1
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,BR,0.06475677924298087,1,5,5.0,1,0.07601097493086181,0.08206296817636363,0.07601097493086181,sc000,1,1
C1COCCOCCOCCOCCOCCO1,BR,0.04616360995966767,1,5,5.0,1,0.05620718295732292,0.12910069076729588,0.05620718295732292,sc001,1,1
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,BR,0.008265502526110635,1,14,14.0,1,-0.39938883955557464,-0.1699606779354635,0.39938883955557464,sc007,1,1
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,BR,-0.06269308468904672,1,6,6.0,1,0.049124075720208875,-0.15507499511061024,0.049124075720208875,sc008,3,2
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,BR,0.06634603770652242,1,8,8.0,1,-0.2693053833143338,-0.05096963941908241,0.2693053833143338,sc010,1,1
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,BR,0.13955097023724394,1,14,14.0,1,-0.16376265295219228,-0.30430381692878367,0.16376265295219228,sc012,1,1
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,BR,0.13950649857085473,1,14,14.0,1,-1.1208407620802023,-0.3852941095623312,1.1208407620802023,sc015,1,1
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,BR,0.008721533194053221,1,14,14.0,1,-0.4482833055526018,-0.2596426328844968,0.4482833055526018,sc009,375,23
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,BR,-0.0018494768783288151,1,2,2.0,1,,,,sc016,1,1
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,BR,0.03954627318727144,6,14,8.166666666666666,5,-0.2600410324986765,-0.03929510873838907,0.2600410324986765,sc009,375,23
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,BR,-0.0429019589820166,1,6,6.0,1,0.03929164417066978,-0.11854091718079607,0.03929164417066978,sc017,1,1
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,BR,0.02166717431764087,17,6,4.764705882352941,1,-0.46063267360784843,0.1401303860221489,0.46063267360784843,sc018,17,1
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,BR,0.0197856364054243,1,14,14.0,1,-0.7847921858795874,-0.10437334281597316,0.7847921858795874,sc009,375,23
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,BR,0.0758842358626064,1,14,14.0,1,-0.569600970402105,-0.09861878784918293,0.569600970402105,sc019,1,1
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,BR,-0.08938604623141444,3,7,7.0,1,0.029087123427637352,-0.4690365346128549,0.029087123427637352,sc020,3,1
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,BR,0.01581645254503905,1,13,13.0,1,-1.2616648349370063,-0.10111352330586142,1.2616648349370063,sc009,375,23
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,BR,0.04194629411602491,1,14,14.0,1,-1.0989182138161144,-0.09950622864584704,1.0989182138161144,sc021,1,1
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,BR,0.018176186431508923,21,8,4.857142857142857,2,-0.05578616328538173,-0.11153818975655101,0.05578616328538173,sc009,375,23
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,BR,-0.014296753811662788,10,9,7.2,1,0.07325366982190169,0.025548324705261766,0.07325366982190169,sc009,375,23
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,BR,0.05141138206143761,5,8,8.0,1,-0.20480419002779032,-0.18495142442585483,0.20480419002779032,sc027,10,6
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,BR,0.003500715610062738,20,14,6.4,1,-0.08144215954670339,0.007402979123800198,0.08144215954670339,sc009,375,23
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,BR,0.04420292500383599,14,8,2.4285714285714284,1,-0.3037287353869552,0.045045909590600695,0.3037287353869552,sc009,375,23
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,BR,0.028943363262904975,1,14,14.0,1,-0.06633072708891824,-0.20675673490621135,0.06633072708891824,sc027,10,6
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,BR,-0.02508770391433257,1,13,13.0,1,0.35530751853699627,-0.24873810458277856,0.35530751853699627,sc028,2,2
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,BR,0.011622130730623237,1,14,14.0,1,0.05677265550773193,0.07445454333299406,0.05677265550773193,sc029,4,3
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,BR,0.031151692114599255,1,9,9.0,1,0.15999421231466016,-0.006910759980945884,0.15999421231466016,sc030,4,3
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,BR,0.01804666228732804,1,14,14.0,1,0.3467328148760595,-0.18375897577768446,0.3467328148760595,sc030,4,3
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,BR,0.07321000590104132,1,9,9.0,1,0.36221010057175657,0.03768674494564828,0.36221010057175657,sc031,5,3
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,BR,0.015896281365803788,74,14,4.986486486486487,5,-0.6453826421271318,-0.00476060643880139,0.6453826421271318,sc009,375,23
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,BR,0.016580374139987475,1,14,14.0,1,-0.8244015014148325,-0.2372365649028476,0.8244015014148325,sc009,375,23
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,BR,0.039226147079499174,1,8,8.0,1,-0.22633407470931466,-0.022587341031049077,0.22633407470931466,sc009,375,23
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,BR,0.04562597613675398,1,8,8.0,1,-0.2521014826249013,-0.03219809901232894,0.2521014826249013,sc009,375,23
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,BR,0.014014204516908602,1,14,14.0,1,-0.7292481827765358,-0.29238195007435935,0.7292481827765358,sc009,375,23
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,BR,0.036322042061398774,1,14,14.0,1,-0.7170884578157906,-0.15690949852024416,0.7170884578157906,sc033,1,1
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,BR,0.014700971423840414,1,14,14.0,1,-0.7940811776094859,-0.2985258743493042,0.7940811776094859,sc009,375,23
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,BR,0.025800758947089997,1,13,13.0,1,-0.8867915164656944,-0.12649247502408864,0.8867915164656944,sc009,375,23
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,BR,0.01880362809082503,1,14,14.0,1,-0.9992745864042203,-0.17784724730344387,0.9992745864042203,sc009,375,23
