grouping,extractant,n_rows,baseline_mae,baseline_rmse,baseline_sign_accuracy,baseline_r2,2d_second_unshrunk_mae,2d_second_unshrunk_rmse,2d_second_unshrunk_sign_accuracy,2d_second_unshrunk_r2,2d_ensemble_mae,2d_ensemble_rmse,2d_ensemble_sign_accuracy,2d_ensemble_r2,delta3d_unshrunk_mae,delta3d_unshrunk_rmse,delta3d_unshrunk_sign_accuracy,delta3d_unshrunk_r2,delta3d_mae,delta3d_rmse,delta3d_sign_accuracy,delta3d_r2,delta3d_extended_unshrunk_mae,delta3d_extended_unshrunk_rmse,delta3d_extended_unshrunk_sign_accuracy,delta3d_extended_unshrunk_r2,delta3d_extended_mae,delta3d_extended_rmse,delta3d_extended_sign_accuracy,delta3d_extended_r2,mae_reduction_delta3d_vs_2d_ensemble,mae_reduction_extended_vs_delta3d
extractant,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,20,0.2997128707973845,0.3600905502040491,0.25,-2.5494230037646406,0.29882320734719614,0.35700499462689317,0.25,-2.488854798010691,0.29882320734719614,0.35700499462689317,0.25,-2.488854798010691,0.2793144125678246,0.3299663060920268,0.15,-1.9803927668399774,0.29461325623999446,0.35174083093776326,0.25,-2.3867245915186763,0.2755868550020611,0.32741767084740564,0.15,-1.9345299093698083,0.2876498628997228,0.3428702011050716,0.25,-2.2180574657758196,0.0042099511072016815,0.006963393340271684
extractant,CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,12,0.09752379088264358,0.1305928340769795,0.9166666666666666,0.6130074199329059,0.09037710465003439,0.12213623060940076,0.9166666666666666,0.6615044453123113,0.09573711932449129,0.12838278610036147,0.9166666666666666,0.625994889050333,0.13001296788124078,0.1576791606064965,0.8333333333333334,0.4358266815163925,0.09886321388059031,0.13249471292390264,0.9166666666666666,0.6016534671377636,0.12978404553755524,0.16817379460468607,0.8333333333333334,0.3582282566848287,0.09859254142855269,0.1341677488499979,0.9166666666666666,0.5915299576197344,-0.003126094556099024,0.00027067245203762913
extractant,CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,12,0.10394977791953681,0.14686769335978744,0.8333333333333334,0.4355845530125627,0.10817124009924352,0.15576456058219404,0.8333333333333334,0.36513168706184873,0.10394977791953681,0.14686769335978744,0.8333333333333334,0.4355845530125627,0.14415695660760475,0.17752122345401777,0.8333333333333334,0.17539320807569725,0.12405336726357076,0.15815329720418544,0.8333333333333334,0.3455102580832823,0.14562653265459333,0.1851377994178343,0.75,0.10311546085533951,0.13520734397082923,0.17299665692457977,0.75,0.21689181310329475,-0.020103589344033945,-0.01115397670725847
extractant,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,12,0.04920696210995145,0.058598387398665616,0.9166666666666666,0.47985625148803934,0.056767135424996146,0.06861760877803558,0.9166666666666666,0.28678049296502384,0.04920696210995145,0.058598387398665616,0.9166666666666666,0.47985625148803934,0.05420830425762327,0.06893832143499913,0.9166666666666666,0.2800978621058946,0.050737603810419196,0.06103512595579825,0.9166666666666666,0.4356977988910141,0.054760863856538354,0.067461791216158,0.9166666666666666,0.3106055379150551,0.05290754048831617,0.06340259567610317,0.9166666666666666,0.3910717396123983,-0.0015306417004677456,-0.002169936677896972
extractant,CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,12,0.10044164446830599,0.157232175961946,0.75,0.4075602727937825,0.10260993011192217,0.15750123343533726,0.75,0.4055309588955368,0.10260993011192217,0.15750123343533726,0.75,0.4055309588955368,0.10971528471836318,0.1575616376432025,0.75,0.40507489494644944,0.10154406126490016,0.1566062497497011,0.75,0.412267775512832,0.11147037399548759,0.15757947068675063,0.75,0.40494021843693817,0.10390799927917653,0.1565332323318281,0.75,0.4128157061994825,0.0010658688470220057,-0.0023639380142763677
extractant,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,12,0.11102511030324373,0.14280757033643915,0.8333333333333334,0.07082162636320732,0.1145562052196226,0.14640556856266604,0.9166666666666666,0.023411010546682265,0.11102511030324373,0.14280757033643915,0.8333333333333334,0.07082162636320732,0.12790099473365268,0.1596187835699482,0.8333333333333334,-0.16081931589857357,0.12194713905987938,0.15292887282276726,0.8333333333333334,-0.06555435293429568,0.12264477690183172,0.15532424414217608,0.8333333333333334,-0.09919597708883887,0.11559326560811577,0.14448788019470515,0.8333333333333334,0.04882709278455721,-0.010922028756635643,0.006353873451763609
extractant,CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,12,0.10468043063723963,0.1359424365190393,1.0,0.6636280742372509,0.1081760272206338,0.13694818120032737,1.0,0.6586324933957336,0.10468043063723963,0.1359424365190393,1.0,0.6636280742372509,0.15344575837076627,0.19649237245015805,0.8333333333333334,0.2972497073558721,0.14081420425225596,0.18046817210975835,0.8333333333333334,0.40719633289197343,0.158986792140298,0.19931593103845274,0.8333333333333334,0.2769078152272677,0.13183361138876878,0.1658364352919903,0.9166666666666666,0.49942454568491645,-0.03613377361501634,0.00898059286348718
extractant,O=C(COCC(=O)N1CCCCC1)N1CCCCC1,12,0.04777247829409858,0.06498248816475848,0.4166666666666667,-2.6130256839212653,0.048244768749732915,0.06498142982569,0.3333333333333333,-2.6129079975966434,0.048244768749732915,0.06498142982569,0.3333333333333333,-2.6129079975966434,0.047703134604152354,0.06024237518214095,0.4166666666666667,-2.1051497476670242,0.04764630029538942,0.06346016055318908,0.4166666666666667,-2.445725756095433,0.051162994033059156,0.06467271654670431,0.5,-2.5786611897586,0.04896622286653012,0.06428880320186105,0.3333333333333333,-2.536299651018286,0.0005984684543434982,-0.0013199225711407053
extractant,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,12,0.10741177084538278,0.1345563360068356,0.8333333333333334,0.60238735285399,0.11044426884516612,0.13664493030971447,0.8333333333333334,0.5899480028823383,0.10806170361804285,0.13504112141414373,0.8333333333333334,0.5995171194465256,0.17040691045907386,0.20580361213704812,0.5833333333333334,0.06983954825279348,0.11398155699100859,0.13840290366208152,0.8333333333333334,0.5793292772077167,0.16364035103186925,0.19760093575993545,0.5833333333333334,0.14250839232749213,0.11289037693460542,0.13551415326508362,0.75,0.5967065244159636,-0.005919853372965744,0.001091180056403171
extractant,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,12,0.04954885240801804,0.05903284525169223,0.6666666666666666,0.6965078895520038,0.04832043249391521,0.05756702147542202,0.6666666666666666,0.7113925794124161,0.04882707997363683,0.05857676725917114,0.6666666666666666,0.7011792341926741,0.13944427650376726,0.1638772497597184,0.6666666666666666,-1.338822740864638,0.04986854866827534,0.059897439301448696,0.8333333333333334,0.6875529084332193,0.1424731536587104,0.16523442216356352,0.6666666666666666,-1.3777217267553512,0.051227311407602755,0.06158962881340696,0.8333333333333334,0.6696493637538838,-0.0010414686946385102,-0.0013587627393274113
extractant,CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,12,0.15624955479471297,0.21089294354462965,0.6666666666666666,0.45806439284640366,0.14889814826095307,0.20658451251384913,0.75,0.4799811231356519,0.15624955479471297,0.21089294354462965,0.6666666666666666,0.45806439284640366,0.19376714538851292,0.24942299207263877,0.75,0.24195225697966616,0.16935248893080782,0.22746248629710492,0.75,0.36956088099142426,0.19483026710942283,0.25681350550843535,0.75,0.1963641400751711,0.18250412504616834,0.24326336642501536,0.75,0.27893068507713625,-0.01310293413609484,-0.013151636115360521
extractant,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,12,0.039882455813680995,0.05080981873966352,1.0,0.5779105267488605,0.04280714962977413,0.05821611530001459,1.0,0.4458904004454537,0.04061362926770428,0.05234295160772746,1.0,0.5520540158432707,0.06308011338143037,0.09584720883898724,1.0,-0.5019939060056116,0.045428426800928255,0.05488613526544869,1.0,0.5074679080324925,0.06057252764447357,0.09137300759264984,1.0,-0.3650390336851972,0.04383011667855057,0.053599041273663606,1.0,0.5302970659885519,-0.0048147975332239745,0.001598310122377683
extractant,CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,12,0.09852097730212046,0.15722447258865652,0.75,0.10690037104876804,0.09957595732678491,0.15530721199158742,0.75,0.12854922026272064,0.09852097730212046,0.15722447258865652,0.75,0.10690037104876804,0.09494361970201586,0.12563906893189078,0.8333333333333334,0.42969256363896025,0.09190919740049701,0.1296295143547728,0.8333333333333334,0.3928899756859672,0.09823665048298279,0.12322842911911633,0.8333333333333334,0.4513676143574491,0.09186564217336934,0.13295688828876737,0.8333333333333334,0.3613229648421117,0.006611779901623455,4.3555227127664575e-05
extractant,COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,11,0.10494649812716754,0.12104027911251158,0.2727272727272727,-9.822592486470123,0.10454627330656169,0.12230431401910566,0.2727272727272727,-10.049815461231812,0.10494649812716754,0.12104027911251158,0.2727272727272727,-9.822592486470123,0.08913802825740945,0.09392989733536267,0.18181818181818182,-5.517471912242052,0.0970422631922885,0.10568695274527588,0.2727272727272727,-7.251145113861099,0.08437896101884214,0.09032968960614189,0.18181818181818182,-5.027434626040158,0.0895208452959235,0.09601067742370384,0.18181818181818182,-5.809426567169622,0.007904234934879045,0.007521417896364999
extractant,CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,11,0.08037351437934746,0.10493783568662297,1.0,0.7318404054256551,0.07965587901611929,0.10709136490378662,1.0,0.7207211532692226,0.08037351437934746,0.10493783568662297,1.0,0.7318404054256551,0.11033909752904293,0.1751276075215506,0.8181818181818182,0.25314143789791577,0.10002357613533555,0.15490104806043264,0.8181818181818182,0.4156973617400507,0.12680348396404253,0.2003896977819318,0.8181818181818182,0.022132718205739255,0.09606801989752277,0.14739883302841633,0.8181818181818182,0.47092501876562487,-0.019650061755988088,0.003955556237812782
extractant,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,10,0.38086839184930293,0.4772058206603029,0.8,0.0205252093193925,0.382399494156326,0.4812245016804,0.8,0.003958895683959129,0.3812511674260587,0.47819891391893066,0.8,0.0164442786077178,0.42255187578985004,0.4908726866279237,0.7,-0.03638121682447837,0.3912892628344397,0.47953904902585287,0.8,0.010923795504488965,0.42057102333725355,0.4903118903044626,0.7,-0.03401454702455209,0.3907940497212906,0.4794220177931778,0.8,0.011406503567381376,-0.01003809540838102,0.0004952131131490956
extractant,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,4,0.2859297465823647,0.4519145422276136,0.75,-0.07878781749010888,0.2885799960859582,0.4529234353029606,0.75,-0.08360995245387715,0.2885799960859582,0.4529234353029606,0.75,-0.08360995245387715,0.27563191017482214,0.43769199178164286,0.75,-0.011953603207463193,0.28058866511355335,0.4479332924085464,0.75,-0.05986386253103948,0.2827731951060056,0.4375368327398883,0.75,-0.01123626807622613,0.27065594959755856,0.44343737696230856,0.75,-0.038694885373662835,0.007991330972404842,0.009932715515994783
extractant,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,2,0.2133855982727167,0.21611210843352854,1.0,-0.01783001266391948,0.21435352500164098,0.21829792944298948,1.0,-0.03852339584706499,0.21362757995494774,0.21663847255857205,1.0,-0.022794118054907164,0.21064213193909798,0.2190049603151317,1.0,-0.045261500882006755,0.21269973168931203,0.21654944419701258,1.0,-0.021953648924692537,0.212437512797421,0.22548530866064054,1.0,-0.10803519127834238,0.21314857690389277,0.21775712368809463,1.0,-0.03338414661223754,0.0009278482656357168,-0.00044884521458074533
extractant,CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,2,0.12225897519834987,0.12703227973638853,0.5,0.47854489351857343,0.11852625315358492,0.12410728361419225,0.5,0.5022820760892688,0.12225897519834987,0.12703227973638853,0.5,0.47854489351857343,0.2333997926587564,0.23549674630593137,0.5,-0.7920848275895731,0.20561458829365475,0.20811160062700654,0.5,-0.39952712308180005,0.20942663309230386,0.2094955591866971,0.5,-0.418202946660285,0.16584280414532687,0.16703658676281902,0.5,0.09840404485665755,-0.08335561309530488,0.03977178414832788
extractant,CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,2,0.07906170785171823,0.08879788744675712,0.5,0.6980852136011881,0.08631360209597061,0.09437747026622534,0.5,0.6589517856377423,0.08631360209597061,0.09437747026622534,0.5,0.6589517856377423,0.17759320702426504,0.20277221945409618,0.5,-0.5743309206271183,0.10369458264485493,0.11727765709874911,0.5,0.47336504905531296,0.1547126096536145,0.18643779692590584,0.5,-0.3309049504631456,0.11688715875266636,0.1374038601782904,0.5,0.27710206632868906,-0.017380980548884317,-0.013192576107811438
extractant,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,2,0.09854544707731845,0.10068961149844635,0.5,-0.3633879643687101,0.09727943840637657,0.10069186826069888,0.5,-0.36344908044470814,0.09727943840637657,0.10069186826069888,0.5,-0.36344908044470814,0.08259653805726667,0.08845156456447087,0.5,-0.05211003775094114,0.09455821982230551,0.09741369846857799,0.5,-0.27611610662280595,0.08990259960702532,0.09124787701915425,0.5,-0.11968449249282465,0.09422402334217189,0.0959542410000748,0.5,-0.23816486069684362,0.002721218584071053,0.00033419648013362224
extractant,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,2,0.1127676397139025,0.11538673513557447,0.5,-2.768628841773287,0.10859755529186343,0.11307776542256742,0.5,-2.6193120805583487,0.11172511860839272,0.11475882686287754,0.5,-2.727724405978976,0.07489763040310715,0.07995528922713607,0.5,-0.8095308615078087,0.10330013738620365,0.10392042131171397,0.5,-2.056844836034557,0.06757848895954821,0.08332260876245866,0.5,-0.9651572817286269,0.1014703520253139,0.10165644407532835,0.5,-1.925104765176854,0.00842498122218907,0.001829785360889749
