,,,err__zero_shot,err__zero_shot,err__conditional,err__conditional,err__rescale,err__rescale,err__no_model_linear,err__no_model_linear
,,,mean,size,mean,size,mean,size,mean,size
arm,support_design,support_dz,,,,,,,,
B1_MEAN_CURVE,widest,4,0.2713946535674449,430,0.17690849617504859,430,0.25852251526099806,430,0.18187708816194018,430
B1_MEAN_CURVE,widest,5,0.3148873313997534,3130,0.1576025854527549,3130,0.2143729943559264,3130,0.1304210271382118,3130
B1_MEAN_CURVE,widest,6,0.45507812740686143,835,0.20175752132987382,835,0.29332974053097266,835,0.1880723993621521,835
B1_MEAN_CURVE,widest,7,0.21272591978027422,6750,0.1247428559611119,6750,0.20181173807819996,6750,0.11490416603708868,6750
B1_MEAN_CURVE,widest,8,0.4213905293010439,395,0.32999220346934865,395,0.4075643973225827,395,0.3253430196666903,395
B1_MEAN_CURVE,widest,9,0.7417026802005928,1205,0.3593430923423926,1205,0.5917126799819901,1205,0.3410376232789681,1205
B1_MEAN_CURVE,widest,10,0.6054514784994042,1820,0.2510054547168278,1820,0.40214595931637587,1820,0.21383852511455015,1820
B1_MEAN_CURVE,widest,11,0.8177110209491756,175,0.23619522928223907,175,0.693972348689738,175,0.18946841376371543,175
B1_MEAN_CURVE,widest,12,0.7154105998515439,1975,0.28761525755094286,1975,0.5300711672973437,1975,0.2980924388447788,1975
B1_MEAN_CURVE,widest,13,0.6461684782090664,51070,0.2585010354209158,51070,0.4725192027235258,51070,0.25033513804344265,51070
V2_BAG4@lean,random,1,0.4434961887814734,36450,0.42715750642976347,36450,0.43714721765252734,36450,0.6273029778706137,36450
V2_BAG4@lean,random,2,0.4668996908600863,32139,0.41573228539556406,32139,0.4456835854072881,32139,0.47093665032514637,32139
V2_BAG4@lean,random,3,0.4258238344796215,25533,0.35604296033151567,25533,0.3945068775664854,25533,0.43360756792810085,25533
V2_BAG4@lean,random,4,0.44816006258433433,23991,0.34155904987180186,23991,0.3896405599209641,23991,0.3631792173606718,23991
V2_BAG4@lean,random,5,0.4365400522358411,19523,0.3192379440358529,19523,0.3741101101913919,19523,0.33050395272259236,19523
V2_BAG4@lean,random,6,0.4554135572869968,15987,0.30530551690051205,15987,0.3819398215820665,15987,0.3138116192135777,15987
V2_BAG4@lean,random,7,0.5186416354043734,13075,0.31881181695503125,13075,0.4266818317724516,13075,0.3267705694450852,13075
V2_BAG4@lean,random,8,0.48112927457867644,10548,0.2756386377429136,10548,0.36269281130379327,10548,0.2701418953676137,10548
V2_BAG4@lean,random,9,0.4920464711191437,8345,0.29529423879126765,8345,0.38256332780824837,8345,0.2792720686353393,8345
V2_BAG4@lean,random,10,0.4798542643315276,7033,0.25612193027513036,7033,0.33789926813215765,7033,0.25909002347515486,7033
V2_BAG4@lean,random,11,0.47830801863721323,6178,0.2654580270766038,6178,0.3560224715074151,6178,0.2503725638363015,6178
V2_BAG4@lean,random,12,0.49218337020370545,3133,0.2813949624355406,3133,0.353824553285666,3133,0.2760179415578419,3133
V2_BAG4@lean,random,13,0.47538408203090105,2500,0.2346504165188703,2500,0.34498800271942326,2500,0.23894868737217959,2500
V2_BAG4@lean,widest,2,0.1093384583599351,60,0.07068479294197046,60,0.10715227916937571,60,0.10675558685738455,60
V2_BAG4@lean,widest,3,0.2899738288428477,300,0.21765905863330667,300,0.2475793666697206,300,0.17616098660946453,300
V2_BAG4@lean,widest,4,0.250959743702612,430,0.18877375463561055,430,0.24498990239174445,430,0.18187708816194018,430
V2_BAG4@lean,widest,5,0.26491235059059215,3130,0.15751137673460108,3130,0.21310688779327544,3130,0.1304210271382118,3130
V2_BAG4@lean,widest,6,0.35087291224660394,835,0.20178542867889573,835,0.25231353878452334,835,0.1880723993621521,835
V2_BAG4@lean,widest,7,0.21948176253658513,6750,0.1135126373093872,6750,0.17270308288097178,6750,0.11490416603708868,6750
V2_BAG4@lean,widest,8,0.30814377414677624,395,0.25636858213106256,395,0.29344067440942373,395,0.3253430196666903,395
V2_BAG4@lean,widest,9,0.6607075436249628,1205,0.3769790147613657,1205,0.5548511753765818,1205,0.3410376232789681,1205
V2_BAG4@lean,widest,10,0.39831147558721913,1820,0.24105741149444304,1820,0.31487745809110607,1820,0.21383852511455015,1820
V2_BAG4@lean,widest,11,0.6517031227942869,175,0.23385601747147255,175,0.37921912529631147,175,0.18946841376371543,175
