context,candidate_index,inner_fold_count,inner_split_seed,max_features,min_samples_leaf,inner_macro_group_mae,inner_r2,inner_mae,selected,2d_ensemble_weight,delta3d_weight,simplicial_weight,inner_group_balanced_r2,raw_selected,selected_after_gate
outer_2:2d_second_unshrunk,2.0,3.0,150377.0,1.0,4.0,0.14164745498998974,0.03129952912859291,0.12407087194486269,False,,,,,,
outer_2:delta3d_unshrunk,0.0,3.0,150377.0,0.35,2.0,0.13955798256832486,0.08561169153371606,0.1229475661153149,True,,,,,,
outer_2:delta3d_unshrunk,1.0,3.0,150377.0,0.7,2.0,0.14681953514095347,0.036013651852988104,0.12452213133582174,False,,,,,,
outer_2:delta3d_unshrunk,2.0,3.0,150377.0,1.0,4.0,0.14458302582609214,0.039066672079966724,0.1255220601031159,False,,,,,,
outer_2:2d_ensemble_weight,,,,,,0.13012035294597382,0.07353702035432419,0.12029336785499245,True,0.0,,,,,
outer_2:2d_ensemble_weight,,,,,,0.13024888610900062,0.0786791959025499,0.12021853006628475,False,0.25,,,,,
outer_2:2d_ensemble_weight,,,,,,0.1303984738535054,0.0830556745988249,0.1201799988391192,False,0.5,,,,,
outer_2:2d_ensemble_weight,,,,,,0.13055298549714997,0.08666645644314896,0.12018663315437865,False,0.75,,,,,
outer_2:2d_ensemble_weight,,,,,,0.130722703914003,0.08951154143552242,0.1202377945785678,False,1.0,,,,,
outer_2:delta3d_weight,,,,,,0.13012035294597382,0.07353702035432419,0.12029336785499245,True,,0.0,,,,
outer_2:delta3d_weight,,,,,,0.13051821379025316,0.08854264313436555,0.11962948106380195,False,,0.25,,,,
outer_2:delta3d_weight,,,,,,0.13283465073299497,0.0955569625909446,0.11997036750340163,False,,0.5,,,,
outer_2:delta3d_weight,,,,,,0.1358842338646916,0.09457997872406143,0.12109681060775783,False,,0.75,,,,
outer_2:delta3d_weight,,,,,,0.13955798256832486,0.08561169153371606,0.1229475661153149,False,,1.0,,,,
outer_2:simplicial_weight,,,,,,0.13012035294597382,0.07353702035432419,,,,,0.0,0.08376327819959128,True,True
outer_2:simplicial_weight,,,,,,0.13012599972498806,0.12906511534032905,,,,,0.25,0.12722504778081978,False,False
outer_2:simplicial_weight,,,,,,0.1348237949481743,0.1001365262772681,,,,,0.5,0.11275650041345442,False,False
outer_2:simplicial_weight,,,,,,0.14241378069405838,-0.013248746834858771,,,,,0.75,0.04035763609749499,False,False
outer_2:simplicial_weight,,,,,,0.15289084593617527,-0.2110907039960508,,,,,1.0,-0.08997154516705841,False,False
outer_3:baseline,0.0,3.0,160384.0,0.35,2.0,0.15652838575279826,-0.034038935208064336,0.13649473985021787,True,,,,,,
outer_3:baseline,1.0,3.0,160384.0,0.7,2.0,0.16746693176696734,-0.18340804669795707,0.15021509119936732,False,,,,,,
outer_3:baseline,2.0,3.0,160384.0,1.0,4.0,0.17966019943009695,-0.15497592248794345,0.14827300251599013,False,,,,,,
outer_3:2d_second_unshrunk,0.0,3.0,160384.0,0.35,2.0,0.1570722713481973,-0.0377979156574757,0.13748089479934544,True,,,,,,
outer_3:2d_second_unshrunk,1.0,3.0,160384.0,0.7,2.0,0.16767483193246616,-0.18760748300586805,0.15026505004231944,False,,,,,,
outer_3:2d_second_unshrunk,2.0,3.0,160384.0,1.0,4.0,0.18041294956052556,-0.14223058308414926,0.14687099532435252,False,,,,,,
outer_3:delta3d_unshrunk,0.0,3.0,160384.0,0.35,2.0,0.15184195658011976,0.07513778601284815,0.12892321882462465,True,,,,,,
outer_3:delta3d_unshrunk,1.0,3.0,160384.0,0.7,2.0,0.15629321878685595,0.046946317368392054,0.13216097216797482,False,,,,,,
outer_3:delta3d_unshrunk,2.0,3.0,160384.0,1.0,4.0,0.1598614540454816,0.0285488603357561,0.1334947145840603,False,,,,,,
outer_3:2d_ensemble_weight,,,,,,0.15652838575279826,-0.034038935208064336,0.13649473985021787,True,0.0,,,,,
outer_3:2d_ensemble_weight,,,,,,0.15663980085789242,-0.03433113262537302,0.13669778894361845,False,0.25,,,,,
outer_3:2d_ensemble_weight,,,,,,0.15677531026966185,-0.03505502850604447,0.13692988423440697,False,0.5,,,,,
outer_3:2d_ensemble_weight,,,,,,0.156923198522626,-0.0362106228500787,0.13719911103028978,False,0.75,,,,,
outer_3:2d_ensemble_weight,,,,,,0.1570722713481973,-0.0377979156574757,0.13748089479934544,False,1.0,,,,,
outer_3:delta3d_weight,,,,,,0.15652838575279826,-0.034038935208064336,0.13649473985021787,False,,0.0,,,,
outer_3:delta3d_weight,,,,,,0.153110833186139,0.011191887270086465,0.132857417506788,False,,0.25,,,,
outer_3:delta3d_weight,,,,,,0.15134097238837457,0.04446494829962222,0.13020940432461453,False,,0.5,,,,
outer_3:delta3d_weight,,,,,,0.15107708454447757,0.06578024788054271,0.12906703409561754,True,,0.75,,,,
outer_3:delta3d_weight,,,,,,0.15184195658011976,0.07513778601284815,0.12892321882462465,False,,1.0,,,,
outer_3:simplicial_weight,,,,,,0.15107708454447757,0.06578024788054271,,,,,0.0,0.08758108667043008,False,True
outer_3:simplicial_weight,,,,,,0.14968939269825265,0.119710270871065,,,,,0.25,0.11287657582467658,True,False
outer_3:simplicial_weight,,,,,,0.15430193790304156,0.08655704824760846,,,,,0.5,0.08066620070525143,False,False
outer_3:simplicial_weight,,,,,,0.16163210302428768,-0.03367941998982693,,,,,0.75,-0.009050038687845152,False,False
outer_3:simplicial_weight,,,,,,0.17223269329611096,-0.24099913384124094,,,,,1.0,-0.15627214235461384,False,False
outer_4:baseline,0.0,3.0,170391.0,0.35,2.0,0.11071802236563628,-0.027626852469113894,0.12870059693387864,True,,,,,,
outer_4:baseline,1.0,3.0,170391.0,0.7,2.0,0.11570164964221676,-0.17637535642326085,0.14041825217948053,False,,,,,,
outer_4:baseline,2.0,3.0,170391.0,1.0,4.0,0.11544480595765706,-0.03129757017947177,0.1253762036420358,False,,,,,,
outer_4:2d_second_unshrunk,0.0,3.0,170391.0,0.35,2.0,0.11178412740857277,-0.04296754535952285,0.1303428892977841,True,,,,,,
outer_4:2d_second_unshrunk,1.0,3.0,170391.0,0.7,2.0,0.11518295079678724,-0.14357369794220198,0.13753951652913715,False,,,,,,
outer_4:2d_second_unshrunk,2.0,3.0,170391.0,1.0,4.0,0.11508498965465719,-0.035196340932667214,0.12612088827148332,False,,,,,,
outer_4:delta3d_unshrunk,0.0,3.0,170391.0,0.35,2.0,0.11330746389193708,0.09102563802704577,0.11906034714977214,True,,,,,,
outer_4:delta3d_unshrunk,1.0,3.0,170391.0,0.7,2.0,0.11436978178268026,0.04926671895322632,0.11958577224091628,False,,,,,,
outer_4:delta3d_unshrunk,2.0,3.0,170391.0,1.0,4.0,0.11339457095819826,0.06299311562576804,0.11877871067552148,False,,,,,,
outer_4:2d_ensemble_weight,,,,,,0.11071802236563628,-0.027626852469113894,0.12870059693387864,True,0.0,,,,,
outer_4:2d_ensemble_weight,,,,,,0.11093373881057829,-0.030719185332526155,0.12903649505438716,False,0.25,,,,,
outer_4:2d_ensemble_weight,,,,,,0.11117880397070519,-0.03430674510206533,0.12943644727166662,False,0.5,,,,,
outer_4:2d_ensemble_weight,,,,,,0.11146886021460954,-0.038389531777730745,0.12987827482466582,False,0.75,,,,,
outer_4:2d_ensemble_weight,,,,,,0.11178412740857277,-0.04296754535952285,0.1303428892977841,False,1.0,,,,,
outer_4:delta3d_weight,,,,,,0.11071802236563628,-0.027626852469113894,0.12870059693387864,False,,0.0,,,,
outer_4:delta3d_weight,,,,,,0.10982333927190213,0.019444873038373722,0.12497886440085224,True,,0.25,,,,
outer_4:delta3d_weight,,,,,,0.11034601344387986,0.05491086329022932,0.12230095642013958,False,,0.5,,,,
outer_4:delta3d_weight,,,,,,0.11149633416573752,0.07877111828645356,0.1204064595321098,False,,0.75,,,,
outer_4:delta3d_weight,,,,,,0.11330746389193708,0.09102563802704577,0.11906034714977214,False,,1.0,,,,
outer_4:simplicial_weight,,,,,,0.10982333927190213,0.019444873038373722,,,,,0.0,0.176034364582617,True,True
outer_4:simplicial_weight,,,,,,0.10987802928232053,0.09171718225887415,,,,,0.25,0.18648325622298134,False,False
outer_4:simplicial_weight,,,,,,0.11447591235147216,0.10696672663492413,,,,,0.5,0.14827907020095432,False,False
outer_4:simplicial_weight,,,,,,0.12242933804269927,0.06519350616652342,,,,,0.75,0.06142180651653628,False,False
outer_4:simplicial_weight,,,,,,0.1331415672812892,-0.033602479146327635,,,,,1.0,-0.07408853483027311,False,False
