arm,policy,k,form,lam,n_configs_screened,macro_selection,macro_k0_selection,delta_selection
PAIRMEAN_baseline,random,1,scale,0.1,24,0.31727010561216695,0.4504111134676819,0.13314100785551497
PAIRMEAN_baseline,random,2,trend,0.1,24,0.2703250591822538,0.4504111134676819,0.18008605428542812
PAIRMEAN_baseline,random,3,trend,0.1,24,0.24050947239360881,0.4504111134676819,0.2099016410740731
PAIRMEAN_baseline,random,5,trend,0.1,24,0.21368309337394145,0.4504111134676819,0.23672802009374047
PAIRMEAN_baseline,random,10,trend,0.1,24,0.19802955155148536,0.4504111134676819,0.25238156191619654
PAIRMEAN_baseline,widest,1,scale,1.0,24,0.24258466764402184,0.40437188831076254,0.1617872206667407
PAIRMEAN_baseline,widest,2,trend,0.3,24,0.21791629674560548,0.40437188831076254,0.18645559156515706
PAIRMEAN_baseline,widest,3,trend,0.3,24,0.20850272377198253,0.40437188831076254,0.19586916453878
PAIRMEAN_baseline,widest,5,trend,0.3,24,0.20181269208309077,0.40437188831076254,0.20255919622767177
PAIRMEAN_baseline,widest,10,trend,0.3,24,0.19164273204005672,0.40437188831076254,0.21272915627070582
ZERO,adjacent,1,affine,0.03,24,0.6871095824234498,0.7745238817034736,0.08741429928002387
ZERO,adjacent,2,affine,0.03,24,0.6765846893145676,0.7745238817034736,0.09793919238890603
ZERO,adjacent,3,affine,0.03,24,0.6729430868649582,0.7745238817034736,0.10158079483851545
ZERO,adjacent,5,trend,0.3,24,0.622989420540058,0.7745238817034736,0.15153446116341562
ZERO,adjacent,10,trend,0.1,24,0.44763489520829547,0.7745238817034736,0.32688898649517817
ZERO,cross_condition,1,affine,3.0,24,0.3765875267423502,0.4205794635271761,0.043991936784825936
ZERO,cross_condition,2,trend,0.3,24,0.30882758289215656,0.4205794635271761,0.11175188063501956
ZERO,cross_condition,3,trend,0.1,24,0.2764399774294528,0.4205794635271761,0.1441394860977233
ZERO,cross_condition,5,trend,0.1,24,0.2608957813481493,0.4205794635271761,0.15968368217902684
ZERO,cross_condition,10,trend,0.03,24,0.25110333621979863,0.4205794635271761,0.1694761273073775
ZERO,foreign,1,affine,3.0,24,0.6154469639208099,0.6439103827276694,0.02846341880685954
ZERO,foreign,2,trend,1.0,24,0.5692137188289206,0.6439103827276694,0.07469666389874885
ZERO,foreign,3,trend,1.0,24,0.5569136218090205,0.6439103827276694,0.08699676091864894
ZERO,foreign,5,trend,1.0,24,0.5489559886972829,0.6439103827276694,0.09495439403038652
ZERO,foreign,10,trend,1.0,24,0.5438983851204602,0.6439103827276694,0.10001199760720925
ZERO,random,1,affine,1.0,24,0.5308586572377829,0.6499994846883067,0.11914082745052379
ZERO,random,2,trend,0.1,24,0.3778670824238818,0.6499994846883067,0.2721324022644249
ZERO,random,3,trend,0.1,24,0.3235837318125131,0.6499994846883067,0.3264157528757936
ZERO,random,5,trend,0.03,24,0.29706941703304696,0.6499994846883067,0.35293006765525975
ZERO,random,10,trend,0.03,24,0.2793456390512915,0.6499994846883067,0.3706538456370152
ZERO,widest,1,affine,3.0,24,0.4048863341928147,0.5844827679855297,0.17959643379271495
ZERO,widest,2,trend,0.03,24,0.33831650088332027,0.5844827679855297,0.2461662671022094
ZERO,widest,3,trend,0.03,24,0.3362960928499469,0.5844827679855297,0.2481866751355828
ZERO,widest,5,trend,0.03,24,0.3261736334128858,0.5844827679855297,0.2583091345726439
ZERO,widest,10,trend,0.3,24,0.31791602588475243,0.5844827679855297,0.26656674210077724
