arm,seed,policy,form,lam,k,n_ext,n_rows,n_rows_free,n_draws,macro_mae,macro_mae_draw_sd,macro_mae_free,pooled_mae,pooled_r2,macro_r2_median,dispersion_ratio,sign_acc,reject_frac
A2_refit_TP,262147,adjacent,offset,0.1,5,32,6362.0,5977.2,20,0.3071770104134359,0.0071594269106086085,0.35424633820770135,0.4116225971794526,0.3765034795670435,0.4581770214737498,0.7335700036119956,0.8553913863564917,0.0
A2_refit_TP,262147,adjacent,offset,0.1,10,32,6362.0,5977.2,20,0.301741844656411,0.005090039555086624,0.3505397858195109,0.4072227327196737,0.38383883310574546,0.46917148585638796,0.7275511459744006,0.8624724929267525,0.0
A2_refit_TP,262147,adjacent,offset,0.3,1,32,6362.0,5977.2,20,0.33264597289084596,0.01847091379007982,0.380250700541151,0.4326761890238885,0.34058847759320965,0.4118684882800423,0.7406280053002062,0.8304385413392016,0.0
A2_refit_TP,262147,adjacent,offset,0.3,2,32,6362.0,5977.2,20,0.32529925933069354,0.015648842087502227,0.3710940157847269,0.4282326674409168,0.34371086674248386,0.4124880024568783,0.7399798218727806,0.8305485696321911,0.0
A2_refit_TP,262147,adjacent,offset,0.3,3,32,6362.0,5977.2,20,0.3152123735514405,0.010215857985935313,0.36070053272485275,0.415385863170828,0.3708113989886397,0.44639975543384275,0.7348981926061603,0.850565859792518,0.0
A2_refit_TP,262147,adjacent,offset,0.3,5,32,6362.0,5977.2,20,0.3078692168626781,0.006992146766125684,0.35516886355955996,0.41216571011714953,0.3746051713927876,0.4570086505249399,0.7329730937477371,0.8556978937441055,0.0
A2_refit_TP,262147,adjacent,offset,0.3,10,32,6362.0,5977.2,20,0.3022734540647485,0.005049198161653187,0.3511691709021043,0.40765044332936895,0.38261009057720535,0.46810992435944765,0.7274141890145224,0.8625903803835271,0.0
A2_refit_TP,262147,adjacent,offset,1.0,1,32,6362.0,5977.2,20,0.3288899416886242,0.012461939965774294,0.37864630685702205,0.42876950814305087,0.3392171320517006,0.4054681367510221,0.7312159818891241,0.8428560201194593,0.0
A2_refit_TP,262147,adjacent,offset,1.0,2,32,6362.0,5977.2,20,0.3248036347189124,0.01247306409912511,0.3726865736724411,0.4272228526824211,0.3411557678875315,0.40650808124812665,0.7343790666681453,0.8404746934926124,0.0
A2_refit_TP,262147,adjacent,offset,1.0,3,32,6362.0,5977.2,20,0.3169744306552461,0.008890703970331714,0.36396082116426687,0.4172424049974562,0.36315307982658107,0.4389018216797422,0.731862178140281,0.8535130462118831,0.0
A2_refit_TP,262147,adjacent,offset,1.0,5,32,6362.0,5977.2,20,0.31015482382944215,0.006503274539157312,0.35812445189141884,0.4139818894618511,0.36857317346671886,0.4546811939008021,0.7314054627508955,0.8574111914492297,0.0
A2_refit_TP,262147,adjacent,offset,1.0,10,32,6362.0,5977.2,20,0.3040346316232877,0.004909905663089115,0.3532451041816324,0.40907596146075303,0.3785763167882915,0.46531204529120995,0.7270223142149749,0.862653253693807,0.0
A2_refit_TP,262147,adjacent,offset,3.0,1,32,6362.0,5977.2,20,0.3306406839833919,0.006338344310723739,0.3826626876303988,0.4306519858523424,0.32699347103459875,0.40629203871409975,0.7278750756396419,0.8519490726186734,0.0
A2_refit_TP,262147,adjacent,offset,3.0,2,32,6362.0,5977.2,20,0.32728633579086297,0.008061653721817311,0.3778098505392268,0.4289315085498955,0.33163400532718423,0.4061822269369741,0.7299778072013021,0.8486875196479093,0.0
A2_refit_TP,262147,adjacent,offset,3.0,3,32,6362.0,5977.2,20,0.32166460122888085,0.006543647250610082,0.3709558626686192,0.4219802517970502,0.3476949080249967,0.4282734565045838,0.7289136335559356,0.8571439798805407,0.0
