arm,policy,k,form,lam,is_control,macro_k0_confirm,macro_confirm,delta_mean_confirm,delta_mean_incl_selection,positive_confirm_seeds,seed_delta_spread,per_seed_delta,pooled_mae_k0_confirm,pooled_mae_confirm,boot_delta_confirm,ci95_low,ci95_high,p_worse_one_sided,extractants_improved,n_extractants,holm_family_size,holm_p_one_sided,passes_rule
A2_refit_TP,adjacent,10,trend,0.03,False,0.3780251607802582,0.23699406085953725,0.141031099920721,0.13988336510000762,4,0.02723153357136099,104729:+0.1353;130363:+0.1272;155921:+0.1378;196613:+0.1545;262147:+0.1446,0.43384260179662526,0.3586233890445204,0.14103109992072096,0.07976172714133159,0.21064667671610826,0.0001999600079984003,22,27,80,0.015996800639872025,True
A2_refit_TP,cross_condition,1,scale,0.1,False,0.3784993801261292,0.32747649327185163,0.05102288685427754,0.048311069635892656,4,0.052801547722830855,104729:+0.0375;130363:+0.0303;155921:+0.0322;196613:+0.0831;262147:+0.0585,0.4054654796616043,0.3455658009455479,0.051022886854277534,0.002014685020448134,0.11015277469583756,0.019596080783843232,8,12,80,0.13717256548690263,False
A2_refit_TP,cross_condition,2,trend,0.3,False,0.3784993801261292,0.2918177121636234,0.08668166796250583,0.08414218285508995,4,0.026964231793945803,104729:+0.0740;130363:+0.0866;155921:+0.0755;196613:+0.1009;262147:+0.0837,0.4054654796616043,0.3079502631762377,0.0866816679625058,0.019005118264134716,0.17608228634678844,0.0001999600079984003,9,12,80,0.015996800639872025,True
A2_refit_TP,cross_condition,3,trend,0.1,False,0.3784993801261292,0.2773020085318663,0.10119737159426287,0.09923970720885197,4,0.03835923310634276,104729:+0.0914;130363:+0.0978;155921:+0.0870;196613:+0.1254;262147:+0.0946,0.4054654796616043,0.28378542307519516,0.10119737159426286,0.019314934875970788,0.20666247870981136,0.001799640071985603,8,12,80,0.03779244151169766,True
A2_refit_TP,cross_condition,5,trend,0.3,False,0.3784993801261292,0.2589070585991875,0.11959232152694173,0.11570382281651406,4,0.050236923364655045,104729:+0.1001;130363:+0.1104;155921:+0.1042;196613:+0.1504;262147:+0.1134,0.4054654796616043,0.2628697772423851,0.11959232152694171,0.04016194730230696,0.2253244721305464,0.0001999600079984003,11,12,80,0.015996800639872025,True
A2_refit_TP,cross_condition,10,trend,0.3,False,0.3784993801261292,0.24133347510150036,0.13716590502462883,0.1307269431487948,4,0.05425628694913737,104729:+0.1050;130363:+0.1277;155921:+0.1343;196613:+0.1592;262147:+0.1275,0.4054654796616043,0.24480520015215176,0.1371659050246288,0.04694139447821669,0.24809623894746735,0.0001999600079984003,12,12,80,0.015996800639872025,True
A2_refit_TP,foreign,1,scale,10.0,True,0.31175321045452276,0.3133110169385046,-0.0015578064839818773,-0.001670729787263625,0,0.0007934982049230266,104729:-0.0021;130363:-0.0013;155921:-0.0016;196613:-0.0015;262147:-0.0018,0.425344424942616,0.42616997517186606,-0.0015578064839818794,-0.0027194753384930624,-0.0005887506770985514,0.9994001199760048,8,32,80,,False
A2_refit_TP,foreign,2,scale,10.0,True,0.31175321045452276,0.3154232558186333,-0.0036700453641105163,-0.0038561247448436033,0,0.001273681075775912,104729:-0.0046;130363:-0.0035;155921:-0.0040;196613:-0.0033;262147:-0.0039,0.425344424942616,0.42733802190757086,-0.0036700453641105293,-0.005985330666898121,-0.001645513367149664,1.0,6,32,80,,False
A2_refit_TP,foreign,3,scale,10.0,True,0.31175321045452276,0.31765477432613537,-0.005901563871612614,-0.005584992749813578,0,0.0021382819967861177,104729:-0.0043;130363:-0.0065;155921:-0.0061;196613:-0.0055;262147:-0.0055,0.425344424942616,0.4284560128045694,-0.005901563871612624,-0.009297190067221114,-0.0029379315342109996,1.0,6,32,80,,False
A2_refit_TP,foreign,5,scale,10.0,True,0.31175321045452276,0.3213159889433855,-0.009562778488862722,-0.00910664874375695,0,0.0028802757907570586,104729:-0.0073;130363:-0.0095;155921:-0.0102;196613:-0.0090;262147:-0.0096,0.425344424942616,0.43060514665538857,-0.009562778488862715,-0.014780652539310945,-0.005109958779783962,1.0,7,32,80,,False
A2_refit_TP,foreign,10,scale,10.0,True,0.31175321045452276,0.3295553648816654,-0.01780215442714271,-0.01794346867112436,0,0.0018332728381608154,104729:-0.0185;130363:-0.0190;155921:-0.0171;196613:-0.0175;262147:-0.0176,0.425344424942616,0.4344969056760958,-0.017802154427142693,-0.0270402543176279,-0.009765321893656252,1.0,6,32,80,,False
A2_refit_TP,random,1,scale,0.1,False,0.332704558990605,0.28089788534714794,0.05180667364345705,0.05328641547554881,4,0.010998310899474506,104729:+0.0592;130363:+0.0522;155921:+0.0529;196613:+0.0539;262147:+0.0482,0.425344424942616,0.40294073202253705,0.02586539529658493,-0.02931094232924466,0.07084681429716405,0.15896820635872824,21,32,80,0.3139372125574885,False
A2_refit_TP,random,2,scale,0.1,False,0.332704558990605,0.2516585559697014,0.08104600302090359,0.08237337160245725,4,0.019688003721198916,104729:+0.0877;130363:+0.0695;155921:+0.0876;196613:+0.0892;262147:+0.0779,0.425344424942616,0.3927635269202805,0.05749761264069217,0.0076143308906322605,0.10509543470917733,0.01279744051189762,23,32,80,0.1279744051189762,False
A2_refit_TP,random,3,trend,0.03,False,0.332704558990605,0.22321732277914447,0.10948723621146049,0.11034524702799456,4,0.02610650343217316,104729:+0.1138;130363:+0.0948;155921:+0.1156;196613:+0.1209;262147:+0.1066,0.425344424942616,0.37967238812483883,0.06901412016616365,-0.01632750240037523,0.14040788395123602,0.05078984203159368,24,32,80,0.15236952609478105,False
A2_refit_TP,random,5,trend,0.03,False,0.332704558990605,0.19573248688188352,0.13697207210872148,0.1379126986828179,4,0.021508536447072124,104729:+0.1417;130363:+0.1266;155921:+0.1390;196613:+0.1481;262147:+0.1342,0.425344424942616,0.34566665358955473,0.10004205963557786,0.027932235982061307,0.1703532729279398,0.0057988402319536095,25,32,80,0.08698260347930414,False
A2_refit_TP,random,10,trend,0.03,False,0.332704558990605,0.1756531342924348,0.1570514246981702,0.15786912721819082,4,0.020650496741114077,104729:+0.1611;130363:+0.1456;155921:+0.1595;196613:+0.1663;262147:+0.1568,0.425344424942616,0.31049742328098545,0.12319196374500298,0.055513020752979585,0.1888327664083415,0.0001999600079984003,29,32,80,0.015996800639872025,True
