design,check,point,ci_low,ci_high,p_two_sided,p_perm_leadseed,p_perm_altseed,p_perm_per_seed_max,null_sd_pooled,null_sd_single_seed,n_tasks,n_ext,n_blocks,extra1,extra2,extra3,loco_min,loco_max,worst_block
A,e_random_e_model,2.4915092721446888,,,,,,,,,,,,6.905645338426908,4.41413606628222,0.36079311201815206,,,
A,saved_heavy,0.7008260490377355,,,,,,,,,,,,,,,,,
A,saved_light,4.282192495251642,,,,,,,,,,,,,,,,,
A,drop_sc009_diglycolamides,1.7036497146645004,0.5079905251191867,2.6407864527653695,0.011,,0.0,,,,455.0,67.0,44.0,,,,,,
A,sc009_only,0.6004735917658212,,,,,,,,,455.0,23.0,1.0,,,,,,
A,width_matched_nmetals_hi,0.03849932632904096,,,,,,,,,455.0,90.0,,,,,,,
A,width_matched_nmetals_lo,-1.0549812346600353,,,,,,,,,455.0,90.0,,,,,,,
A,width_matched_dentate_hi,1.4784029338389784,,,,,,,,,455.0,90.0,,,,,,,
A,width_matched_absa_hi,-0.8152846703438545,,,,,,,,,455.0,90.0,,,,,,,
A,cand_nmetals_5_8,0.5543204648886466,,,,,,,,,330.0,26.0,16.0,,,,,,
A,cand_nmetals_9_14,2.142085464568882,,,,,,,,,455.0,52.0,27.0,,,,,,
A,call_collapsed_to_chemotype,2.011308138963047,,,,,,,,,455.0,90.0,,,,,,,
A,loco_chemotype,2.4915092721446888,,,,,,,,,,,45.0,,,,1.7036497146645009,3.0549015635054664,sc009
A,lopo_publication,2.4915092721446888,,,,,,,,,,,58.0,,,,1.7936872109127742,2.9209550737095435,pub_126bbe7976
A,publication_blocked_bootstrap,2.4915092721446888,0.834044044345464,4.401371852484396,0.006,,,,,,,,41.0,,,,,,
A,pair_bootstrap,2.4915092721446888,2.080789038464019,2.946596406357487,0.0,,,,,,,,91.0,,,,,,
A,leave_one_metal_out,2.4915092721446888,,,,,,,,,,,14.0,,,,2.2896329491747407,2.6484169363724925,Yb
A,band_cands_le_q1,2.3597807976600236,,,,,,,,,140.0,,,,,,,,
A,band_cands_mid,2.409993340401464,,,,,,,,,215.0,,,,,,,,
A,band_cands_gt_q3,2.851188389671153,,,,,,,,,100.0,,,,,,,,
A,strong_threshold_0.2,1.8300071831276028,0.66769051782149,3.418582187563907,,,,,,,,,,,,,,,
A,strong_threshold_0.3,2.4915092721446888,0.7708890886974877,4.544156307830471,,,,,,,,,,,,,,,
A,strong_threshold_0.5,3.247444922997591,1.0566981853936703,5.313070039737688,,,,,,,,,,,,,,,
A,strong_threshold_1.0,4.037121827433273,0.7069462885851511,5.904350057781755,,,,,,,,,,,,,,,
A,min_candidates_5,2.4915092721446888,,,,,,,,,455.0,,,,,,,,
A,min_candidates_10,2.4915092721446888,,,,,,,,,455.0,,,,,,,,
A,min_candidates_20,2.4915092721446888,,,,,,,,,455.0,,,,,,,,
A,seed_104729,2.416745768047979,,,,,,,,,91.0,,,,,,,,
A,seed_130363,2.5597197422282076,,,,,,,,,91.0,,,,,,,,
A,seed_155921,2.458986132957123,,,,,,,,,91.0,,,,,,,,
A,seed_196613,2.571311921180148,,,,,,,,,91.0,,,,,,,,
A,seed_262147,2.450782796309987,,,,,,,,,91.0,,,,,,,,
BP,headline,1.9882198208352135,0.442490226935938,3.7807742090797767,0.009,0.0,0.0,0.0,0.1480820666671483,0.33575233416935274,455.0,90.0,45.0,,,,,,
BP,e_random_e_model,1.9882198208352135,,,,,,,,,,,,6.905645338426908,4.917425517591694,0.2879122404059236,,,
BP,saved_heavy,0.32669338437245743,,,,,,,,,,,,,,,,,
BP,saved_light,3.64974625729797,,,,,,,,,,,,,,,,,
BP,drop_sc009_diglycolamides,1.45905979045688,0.2519674427429986,2.3459190772181278,0.023,,0.0,,,,455.0,67.0,44.0,,,,,,
BP,sc009_only,0.38587476485738825,,,,,,,,,455.0,23.0,1.0,,,,,,
BP,width_matched_nmetals_hi,-0.6770883457949146,,,,,,,,,455.0,90.0,,,,,,,
BP,width_matched_nmetals_lo,-0.9811800290975123,,,,,,,,,455.0,90.0,,,,,,,
BP,width_matched_dentate_hi,1.353818707457593,,,,,,,,,455.0,90.0,,,,,,,
BP,width_matched_absa_hi,-0.8098952987376891,,,,,,,,,455.0,90.0,,,,,,,
BP,cand_nmetals_5_8,0.2946198330289239,,,,,,,,,330.0,26.0,16.0,,,,,,
BP,cand_nmetals_9_14,1.751705479570677,,,,,,,,,455.0,52.0,27.0,,,,,,
BP,call_collapsed_to_chemotype,1.7668242796576,,,,,,,,,455.0,90.0,,,,,,,
BP,loco_chemotype,1.9882198208352135,,,,,,,,,,,45.0,,,,1.4590597904568805,2.5406098428345922,sc009
BP,lopo_publication,1.9882198208352135,,,,,,,,,,,58.0,,,,1.5064481087363433,2.4282746747567496,pub_126bbe7976
BP,publication_blocked_bootstrap,1.9882198208352135,0.45712480174047654,3.666222708148047,0.015,,,,,,,,41.0,,,,,,
BP,pair_bootstrap,1.9882198208352135,1.6244470031123874,2.351731188056252,0.0,,,,,,,,91.0,,,,,,
BP,leave_one_metal_out,1.9882198208352135,,,,,,,,,,,14.0,,,,1.8123097484093111,2.122224459287837,Nd
BP,band_cands_le_q1,1.87221111793385,,,,,,,,,140.0,,,,,,,,
BP,band_cands_mid,1.8076578698443662,,,,,,,,,215.0,,,,,,,,
BP,band_cands_gt_q3,2.5388401995274448,,,,,,,,,100.0,,,,,,,,
BP,strong_threshold_0.2,1.4923213115187406,0.42881879361105496,2.8110595525257933,,,,,,,,,,,,,,,
BP,strong_threshold_0.3,1.9882198208352135,0.442490226935938,3.7807742090797767,,,,,,,,,,,,,,,
BP,strong_threshold_0.5,2.644789869449279,0.6419122449847778,4.445374701466134,,,,,,,,,,,,,,,
BP,strong_threshold_1.0,3.8913807108607386,0.6759305469211077,5.657350311550698,,,,,,,,,,,,,,,
BP,min_candidates_5,1.9882198208352135,,,,,,,,,455.0,,,,,,,,
BP,min_candidates_10,1.9882198208352135,,,,,,,,,455.0,,,,,,,,
BP,min_candidates_20,1.9882198208352135,,,,,,,,,455.0,,,,,,,,
BP,seed_104729,1.1546835036571044,,,,,,,,,91.0,,,,,,,,
BP,seed_130363,2.4181018190375485,,,,,,,,,91.0,,,,,,,,
BP,seed_155921,2.242264260718333,,,,,,,,,91.0,,,,,,,,
BP,seed_196613,2.215193196863245,,,,,,,,,91.0,,,,,,,,
BP,seed_262147,1.9108563238998375,,,,,,,,,91.0,,,,,,,,
