g,macro_mae,arm
1.9,0.570120211704096,M_LOWRANK_K2
1.95,0.57831966096349,M_LOWRANK_K2
2.0,0.5868338065672699,M_LOWRANK_K2
0.8,0.4893968930696662,X_ENS_DIRECT+LOWRANK_K2
0.85,0.4866737691799191,X_ENS_DIRECT+LOWRANK_K2
0.9,0.4844232540230463,X_ENS_DIRECT+LOWRANK_K2
0.95,0.4825294699611563,X_ENS_DIRECT+LOWRANK_K2
1.0,0.48098083670010805,X_ENS_DIRECT+LOWRANK_K2
1.05,0.47978754220285813,X_ENS_DIRECT+LOWRANK_K2
1.1,0.47892426644688435,X_ENS_DIRECT+LOWRANK_K2
1.15,0.4784796628564839,X_ENS_DIRECT+LOWRANK_K2
1.2,0.4783855576474392,X_ENS_DIRECT+LOWRANK_K2
1.25,0.47860248742593187,X_ENS_DIRECT+LOWRANK_K2
1.3,0.4792738284116064,X_ENS_DIRECT+LOWRANK_K2
1.35,0.4803859490213793,X_ENS_DIRECT+LOWRANK_K2
1.4,0.4819028150559375,X_ENS_DIRECT+LOWRANK_K2
1.45,0.48381523495164946,X_ENS_DIRECT+LOWRANK_K2
1.5,0.48618810657611194,X_ENS_DIRECT+LOWRANK_K2
1.55,0.48895975656997825,X_ENS_DIRECT+LOWRANK_K2
1.6,0.49209397045767644,X_ENS_DIRECT+LOWRANK_K2
1.65,0.49561413384908226,X_ENS_DIRECT+LOWRANK_K2
1.7,0.4994947805022772,X_ENS_DIRECT+LOWRANK_K2
1.75,0.5037447322201211,X_ENS_DIRECT+LOWRANK_K2
1.8,0.5083638043824674,X_ENS_DIRECT+LOWRANK_K2
1.85,0.5133404277598699,X_ENS_DIRECT+LOWRANK_K2
1.9,0.5186367895780328,X_ENS_DIRECT+LOWRANK_K2
1.95,0.5242171197400272,X_ENS_DIRECT+LOWRANK_K2
2.0,0.5300322579115841,X_ENS_DIRECT+LOWRANK_K2
