full_arm,global_model,arm,k,mae,n_ligands
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL,1,0.8318047597214827,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@ORACLE[OFFSET_K1],3,0.5853289877759754,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@ORACLE[OFFSET_K1],5,0.5358032717291986,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@RANDOM,1,0.9459775028894392,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@RANDOM,2,0.7630663154930473,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@RANDOM,3,0.6700591572967497,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@RANDOM,5,0.5619447134754055,99
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL,1,0.8318047597214827,99
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL,2,0.7918850754543143,99
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL,3,0.7713157574750913,99
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL,5,0.7612714879985231,99
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL_THEN_SPREAD,1,0.8252974768084728,99
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL_THEN_SPREAD,2,0.8172571360213573,99
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL_THEN_SPREAD,3,0.7879096274409648,99
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,NO_MODEL@CENTRAL_THEN_SPREAD,5,0.7615849126435005,99
GEN9_A0_ROW_ONLY | NO_MODEL@D_OPTIMAL,GEN9_A0_ROW_ONLY,NO_MODEL@D_OPTIMAL,1,1.199971537757043,99
GEN9_A0_ROW_ONLY | NO_MODEL@D_OPTIMAL,GEN9_A0_ROW_ONLY,NO_MODEL@D_OPTIMAL,2,0.8623267800819991,99
GEN9_A0_ROW_ONLY | NO_MODEL@D_OPTIMAL,GEN9_A0_ROW_ONLY,NO_MODEL@D_OPTIMAL,3,0.825175852676328,99
GEN9_A0_ROW_ONLY | NO_MODEL@D_OPTIMAL,GEN9_A0_ROW_ONLY,NO_MODEL@D_OPTIMAL,5,0.7761169849969408,99
GEN9_A0_ROW_ONLY | NO_MODEL@MEDOID,GEN9_A0_ROW_ONLY,NO_MODEL@MEDOID,1,0.8252974768084728,99
GEN9_A0_ROW_ONLY | NO_MODEL@MEDOID,GEN9_A0_ROW_ONLY,NO_MODEL@MEDOID,2,0.7958143257403774,99
GEN9_A0_ROW_ONLY | NO_MODEL@MEDOID,GEN9_A0_ROW_ONLY,NO_MODEL@MEDOID,3,0.7792362829525142,99
GEN9_A0_ROW_ONLY | NO_MODEL@MEDOID,GEN9_A0_ROW_ONLY,NO_MODEL@MEDOID,5,0.7657437731812652,99
GEN9_A0_ROW_ONLY | NO_MODEL@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,NO_MODEL@ORACLE[OFFSET_K1],1,0.6980172866980532,99
GEN9_A0_ROW_ONLY | NO_MODEL@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,NO_MODEL@ORACLE[OFFSET_K1],2,0.6778735852580391,99
GEN9_A0_ROW_ONLY | NO_MODEL@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,NO_MODEL@ORACLE[OFFSET_K1],3,0.6760997167805204,99
GEN9_A0_ROW_ONLY | NO_MODEL@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,NO_MODEL@ORACLE[OFFSET_K1],5,0.6953877823847558,99
GEN9_A0_ROW_ONLY | NO_MODEL@RANDOM,GEN9_A0_ROW_ONLY,NO_MODEL@RANDOM,1,0.9459775028894392,99
GEN9_A0_ROW_ONLY | NO_MODEL@RANDOM,GEN9_A0_ROW_ONLY,NO_MODEL@RANDOM,2,0.8466128596341697,99
GEN9_A0_ROW_ONLY | NO_MODEL@RANDOM,GEN9_A0_ROW_ONLY,NO_MODEL@RANDOM,3,0.8014821783216913,99
GEN9_A0_ROW_ONLY | NO_MODEL@RANDOM,GEN9_A0_ROW_ONLY,NO_MODEL@RANDOM,5,0.7687039885593794,99
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL,GEN9_A0_ROW_ONLY,OFFSET_K1@CENTRAL,1,0.695813230095184,99
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL,GEN9_A0_ROW_ONLY,OFFSET_K1@CENTRAL,2,0.656133297509848,99
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL,GEN9_A0_ROW_ONLY,OFFSET_K1@CENTRAL,3,0.6356234966927582,99
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL,GEN9_A0_ROW_ONLY,OFFSET_K1@CENTRAL,5,0.6198880027594327,99
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,OFFSET_K1@CENTRAL_THEN_SPREAD,1,0.6914121748235981,99
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,OFFSET_K1@CENTRAL_THEN_SPREAD,2,0.6826220964771,99
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,OFFSET_K1@CENTRAL_THEN_SPREAD,3,0.6540486325992296,99
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,OFFSET_K1@CENTRAL_THEN_SPREAD,5,0.6274940658867004,99
GEN9_A0_ROW_ONLY | OFFSET_K1@D_OPTIMAL,GEN9_A0_ROW_ONLY,OFFSET_K1@D_OPTIMAL,1,0.9985706692142968,99
GEN9_A0_ROW_ONLY | OFFSET_K1@D_OPTIMAL,GEN9_A0_ROW_ONLY,OFFSET_K1@D_OPTIMAL,2,0.7214634054651249,99
GEN9_A0_ROW_ONLY | OFFSET_K1@D_OPTIMAL,GEN9_A0_ROW_ONLY,OFFSET_K1@D_OPTIMAL,3,0.6790533664277822,99
GEN9_A0_ROW_ONLY | OFFSET_K1@D_OPTIMAL,GEN9_A0_ROW_ONLY,OFFSET_K1@D_OPTIMAL,5,0.6349945562770579,99
GEN9_A0_ROW_ONLY | OFFSET_K1@MEDOID,GEN9_A0_ROW_ONLY,OFFSET_K1@MEDOID,1,0.6914121748235981,99
GEN9_A0_ROW_ONLY | OFFSET_K1@MEDOID,GEN9_A0_ROW_ONLY,OFFSET_K1@MEDOID,2,0.6626641320694958,99
GEN9_A0_ROW_ONLY | OFFSET_K1@MEDOID,GEN9_A0_ROW_ONLY,OFFSET_K1@MEDOID,3,0.6419840600849201,99
GEN9_A0_ROW_ONLY | OFFSET_K1@MEDOID,GEN9_A0_ROW_ONLY,OFFSET_K1@MEDOID,5,0.6237270790431844,99
GEN9_A0_ROW_ONLY | OFFSET_K1@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,OFFSET_K1@ORACLE[OFFSET_K1],1,0.5319345782162758,99
GEN9_A0_ROW_ONLY | OFFSET_K1@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,OFFSET_K1@ORACLE[OFFSET_K1],2,0.5290334684383576,99
GEN9_A0_ROW_ONLY | OFFSET_K1@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,OFFSET_K1@ORACLE[OFFSET_K1],3,0.5318938758955422,99
GEN9_A0_ROW_ONLY | OFFSET_K1@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,OFFSET_K1@ORACLE[OFFSET_K1],5,0.5518002686939923,99
GEN9_A0_ROW_ONLY | OFFSET_K1@RANDOM,GEN9_A0_ROW_ONLY,OFFSET_K1@RANDOM,1,0.7890345144640791,99
GEN9_A0_ROW_ONLY | OFFSET_K1@RANDOM,GEN9_A0_ROW_ONLY,OFFSET_K1@RANDOM,2,0.699336453873522,99
GEN9_A0_ROW_ONLY | OFFSET_K1@RANDOM,GEN9_A0_ROW_ONLY,OFFSET_K1@RANDOM,3,0.6600889670959064,99
GEN9_A0_ROW_ONLY | OFFSET_K1@RANDOM,GEN9_A0_ROW_ONLY,OFFSET_K1@RANDOM,5,0.6260919960680681,99
GEN9_A0_ROW_ONLY | OFFSET_K2@CENTRAL,GEN9_A0_ROW_ONLY,OFFSET_K2@CENTRAL,1,0.695813230095184,99
GEN9_A0_ROW_ONLY | OFFSET_K2@CENTRAL,GEN9_A0_ROW_ONLY,OFFSET_K2@CENTRAL,2,0.652161472627787,99
GEN9_A0_ROW_ONLY | OFFSET_K2@CENTRAL,GEN9_A0_ROW_ONLY,OFFSET_K2@CENTRAL,3,0.6207848003804105,99
GEN9_A0_ROW_ONLY | OFFSET_K2@CENTRAL,GEN9_A0_ROW_ONLY,OFFSET_K2@CENTRAL,5,0.5754565997498526,99
GEN9_A0_ROW_ONLY | OFFSET_K2@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,OFFSET_K2@CENTRAL_THEN_SPREAD,1,0.6914121748235981,99
GEN9_A0_ROW_ONLY | OFFSET_K2@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,OFFSET_K2@CENTRAL_THEN_SPREAD,2,0.6421849170302598,99
GEN9_A0_ROW_ONLY | OFFSET_K2@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,OFFSET_K2@CENTRAL_THEN_SPREAD,3,0.5965771738278975,99
GEN9_A0_ROW_ONLY | OFFSET_K2@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,OFFSET_K2@CENTRAL_THEN_SPREAD,5,0.5575222163062505,99
GEN9_A0_ROW_ONLY | OFFSET_K2@D_OPTIMAL,GEN9_A0_ROW_ONLY,OFFSET_K2@D_OPTIMAL,1,0.9985706692142968,99
GEN9_A0_ROW_ONLY | OFFSET_K2@D_OPTIMAL,GEN9_A0_ROW_ONLY,OFFSET_K2@D_OPTIMAL,2,0.6788968858253888,99
GEN9_A0_ROW_ONLY | OFFSET_K2@D_OPTIMAL,GEN9_A0_ROW_ONLY,OFFSET_K2@D_OPTIMAL,3,0.6141336002683452,99
GEN9_A0_ROW_ONLY | OFFSET_K2@D_OPTIMAL,GEN9_A0_ROW_ONLY,OFFSET_K2@D_OPTIMAL,5,0.5560307732295857,99
GEN9_A0_ROW_ONLY | OFFSET_K2@MEDOID,GEN9_A0_ROW_ONLY,OFFSET_K2@MEDOID,1,0.6914121748235981,99
GEN9_A0_ROW_ONLY | OFFSET_K2@MEDOID,GEN9_A0_ROW_ONLY,OFFSET_K2@MEDOID,2,0.6603059305840854,99
GEN9_A0_ROW_ONLY | OFFSET_K2@MEDOID,GEN9_A0_ROW_ONLY,OFFSET_K2@MEDOID,3,0.628362220323224,99
GEN9_A0_ROW_ONLY | OFFSET_K2@MEDOID,GEN9_A0_ROW_ONLY,OFFSET_K2@MEDOID,5,0.5805518974109957,99
GEN9_A0_ROW_ONLY | OFFSET_K2@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,OFFSET_K2@ORACLE[OFFSET_K1],1,0.5319345782162758,99
GEN9_A0_ROW_ONLY | OFFSET_K2@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,OFFSET_K2@ORACLE[OFFSET_K1],2,0.5227015388840032,99
GEN9_A0_ROW_ONLY | OFFSET_K2@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,OFFSET_K2@ORACLE[OFFSET_K1],3,0.516332144557698,99
GEN9_A0_ROW_ONLY | OFFSET_K2@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,OFFSET_K2@ORACLE[OFFSET_K1],5,0.51097965529477,99
GEN9_A0_ROW_ONLY | OFFSET_K2@RANDOM,GEN9_A0_ROW_ONLY,OFFSET_K2@RANDOM,1,0.7890345144640791,99
GEN9_A0_ROW_ONLY | OFFSET_K2@RANDOM,GEN9_A0_ROW_ONLY,OFFSET_K2@RANDOM,2,0.6792078563506266,99
GEN9_A0_ROW_ONLY | OFFSET_K2@RANDOM,GEN9_A0_ROW_ONLY,OFFSET_K2@RANDOM,3,0.6183565808182199,99
GEN9_A0_ROW_ONLY | OFFSET_K2@RANDOM,GEN9_A0_ROW_ONLY,OFFSET_K2@RANDOM,5,0.5616532564880948,99
GEN9_A0_ROW_ONLY | OFFSET_K3@CENTRAL,GEN9_A0_ROW_ONLY,OFFSET_K3@CENTRAL,1,0.695813230095184,99
GEN9_A0_ROW_ONLY | OFFSET_K3@CENTRAL,GEN9_A0_ROW_ONLY,OFFSET_K3@CENTRAL,2,0.6503738270753509,99
GEN9_A0_ROW_ONLY | OFFSET_K3@CENTRAL,GEN9_A0_ROW_ONLY,OFFSET_K3@CENTRAL,3,0.6141674633681473,99
GEN9_A0_ROW_ONLY | OFFSET_K3@CENTRAL,GEN9_A0_ROW_ONLY,OFFSET_K3@CENTRAL,5,0.5569641567310536,99
GEN9_A0_ROW_ONLY | OFFSET_K3@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,OFFSET_K3@CENTRAL_THEN_SPREAD,1,0.6914121748235981,99
GEN9_A0_ROW_ONLY | OFFSET_K3@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,OFFSET_K3@CENTRAL_THEN_SPREAD,2,0.606792773501498,99
GEN9_A0_ROW_ONLY | OFFSET_K3@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,OFFSET_K3@CENTRAL_THEN_SPREAD,3,0.5368104080352019,99
GEN9_A0_ROW_ONLY | OFFSET_K3@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,OFFSET_K3@CENTRAL_THEN_SPREAD,5,0.48927053749684063,99
GEN9_A0_ROW_ONLY | OFFSET_K3@D_OPTIMAL,GEN9_A0_ROW_ONLY,OFFSET_K3@D_OPTIMAL,1,0.9985706692142968,99
GEN9_A0_ROW_ONLY | OFFSET_K3@D_OPTIMAL,GEN9_A0_ROW_ONLY,OFFSET_K3@D_OPTIMAL,2,0.6397645639156877,99
GEN9_A0_ROW_ONLY | OFFSET_K3@D_OPTIMAL,GEN9_A0_ROW_ONLY,OFFSET_K3@D_OPTIMAL,3,0.5578928461559224,99
GEN9_A0_ROW_ONLY | OFFSET_K3@D_OPTIMAL,GEN9_A0_ROW_ONLY,OFFSET_K3@D_OPTIMAL,5,0.4855503941200015,99
GEN9_A0_ROW_ONLY | OFFSET_K3@MEDOID,GEN9_A0_ROW_ONLY,OFFSET_K3@MEDOID,1,0.6914121748235981,99
GEN9_A0_ROW_ONLY | OFFSET_K3@MEDOID,GEN9_A0_ROW_ONLY,OFFSET_K3@MEDOID,2,0.6582981770292016,99
GEN9_A0_ROW_ONLY | OFFSET_K3@MEDOID,GEN9_A0_ROW_ONLY,OFFSET_K3@MEDOID,3,0.6240305347830164,99
GEN9_A0_ROW_ONLY | OFFSET_K3@MEDOID,GEN9_A0_ROW_ONLY,OFFSET_K3@MEDOID,5,0.5646681736412593,99
GEN9_A0_ROW_ONLY | OFFSET_K3@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,OFFSET_K3@ORACLE[OFFSET_K1],1,0.5319345782162758,99
GEN9_A0_ROW_ONLY | OFFSET_K3@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,OFFSET_K3@ORACLE[OFFSET_K1],2,0.5187382837373005,99
GEN9_A0_ROW_ONLY | OFFSET_K3@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,OFFSET_K3@ORACLE[OFFSET_K1],3,0.5095121175446344,99
GEN9_A0_ROW_ONLY | OFFSET_K3@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,OFFSET_K3@ORACLE[OFFSET_K1],5,0.49303787798704324,99
GEN9_A0_ROW_ONLY | OFFSET_K3@RANDOM,GEN9_A0_ROW_ONLY,OFFSET_K3@RANDOM,1,0.7890345144640791,99
GEN9_A0_ROW_ONLY | OFFSET_K3@RANDOM,GEN9_A0_ROW_ONLY,OFFSET_K3@RANDOM,2,0.6554650032901056,99
GEN9_A0_ROW_ONLY | OFFSET_K3@RANDOM,GEN9_A0_ROW_ONLY,OFFSET_K3@RANDOM,3,0.5868134538025168,99
GEN9_A0_ROW_ONLY | OFFSET_K3@RANDOM,GEN9_A0_ROW_ONLY,OFFSET_K3@RANDOM,5,0.5121456223248817,99
GEN9_A0_ROW_ONLY | SERIES_MAP@CENTRAL,GEN9_A0_ROW_ONLY,SERIES_MAP@CENTRAL,1,0.695813230095184,99
GEN9_A0_ROW_ONLY | SERIES_MAP@CENTRAL,GEN9_A0_ROW_ONLY,SERIES_MAP@CENTRAL,2,0.6458326111722427,99
GEN9_A0_ROW_ONLY | SERIES_MAP@CENTRAL,GEN9_A0_ROW_ONLY,SERIES_MAP@CENTRAL,3,0.6180571122980306,99
GEN9_A0_ROW_ONLY | SERIES_MAP@CENTRAL,GEN9_A0_ROW_ONLY,SERIES_MAP@CENTRAL,5,0.586834718066946,99
GEN9_A0_ROW_ONLY | SERIES_MAP@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,SERIES_MAP@CENTRAL_THEN_SPREAD,1,0.6914121748235981,99
GEN9_A0_ROW_ONLY | SERIES_MAP@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,SERIES_MAP@CENTRAL_THEN_SPREAD,2,0.6718840224005909,99
GEN9_A0_ROW_ONLY | SERIES_MAP@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,SERIES_MAP@CENTRAL_THEN_SPREAD,3,0.6309016918758947,99
GEN9_A0_ROW_ONLY | SERIES_MAP@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,SERIES_MAP@CENTRAL_THEN_SPREAD,5,0.5923279433541903,99
GEN9_A0_ROW_ONLY | SERIES_MAP@D_OPTIMAL,GEN9_A0_ROW_ONLY,SERIES_MAP@D_OPTIMAL,1,0.9985706692142968,99
GEN9_A0_ROW_ONLY | SERIES_MAP@D_OPTIMAL,GEN9_A0_ROW_ONLY,SERIES_MAP@D_OPTIMAL,2,0.7147890556987916,99
GEN9_A0_ROW_ONLY | SERIES_MAP@D_OPTIMAL,GEN9_A0_ROW_ONLY,SERIES_MAP@D_OPTIMAL,3,0.6623247152663888,99
GEN9_A0_ROW_ONLY | SERIES_MAP@D_OPTIMAL,GEN9_A0_ROW_ONLY,SERIES_MAP@D_OPTIMAL,5,0.6009103190936269,99
GEN9_A0_ROW_ONLY | SERIES_MAP@MEDOID,GEN9_A0_ROW_ONLY,SERIES_MAP@MEDOID,1,0.6914121748235981,99
GEN9_A0_ROW_ONLY | SERIES_MAP@MEDOID,GEN9_A0_ROW_ONLY,SERIES_MAP@MEDOID,2,0.6528062871695489,99
GEN9_A0_ROW_ONLY | SERIES_MAP@MEDOID,GEN9_A0_ROW_ONLY,SERIES_MAP@MEDOID,3,0.6242015590055163,99
GEN9_A0_ROW_ONLY | SERIES_MAP@MEDOID,GEN9_A0_ROW_ONLY,SERIES_MAP@MEDOID,5,0.5908329589887924,99
GEN9_A0_ROW_ONLY | SERIES_MAP@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,SERIES_MAP@ORACLE[OFFSET_K1],1,0.5319345782162758,99
GEN9_A0_ROW_ONLY | SERIES_MAP@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,SERIES_MAP@ORACLE[OFFSET_K1],2,0.5278602924225219,99
GEN9_A0_ROW_ONLY | SERIES_MAP@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,SERIES_MAP@ORACLE[OFFSET_K1],3,0.5285343399960201,99
GEN9_A0_ROW_ONLY | SERIES_MAP@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,SERIES_MAP@ORACLE[OFFSET_K1],5,0.5404257236433776,99
GEN9_A0_ROW_ONLY | SERIES_MAP@RANDOM,GEN9_A0_ROW_ONLY,SERIES_MAP@RANDOM,1,0.7890345144640791,99
GEN9_A0_ROW_ONLY | SERIES_MAP@RANDOM,GEN9_A0_ROW_ONLY,SERIES_MAP@RANDOM,2,0.6895923289110601,99
GEN9_A0_ROW_ONLY | SERIES_MAP@RANDOM,GEN9_A0_ROW_ONLY,SERIES_MAP@RANDOM,3,0.6404735187796594,99
GEN9_A0_ROW_ONLY | SERIES_MAP@RANDOM,GEN9_A0_ROW_ONLY,SERIES_MAP@RANDOM,5,0.5908331208293457,99
GEN9_A0_ROW_ONLY | SERIES_MAP_LEVELONLY@CENTRAL,GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@CENTRAL,1,0.695813230095184,99
GEN9_A0_ROW_ONLY | SERIES_MAP_LEVELONLY@CENTRAL,GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@CENTRAL,2,0.6458896881111181,99
GEN9_A0_ROW_ONLY | SERIES_MAP_LEVELONLY@CENTRAL,GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@CENTRAL,3,0.61831606464118,99
GEN9_A0_ROW_ONLY | SERIES_MAP_LEVELONLY@CENTRAL,GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@CENTRAL,5,0.5879162625317953,99
GEN9_A0_ROW_ONLY | SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,1,0.6914121748235981,99
GEN9_A0_ROW_ONLY | SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,2,0.6734729150390262,99
GEN9_A0_ROW_ONLY | SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,3,0.6334911556408446,99
GEN9_A0_ROW_ONLY | SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,5,0.5958982479925006,99
GEN9_A0_ROW_ONLY | SERIES_MAP_LEVELONLY@D_OPTIMAL,GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@D_OPTIMAL,1,0.9985706692142968,99
GEN9_A0_ROW_ONLY | SERIES_MAP_LEVELONLY@D_OPTIMAL,GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@D_OPTIMAL,2,0.7167214697704244,99
GEN9_A0_ROW_ONLY | SERIES_MAP_LEVELONLY@D_OPTIMAL,GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@D_OPTIMAL,3,0.6653150507891527,99
GEN9_A0_ROW_ONLY | SERIES_MAP_LEVELONLY@D_OPTIMAL,GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@D_OPTIMAL,5,0.6053090263755947,99
GEN9_A0_ROW_ONLY | SERIES_MAP_LEVELONLY@MEDOID,GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@MEDOID,1,0.6914121748235981,99
GEN9_A0_ROW_ONLY | SERIES_MAP_LEVELONLY@MEDOID,GEN9_A0_ROW_ONLY,SERIES_MAP_LEVELONLY@MEDOID,2,0.6528524671740071,99
