full_arm,n_records,n_ligands,n_units,nan_mae,inf_mae,min_n_eval,min_n_pool
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SERIES_MAP@MEDOID,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SERIES_MAP@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SERIES_MAP@RANDOM,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SERIES_MAP_LEVELONLY@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SERIES_MAP_LEVELONLY@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SERIES_MAP_LEVELONLY@MEDOID,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SERIES_MAP_LEVELONLY@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SERIES_MAP_LEVELONLY@RANDOM,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SERIES_MAP_NOSERIES@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SERIES_MAP_NOSERIES@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SERIES_MAP_NOSERIES@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SERIES_MAP_NOSERIES@MEDOID,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SERIES_MAP_NOSERIES@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SERIES_MAP_NOSERIES@RANDOM,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SLOPE_L_s1_K1@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SLOPE_L_s1_K1@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SLOPE_L_s1_K1@MEDOID,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SLOPE_L_s1_K1@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SLOPE_L_s1_K1@RANDOM,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SLOPE_L_s1_K3@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SLOPE_L_s1_K3@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SLOPE_L_s1_K3@MEDOID,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SLOPE_L_s1_K3@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SLOPE_L_s1_K3@RANDOM,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | ZERO_SHOT,8580,143,8580,0,0,2,2
GEN9_A0_ROW_ONLY | ZERO_SHOT@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | ZERO_SHOT@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | ZERO_SHOT@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | ZERO_SHOT@MEDOID,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | ZERO_SHOT@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | ZERO_SHOT@RANDOM,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | NEAREST_OBSERVED@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | NEAREST_OBSERVED@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | NEAREST_OBSERVED@LEARNED_BLEND,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | NEAREST_OBSERVED@LEARNED_RANK,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | NEAREST_OBSERVED@LEARNED_SCALAR,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | NEAREST_OBSERVED@MAX_PREDICTIVE_VARIANCE,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | NEAREST_OBSERVED@MEDOID,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | NEAREST_OBSERVED@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | NEAREST_OBSERVED@RANDOM,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | NO_MODEL@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | NO_MODEL@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | NO_MODEL@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | NO_MODEL@LEARNED_BLEND,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | NO_MODEL@LEARNED_RANK,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | NO_MODEL@LEARNED_SCALAR,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | NO_MODEL@MAX_PREDICTIVE_VARIANCE,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | NO_MODEL@MEDOID,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | NO_MODEL@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | NO_MODEL@RANDOM,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K1@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K1@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K1@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K1@LEARNED_BLEND,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K1@LEARNED_RANK,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K1@LEARNED_SCALAR,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K1@MAX_PREDICTIVE_VARIANCE,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K1@MEDOID,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K1@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K1@RANDOM,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K2@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K2@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K2@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K2@LEARNED_BLEND,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K2@LEARNED_RANK,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K2@LEARNED_SCALAR,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K2@MAX_PREDICTIVE_VARIANCE,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K2@MEDOID,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K2@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K2@RANDOM,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K3@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K3@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K3@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K3@LEARNED_BLEND,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K3@LEARNED_RANK,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K3@LEARNED_SCALAR,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K3@MAX_PREDICTIVE_VARIANCE,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K3@MEDOID,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K3@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | OFFSET_K3@RANDOM,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP@LEARNED_BLEND,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP@LEARNED_RANK,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP@LEARNED_SCALAR,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP@MAX_PREDICTIVE_VARIANCE,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP@MEDOID,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP@RANDOM,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP_LEVELONLY@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP_LEVELONLY@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP_LEVELONLY@LEARNED_BLEND,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP_LEVELONLY@LEARNED_RANK,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP_LEVELONLY@LEARNED_SCALAR,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP_LEVELONLY@MAX_PREDICTIVE_VARIANCE,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP_LEVELONLY@MEDOID,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP_LEVELONLY@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP_LEVELONLY@RANDOM,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP_NOSERIES@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP_NOSERIES@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP_NOSERIES@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP_NOSERIES@LEARNED_BLEND,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP_NOSERIES@LEARNED_RANK,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP_NOSERIES@LEARNED_SCALAR,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP_NOSERIES@MAX_PREDICTIVE_VARIANCE,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP_NOSERIES@MEDOID,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP_NOSERIES@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SERIES_MAP_NOSERIES@RANDOM,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SLOPE_L_s1_K1@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SLOPE_L_s1_K1@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SLOPE_L_s1_K1@LEARNED_BLEND,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SLOPE_L_s1_K1@LEARNED_RANK,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SLOPE_L_s1_K1@LEARNED_SCALAR,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SLOPE_L_s1_K1@MAX_PREDICTIVE_VARIANCE,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SLOPE_L_s1_K1@MEDOID,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SLOPE_L_s1_K1@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SLOPE_L_s1_K1@RANDOM,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SLOPE_L_s1_K3@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SLOPE_L_s1_K3@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SLOPE_L_s1_K3@LEARNED_BLEND,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SLOPE_L_s1_K3@LEARNED_RANK,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SLOPE_L_s1_K3@LEARNED_SCALAR,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SLOPE_L_s1_K3@MAX_PREDICTIVE_VARIANCE,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SLOPE_L_s1_K3@MEDOID,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SLOPE_L_s1_K3@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | SLOPE_L_s1_K3@RANDOM,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | ZERO_SHOT,8580,143,8580,0,0,2,2
GEN9_A1_ADJ_d05 | ZERO_SHOT@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | ZERO_SHOT@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | ZERO_SHOT@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | ZERO_SHOT@LEARNED_BLEND,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | ZERO_SHOT@LEARNED_RANK,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | ZERO_SHOT@LEARNED_SCALAR,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | ZERO_SHOT@MAX_PREDICTIVE_VARIANCE,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | ZERO_SHOT@MEDOID,31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | ZERO_SHOT@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A1_ADJ_d05 | ZERO_SHOT@RANDOM,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | NEAREST_OBSERVED@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | NEAREST_OBSERVED@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | NEAREST_OBSERVED@MEDOID,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | NEAREST_OBSERVED@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | NEAREST_OBSERVED@RANDOM,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | NO_MODEL@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | NO_MODEL@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | NO_MODEL@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | NO_MODEL@MEDOID,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | NO_MODEL@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | NO_MODEL@RANDOM,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | OFFSET_K1@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | OFFSET_K1@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | OFFSET_K1@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | OFFSET_K1@MEDOID,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | OFFSET_K1@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | OFFSET_K1@RANDOM,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | OFFSET_K2@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | OFFSET_K2@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | OFFSET_K2@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | OFFSET_K2@MEDOID,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | OFFSET_K2@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | OFFSET_K2@RANDOM,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | OFFSET_K3@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | OFFSET_K3@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | OFFSET_K3@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | OFFSET_K3@MEDOID,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | OFFSET_K3@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | OFFSET_K3@RANDOM,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SERIES_MAP@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SERIES_MAP@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SERIES_MAP@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SERIES_MAP@MEDOID,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SERIES_MAP@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SERIES_MAP@RANDOM,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@MEDOID,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SERIES_MAP_LEVELONLY@RANDOM,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@MEDOID,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SERIES_MAP_NOSERIES@RANDOM,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SLOPE_L_s1_K1@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SLOPE_L_s1_K1@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SLOPE_L_s1_K1@MEDOID,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SLOPE_L_s1_K1@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SLOPE_L_s1_K1@RANDOM,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SLOPE_L_s1_K3@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SLOPE_L_s1_K3@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SLOPE_L_s1_K3@MEDOID,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SLOPE_L_s1_K3@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | SLOPE_L_s1_K3@RANDOM,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | ZERO_SHOT,8580,143,8580,0,0,2,2
GEN9_A2_END_d05 | ZERO_SHOT@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | ZERO_SHOT@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | ZERO_SHOT@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | ZERO_SHOT@MEDOID,31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | ZERO_SHOT@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A2_END_d05 | ZERO_SHOT@RANDOM,31500,143,31500,0,0,2,2
GEN9_A3_RAND_d05 | NEAREST_OBSERVED@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A3_RAND_d05 | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A3_RAND_d05 | NEAREST_OBSERVED@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A3_RAND_d05 | NEAREST_OBSERVED@MEDOID,31500,143,31500,0,0,2,2
GEN9_A3_RAND_d05 | NEAREST_OBSERVED@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A3_RAND_d05 | NEAREST_OBSERVED@RANDOM,31500,143,31500,0,0,2,2
GEN9_A3_RAND_d05 | NO_MODEL@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A3_RAND_d05 | NO_MODEL@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A3_RAND_d05 | NO_MODEL@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A3_RAND_d05 | NO_MODEL@MEDOID,31500,143,31500,0,0,2,2
