full_arm,k,failure_class,mae,n_ligands
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],1,PURE_LEVEL,0.38398699696153904,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],1,RESIDUAL_SHAPE,1.186673106104683,23
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],2,ALREADY_GOOD,0.5122096438337123,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],2,PARTIAL_LEVEL,0.6643327357831291,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],2,PURE_LEVEL,0.3564330940924749,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],2,RESIDUAL_SHAPE,1.097429475475058,23
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],3,ALREADY_GOOD,0.46551868904293225,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],3,PARTIAL_LEVEL,0.6194164610038191,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],3,PURE_LEVEL,0.3354002814075454,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],3,RESIDUAL_SHAPE,1.0609142919766092,23
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],5,ALREADY_GOOD,0.4115966216386079,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],5,PARTIAL_LEVEL,0.5651206054792455,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],5,PURE_LEVEL,0.3021530708044164,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],5,RESIDUAL_SHAPE,1.0080187719190044,23
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,1,ALREADY_GOOD,0.7976510918422313,51
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,1,PARTIAL_LEVEL,1.1111844326828708,5
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,1,PURE_LEVEL,0.520655031287568,20
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,1,RESIDUAL_SHAPE,1.6088062744754337,23
